,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
0,1.55965441905e+18,-11.76786041,0.1053480953,8.499675751
1,1.5596544191e+18,-11.20281219,1.539518714,7.020013809
2,1.55965441916e+18,-7.077476501,2.650462151,7.805335999
3,1.55965441921e+18,-4.984879971,3.519583941,2.415823221
4,1.55965441926e+18,-0.277735889,4.106181145,-3.917033672
5,1.55965441931e+18,1.12291491,2.705530643,-3.162837029
6,1.55965441936e+18,4.798126698,5.573871613,-11.08788681
7,1.55965441942e+18,-2.092596292,0.6225114465,0.926584363
8,1.55965441947e+18,0.5746259689,1.565855742,16.01530457
9,1.55965441952e+18,-0.2537931204,-11.8301115,3.921822071
10,1.55965441957e+18,-7.108602047,-40.67633438,28.14709473
11,1.55965441962e+18,-8.901913643,-14.73197269,12.22516727
12,1.55965441968e+18,-13.6641264,-3.234665155,10.75268841
13,1.55965441973e+18,-16.38881111,-11.4805479,5.624151707
14,1.55965441978e+18,-8.573898315,-4.498842239,5.446975231
15,1.55965441983e+18,-12.15573311,-4.43180275,-10.50847244
16,1.55965441988e+18,2.604970932,-4.948966026,-17.41834831
17,1.55965441994e+18,19.38883781,5.537957668,-23.2316494
18,1.55965441999e+18,-5.188393593,3.917033672,6.466936111
19,1.55965442004e+18,-2.75820446,1.142069101,14.58592224
20,1.55965442009e+18,-6.292154312,-23.98105621,5.746259689
21,1.55965442014e+18,-4.434196949,-7.465348721,27.83105087
22,1.5596544202e+18,-10.38875866,-8.813325882,11.27224541
23,1.55965442025e+18,-11.67687798,-7.620976925,9.538790703
24,1.5596544203e+18,-12.67529106,-13.13499165,12.54599953
25,1.55965442035e+18,-7.934626579,-6.790163517,9.534002304
26,1.5596544204e+18,-5.746259689,-4.917840481,1.628106833
27,1.55965442046e+18,-1.841197371,-4.867560863,3.608172178
28,1.55965442051e+18,0.3447755575,4.637710094,-5.439792156
29,1.55965442056e+18,-2.770175934,-7.127756119,-6.440599442
30,1.55965442061e+18,-2.470891714,0.7398309112,-10.71198559
31,1.55965442066e+18,-4.783761024,5.669642925,-3.885908127
32,1.55965442072e+18,10.00806904,-0.4261809289,6.93621397
33,1.55965442077e+18,1.872322917,-46.98524857,-12.83331299
34,1.55965442082e+18,-9.713572502,-20.04965782,11.06394386
35,1.55965442087e+18,-2.264983892,1.78134048,7.771816254
36,1.55965442092e+18,-3.189173937,-0.5865973234,12.4262867
37,1.55965442098e+18,-5.95695591,-8.3153162,14.29142666
38,1.55965442103e+18,-10.05834866,-11.50927925,13.4414587
39,1.55965442108e+18,-15.15097141,-8.942616463,8.909096718
40,1.55965442113e+18,-10.90352726,-5.442186832,4.333637238
41,1.55965442118e+18,-1.491633177,4.024775982,3.54113245
42,1.55965442124e+18,5.710345268,0.6057515144,-20.88047028
43,1.55965442129e+18,6.244268894,-10.62339687,-29.35380936
44,1.55965442134e+18,9.182044029,8.164477348,-13.2666769
45,1.55965442139e+18,-13.79820538,-9.28499794,41.99079132
46,1.55965442144e+18,-11.81814003,-24.57004738,17.60510254
47,1.5596544215e+18,-12.13657856,-3.701548815,13.04161453
48,1.55965442155e+18,-15.34251308,-11.49730778,12.01447105
49,1.5596544216e+18,-13.48216152,-9.69681263,12.69923401
50,1.55965442165e+18,-13.70961761,-4.968120098,7.731113434
51,1.5596544217e+18,-9.929058075,-2.329629421,4.273780346
52,1.55965442176e+18,-8.557138443,-1.845985889,3.725491524
53,1.55965442181e+18,-7.793364525,-5.569083214,1.383890867
54,1.55965442186e+18,-2.686376333,2.463708878,-0.3759011328
55,1.55965442191e+18,-10.9849329,-6.969734192,9.397528648
56,1.55965442196e+18,-14.54043102,-7.860404015,7.175641537
57,1.55965442202e+18,-14.17650127,-7.424646378,1.381496549
58,1.55965442207e+18,-7.829278469,0.8475732803,9.680052757
59,1.55965442212e+18,5.267404556,3.672817469,-11.61223316
60,1.55965442217e+18,-1.374313712,-14.56437397,-0.6584255695
61,1.55965442222e+18,6.672843933,-0.9385557175,-22.04887581
62,1.55965442228e+18,4.563488007,0.3423812985,5.147690773
63,1.55965442233e+18,-4.549122334,-9.873989105,34.5517807
64,1.55965442238e+18,-17.36567497,-26.0473156,18.41436768
65,1.55965442243e+18,-13.84609127,-4.053507328,17.475811
66,1.55965442248e+18,-13.47497845,-8.312922478,11.00408745
