,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
0,1.55965472005e+18,-0.2729473412,2.039922237,12.70162773
1,1.5596547201e+18,0.8284190893,2.46131444,10.99211597
2,1.55965472016e+18,-2.051893473,1.620923996,11.29618835
3,1.55965472021e+18,-2.600182533,0.4118152559,9.565128326
4,1.55965472026e+18,-2.853975534,-2.679193497,12.60825157
5,1.55965472031e+18,-11.542799,-5.643305779,5.19797039
6,1.55965472036e+18,-6.838048935,5.351204395,3.890696526
7,1.55965472042e+18,0.7972934842,2.427794695,0.6249057055
8,1.55965472047e+18,7.599428177,2.0375278,-11.47815323
9,1.55965472052e+18,-1.606558442,-0.5650488734,6.433416367
10,1.55965472057e+18,-3.869148016,-1.61134696,9.557945251
11,1.55965472062e+18,-9.220352173,-30.55573463,10.65691757
12,1.55965472068e+18,-5.640911579,-19.95388603,19.93473244
13,1.55965472073e+18,-3.141288519,-6.754249096,12.50290298
14,1.55965472078e+18,-6.996070862,-5.205153465,13.16372299
15,1.55965472083e+18,-8.322499275,-3.672817469,12.2227726
16,1.55965472088e+18,-9.996097565,-5.001639843,10.63057995
17,1.55965472094e+18,-9.067118645,-1.814860344,8.219545364
18,1.55965472099e+18,-5.209941864,0.8834874034,7.812518597
19,1.55965472104e+18,-3.548315287,-0.6656084061,1.659232497
20,1.55965472109e+18,-6.014418125,-2.171607256,0.184359163
21,1.55965472114e+18,-4.383917332,-9.359220505,5.016005516
22,1.5596547212e+18,-9.021627426,-5.425426483,-11.60744381
23,1.55965472125e+18,4.292934895,-4.944177628,-15.91474438
24,1.5596547213e+18,1.35755384,-3.062277555,3.033546209
25,1.55965472135e+18,-13.45821857,-18.1055069,4.11336422
26,1.5596547214e+18,5.281770229,-21.30904579,22.53012657
27,1.55965472146e+18,-2.123721838,-12.69683933,18.25873947
28,1.55965472151e+18,-7.534782887,-9.816526413,10.44382668
29,1.55965472156e+18,-8.243488312,-9.407105446,12.13179016
30,1.55965472161e+18,-9.28499794,-8.387145042,9.443019867
31,1.55965472166e+18,-8.461367607,1.46290195,15.43349552
32,1.55965472172e+18,-13.2810421,-1.302485466,3.356773376
33,1.55965472177e+18,-10.2666502,-1.980065227,0.3902668059
34,1.55965472182e+18,-3.577046633,0.7110996246,-3.430995703
35,1.55965472187e+18,-5.219519138,-0.2609759569,1.460507631
36,1.55965472192e+18,-0.2130904645,1.465296149,-6.778192043
37,1.55965472198e+18,10.80536175,4.910657406,-9.117398262
38,1.55965472203e+18,-3.73267436,2.69116497,4.21631813
39,1.55965472208e+18,-0.01436564885,2.382303476,1.965699673
40,1.55965472213e+18,4.726298332,-0.8379961848,11.60505009
41,1.55965472218e+18,-8.947404861,-24.54371071,14.90914917
42,1.55965472224e+18,-12.9410553,-17.27469254,18.11508369
43,1.55965472229e+18,-12.87640953,-8.624177933,7.920260906
44,1.55965472234e+18,-12.12700176,-5.087833881,9.00726223
45,1.55965472239e+18,-7.963357925,-3.823656797,8.188420296
46,1.55965472244e+18,-7.302538395,-1.54909575,7.106207848
47,1.5596547225e+18,-10.18045616,0.9601042271,5.166844845
48,1.55965472255e+18,-11.7175808,-3.574652195,0.2106961906
49,1.5596547226e+18,-4.721509933,-0.967287004,0.0287312977
50,1.55965472265e+18,-3.232270956,-5.549929142,-0.09098244458
51,1.5596547227e+18,-0.6823683381,-6.170046329,5.839636326
52,1.55965472276e+18,-2.078230619,-8.502069473,-14.22917557
53,1.55965472281e+18,6.524398804,-8.1453228,-12.2227726
54,1.55965472286e+18,-4.379128456,-11.30097675,7.367183685
55,1.55965472291e+18,-4.582642078,-14.59310532,9.364008904
56,1.55965472296e+18,-5.236279011,-24.4742775,29.59563065
57,1.55965472302e+18,-3.701548815,-12.01447105,23.09517479
58,1.55965472307e+18,-8.751074791,-5.815693378,9.2035923
59,1.55965472312e+18,-6.507638931,-6.378347874,8.937828064
60,1.55965472317e+18,-4.058295727,-2.243435383,9.265843391
61,1.55965472322e+18,-2.834821463,-0.3519583941,6.794951916
62,1.55965472327e+18,-6.153286457,-2.825244188,4.467716694
63,1.55965472333e+18,-6.907482624,-4.288146019,-3.735068798
64,1.55965472338e+18,-0.2825244367,-3.105374336,-2.33441782
65,1.55965472343e+18,-4.288146019,-5.269798756,-15.27547359
66,1.55965472348e+18,8.978530884,3.596200705,-4.723904133
67,1.55965472353e+18,-2.367937803,-1.92978549,-0.09098244458
68,1.55965472359e+18,-2.686376333,-17.30342484,13.1158371
69,1.55965472364e+18,-5.205153465,-25.3098793,28.87016487
70,1.55965472369e+18,-7.328875065,-11.08309841,18.00255203
71,1.55965472374e+18,-12.74233055,-3.359167576,11.52125072
72,1.55965472379e+18,-11.30097675,-6.040755272,11.47575951
73,1.55965472385e+18,-8.676852226,-6.454965115,8.964164734
74,1.5596547239e+18,-4.891503334,-1.113337755,9.316123009
75,1.55965472395e+18,-7.099024773,-2.753416061,4.333637238
76,1.559654724e+18,-6.174834728,-2.317657948,3.019180536
77,1.55965472405e+18,-6.589044094,-3.038334846,-0.4046324492
78,1.55965472411e+18,-9.929058075,-1.86514008,-7.858009815
79,1.55965472416e+18,8.691217422,0.1125309169,0.1508393139
80,1.55965472421e+18,2.45892024,2.712713242,-16.01530457
81,1.55965472426e+18,2.853975534,3.265790939,-1.211503029
82,1.55965472431e+18,-2.767781734,-3.193962574,5.075862408
83,1.55965472437e+18,2.214704275,-32.66987991,22.04408836
84,1.55965472442e+18,-2.406246185,-22.17816734,23.26277351
85,1.55965472447e+18,-12.66331959,-9.986519814,8.336864471
86,1.55965472452e+18,-13.08471203,-4.106181145,8.174054146
87,1.55965472457e+18,-10.23552513,-7.201978683,10.19961071
88,1.55965472463e+18,-8.394327164,-4.206740856,4.575459003
89,1.55965472468e+18,-6.29933691,-1.359948039,2.880312681
90,1.55965472473e+18,-3.162837029,-0.2513988614,3.069460392
91,1.55965472478e+18,-2.130904675,-0.5147690773,3.689577579
92,1.55965472483e+18,-8.233911514,-1.848380208,15.09590244
93,1.55965472489e+18,-5.839636326,-0.1652049571,-11.67448425
94,1.55965472494e+18,4.182797909,-1.383890867,-7.61379385
95,1.55965472499e+18,1.31445682,2.200338602,-1.118126392
96,1.55965472504e+18,-2.50201726,-0.6033572555,-2.736656189
97,1.55965472509e+18,4.45574522,-18.54844666,16.75034714
98,1.55965472515e+18,-5.06867981,-23.5429039,29.22691345
99,1.5596547252e+18,-8.806142807,-9.651321411,16.01769829
100,1.55965472525e+18,-11.98095131,-6.122160912,10.8293047
101,1.5596547253e+18,-9.593858719,-5.772596359,9.004867554
102,1.55965472535e+18,-6.296942711,-5.727105141,5.782173634
103,1.55965472541e+18,-5.600208759,-4.012804508,4.790944099
104,1.55965472546e+18,-2.427794695,0.8691217303,6.727912426
105,1.55965472551e+18,-3.943370581,0.7470137477,7.034379482
106,1.55965472556e+18,-5.341627121,0.7278595567,3.663240433
107,1.55965472561e+18,-5.248250484,2.133298874,5.911464691
108,1.55965472567e+18,2.0351336,-1.443747759,-8.107014656
109,1.55965472572e+18,-0.4525179267,-3.423812866,-0.5171633363
110,1.55965472577e+18,2.897072554,2.554691315,-9.500482559
111,1.55965472582e+18,-4.695172787,-4.264203548,11.23633194
112,1.55965472587e+18,-2.762993097,-23.52135658,10.36002731
113,1.55965472593e+18,-2.43976593,-21.86691093,23.8733139
114,1.55965472598e+18,-8.564320564,-11.57631874,11.67687798
