,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
0,1.55965502105e+18,-0.5698373914,8.851634026,18.26113319
1,1.5596550211e+18,2.207521439,10.36242104,16.82935715
2,1.55965502115e+18,15.33054161,17.71045113,19.72403526
3,1.5596550212e+18,17.33694458,20.92596245,10.64733982
4,1.55965502125e+18,0.7039167881,-4.041535854,14.60986519
5,1.5596550213e+18,-30.26842308,-28.10160255,-8.293767929
6,1.55965502135e+18,-1.501210332,-14.04721069,9.031204224
7,1.55965502141e+18,0.0574625954,-9.483722687,1.881899953
8,1.55965502146e+18,4.336031914,0.3711125851,1.158828974
9,1.55965502151e+18,4.225894928,3.181991339,1.855562925
10,1.55965502156e+18,2.190761566,3.143682718,3.600989342
11,1.55965502161e+18,4.395888329,2.083019018,5.351204395
12,1.55965502166e+18,5.672037125,1.340793848,7.206767082
13,1.55965502171e+18,3.253819466,0.9553156495,8.121379852
14,1.55965502176e+18,0.4884320498,-0.945738554,8.801354408
15,1.55965502181e+18,-7.620976925,-6.885934353,10.04637718
16,1.55965502186e+18,-12.92190075,-6.524398804,8.147717476
17,1.55965502191e+18,-16.34571457,-5.897099018,4.711932659
18,1.55965502196e+18,-14.39438057,-3.093403101,3.759011507
19,1.55965502202e+18,-13.19005966,-1.50599885,4.666441441
20,1.55965502207e+18,-12.81415844,0.1891477108,3.720703125
21,1.55965502212e+18,-14.03045082,-0.3256213665,4.158855438
22,1.55965502217e+18,-14.34888935,-0.9960182905,3.268185139
23,1.55965502222e+18,-15.3832159,-0.7278595567,3.531555414
24,1.55965502227e+18,-15.51250648,-0.4285751879,5.454157829
25,1.55965502232e+18,-13.43427563,0.4501236677,6.000052452
26,1.55965502237e+18,-16.07276726,0.1005595401,1.623318315
27,1.55965502242e+18,-10.00327969,1.61134696,1.256994247
28,1.55965502248e+18,-4.790944099,3.409447432,0.2394274771
29,1.55965502253e+18,-2.150058746,0.8140534163,0.962498486
30,1.55965502258e+18,1.149251938,-4.395888329,3.239453793
31,1.55965502263e+18,0.0287312977,-18.34493446,-0.4022381604
32,1.55965502268e+18,-7.46774292,-10.08947372,-2.621730804
33,1.55965502273e+18,8.511647224,-14.03523922,13.67609787
34,1.55965502278e+18,-1.778946161,22.13985825,0.8260248303
35,1.55965502284e+18,-5.181210518,9.577098846,17.74875832
36,1.55965502289e+18,-4.170826912,4.125335693,19.42235756
37,1.55965502294e+18,-0.1795706153,6.416656494,21.83099747
38,1.55965502299e+18,3.040729046,8.631361008,23.48065376
39,1.55965502304e+18,11.54758739,13.61384678,20.58597565
40,1.55965502309e+18,16.73358727,12.06235695,12.90035248
41,1.55965502314e+18,-0.4932205975,-5.918647289,19.05124474
42,1.55965502319e+18,-19.72882462,-20.38006783,-5.944984436
43,1.55965502324e+18,-2.449343204,-8.820508003,2.949746609
44,1.5596550233e+18,-1.381496549,-7.374366283,3.624932051
45,1.55965502335e+18,1.467690468,-1.266571403,1.568249941
46,1.5596550234e+18,0.8571503758,1.766974807,1.647261024
47,1.55965502345e+18,-0.6775797606,0.0837996155,5.777385235
48,1.5596550235e+18,0.2921015322,0.5746259689,6.08864069
49,1.55965502355e+18,-0.184359163,-0.4094209969,6.395108223
50,1.5596550236e+18,-3.375927448,-2.466103077,7.257047176
51,1.55965502365e+18,-5.008822918,-3.368744612,5.801327705
52,1.5596550237e+18,-12.15573311,-9.24429512,8.300951004
53,1.55965502375e+18,-13.14217472,-8.650514603,7.479714394
54,1.5596550238e+18,-15.91713905,-9.862017632,5.59781456
55,1.55965502386e+18,-14.35128307,-6.265817165,4.374340057
56,1.55965502391e+18,-15.52926636,-4.252232075,3.603383541
57,1.55965502396e+18,-15.70404816,-4.235472202,5.645699978
58,1.55965502401e+18,-13.98017025,-2.104567528,5.360781193
59,1.55965502406e+18,-12.90514088,-1.33600533,4.532361984
60,1.55965502411e+18,-13.7862339,-1.855562925,3.11734581
61,1.55965502416e+18,-29.49986076,-4.096604347,6.363982677
62,1.55965502421e+18,-8.664880753,1.386285067,18.1055069
63,1.55965502427e+18,-8.767834663,4.180403709,15.81179047
64,1.55965502432e+18,-6.378347874,7.053533554,17.71045113
65,1.55965502437e+18,-4.125335693,6.390319347,18.77829742
66,1.55965502442e+18,0.5004034638,7.369577885,20.59076309
67,1.55965502447e+18,13.29061985,13.80778313,16.75753021
68,1.55965502452e+18,22.05605888,9.816526413,16.59471893
69,1.55965502457e+18,-14.3393116,-12.18446445,24.56047058
70,1.55965502462e+18,-10.84606457,-11.59068394,-2.123721838
71,1.55965502467e+18,0.002394274808,-15.36884975,3.79492569
72,1.55965502472e+18,0.7518022656,-5.70555687,3.026363373
73,1.55965502477e+18,1.968093872,3.478881359,-1.44135344
74,1.55965502483e+18,1.347976685,2.329629421,1.960911036
75,1.55965502488e+18,-0.6608198285,0.7925049663,4.869955063
76,1.55965502493e+18,0.1077423692,-0.1053480953,5.655277252
77,1.55965502498e+18,0.6225114465,-0.277735889,8.095043182
78,1.55965502503e+18,0.1364736706,1.252205729,10.00806904
79,1.55965502508e+18,0.1532335877,0.5698373914,8.518829346
80,1.55965502513e+18,-5.571477413,-4.458139896,11.3680172
81,1.55965502518e+18,-11.82292938,-6.122160912,9.53639698
82,1.55965502523e+18,-15.81657982,-5.672037125,4.680807114
83,1.55965502528e+18,-14.03763294,-2.597788095,3.550709486
84,1.55965502534e+18,-14.3776207,-0.6943396926,6.562707424
85,1.55965502539e+18,-12.24432182,-3.129317284,-0.8308133483
86,1.55965502544e+18,-13.74553204,-2.176395893,1.666415215
87,1.55965502549e+18,-7.563514233,-3.052700281,2.940169573
88,1.55965502554e+18,-6.466936111,-2.832427025,4.608979225
89,1.55965502559e+18,-8.576292038,-3.404658794,4.0726614
90,1.55965502564e+18,-10.45819283,-3.198751211,2.430188894
91,1.5596550257e+18,-10.63536835,-2.35357213,2.537931204
92,1.55965502575e+18,-13.96580505,0.3375927508,-0.6799740195
93,1.5596550258e+18,-13.38399601,0.2442160249,-0.612934351
94,1.55965502585e+18,-8.712765694,-0.7637736797,-0.5267404318
95,1.5596550259e+18,-2.937775135,-3.545921087,-0.1460507661
96,1.55965502595e+18,-2.741444588,-9.684841156,1.053480864
97,1.559655026e+18,-8.243488312,-8.130957603,-0.6632141471
98,1.55965502605e+18,-10.36481571,-6.007235527,0.6033572555
99,1.55965502611e+18,-11.24830341,-3.062277555,1.829225898
100,1.55965502616e+18,-15.02407455,0.2059076279,3.114951611
101,1.55965502621e+18,-20.95948219,3.569863796,3.555498123
102,1.55965502626e+18,-11.67448425,1.61134696,3.708731651
103,1.55965502631e+18,-12.53881741,-2.67440486,1.237840056
104,1.55965502636e+18,-9.428654671,-0.4189980924,-0.9122186899
105,1.55965502641e+18,-7.606611252,-2.087807655,-3.517189741
106,1.55965502646e+18,-8.439818382,0.299284339,-2.48046875
107,1.55965502652e+18,-11.08788681,-4.292934895,2.05668211
108,1.55965502657e+18,-16.58753586,-3.730280161,4.187586784
109,1.55965502662e+18,9.967366219,5.712739468,0.8475732803
110,1.55965502667e+18,9.167677879,4.649681568,2.418217659
111,1.55965502672e+18,5.62175703,6.16765213,5.044736862
112,1.55965502677e+18,8.466156006,8.616994858,3.301704884
113,1.55965502682e+18,5.106987953,5.454157829,6.924242973
114,1.55965502687e+18,5.990475655,5.121353626,10.64733982
115,1.55965502693e+18,6.907482624,1.381496549,9.967366219
116,1.55965502698e+18,5.997658253,1.795706153,6.313702583
117,1.55965502703e+18,5.267404556,3.205934048,4.857983589
118,1.55965502708e+18,5.487678051,3.390293121,7.113390446
119,1.55965502713e+18,4.436591148,3.347196102,6.162863255
120,1.55965502718e+18,4.21631813,2.255406857,8.451789856
121,1.55965502724e+18,5.961744308,2.700742006,9.811738014
122,1.55965502729e+18,9.440625191,3.589017868,10.75268841
123,1.55965502734e+18,22.21408081,9.574705124,8.557138443
124,1.55965502739e+18,35.64117432,17.60031319,0.5147690773
125,1.55965502744e+18,16.75274086,1.352765322,3.586623669
126,1.55965502749e+18,-8.863605499,-8.595446587,21.16778374
127,1.55965502754e+18,-14.89957237,-25.68338585,14.97379494
128,1.55965502759e+18,-2.276955366,-6.873962879,3.775771379
129,1.55965502765e+18,0.5171633363,-3.363956213,2.657644987
130,1.5596550277e+18,3.450150013,1.403045058,2.976083517
131,1.55965502775e+18,4.302511692,2.305686712,4.343214512
132,1.5596550278e+18,4.03195858,1.596981287,5.525986195
133,1.55965502785e+18,2.949746609,1.458113313,6.660872459
134,1.5596550279e+18,1.31445682,0.5339232683,9.474145889
135,1.55965502795e+18,-2.176395893,-3.488458395,12.01447105
136,1.55965502801e+18,-7.462954521,-7.953781128,10.00567436
137,1.55965502806e+18,-9.890748978,-6.399896622,8.059128761
138,1.55965502811e+18,-13.35287094,-5.734288216,4.237866402
139,1.55965502816e+18,-13.56596088,-3.565075159,3.419024467
140,1.55965502821e+18,-12.50050831,-1.963305354,4.589824677
