,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
0,1.55965532205e+18,2.650462151,0.8044763207,9.002472878
1,1.5596553221e+18,2.482862949,0.6033572555,8.949799538
2,1.55965532216e+18,2.734261751,0.316044271,9.028810501
3,1.55965532221e+18,3.045517445,-1.419804931,9.488511086
4,1.55965532226e+18,1.063058019,-0.7637736797,9.385557175
5,1.55965532231e+18,1.807677507,-1.826831698,10.0966568
6,1.55965532236e+18,-2.506805658,-1.913025618,7.690410614
7,1.55965532242e+18,-4.206740856,-0.9912297726,7.470137596
8,1.55965532247e+18,-8.75586319,1.424593568,7.606611252
9,1.55965532252e+18,-6.294548512,2.300898075,8.039975166
10,1.55965532257e+18,-7.197190285,3.426207304,8.526012421
11,1.55965532262e+18,-7.005648136,4.719115734,7.170853138
12,1.55965532268e+18,-8.049551964,3.854782343,6.205960274
13,1.55965532273e+18,-6.715940952,3.210722446,4.53715086
14,1.55965532278e+18,-9.162889481,0.8858816624,7.108602047
15,1.55965532283e+18,-8.01124382,-2.001613855,6.349617004
16,1.55965532288e+18,-6.818894863,-2.504411459,8.995290756
17,1.55965532294e+18,-1.577827096,-1.197137356,11.66969585
18,1.55965532299e+18,-7.127756119,-0.05267404765,7.879558563
19,1.55965532304e+18,-5.672037125,0.462095052,7.269018173
20,1.55965532309e+18,-1.508393168,-1.098972082,12.01447105
21,1.55965532314e+18,-7.154093266,2.451737404,8.729525566
22,1.5596553232e+18,-4.170826912,1.158828974,7.810124397
23,1.55965532325e+18,-1.860351562,2.573845387,7.36239481
24,1.5596553233e+18,-1.54670155,3.593806505,6.993676662
25,1.55965532335e+18,-0.14844504,4.146883965,6.873962879
26,1.5596553234e+18,0.4884320498,4.067873001,7.937020779
27,1.55965532346e+18,-0.6656084061,3.502824068,7.802941799
28,1.55965532351e+18,2.214704275,5.49246645,8.028003693
29,1.55965532356e+18,1.867534399,5.619362831,8.839662552
30,1.55965532361e+18,2.33441782,5.018400192,9.56273365
31,1.55965532366e+18,2.243435383,4.00562191,8.37038517
32,1.55965532372e+18,-0.8116591573,3.232270956,8.05194664
33,1.55965532377e+18,-1.790917516,4.151672363,7.027196407
34,1.55965532382e+18,0.1101366431,3.715914488,7.424646378
35,1.55965532387e+18,-0.2609759569,1.9944309,7.975329399
36,1.55965532392e+18,-0.9146129489,1.924996972,6.87156868
37,1.55965532398e+18,-0.4094209969,3.991255999,8.882759094
38,1.55965532403e+18,-1.699935079,4.024775982,9.064723969
39,1.55965532408e+18,-1.78134048,2.724684715,9.914691925
40,1.55965532413e+18,-1.209108829,1.168406129,10.71198559
41,1.55965532418e+18,-0.8930644989,0.1963305324,11.34167957
42,1.55965532424e+18,-1.182771802,0.2298503816,11.1501379
43,1.55965532429e+18,-0.964892745,0.1580221355,10.68564892
44,1.55965532434e+18,-1.699935079,0.07182824612,9.58907032
45,1.55965532439e+18,-1.300091267,-0.1005595401,10.17806244
46,1.55965532444e+18,-0.3639297783,0.7278595567,10.25946712
47,1.5596553245e+18,-0.4213923812,0.5650488734,10.00327969
48,1.55965532455e+18,-1.640078187,1.048692346,9.081484795
49,1.5596553246e+18,-1.582615614,1.412622094,8.67445755
50,1.55965532465e+18,-2.719896078,1.819648862,8.820508003
51,1.5596553247e+18,-2.796513081,0.9098244309,8.940221786
52,1.55965532476e+18,-1.359948039,1.534730196,10.12299347
53,1.55965532481e+18,-5.269798756,-0.4884320498,10.43903828
54,1.55965532486e+18,-3.387898922,0.05985686928,10.01046276
55,1.55965532491e+18,-0.5458946824,0.5818088055,9.778218269
56,1.55965532496e+18,-1.740637779,0.7350423932,7.534782887
57,1.55965532502e+18,-1.393467903,0.7134938836,11.01845264
58,1.55965532507e+18,-2.564268351,0.5051919818,8.940221786
59,1.55965532512e+18,-0.2513988614,0.2705530524,13.42709351
60,1.55965532517e+18,-1.525153041,0.2561874092,9.466962814
61,1.55965532522e+18,0.9768640995,0.0837996155,7.913078308
62,1.55965532528e+18,1.479661822,0.3615354896,7.151699066
63,1.55965532533e+18,0.8906702399,-0.8571503758,8.784594536
64,1.55965532538e+18,-0.1460507661,-0.5387118459,7.101418972
65,1.55965532543e+18,0.3854782581,-0.3519583941,9.064723969
66,1.55965532548e+18,0.945738554,1.276148438,9.040781975
67,1.55965532554e+18,1.130097747,1.776551962,9.656110764
68,1.55965532559e+18,2.197944164,1.831620216,9.502876282
69,1.55965532564e+18,2.324840784,1.872322917,9.663292885
70,1.55965532569e+18,2.159635782,1.33600533,9.49569416
71,1.55965532574e+18,2.983266354,0.7613793612,9.641744614
72,1.5596553258e+18,2.770175934,1.264177084,10.01285744
73,1.55965532585e+18,1.388679385,0.5219519138,10.37439251
74,1.5596553259e+18,1.168406129,0.8188419938,10.07750225
75,1.55965532595e+18,0.4932205975,0.7709565163,9.708784103
76,1.559655326e+18,0.8667274714,1.608952641,10.10862827
77,1.55965532606e+18,0.3208328187,0.9217957854,10.61860847
78,1.55965532611e+18,1.228263021,0.6201171875,11.33928585
79,1.55965532616e+18,1.034326673,0.7853221297,10.35044956
80,1.55965532621e+18,1.664021015,1.211503029,9.809344292
81,1.55965532626e+18,1.977671027,1.764580488,8.849239349
82,1.55965532632e+18,2.363149166,2.590605259,8.442213058
83,1.55965532637e+18,1.723877907,2.432583094,8.815719604
84,1.55965532642e+18,4.292934895,1.640078187,7.388731956
85,1.55965532647e+18,4.939388752,1.834014535,7.12296772
86,1.55965532652e+18,5.308107376,2.9258039,4.881926537
87,1.55965532658e+18,5.832453251,2.487651587,5.229096413
88,1.55965532663e+18,5.147690773,3.711125851,4.585036278
89,1.55965532668e+18,6.014418125,2.921015263,5.672037125
90,1.55965532673e+18,5.391906738,2.604970932,3.857176781
91,1.55965532678e+18,5.317684174,2.384697676,4.142095566
92,1.55965532684e+18,5.712739468,3.019180536,4.393494129
93,1.55965532689e+18,6.143709183,3.170019865,4.563488007
94,1.55965532694e+18,7.575485706,3.950553417,4.788549423
95,1.55965532699e+18,10.32171917,4.362368584,5.8516078
96,1.55965532704e+18,11.92827702,4.798126698,9.31133461
97,1.5596553271e+18,15.5532093,6.601015568,10.36960411
98,1.55965532715e+18,20.78230476,8.272219658,11.40393066
99,1.5596553272e+18,39.69947052,18.94829178,5.06628561
100,1.55965532725e+18,30.81910515,18.03367805,-5.949772835
101,1.5596553273e+18,3.871542454,-6.682421207,20.76075745
102,1.55965532736e+18,3.452544212,-42.61809158,6.366376877
103,1.55965532741e+18,-7.223526955,-19.95627975,-4.829252243
104,1.55965532746e+18,0.4046324492,-2.178790092,-4.491659641
105,1.55965532751e+18,8.032792091,7.987300873,-0.4573064744
106,1.55965532756e+18,4.127729893,7.144515991,-0.2633702159
107,1.55965532762e+18,-0.2585816681,3.907456398,-0.943344295
108,1.55965532767e+18,0.5099805593,3.404658794,0.184359163
109,1.55965532772e+18,-0.5961744189,-2.154847383,8.253065109
110,1.55965532777e+18,-0.1005595401,-5.628940105,8.696005821
111,1.55965532782e+18,1.659232497,-7.666468143,13.51089287
112,1.55965532788e+18,3.143682718,-5.059102535,13.15414619
113,1.55965532793e+18,1.793311834,-3.950553417,16.72161484
114,1.55965532798e+18,-0.7733507752,-2.518777132,12.87401581
