,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
0,1.55965562305e+18,-6.026389599,0.3711125851,6.720729351
1,1.5596556231e+18,-6.632141113,0.3016786277,5.681613922
2,1.55965562316e+18,-6.431022167,0.483643502,5.485283375
3,1.55965562321e+18,-7.324086666,0.948132813,5.729499817
4,1.55965562326e+18,-8.70079422,0.4261809289,6.165257454
5,1.55965562331e+18,-8.092648506,0.6991282701,6.567495823
6,1.55965562336e+18,-9.287391663,0.2106961906,6.095823765
7,1.55965562342e+18,-7.67843914,0.9026415944,6.560312748
8,1.55965562347e+18,-5.719922543,1.395862222,6.208354473
9,1.55965562352e+18,-2.521171331,1.78134048,2.619336605
10,1.55965562357e+18,3.129317284,2.741444588,1.843591571
11,1.55965562362e+18,4.676018715,3.232270956,7.065505028
12,1.55965562368e+18,3.689577579,2.928198099,9.507665634
13,1.55965562373e+18,0.9720755816,1.345582485,6.663266659
14,1.55965562378e+18,5.499649048,0.1556278616,7.755055904
15,1.55965562383e+18,8.099831581,-0.1221080124,13.25231075
16,1.55965562388e+18,14.24354076,2.961717844,13.02724934
17,1.55965562394e+18,13.78384018,2.715107679,12.27065849
18,1.55965562399e+18,9.847652435,3.979284763,8.095043182
19,1.55965562404e+18,6.162863255,3.208328247,4.563488007
20,1.55965562409e+18,3.634509087,3.205934048,2.253012657
21,1.55965562414e+18,0.2681587934,2.846792698,-2.245829821
22,1.5596556242e+18,-4.948966026,3.201145411,-5.755836487
23,1.55965562425e+18,-3.419024467,-0.4716721475,-2.279349566
24,1.5596556243e+18,1.027143836,-0.5435003638,2.181184292
25,1.55965562435e+18,5.684008598,-4.656864643,11.03281784
26,1.5596556244e+18,8.868393898,-11.4949131,13.92510223
27,1.55965562446e+18,7.977723598,-25.44156456,7.558725357
28,1.55965562451e+18,15.9506588,-14.70802975,14.14776993
29,1.55965562456e+18,8.193208694,-8.59305191,10.47016335
30,1.55965562461e+18,5.985687256,-5.102199554,8.047157288
31,1.55965562466e+18,7.769421577,-3.325647593,6.76382637
32,1.55965562472e+18,7.348029613,-3.155654192,7.635342598
33,1.55965562477e+18,9.213169098,0.9529213905,9.3783741
34,1.55965562482e+18,9.897932053,-0.4980091453,3.438178539
35,1.55965562487e+18,4.925023079,-1.750214934,-1.075029373
36,1.55965562492e+18,-0.8523618579,-1.65444386,-2.909043789
37,1.55965562498e+18,-4.338426113,1.041509509,9.701601982
38,1.55965562503e+18,-3.974496126,4.963331699,-5.813299179
39,1.55965562508e+18,2.054287672,-1.86514008,6.732700825
40,1.55965562513e+18,18.60830307,-30.6203804,10.40312386
41,1.55965562518e+18,12.48853779,-12.32572651,8.889942169
42,1.55965562524e+18,5.691191196,-1.422199249,7.50844574
