,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
0,1.55965592405e+18,3.208328247,5.801327705,7.096630573
1,1.5596559241e+18,3.399870157,5.612180233,6.653689861
2,1.55965592416e+18,3.430995703,5.449369431,6.782980442
3,1.55965592421e+18,2.332023621,5.463735104,5.976109982
4,1.55965592426e+18,2.717501879,4.723904133,3.936187744
5,1.55965592431e+18,5.097411156,4.094210148,3.96491909
6,1.55965592436e+18,6.191594601,4.738269806,3.88111949
7,1.55965592442e+18,8.485309601,5.102199554,4.240260601
8,1.55965592447e+18,7.635342598,6.246663094,4.089421272
9,1.55965592452e+18,7.917866707,5.123748302,4.477293968
10,1.55965592457e+18,8.363202095,3.842811108,4.640104771
11,1.55965592462e+18,8.147717476,1.845985889,4.11336422
12,1.55965592468e+18,7.391126156,0.5339232683,4.671230316
13,1.55965592473e+18,9.790189743,-0.4309694767,6.691998005
14,1.55965592478e+18,7.199584484,-0.9194015265,6.502850533
15,1.55965592483e+18,10.20679379,-2.660039425,7.984906673
16,1.55965592488e+18,7.793364525,-2.253012657,5.913858891
17,1.55965592494e+18,7.154093266,-2.707924843,6.397502422
18,1.55965592499e+18,5.061496735,-2.33441782,4.778972626
19,1.55965592504e+18,4.771789551,-3.519583941,6.426233768
20,1.55965592509e+18,7.075081825,-5.473312378,7.285778046
21,1.55965592514e+18,7.201978683,-6.941002846,6.12694931
22,1.5596559252e+18,4.860377789,-7.355212212,6.012023926
23,1.55965592525e+18,6.337645531,-7.470137596,6.308914185
24,1.5596559253e+18,3.33043623,-6.069486618,5.150084972
25,1.55965592535e+18,3.24424243,-6.562707424,5.602602959
26,1.5596559254e+18,1.596981287,-6.826077461,4.146883965
27,1.55965592546e+18,2.533142805,-7.350423813,4.448562622
28,1.55965592551e+18,1.180377483,-7.410280704,3.292127848
29,1.55965592556e+18,1.525153041,-7.637736797,3.342407703
30,1.55965592561e+18,1.606558442,-3.835628271,4.829252243
31,1.55965592566e+18,1.65444386,-6.110189438,3.021574736
32,1.55965592572e+18,1.242628574,-8.806142807,2.631308079
33,1.55965592577e+18,3.033546209,-8.535589218,4.261809349
34,1.55965592582e+18,2.815667152,-7.355212212,5.166844845
35,1.55965592587e+18,2.705530643,-7.170853138,5.162056446
36,1.55965592592e+18,2.810878515,-8.684034348,4.065478802
37,1.55965592598e+18,5.09262228,-7.829278469,5.791750908
38,1.55965592603e+18,6.136526108,-8.949799538,4.776578426
39,1.55965592608e+18,8.650514603,-10.64255142,6.215537548
40,1.55965592613e+18,10.19482231,-11.73673534,4.106181145
41,1.55965592618e+18,9.756669998,-13.36723614,9.560338974
42,1.55965592624e+18,6.845231533,-15.93150425,10.66888809
43,1.55965592629e+18,14.09749031,-11.79659176,10.27383327
44,1.55965592634e+18,14.04721069,-9.799766541,9.96257782
45,1.55965592639e+18,5.676825523,-7.498868465,8.518829346
46,1.55965592644e+18,3.586623669,-6.079063892,7.927443981
47,1.5596559265e+18,5.300924301,-3.826051235,6.241874218
48,1.55965592655e+18,5.468523502,-2.470891714,5.734288216
49,1.5596559266e+18,3.955342054,-1.826831698,6.019207001
50,1.55965592665e+18,4.21631813,-2.430188894,5.34641552
51,1.5596559267e+18,4.103786945,-2.54511404,4.257020473
52,1.55965592676e+18,2.583422422,-2.882706881,5.09262228
53,1.55965592681e+18,1.757397652,-2.569056988,4.142095566
54,1.55965592686e+18,2.511594296,-2.600182533,4.13730669
