,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
0,1.55965624005e+18,6.016812801,1.290514112,8.377567291
1,1.5596562401e+18,7.594639778,1.271359921,9.024022102
2,1.55965624016e+18,10.72635078,-1.35755384,8.339259148
3,1.55965624021e+18,11.66730118,-5.265010357,6.931425571
4,1.55965624026e+18,14.10467243,-12.21080112,6.917059898
5,1.55965624031e+18,12.60825157,-11.08309841,4.585036278
6,1.55965624036e+18,10.31453609,-11.05915546,3.320859194
7,1.55965624042e+18,7.853221416,-9.081484795,2.499622822
8,1.55965624047e+18,5.233884811,-6.744672298,1.862745762
9,1.55965624052e+18,3.847599506,-5.679219723,2.020767927
10,1.55965624057e+18,5.166844845,-5.698374271,5.300924301
11,1.55965624062e+18,5.468523502,-6.833260536,7.618582249
12,1.55965624068e+18,7.807730198,-6.612987041,8.913885117
13,1.55965624073e+18,8.901913643,-2.209915638,12.07672215
14,1.55965624078e+18,7.529994488,-2.700742006,11.43984509
15,1.55965624083e+18,3.826051235,-3.000026226,9.328094482
16,1.55965624088e+18,0.8332076073,-1.834014535,6.833260536
17,1.55965624094e+18,-2.197944164,-0.2490045726,4.800520897
18,1.55965624099e+18,-3.658451796,-0.1747820675,4.38870573
19,1.55965624104e+18,-1.266571403,0.627300024,6.110189438
20,1.55965624109e+18,-2.43976593,-0.332804203,7.223526955
21,1.55965624114e+18,-3.442967176,-0.1173194647,6.759037971
22,1.5596562412e+18,-3.64887476,-0.7446194887,7.644919395
23,1.55965624125e+18,-4.036747456,-0.8044763207,8.74149704
24,1.5596562413e+18,-4.762212753,-0.7134938836,11.20281219
25,1.55965624135e+18,-6.624958515,0.7494080067,10.13975334
26,1.5596562414e+18,-7.309720993,2.640885115,8.169265747
27,1.55965624146e+18,-7.762238979,3.124528646,8.882759094
28,1.55965624151e+18,-5.636122704,1.50599885,8.758256912
29,1.55965624156e+18,-2.46131444,0.5578660369,10.98732662
30,1.55965624161e+18,-3.057488918,-0.668002665,10.76226521
31,1.55965624166e+18,0.8164477348,1.992036581,10.47255802
32,1.55965624172e+18,-4.836435318,2.26737833,8.087860107
33,1.55965624177e+18,-1.604164124,5.016005516,7.350423813
34,1.55965624182e+18,-3.830839634,3.24424243,7.312115192
35,1.55965624187e+18,-3.902667999,3.617749214,6.663266659
36,1.55965624192e+18,-4.247443676,4.053507328,6.9098773
37,1.55965624198e+18,-4.613767624,3.883513689,5.846818924
38,1.55965624203e+18,-5.044736862,3.553103924,6.864386082
39,1.55965624208e+18,-5.109382629,3.926610708,6.205960274
40,1.55965624213e+18,-4.982485771,3.708731651,6.603409767
41,1.55965624218e+18,-5.102199554,3.634509087,6.158074856
42,1.55965624224e+18,-4.992063046,3.787742853,6.967339516
43,1.55965624229e+18,-4.678412914,3.948159218,7.520417213
44,1.55965624234e+18,-4.826858044,3.926610708,7.850827217
45,1.55965624239e+18,-4.829252243,3.548315287,7.620976925
46,1.55965624244e+18,-4.913052082,3.033546209,7.781393051
47,1.5596562425e+18,-4.788549423,2.796513081,7.877163887
48,1.55965624255e+18,-4.989668846,2.602576733,8.102226257
49,1.5596562426e+18,-4.793338299,3.493247032,7.510839939
50,1.55965624265e+18,-4.901080608,3.620143414,7.618582249
51,1.5596562427e+18,-5.205153465,3.912245035,6.984099388
52,1.55965624276e+18,-5.159662247,3.730280161,6.933819771
53,1.55965624281e+18,-5.262616158,4.21871233,6.435810566
54,1.55965624286e+18,-5.401484013,4.170826912,6.675238132
55,1.55965624291e+18,-5.466129303,3.933793545,6.517216206
56,1.55965624296e+18,-5.351204395,3.871542454,6.811711788
57,1.55965624302e+18,-5.377541065,4.082238674,6.481301785
58,1.55965624307e+18,-5.435003757,4.271386147,6.574678421
59,1.55965624312e+18,-5.281770229,4.036747456,6.969734192
60,1.55965624317e+18,-5.123748302,3.665634632,6.272999763
61,1.55965624322e+18,-5.104593754,4.115758419,6.296942711
62,1.55965624328e+18,-5.253038883,4.122941017,7.048745155
63,1.55965624333e+18,-5.394300938,4.326454639,7.54914856
64,1.55965624338e+18,-5.365570068,4.448562622,7.850827217
65,1.55965624343e+18,-5.502043724,4.254626274,7.618582249
66,1.55965624348e+18,-5.135719299,4.130124092,7.429434776
67,1.55965624354e+18,-5.039948463,3.811685562,7.522811413
68,1.55965624359e+18,-4.968120098,3.620143414,7.276201248
69,1.55965624364e+18,-4.939388752,3.787742853,7.091842175
70,1.55965624369e+18,-4.913052082,4.156461239,6.342433929
71,1.55965624374e+18,-5.798933506,3.459727049,6.610592842
72,1.5596562438e+18,-5.684008598,3.258608103,6.414262295
73,1.55965624385e+18,-5.245856285,3.442967176,6.694392204
74,1.5596562439e+18,-4.400677204,3.75422287,6.900300026
