,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
0,1.55965655405e+18,-5.997658253,0.3567469418,5.554717541
1,1.5596565541e+18,-4.194769382,0.2394274771,5.87555027
2,1.55965655415e+18,2.770175934,2.245829821,4.419831276
3,1.5596565542e+18,5.684008598,2.190761566,4.486870766
4,1.55965655426e+18,8.851634026,2.930592299,5.370358467
5,1.55965655431e+18,9.761458397,2.894678354,3.548315287
6,1.55965655436e+18,8.554743767,1.393467903,1.640078187
7,1.55965655441e+18,1.355159521,-6.859597206,5.497254848
8,1.55965655446e+18,13.22836876,3.629720688,-0.6201171875
9,1.55965655451e+18,9.198803902,2.806090117,-6.023995399
10,1.55965655457e+18,12.99851799,2.892283916,-2.913832426
11,1.55965655462e+18,15.97460175,6.857203007,-5.016005516
12,1.55965655467e+18,23.27953339,3.644086361,2.106961727
13,1.55965655472e+18,19.97543526,4.671230316,2.882706881
14,1.55965655477e+18,13.9993248,2.746233225,1.132491946
15,1.55965655482e+18,7.951386452,1.448536277,-0.7901107073
16,1.55965655487e+18,3.969707727,1.106154919,1.836408734
17,1.55965655492e+18,0.05027977005,1.652049661,0.464489311
18,1.55965655497e+18,-0.1891477108,1.594586968,1.97288239
19,1.55965655502e+18,0.2035133541,1.834014535,2.030344963
20,1.55965655507e+18,-1.97288239,2.418217659,2.305686712
21,1.55965655513e+18,-4.089421272,3.701548815,7.470137596
22,1.55965655518e+18,-12.31375504,6.541158676,14.52367115
23,1.55965655523e+18,-22.35055542,8.868393898,17.47102356
24,1.55965655528e+18,-40.09692001,17.33694458,9.905115128
25,1.55965655533e+18,-33.42886353,5.138113976,-12.25868702
26,1.55965655538e+18,3.608172178,-0.7350423932,17.73199844
27,1.55965655543e+18,34.76965714,-66.21366882,-34.8247261
28,1.55965655548e+18,-1.204320192,-7.563514233,-18.29944229
29,1.55965655553e+18,8.844450951,-2.176395893,-12.73275375
30,1.55965655558e+18,-3.869148016,3.969707727,-0.8739103079
31,1.55965655564e+18,-5.291347504,9.941028595,-7.697593689
32,1.55965655569e+18,-2.513988495,1.283331275,-3.016786337
33,1.55965655574e+18,-4.987274647,-0.59378016,0.3591412306
34,1.55965655579e+18,-4.32406044,-3.672817469,-0.1221080124
35,1.55965655584e+18,-0.5818088055,-1.482056141,3.057488918
36,1.55965655589e+18,2.796513081,-2.956929445,2.523565531
37,1.55965655594e+18,7.374366283,-13.23794556,7.089447498
38,1.55965655599e+18,14.94745731,-30.37376976,11.89715195
39,1.55965655604e+18,20.52851295,-22.97067261,6.093429565
40,1.55965655609e+18,21.63706207,-17.5045433,11.84447765
41,1.55965655614e+18,15.91713905,-12.44065189,10.32171917
42,1.5596565562e+18,9.94821167,-9.004867554,7.776604652
43,1.55965655625e+18,9.17725563,-6.835654736,5.861184597
44,1.5596565563e+18,8.954587936,-7.283383846,5.231490612
45,1.55965655635e+18,7.577879906,-10.55396366,3.608172178
46,1.5596565564e+18,5.779779434,-13.2666769,2.561874151
47,1.55965655645e+18,3.20353961,-14.89478397,0.6416656375
48,1.5596565565e+18,1.391073704,-15.26829052,0.01675992459
49,1.55965655655e+18,0.06225114316,-11.3297081,-0.4261809289
50,1.55965655661e+18,0.6416656375,-9.828497887,0.612934351
51,1.55965655666e+18,-0.2370332032,-9.953000069,0.09816526622
52,1.55965655671e+18,-1.096577883,-8.624177933,1.958516836
53,1.55965655676e+18,-1.041509509,-7.556331158,2.837215662
54,1.55965655681e+18,0.967287004,-7.982511997,4.21871233
55,1.55965655686e+18,1.647261024,-9.330489159,4.084632874
56,1.55965655691e+18,4.168432236,-10.35523891,4.771789551
57,1.55965655696e+18,6.565101624,-9.768641472,5.648094177
58,1.55965655701e+18,10.71437931,-6.375953674,11.34886265
59,1.55965655706e+18,9.890748978,-7.020013809,6.069486618
60,1.55965655712e+18,4.917840481,-5.8516078,1.666415215
61,1.55965655717e+18,5.286558628,-2.645673752,5.169239521
62,1.55965655722e+18,6.012023926,-1.975276709,2.494834423
63,1.55965655727e+18,2.315263748,0.8547561169,-3.170019865
64,1.55965655732e+18,-1.309668303,4.204346657,-2.760598898
65,1.55965655737e+18,-2.633702278,4.106181145,-3.495641232
66,1.55965655743e+18,-1.130097747,7.000859737,4.980091572
67,1.55965655748e+18,15.83094501,5.930618763,15.97460175
68,1.55965655753e+18,12.15573311,8.727131844,16.88442612
69,1.55965655758e+18,13.51807594,12.6010685,11.68884945
70,1.55965655763e+18,7.810124397,7.101418972,1.800494671
71,1.55965655768e+18,3.409447432,6.308914185,3.538738251
72,1.55965655773e+18,0.943344295,2.059076309,3.450150013
73,1.55965655778e+18,-1.517970204,-1.798100352,-0.8332076073
74,1.55965655784e+18,-3.213116884,-4.903474808,-3.581835032
75,1.55965655789e+18,-0.05267404765,-5.739076614,-5.530774593
76,1.55965655794e+18,2.231464148,-11.19084072,-2.949746609
77,1.55965655799e+18,6.62016964,-16.39599419,0.8523618579
78,1.55965655804e+18,13.15414619,-24.71609879,10.45819283
