,Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
0,1.55965320005e+18,1.068357587,-1.991927743,0.8611507416
1,1.5596532001e+18,1.249173641,-2.093331337,1.111605644
2,1.55965320016e+18,2.90522933,-2.618064642,2.150076389
3,1.55965320021e+18,3.925374269,-2.569806099,3.153728008
4,1.55965320026e+18,5.036538124,-2.980918407,2.249036551
5,1.55965320031e+18,-0.1533729881,-0.2515726388,1.17269206
6,1.55965320036e+18,-3.819175243,0.4955155551,-0.7148815393
7,1.55965320042e+18,-5.67437315,-0.1110736281,-1.854756117
8,1.55965320047e+18,-5.49600029,3.251739502,-1.594527483
9,1.55965320052e+18,-4.265717983,6.208938122,-2.041680813
10,1.55965320057e+18,1.124557137,8.450202942,2.023016453
11,1.55965320062e+18,1.828273773,-1.263776422,1.871521831
12,1.55965320068e+18,3.111090899,-2.045073032,0.8165576458
13,1.55965320073e+18,2.901564121,-0.6858978271,0.9698848128
14,1.55965320078e+18,2.313300848,-2.104326963,-0.2573434711
15,1.55965320083e+18,1.191752315,-1.210631132,0.9943193793
16,1.55965320088e+18,1.067135692,-2.20817399,0.7976207733
17,1.55965320094e+18,1.203358769,-2.24482584,-0.06003400311
18,1.55965320099e+18,-0.01959350146,-0.01822211035,-0.3660774827
19,1.55965320104e+18,-1.982914448,-2.35722518,-1.685546398
20,1.55965320109e+18,-4.734251499,1.33179009,-1.465023994
21,1.55965320114e+18,-5.216224194,3.434998989,-0.5713281631
22,1.5596532012e+18,-3.533901453,4.232178211,-1.752130747
23,1.55965320125e+18,-1.893117189,2.422184467,1.322353959
24,1.5596532013e+18,0.5784435272,4.783178806,1.843422174
25,1.55965320135e+18,1.925401449,-1.47330308,0.2295161337
26,1.5596532014e+18,3.336500168,-0.1239017919,1.170859456
27,1.55965320146e+18,3.938202381,-1.389003634,2.800647974
28,1.55965320151e+18,4.321825504,-1.982764721,1.382829666
29,1.55965320156e+18,3.712182283,-2.589964867,-0.3233169317
30,1.55965320161e+18,2.304748774,0.1045618057,-0.3404211402
31,1.55965320166e+18,1.753137469,-0.1746036112,-0.5114634037
32,1.55965320172e+18,0.2076483667,0.6836620569,-0.6006497145
33,1.55965320177e+18,-1.199174285,-0.6009875536,-0.765583396
34,1.55965320182e+18,-1.803930879,-4.733490944,-0.5365089178
