,Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
0,1.55965351605e+18,3.422021151,-1.45314455,0.4023909867
1,1.5596535161e+18,3.604058981,-1.392058134,0.8434356451
2,1.55965351616e+18,3.613832951,-1.540498257,0.8519877791
3,1.55965351621e+18,2.961428881,-1.067077756,0.5606051087
4,1.55965351626e+18,1.547886729,-0.8202881217,0.03465010971
5,1.55965351631e+18,1.102565885,-0.260124743,0.1910316199
6,1.55965351636e+18,-0.6640563607,-0.2570704222,-0.4656485319
7,1.55965351642e+18,-3.434941053,0.5217827559,-1.180971622
8,1.55965351647e+18,-5.421474934,-0.1080192998,-1.985481143
9,1.55965351652e+18,-5.205228329,-0.06770219654,-1.604301333
10,1.55965351657e+18,-3.070865393,2.544357777,-0.7087728977
11,1.55965351662e+18,-1.405035853,2.95119381,-0.5811020732
12,1.55965351668e+18,0.5613393784,-0.09458027035,0.3046525717
13,1.55965351673e+18,1.833771586,0.3525730968,0.536781311
14,1.55965351678e+18,2.72624588,0.852871716,0.7279821634
15,1.55965351683e+18,3.135525465,-0.6865086555,0.6168046594
16,1.55965351688e+18,3.125140905,-0.9693393111,0.7120996714
17,1.55965351694e+18,2.527103662,-1.259500265,0.7224843502
18,1.55965351699e+18,1.369513988,-0.1526124626,0.8532095551
19,1.55965351704e+18,1.221684694,-0.221029371,1.560591459
20,1.55965351709e+18,-0.5785351992,-1.202689767,0.3577978313
21,1.55965351714e+18,-3.25717926,0.7239791751,-0.4131141007
22,1.5596535172e+18,-4.888800144,0.5920323133,-1.636677265
23,1.55965351725e+18,-5.407424927,-0.0958019942,-2.003807306
24,1.5596535173e+18,-2.869279861,2.727006435,-0.7399269938
25,1.55965351735e+18,-0.6781062484,3.091692924,-0.6195865273
26,1.5596535174e+18,1.000551462,2.044669867,1.296086788
27,1.55965351746e+18,1.894858122,0.1613722742,1.419481516
28,1.55965351751e+18,2.619344234,0.1564853489,1.017532229
29,1.55965351756e+18,2.751291275,-0.9791131616,0.6516240239
30,1.55965351761e+18,2.874075174,-1.337691069,0.3040416837
31,1.55965351766e+18,2.525270939,-0.9607871771,0.1568231732
32,1.55965351772e+18,2.265653372,-0.6553545594,-0.2836107016
33,1.55965351777e+18,1.643181682,0.4002205729,-0.1510529369
34,1.55965351782e+18,0.08242098987,-0.4348322153,-1.04902482
35,1.55965351787e+18,-2.072100878,0.1711461246,-1.384389877
36,1.55965351792e+18,-4.026258469,-0.2191967815,-2.056341648
37,1.55965351798e+18,-5.233328819,-0.221029371,-2.378267527
38,1.55965351803e+18,-3.737319231,0.8791388869,-1.543825626
39,1.55965351808e+18,-1.771555066,4.51378727,-1.094839692
40,1.55965351813e+18,-0.06052147225,1.367220163,-0.1754875332
41,1.55965351818e+18,1.100733399,0.4118270278,0.8428248167
42,1.55965351824e+18,2.018863678,-1.35051918,0.4005583823
43,1.55965351829e+18,2.337124586,-0.5154664516,0.4494276047
44,1.55965351834e+18,2.39210248,-0.5087468624,0.5691572428
45,1.55965351839e+18,2.095832825,-1.08906889,0.5056272149
46,1.55965351844e+18,1.916849375,-0.6168700457,0.3742912114
47,1.5596535185e+18,1.448926568,-0.5710551739,-0.0001692096703
48,1.55965351855e+18,1.235734582,-0.6938390732,-0.4094489217
49,1.5596535186e+18,0.2589610517,0.08257065713,-0.642799437
50,1.55965351865e+18,-1.125259638,0.8174415231,-0.8908107281
51,1.5596535187e+18,-3.177155972,1.691589713,-1.498621702
