,Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
0,1.55965381705e+18,-0.2236225009,-1.966882229,1.214231014
1,1.5596538171e+18,-0.0672409907,-2.167246103,1.529437423
2,1.55965381716e+18,0.177105099,-1.713373184,1.36511457
3,1.55965381721e+18,0.3194366992,-0.3932933509,1.089003563
4,1.55965381726e+18,0.5069723725,-0.5741094947,0.9533914328
5,1.55965381731e+18,0.3139389455,-1.586313248,0.6815564036
6,1.55965381736e+18,0.08058839291,-2.197178364,0.3345849216
7,1.55965381742e+18,-0.2388941199,-1.833102822,-0.3019366562
8,1.55965381747e+18,-0.6267935634,0.6079148054,-0.5304002762
9,1.55965381752e+18,-0.4313166738,1.782608628,-1.957381487
10,1.55965381757e+18,-0.3347999454,0.2566672266,-2.397204399
11,1.55965381762e+18,-0.7507991791,1.194345474,-3.149179459
12,1.55965381768e+18,-0.7043734193,1.621340156,-3.683075666
13,1.55965381773e+18,-0.6506173015,2.843681574,-3.427734137
14,1.55965381778e+18,-0.3311347663,3.976836681,-2.08566308
15,1.55965381783e+18,0.05859724805,1.8748492,-1.200519443
16,1.55965381788e+18,0.1099099293,-0.5673899651,-0.3208734691
17,1.55965381794e+18,0.3573103547,-0.7427083254,0.3571869433
18,1.55965381799e+18,0.5735566616,0.262775898,0.9888215661
19,1.55965381804e+18,0.4654335082,0.07951632887,1.012645364
20,1.55965381809e+18,0.4061795771,-0.8288402557,0.8593181968
21,1.55965381814e+18,0.2534632683,-1.68527329,0.5050163865
22,1.5596538182e+18,-0.004321871791,-0.988276124,0.05358693376
23,1.55965381825e+18,0.2980564237,-0.9552893639,0.4530928135
24,1.5596538183e+18,0.5002527833,-1.568598151,0.6613978148
25,1.55965381835e+18,0.8924282789,-0.4659863412,0.7389777303
26,1.5596538184e+18,1.120891929,1.316518426,1.232556939
27,1.55965381846e+18,1.075077057,1.82536912,1.46407485
28,1.55965381851e+18,1.088515997,1.108213425,1.520274401
29,1.55965381856e+18,0.6364757419,0.6378471851,1.33823657
30,1.55965381861e+18,-0.3622889221,-0.3737457097,1.308915019
31,1.55965381866e+18,-1.127092123,1.048959494,0.6094743013
32,1.55965381872e+18,-1.505828619,0.4839091301,0.285715729
33,1.55965381877e+18,-1.395872951,-0.3774108887,-0.6214191914
34,1.55965381882e+18,-2.239477873,-0.2656225264,-0.7442030907
35,1.55965381887e+18,-2.381198406,-1.62540853,-0.5517805219
36,1.55965381892e+18,-1.996964335,0.2395630181,0.1549905688
37,1.55965381898e+18,-1.075779557,-1.768961906,0.9772152305
38,1.55965381903e+18,-0.2077400088,-0.3908499181,2.32478404
39,1.55965381908e+18,0.9467952847,-1.775681376,3.642420053
40,1.55965381913e+18,2.115380526,-2.800102472,4.759692669
41,1.55965381918e+18,2.934550762,-4.36025238,4.429825783
42,1.55965381924e+18,3.224100828,-4.499529839,2.740783215
43,1.55965381929e+18,2.502669096,-3.439678431,1.559369802
44,1.55965381934e+18,1.11722672,-2.535597801,0.5887048841
45,1.55965381939e+18,-0.7446905375,-1.874641657,-0.5481153727
46,1.55965381944e+18,-2.728169918,-0.8654921651,-1.830932379
47,1.5596538195e+18,-4.919954777,-0.2240836918,-2.82725358
48,1.55965381955e+18,-5.413533688,-0.1880426556,-3.700790882
49,1.5596538196e+18,-8.753133774,-4.671182632,-2.33062005
50,1.55965381965e+18,-1.375103474,9.026248932,-1.514504194
51,1.5596538197e+18,-0.4074929059,1.177852035,2.838521481
52,1.55965381976e+18,-0.1271057874,0.8009482026,1.602130413
53,1.55965381981e+18,-0.5944177508,-1.519118071,0.136053741
54,1.55965381986e+18,-0.7410253286,0.0196515359,0.2087467015
55,1.55965381991e+18,-0.7220885754,1.030633569,-0.296438843
56,1.55965381996e+18,-0.7489666343,1.789938927,-0.4332726598
57,1.55965382001e+18,-0.4844619334,0.6928250194,-0.4259423018
58,1.55965382007e+18,-0.4111581147,-1.23811996,-0.5194046497
59,1.55965382012e+18,-0.2303420156,-2.216115236,-0.5163503289
60,1.55965382017e+18,-0.2578309774,-1.908850074,-0.2823889554
61,1.55965382022e+18,-0.1093906909,-1.040810585,0.005328577477
62,1.55965382027e+18,-0.0428063795,-0.2833376229,0.2515072823
63,1.55965382033e+18,-0.1582599133,0.1167791039,0.3516891897
64,1.55965382038e+18,-0.01226312015,0.1442680508,0.3394718766
65,1.55965382043e+18,-4.581489338e-05,0.2994278371,0.2985438704
66,1.55965382048e+18,-0.04586071149,0.2169610113,0.1128408611
67,1.55965382053e+18,-0.1326035708,0.1021183431,-0.03254506737
68,1.55965382059e+18,-0.3286913037,0.02392759174,-0.2268002182
69,1.55965382064e+18,-0.3274695873,0.06057950482,-0.2976605892
70,1.55965382069e+18,-0.2523331642,0.3189755082,-0.3746296167
71,1.55965382074e+18,-0.04708243906,1.496723771,-0.1425008029
72,1.55965382079e+18,0.3640298843,1.647607446,-0.04292977601
73,1.55965382085e+18,0.6841232181,1.15280652,0.202638045
74,1.5596538209e+18,0.9064782262,0.714816153,0.4622557759
75,1.55965382095e+18,1.055529356,0.6091364622,0.6949954033
76,1.559653821e+18,1.082407355,0.8027807474,0.9197938442
77,1.55965382105e+18,1.158765554,0.3825055063,1.001649737
78,1.55965382111e+18,1.182589412,0.4295421243,1.106718659
79,1.55965382116e+18,1.241232395,0.2163501382,1.236222029
80,1.55965382121e+18,1.318201423,0.2175718695,1.307082415
81,1.55965382126e+18,1.386007428,-0.2375227362,1.095112205
82,1.55965382131e+18,1.528339028,-0.05976094678,1.568532705
83,1.55965382137e+18,2.171580076,-0.9858326316,1.566089272
84,1.55965382142e+18,2.426921844,-0.8520531654,1.84830904
85,1.55965382147e+18,2.404930592,-1.504457235,1.536156893
86,1.55965382152e+18,1.860038877,-0.5698334575,0.8880288601
87,1.55965382157e+18,1.015823007,1.545592904,0.3620738685
88,1.55965382163e+18,0.472763896,1.830866933,-0.5187938213
89,1.55965382168e+18,0.2302503884,0.5504934192,-1.030698895
90,1.55965382173e+18,-0.04769330099,0.2090197653,-0.6336364746
91,1.55965382178e+18,-0.9365022779,-0.07808690518,0.5893157125
92,1.55965382183e+18,-0.4459774494,-0.7078889608,-0.9445669055
93,1.55965382189e+18,-1.913886547,0.3715099096,-0.1797636002
94,1.55965382194e+18,-2.083707333,-0.8349488974,-0.3923446834
95,1.55965382199e+18,-1.301799655,-2.532543421,0.4152191579
96,1.55965382204e+18,-0.0794582963,-2.821482658,1.056627631
97,1.55965382209e+18,0.9712299109,-3.255197048,1.888626099
98,1.55965382215e+18,1.822165132,-4.828175068,1.243552446
99,1.5596538222e+18,1.235123634,-7.018126965,-1.361787796
100,1.55965382225e+18,-0.7031517625,-5.199581146,-3.342212915
101,1.5596538223e+18,-2.497873783,1.112489462,-3.803416252
102,1.55965382235e+18,-1.934656024,2.301843882,-2.672704697
103,1.55965382241e+18,1.786734939,12.07263374,1.637560606
104,1.55965382246e+18,2.415926218,-2.459239721,2.153741598
105,1.55965382251e+18,2.464184523,-3.462891102,0.9338437319
106,1.55965382256e+18,1.373790145,0.07890546322,1.032193065
107,1.55965382261e+18,0.3756363094,1.421587229,1.092668653
108,1.55965382267e+18,-0.3775605559,1.906614304,0.5770984292
109,1.55965382272e+18,-1.030575395,1.177241206,-0.03437766433
110,1.55965382277e+18,-1.835695982,0.5993626714,-0.6263061166
111,1.55965382282e+18,-2.604164362,1.213893056,-1.158980608
112,1.55965382287e+18,-2.897990465,1.383713603,-1.567649364
113,1.55965382293e+18,-3.442882299,0.08257065713,-2.178514719
114,1.55965382298e+18,-3.971891642,-1.37373209,-2.392317533
115,1.55965382303e+18,-4.439814568,-1.094566703,-1.878579855
116,1.55965382308e+18,-4.246780872,1.168689132,-0.6177539825
117,1.55965382313e+18,-2.755048037,2.563905239,0.1409406513
118,1.55965382319e+18,-1.084331632,-0.2112555206,0.0242653992
119,1.55965382324e+18,0.2137570232,0.54682827,0.8012859821
120,1.55965382329e+18,1.29926455,0.5120089054,0.6681173444
121,1.55965382334e+18,1.764743924,1.240771174,0.8941375017
122,1.55965382339e+18,2.139815092,0.7856765985,0.8416031003
123,1.55965382345e+18,2.128819466,0.6213538051,0.9057439566
124,1.5596538235e+18,1.849043369,0.3641795218,1.087781787
125,1.55965382355e+18,1.603475451,-0.4696515203,1.186741948
126,1.5596538236e+18,1.403111696,-0.696893394,1.07006669
127,1.55965382365e+18,1.084850788,-0.449492991,1.119546771
128,1.55965382371e+18,0.7751421332,-0.009669996798,1.768896461
129,1.55965382376e+18,1.011547089,-0.9106962085,2.115257025
130,1.55965382381e+18,1.44831562,-1.361514807,2.168402433
131,1.55965382386e+18,1.596755981,-1.332193255,2.011409998
132,1.55965382391e+18,1.856984496,-1.813555002,1.489120245
133,1.55965382397e+18,1.182589412,-0.9241352677,0.7414212227
134,1.55965382402e+18,0.1001360863,2.868726969,2.109759331
135,1.55965382407e+18,0.331043154,6.136245251,6.198280334
136,1.55965382412e+18,1.103176713,-3.478162766,-0.05881227553
137,1.55965382417e+18,-0.9200088382,1.655548692,0.632076323
138,1.55965382423e+18,-1.441076875,1.386157155,-1.612853527
139,1.55965382428e+18,-1.511326432,-0.5961006284,-3.849231243
140,1.55965382433e+18,-2.33599472,2.09964776,-3.133908033
141,1.55965382438e+18,-2.375700712,-0.7469843626,-1.650727034
142,1.55965382443e+18,-0.7886728644,-0.7133867741,-0.6189756989
143,1.55965382449e+18,0.9797820449,-3.714567661,-0.3850143254
144,1.55965382454e+18,1.771463394,-4.470208168,-0.3899012506
145,1.55965382459e+18,1.123946309,-7.397474289,-2.410643578
146,1.55965382464e+18,-0.6548933983,-4.960122108,-3.991562843
147,1.55965382469e+18,-1.867460847,2.248698711,-4.610369205
148,1.55965382475e+18,-1.23704803,-0.04998710379,-3.130242586
149,1.5596538248e+18,0.5918826461,12.40250111,2.33822298
150,1.55965382485e+18,2.731132746,-4.055430412,3.06698513
151,1.5596538249e+18,2.59429884,-4.490366936,1.191628933
152,1.55965382495e+18,1.550330162,-2.144644022,1.211176515
153,1.55965382501e+18,-0.1662011594,0.5095654726,0.8483226299
154,1.55965382506e+18,-2.188775778,2.031841755,0.7444755435
155,1.55965382511e+18,-4.267550468,1.761839271,-0.3593579829
156,1.55965382516e+18,-5.478896141,2.724562645,-1.119274259
157,1.55965382521e+18,-5.292582512,2.438678026,-2.399037123
158,1.55965382527e+18,-4.758075237,0.4038857818,-2.45645833
159,1.55965382532e+18,-4.375062466,0.5168958902,-2.137586594
160,1.55965382537e+18,-3.251070499,2.700128078,-0.7955157757
161,1.55965382542e+18,-2.04155755,2.527864218,-0.874928236
162,1.55965382547e+18,-1.040349364,1.998854995,-0.2976605892
163,1.55965382553e+18,-0.2230116278,0.144878909,-0.1015728414
164,1.55965382558e+18,0.1483944356,0.1534310281,0.4347668588
165,1.55965382563e+18,0.3964057267,0.2212370634,0.9191829562
166,1.55965382568e+18,0.7122231126,-0.1678840965,1.259434938
167,1.55965382573e+18,1.005438328,-0.3713022172,1.430477142
168,1.55965382579e+18,1.26627779,-0.4067323804,1.629619241
169,1.55965382584e+18,1.49779582,-0.1550559253,1.783557296
170,1.55965382589e+18,1.798341393,-0.6791782975,1.819598436
171,1.55965382594e+18,2.117824078,-0.791577518,1.868467569
172,1.55965382599e+18,2.322463751,-1.12511003,1.926499724
173,1.55965382605e+18,3.112923622,-1.802559495,1.439640164
174,1.5596538261e+18,3.671865225,-1.750635982,0.6876650453
175,1.55965382615e+18,4.08114481,-1.292487025,-1.052079082
176,1.5596538262e+18,2.870409966,0.656783998,-1.516336799
177,1.55965382625e+18,1.814224005,2.605444193,-2.096658707
178,1.55965382631e+18,1.346912146,0.2890431285,-1.856588721
179,1.55965382636e+18,0.9089217186,-1.336469412,-0.8517153263
180,1.55965382641e+18,2.411650181,-1.716427445,1.110994577
181,1.55965382646e+18,2.824594975,-1.980321288,1.514165759
182,1.55965382651e+18,2.428143501,-10.06084633,2.260032177
183,1.55965382657e+18,-2.411130905,-1.359071255,-1.674550891
184,1.55965382662e+18,-3.332315683,1.443578362,-2.865127087
185,1.55965382667e+18,-3.381795883,0.8241610527,-2.639718056
186,1.55965382672e+18,-3.412950039,2.259083509,-2.14552784
187,1.55965382677e+18,-3.978610992,1.811319351,-2.251818657
188,1.55965382683e+18,-4.711038589,2.817414284,-2.113762856
189,1.55965382688e+18,-5.013416767,0.8204958439,-1.337964058
190,1.55965382693e+18,-4.159427166,-1.10861659,0.4592014551
191,1.55965382698e+18,-2.616992474,-1.735364199,1.950323462
192,1.55965382703e+18,-1.019579887,-2.868519306,3.386467695
193,1.55965382709e+18,0.6951188445,-3.828188658,4.57337904
194,1.55965382714e+18,2.401265383,-4.597878933,5.233724117
195,1.55965382719e+18,3.35543704,-5.730422974,4.391340733
196,1.55965382724e+18,3.238761663,-4.789079666,2.98757267
197,1.55965382729e+18,1.778182864,-3.579566479,1.740796804
198,1.55965382735e+18,0.02072360367,-5.856872082,-1.246334314
199,1.5596538274e+18,-3.092245579,-1.929008603,-2.673315525
200,1.55965382745e+18,-3.832003355,3.846722364,-4.862656593
201,1.5596538275e+18,0.7140556574,8.712264061,0.907576561
202,1.55965382755e+18,4.69689703,-2.627227545,3.955794096
203,1.55965382761e+18,4.295558453,-2.546593189,1.578917503
204,1.55965382766e+18,2.574751139,0.1638157368,1.935051918
205,1.55965382771e+18,1.073244333,0.3427992463,1.850141644
206,1.55965382776e+18,-0.1093906909,0.2817127407,0.8806985021
207,1.55965382781e+18,-1.844858885,1.304911971,0.1513253748
208,1.55965382787e+18,-3.343922138,2.107588768,-0.6043149233
209,1.55965382792e+18,-3.967615366,1.711748242,-1.699596286
210,1.55965382797e+18,-4.25044632,1.357446432,-1.678826928
211,1.55965382802e+18,-4.072684288,0.8400436044,-2.064282894
212,1.55965382807e+18,-3.990217447,1.17601943,-1.505952001
213,1.55965382813e+18,-4.008543491,1.240160227,-1.359955192
214,1.55965382818e+18,-3.749536514,1.304911971,-1.159591436
215,1.55965382823e+18,-3.024439812,2.016570091,-0.5029113293
216,1.55965382828e+18,-2.486267328,2.212046862,-0.3184300065
217,1.55965382833e+18,-1.640829802,1.000090241,-0.221913293
218,1.55965382839e+18,-0.9407783151,-0.3438133001,0.2789962292
219,1.55965382844e+18,-0.4771315753,-0.2460748404,0.6797237992
220,1.55965382849e+18,-0.2926502824,0.357460022,0.8739789724
221,1.55965382854e+18,0.06898195297,0.1815308183,0.4640883803
222,1.55965382859e+18,0.5540089607,0.1015074775,0.5477769375
223,1.55965382865e+18,1.123335361,0.3776185513,0.9356763363
224,1.5596538287e+18,1.480691552,0.3415775001,1.208122134
225,1.55965382875e+18,1.482524157,-0.3340394199,1.284480333
226,1.5596538288e+18,1.589425564,-1.027371407,1.041966915
227,1.55965382885e+18,1.745196223,-0.1513907313,1.317467213
228,1.55965382891e+18,1.836215138,-0.7921883464,1.79210937
229,1.55965382896e+18,2.03413558,-1.83737874,1.589302182
230,1.55965382901e+18,1.596145034,-0.9149723053,2.004079819
231,1.55965382906e+18,1.324920893,-0.9760588408,1.867245793
232,1.55965382911e+18,0.8539437652,-0.9424612522,1.962540746
233,1.55965382917e+18,0.7067252994,-0.8789312243,2.187950134
234,1.55965382922e+18,0.8759349585,-0.9717828035,2.320507765
235,1.55965382927e+18,0.9046456218,0.009266825393,2.468337059
236,1.55965382932e+18,1.207023978,1.546203732,2.203221798
237,1.55965382937e+18,0.4690986872,3.078864813,2.746891737
