,Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
0,1.55965411805e+18,0.03721696511,0.1149465069,0.03587184101
1,1.5596541181e+18,0.04699081182,0.2859887779,0.01388069056
2,1.55965411816e+18,0.01522581559,0.809500277,-0.01605170593
3,1.55965411821e+18,-0.4032168984,2.7856493,-0.1779309958
4,1.55965411826e+18,-0.982927978,4.940170765,-0.1296726316
5,1.55965411831e+18,-2.02567482,6.510705471,-0.6446320415
6,1.55965411836e+18,-2.134408951,7.632865429,-1.289705634
7,1.55965411842e+18,-0.9719324112,5.350061417,-1.804665208
8,1.55965411847e+18,-0.1655903012,1.15952611,-1.749687314
9,1.55965411852e+18,-0.5589874983,2.44112134,-1.492513061
10,1.55965411857e+18,-0.3256369829,4.147268295,-1.263438463
11,1.55965411862e+18,0.3542560339,1.650661707,-1.314140439
12,1.55965411868e+18,0.9394649267,-0.6064853668,0.324811101
13,1.55965411873e+18,1.348133802,-0.02066557109,2.261864662
14,1.55965411878e+18,2.474569321,-1.960162759,3.93441391
15,1.55965411883e+18,3.134303808,-2.863632441,5.065736294
16,1.55965411888e+18,3.312065363,-4.176382065,4.624691486
17,1.55965411894e+18,3.31573081,-4.520298958,2.735285282
18,1.55965411899e+18,1.454424262,-3.090874195,1.544098139
19,1.55965411904e+18,0.002397646196,-0.7188845277,1.197737575
20,1.55965411909e+18,-0.7892836928,1.384324431,1.252715468
21,1.55965411914e+18,-0.004321871791,-1.794618249,1.250882864
22,1.5596541192e+18,1.354242444,-4.211812019,0.9460610151
23,1.55965411925e+18,1.313925266,-3.390198231,0.718819201
24,1.5596541193e+18,0.4623791873,-1.323030233,0.718819201
25,1.55965411935e+18,-0.1747532785,0.853482604,0.68277812
26,1.5596541194e+18,-0.2718808651,1.295749068,0.2099684328
27,1.55965411946e+18,-0.03730859235,1.00375545,0.08290845901
28,1.55965411951e+18,0.05737552047,0.3880032599,-0.05026016012
29,1.55965411956e+18,-0.2352289259,-0.09702372551,-0.05636881292
30,1.55965411961e+18,-0.5327203274,0.4955155551,0.1843120903
31,1.55965411966e+18,-0.4465883076,-0.04937623441,-0.006888727192
32,1.55965411972e+18,-0.1619251072,0.2084088922,0.1891990155
33,1.55965411977e+18,0.1819920391,-0.2943331897,0.2289052606
34,1.55965411982e+18,0.6358649135,-1.224070072,0.1268907636
35,1.55965411987e+18,0.7195534706,-0.9119179845,0.3706260026
36,1.55965411992e+18,0.4458858073,-1.104951382,0.3296980262
37,1.55965411998e+18,0.0482125394,-2.136702776,-0.582934618
38,1.55965412003e+18,-0.5938068032,-3.746943712,-1.983037829
39,1.55965412008e+18,-2.806971788,-1.980321288,-3.676967144
40,1.55965412013e+18,-3.501525402,3.491198778,-5.368453026
41,1.55965412018e+18,-2.226038933,2.67630434,-0.5432283878
42,1.55965412024e+18,2.937605143,0.5223936439,2.696800709
43,1.55965412029e+18,2.108050108,-2.414646387,1.988808036
44,1.55965412034e+18,-1.020190835,5.197956085,0.1659861356
45,1.55965412039e+18,-1.637164712,0.314699471,-1.373394251
46,1.55965412044e+18,-1.771555066,0.3379123211,0.01632415131
47,1.5596541205e+18,-1.172907114,-0.5655573606,0.8904722929
48,1.55965412055e+18,-0.9407783151,-1.878306746,1.721248984
49,1.5596541206e+18,-1.13442266,-1.873419762,1.772561789
50,1.55965412065e+18,-1.430081248,-1.618078232,2.217271805
51,1.5596541207e+18,-1.144196391,-1.918013096,2.184895754
52,1.55965412076e+18,-0.9481087327,-0.9119179845,2.264308453
53,1.55965412081e+18,-0.4349818826,-0.8471662402,2.257588625
54,1.55965412086e+18,0.05065600201,0.08379238844,1.816544056
55,1.55965412091e+18,0.1404531896,0.5211718678,1.323575854
56,1.55965412096e+18,0.2271960676,0.7710158229,0.5703788996
57,1.55965412102e+18,0.3365409374,0.8082785606,-0.1266183108
58,1.55965412107e+18,0.1483944356,1.642720461,-0.687392652
59,1.55965412112e+18,-0.5394397974,3.833283186,-1.172419548
60,1.55965412117e+18,-0.8583114743,5.270038128,-2.132699728
61,1.55965412122e+18,-0.4136016071,4.654285908,-1.659279227
62,1.55965412127e+18,-0.5571548939,3.443551302,-2.569468498
63,1.55965412133e+18,-0.8784700036,3.711721182,-2.078943491
64,1.55965412138e+18,-0.8864113092,2.489990473,-1.563984275
65,1.55965412143e+18,-0.8027226925,0.991538167,-1.111333132
66,1.55965412148e+18,-0.7630164623,0.5547694564,-0.627527833
67,1.55965412153e+18,-0.7220885754,-0.1000780538,-0.882258594
68,1.55965412159e+18,-0.4270406067,-1.289432764,-1.341629267
69,1.55965412164e+18,-0.4129907191,-1.321197629,-1.44669807
70,1.55965412169e+18,-0.5858656168,-0.6205351949,-1.584142804
71,1.55965412174e+18,-0.8271573782,0.2652193606,-1.644618392
72,1.55965412179e+18,-1.049512386,1.234662533,-1.835208416
73,1.55965412185e+18,-0.821659565,1.354392052,-2.165075779
74,1.5596541219e+18,-0.6176305413,0.2010785043,-1.684324741
75,1.55965412195e+18,-0.5638744235,-0.1947621554,-1.295814395
76,1.559654122e+18,-0.4643034041,-0.4537690282,-1.017259836
77,1.55965412205e+18,-0.404438585,-0.2686768472,-0.7350401282
78,1.55965412211e+18,-0.4765206873,0.2817127407,-0.7570312619
79,1.55965412216e+18,-0.4545295835,0.9805425406,-0.7466465235
80,1.55965412221e+18,-0.4942358136,1.360500693,-0.7289314866
81,1.55965412226e+18,-0.494846642,1.187015057,-0.6183648705
82,1.55965412231e+18,-0.3470172584,0.5529369116,-0.2909410596
83,1.55965412237e+18,-0.1484860629,-0.1434494853,0.05908472091
84,1.55965412242e+18,0.02438879572,-0.2760072351,0.202638045
85,1.55965412247e+18,0.173439905,0.007434229832,0.2038597912
86,1.55965412252e+18,0.1545030922,0.259110719,0.1000126898
87,1.55965412257e+18,0.0347735025,0.3580708802,0.02487626486
88,1.55965412263e+18,-0.03119994141,0.3116451204,-0.04781670123
89,1.55965412268e+18,-0.0672409907,-0.05731748417,-0.08996640146
90,1.55965412273e+18,-0.02631301992,-0.4158953726,-0.07408390939
91,1.55965412278e+18,0.06104071066,-0.354808867,0.03709357232
92,1.55965412283e+18,0.1086882055,-0.01028086152,0.1323885471
93,1.55965412289e+18,0.1190729067,0.21573928,0.187366426
94,1.55965412294e+18,-0.02570215613,-0.08724988252,0.05358693376
95,1.55965412299e+18,-0.009819659404,-0.1214583367,0.02670885995
96,1.55965412304e+18,-0.02386956103,-0.05792835355,0.03587184101
97,1.55965412309e+18,-0.04830417037,-0.009669996798,-0.05820140988
