,Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
0,1.55965441905e+18,1.720150709,-0.8825964332,-0.8859238029
1,1.5596544191e+18,1.640127301,-2.034688234,-1.783895731
2,1.55965441916e+18,1.761689544,-0.7671428919,-1.800999999
3,1.55965441921e+18,1.691440105,-1.707264543,-0.933571279
4,1.55965441926e+18,1.649901271,-3.159902096,-0.3288146853
5,1.55965441931e+18,1.657842398,-2.312021017,0.1995837241
6,1.55965441936e+18,1.143493891,-2.427474499,0.124447301
7,1.55965441942e+18,-0.02692388557,-2.622340679,-0.4980243742
8,1.55965441947e+18,-1.037905931,0.07035334408,-0.4748114944
9,1.55965441952e+18,-3.432497501,1.04346168,-1.998920321
10,1.55965441957e+18,-5.304188728,0.5553803444,-1.543214798
11,1.55965441962e+18,-5.503942013,1.558421135,-2.578020573
12,1.55965441968e+18,-8.117834091,1.265816689,-4.452765942
13,1.55965441973e+18,1.772074223,5.850971222,0.6381850243
14,1.55965441978e+18,1.847210646,3.728825092,2.628384113
15,1.55965441983e+18,2.015809536,0.6170777678,1.038912654
16,1.55965441988e+18,2.814210415,-0.8587726951,3.838508129
17,1.55965441994e+18,2.658439636,-0.06281527132,3.686402559
18,1.55965441999e+18,0.6419735551,-6.404207706,4.033984661
19,1.55965442004e+18,-1.070892572,-6.048072815,1.668103814
20,1.55965442009e+18,-0.4801858962,-4.152558327,-1.444865465
21,1.55965442014e+18,-4.181418419,3.395903826,0.08962798119
22,1.5596544202e+18,-7.660906792,5.5974617,-1.888353586
23,1.55965442025e+18,-1.344560146,0.1925264001,-0.6037040949
24,1.5596544203e+18,-0.04952589795,5.533321381,-2.723406553
25,1.55965442035e+18,0.9309128523,2.406301975,-0.6116453409
26,1.5596544204e+18,2.280925035,-0.8025730848,0.9649978876
27,1.55965442046e+18,3.093375683,-0.2992201149,1.830593824
28,1.55965442051e+18,2.552760124,0.09723142534,2.208719492
29,1.55965442056e+18,1.222906351,-1.76468575,0.4518710673
30,1.55965442061e+18,1.152656913,0.5504934192,1.420092583
31,1.55965442066e+18,0.8130158186,-0.6590197682,-0.1363921613
32,1.55965442072e+18,0.5063614845,1.182128072,1.184909463
33,1.55965442077e+18,2.239997149,-5.724925518,1.608849883
34,1.55965442082e+18,-5.109322548,-3.787871599,-1.601857901
35,1.55965442087e+18,-7.904031277,2.26213789,-2.419195652
36,1.55965442092e+18,0.7971333265,4.70620966,-0.2567326128
37,1.55965442098e+18,-1.21383512,2.416686773,2.037677288
38,1.55965442103e+18,-0.9096241593,-2.238106489,-0.3880686462
39,1.55965442108e+18,2.410428524,-1.919234753,0.5221205354
40,1.55965442113e+18,3.757997036,2.019624472,3.534908056
41,1.55965442118e+18,3.987071514,1.011696696,4.616750717
42,1.55965442124e+18,2.979144096,-1.104951382,4.939898014
43,1.55965442129e+18,2.132484913,-4.063371658,3.756652117
44,1.55965442134e+18,1.588203907,-2.401207447,2.221547604
45,1.55965442139e+18,0.6456387043,-0.001117883483,-1.192578077
46,1.55965442144e+18,-6.076322079,-0.7219388485,-1.981205225
