,Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
0,1.55965472005e+18,-1.971918821,0.9151799679,2.079826832
1,1.5596547201e+18,-1.734292269,-1.129996777,2.117089748
2,1.55965472016e+18,-1.014693022,-1.167870522,2.48421979
3,1.55965472021e+18,-0.5339420438,0.1876394749,2.128085136
4,1.55965472026e+18,-0.5339420438,1.21572566,1.154976964
5,1.55965472031e+18,-0.2932611406,0.7087075114,0.6247459054
6,1.55965472036e+18,-0.03730859235,0.3678447306,0.02243280411
7,1.55965472042e+18,0.7433772087,2.361708879,0.1769817024
8,1.55965472047e+18,0.1868789494,-0.791577518,0.9185721278
9,1.55965472052e+18,-0.4056603312,-3.164178133,0.9026896358
10,1.55965472057e+18,-1.511326432,-3.608887911,0.2460094839
11,1.55965472062e+18,-4.698210239,0.9029626846,-1.499232531
12,1.55965472068e+18,-5.90650177,1.988470197,-1.4864043
13,1.55965472073e+18,-4.943778515,0.03492316604,-2.355665445
14,1.55965472078e+18,-2.376311541,2.365374088,0.5722115636
15,1.55965472083e+18,0.7763639092,2.72273016,-0.331869036
16,1.55965472088e+18,1.304762363,1.690367937,0.2118010223
17,1.55965472094e+18,1.953501225,1.057511568,0.8330509663
18,1.55965472099e+18,2.470904112,0.4313747287,1.263710976
19,1.55965472104e+18,2.626674891,0.4344290495,2.12686348
20,1.55965472109e+18,2.602240324,-0.7378213406,1.687040687
21,1.55965472114e+18,2.478845358,-1.22468102,0.6956063509
22,1.5596547212e+18,1.293766737,-1.253391623,-0.05392535031
23,1.55965472125e+18,1.029262066,-0.0402132608,-0.09607505053
24,1.5596547213e+18,0.6523582935,-1.075019002,0.8012859821
25,1.55965472135e+18,-2.299953461,-4.864827156,0.8532095551
26,1.5596547214e+18,-4.315197945,-0.05976094678,-1.347737908
27,1.55965472146e+18,-5.388488293,2.696463108,-2.139419079
28,1.55965472151e+18,-4.947443485,-3.660200596,-1.259773374
29,1.55965472156e+18,-0.8858004212,2.678137064,-0.3092670143
30,1.55965472161e+18,-0.3427412212,3.921247721,2.694357395
31,1.55965472166e+18,0.9290801883,0.07890546322,1.472015977
32,1.55965472172e+18,1.126389623,1.375161529,2.312566757
33,1.55965472177e+18,1.720761538,-0.02555249445,2.917934179
34,1.55965472182e+18,2.499003887,1.234051585,2.909992933
35,1.55965472187e+18,1.63035357,-1.442759871,3.931970358
36,1.55965472192e+18,0.7097796202,-2.905782223,3.688235044
37,1.55965472198e+18,0.3927405477,0.3446318507,3.361422062
38,1.55965472203e+18,0.3762471676,-1.938171625,3.220923424
39,1.55965472208e+18,-1.402592421,-4.167218685,1.687040687
40,1.55965472213e+18,-3.029326677,4.578538895,-0.2432935834
41,1.55965472218e+18,-3.79718399,0.7264226079,-1.1284374
42,1.55965472224e+18,-5.551589489,-1.033480048,-1.882244945
43,1.55965472229e+18,-5.573580265,2.56024003,-3.110084295
44,1.55965472234e+18,-1.417253137,3.262735128,-0.9702231884
45,1.55965472239e+18,1.112950683,3.718440771,0.1849229634
46,1.55965472244e+18,1.32919693,-0.02738508955,1.382829666
47,1.5596547225e+18,1.708544254,-1.26805234,1.688262343
48,1.55965472255e+18,1.819721818,-0.2570704222,1.790276885
49,1.5596547226e+18,1.370124936,-0.3254873455,1.633895278
50,1.55965472265e+18,0.9700081944,-0.3370937705,1.779892087
51,1.5596547227e+18,0.8264548182,-2.528878212,2.147633076
52,1.55965472276e+18,0.2131461501,-3.090263367,1.516609311
53,1.55965472281e+18,1.343246818,-1.789731264,1.067623258
54,1.55965472286e+18,0.4886463881,0.4606962204,1.966206074
55,1.55965472291e+18,-2.367759466,-2.798880577,-0.03071247041
56,1.55965472296e+18,-4.852759361,0.9964250326,-0.9231866002
57,1.55965472302e+18,-6.738500595,0.6586166024,-1.680659533
58,1.55965472307e+18,-6.050665855,0.5932540298,-1.824823737
59,1.55965472312e+18,-1.24071312,3.675679922,0.1476601809
60,1.55965472317e+18,1.207023978,5.167413235,0.2270726562
61,1.55965472322e+18,2.867966652,3.157666206,1.907562971
62,1.55965472327e+18,3.19661212,1.780165195,3.012618065
63,1.55965472333e+18,2.91866827,-1.354795337,4.046813011
64,1.55965472338e+18,2.444026232,-3.600946665,3.621650934
65,1.55965472343e+18,2.181354046,-2.327903509,2.879449368
66,1.55965472348e+18,2.07078743,-1.552104712,1.430477142
67,1.55965472353e+18,0.7366576791,-2.626005888,-0.1449442804
68,1.55965472359e+18,0.6089867949,-1.622965097,-1.633622885
69,1.55965472364e+18,-4.483797073,-3.452506542,-4.031879902
70,1.55965472369e+18,-4.523502827,1.083778858,-5.204130173
71,1.55965472374e+18,-5.827700138,3.273119926,-4.475978851
72,1.55965472379e+18,-5.502109051,2.246866226,-4.625640392
73,1.55965472385e+18,-2.01223588,3.885206699,-3.727058172
74,1.5596547239e+18,2.466627836,5.456352234,-0.009332188405
75,1.55965472395e+18,1.827662945,2.19616437,3.183660507
76,1.559654724e+18,2.502669096,-0.9638414979,2.128085136
77,1.55965472405e+18,3.235707283,-0.5875484943,2.88800168
78,1.55965472411e+18,3.164846897,-1.621132612,2.641823053
79,1.55965472416e+18,2.593077183,-1.222848415,2.101818085
80,1.55965472421e+18,2.18685174,-0.2332466692,1.55020678
81,1.55965472426e+18,1.546054125,-0.7879123092,1.695592642
82,1.55965472431e+18,1.988931417,-2.0395751,1.230724216
83,1.55965472437e+18,-0.5712048411,0.6378471851,0.9912650585
84,1.55965472442e+18,-3.477701664,-2.762839556,-1.06246388
85,1.55965472447e+18,-6.366483212,2.610331059,-2.891394615
86,1.55965472452e+18,-6.968185425,-0.8441119194,-2.847412109
87,1.55965472457e+18,-3.553448915,1.49061501,-3.166894436
88,1.55965472463e+18,0.4709312618,6.340885162,1.622288942
89,1.55965472468e+18,1.216797709,2.838794708,1.289367318
90,1.55965472473e+18,2.134928226,-0.8764877915,2.110370159
91,1.55965472478e+18,2.523438454,0.1827525496,2.875173569
92,1.55965472483e+18,2.564366341,-1.299206495,2.64304471
93,1.55965472489e+18,2.668824434,-0.4146736562,2.161682844
94,1.55965472494e+18,2.061624289,-1.120833874,1.760344505
95,1.55965472499e+18,1.404333353,-0.150169,2.071274996
96,1.55965472504e+18,0.5259091854,-0.8276185393,2.429852724
97,1.55965472509e+18,0.582108736,-6.391990185,1.016310573
