,Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
0,1.55965502105e+18,-2.108141899,0.9335058928,-1.190134764
1,1.5596550211e+18,-1.830198169,-0.4946970046,0.03587184101
2,1.55965502115e+18,-1.249876142,-1.199024677,0.8532095551
3,1.5596550212e+18,-0.5107291341,-2.387768269,1.109162092
4,1.55965502126e+18,-0.02753474936,-4.069480419,1.349843025
5,1.55965502131e+18,1.213743448,-7.458560944,0.4714187682
6,1.55965502136e+18,0.03355177492,-4.449438572,-2.758225918
7,1.55965502141e+18,-0.4331492484,1.678150654,-4.519350052
8,1.55965502146e+18,0.4428314865,-6.85807991,-2.097880363
9,1.55965502151e+18,2.178299665,1.361722589,-2.045346022
10,1.55965502157e+18,1.881419182,4.879084587,3.567894697
11,1.55965502162e+18,1.131276608,3.702558041,3.343096256
12,1.55965502167e+18,-0.2688265145,2.273133516,2.440237522
13,1.55965502172e+18,-0.7611839175,0.4197682738,2.274692774
14,1.55965502177e+18,-1.214445949,0.4759678543,1.173303008
15,1.55965502182e+18,-1.618227959,3.267011166,-0.0575905405
16,1.55965502187e+18,-2.314614296,5.545538425,-1.465634942
17,1.55965502192e+18,-2.229093075,5.900451183,-2.905444384
18,1.55965502198e+18,-0.6316804886,6.397696018,-3.162618637
19,1.55965502203e+18,0.8973152637,5.383048534,-4.314099789
20,1.55965502208e+18,1.581484199,3.081918955,-3.77165103
21,1.55965502213e+18,1.288269043,1.766726255,-3.070377827
22,1.55965502218e+18,1.158154607,1.239549398,-2.023965836
23,1.55965502223e+18,1.12700057,0.7386399508,-0.8199504018
24,1.55965502228e+18,1.359129429,0.7875091434,0.3339740932
25,1.55965502233e+18,1.254671335,0.9359493852,1.734688163
26,1.55965502238e+18,0.9138085842,0.2261239886,3.140899897
27,1.55965502244e+18,0.6126520634,-0.09213680029,4.508626938
28,1.55965502249e+18,0.5613393784,0.02881451324,4.427382469
29,1.55965502254e+18,-0.157038182,-1.765296698,4.462812424
30,1.55965502259e+18,-0.4160450399,-3.117752552,3.595994473
31,1.55965502264e+18,-0.5712048411,-4.709667206,1.761566162
32,1.55965502269e+18,-0.6793279648,-4.995552063,-0.2322980016
33,1.55965502274e+18,-0.8674744964,-1.527059317,-1.023979425
34,1.55965502279e+18,-0.640843451,2.650037289,1.444527149
35,1.55965502284e+18,-1.95909071,2.888885498,2.406639814
36,1.55965502289e+18,-3.105073929,-0.1513907313,-1.121106982
37,1.55965502295e+18,-1.974973202,2.931646347,0.1549905688
38,1.559655023e+18,-1.666486263,1.218169212,0.3015982509
39,1.55965502305e+18,-1.221165419,-0.9650632143,0.6045873761
40,1.5596550231e+18,-0.6066350341,-1.953443289,1.062736273
41,1.55965502315e+18,0.9926102161,-4.73776722,1.05051899
42,1.5596550232e+18,2.202123404,-8.103633881,-0.6409668326
43,1.55965502325e+18,0.7348250747,-4.417674065,-4.874263287
44,1.5596550233e+18,1.177091599,2.508927584,-3.742329597
45,1.55965502335e+18,0.4605465829,-2.787274122,-1.996476769
46,1.5596550234e+18,0.5680588484,-0.8367815614,-1.349570513
47,1.55965502346e+18,0.9223607183,2.724562645,1.432920694
48,1.55965502351e+18,0.0408821553,3.216309309,1.749348879
49,1.55965502356e+18,-1.242545724,2.369650126,1.767674804
50,1.55965502361e+18,-1.417863965,1.98724854,1.359616876
51,1.55965502366e+18,-1.5748564,2.23892498,-0.2377957851
52,1.55965502371e+18,-1.999407768,4.092289925,-1.292149186
53,1.55965502376e+18,-1.373270869,4.96765995,-2.498608112
54,1.55965502382e+18,-1.135644317,4.71231842,-4.215750694
55,1.55965502387e+18,-0.1979661584,3.260902643,-4.672066212
56,1.55965502392e+18,0.2522415221,3.087416649,-4.938403606
57,1.55965502397e+18,0.2052049041,2.7361691,-3.65497613
58,1.55965502402e+18,-0.0928973332,1.952429175,-2.912163734
59,1.55965502407e+18,-0.2700482607,0.3672338426,-2.275642395
60,1.55965502412e+18,0.181381166,0.5700411201,-0.5609434843
61,1.55965502418e+18,0.416564256,0.7661288381,1.105496883
62,1.55965502423e+18,0.4245055318,1.274368763,2.51415205
63,1.55965502428e+18,0.1086882055,0.4344290495,3.533075333
64,1.55965502433e+18,-0.2309528738,0.7484137416,4.371182442
65,1.55965502438e+18,-0.5064530969,-1.65839529,4.486025333
66,1.55965502444e+18,-0.3384651542,-1.431764245,4.439599514
67,1.55965502449e+18,-0.5180595517,-3.569181919,3.728552341
68,1.55965502454e+18,-0.4062712193,-4.591770172,2.581347466
69,1.55965502459e+18,0.09647089243,-2.326681852,1.396268845
70,1.55965502464e+18,0.433057636,0.939003706,1.306471586
71,1.55965502469e+18,-0.05807801336,2.023900509,1.181244135
72,1.55965502474e+18,-2.275518894,0.7490246296,0.5984787345
73,1.5596550248e+18,-6.006072521,-3.619883537,1.706588268
74,1.55965502485e+18,-4.669499397,3.752038002,-1.469300151
75,1.5596550249e+18,-1.979249239,5.758119583,0.08290845901
76,1.55965502495e+18,-1.786215782,-0.9791131616,0.01754588261
77,1.559655025e+18,-1.206504583,-0.216753304,0.7194300294
78,1.55965502505e+18,-1.036073208,-1.434818625,0.9503371119
79,1.5596550251e+18,-0.2663830519,-2.817206621,1.25882411
80,1.55965502515e+18,0.8166810274,-5.551439285,0.5887048841
81,1.5596550252e+18,1.685942292,-9.843379021,-0.874928236
82,1.55965502525e+18,0.9156411886,-8.453660011,-5.255443096
83,1.55965502531e+18,0.07814493775,-1.480633497,-6.865683556
84,1.55965502536e+18,-0.5602092147,-0.6913956404,-4.663514614
85,1.55965502541e+18,-0.1527621299,-4.017556667,-1.447919846
86,1.55965502546e+18,2.324907303,4.076407909,1.188574553
87,1.55965502551e+18,0.6761820316,4.367790699,2.198334694
88,1.55965502556e+18,-0.5889199376,3.140562057,1.591134787
89,1.55965502561e+18,-0.9902583361,2.232816458,1.638171434
90,1.55965502566e+18,-0.7978358269,1.510162711,0.9491153359
91,1.55965502571e+18,-1.096548915,2.311617851,0.1146734506
92,1.55965502576e+18,-1.554697871,3.252961159,-1.007485986
93,1.55965502582e+18,-1.728794456,4.499126434,-2.412476063
94,1.55965502587e+18,-1.499719977,4.637793064,-3.320221901
95,1.55965502592e+18,-0.2511114478,5.864409924,-3.216985703
96,1.55965502597e+18,0.4666552544,4.846708298,-2.865127087
97,1.55965502602e+18,0.7458207011,2.639652491,-2.063672066
98,1.55965502607e+18,1.037203312,1.708083153,-1.629957676
99,1.55965502612e+18,0.1373988688,-0.9070310593,-0.7741354704
100,1.55965502617e+18,-0.1509295404,-2.930827618,-1.149206758
101,1.55965502623e+18,-0.2425593138,-3.140354395,-0.2170263678
102,1.55965502628e+18,-0.2382832617,-0.6993368268,0.1415515244
103,1.55965502633e+18,0.2870608568,0.8608129621,0.521509707
104,1.55965502638e+18,0.6114302874,1.497334599,0.6919410825
105,1.55965502643e+18,0.7079470158,2.544357777,1.270430565
106,1.55965502648e+18,0.3548668921,2.356211185,1.797607183
107,1.55965502653e+18,-0.07823656499,-0.6742913723,2.17939806
108,1.55965502658e+18,-0.2352289259,-1.154431462,2.181841612
109,1.55965502664e+18,-0.2914285362,-0.7824145555,1.457966208
110,1.55965502669e+18,0.1868789494,-0.1477255374,-0.1089032218
