,Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
0,1.55965532205e+18,-0.09595166147,0.1381593943,-0.1290617883
1,1.5596553221e+18,-0.03547599912,-0.06586959958,-0.02032776177
2,1.55965532216e+18,-0.04952589795,-0.03105027974,-0.1712114662
3,1.55965532221e+18,-0.1045037657,0.1265529543,-0.3275929987
4,1.55965532226e+18,-0.1655903012,0.1613722742,-0.3813491166
5,1.55965532231e+18,-0.2535548806,0.4264878035,-0.5707173347
6,1.55965532236e+18,-0.1185536757,1.418532968,-0.9121910334
7,1.55965532242e+18,-0.1020603105,1.445410967,-1.071015954
8,1.55965532247e+18,-0.08739954233,3.785024881,-1.202962875
9,1.55965532252e+18,0.1227381006,3.132620811,-1.218234539
10,1.55965532257e+18,0.1716073155,2.674471855,-1.622627378
11,1.55965532262e+18,0.3793015182,0.1693135202,-1.573758006
12,1.55965532268e+18,0.0592081137,1.405704856,-1.477852345
13,1.55965532273e+18,0.0421038866,2.3782022,-0.9341821671
14,1.55965532278e+18,-0.06357580423,3.334817171,-0.2463479042
15,1.55965532283e+18,-0.1258840561,2.677526236,1.029749632
16,1.55965532288e+18,-0.3280804455,1.220612526,0.7347016335
17,1.55965532294e+18,0.1349553913,-1.98642993,0.3077068925
18,1.55965532299e+18,0.1917658746,-3.191056252,0.009604634717
19,1.55965532304e+18,0.6157063842,-3.021846533,-0.4296074808
20,1.55965532309e+18,1.390283465,-1.655951738,-1.326357722
21,1.55965532314e+18,1.011547089,-0.5484531522,-0.5749934316
22,1.5596553232e+18,0.815459311,-3.589340448,-1.104613543
23,1.55965532325e+18,1.072633505,-1.496515989,-1.114998341
24,1.5596553233e+18,0.7769747972,-1.990705967,-0.532232821
25,1.55965532335e+18,0.6028781533,-2.451909065,-0.3300364316
26,1.5596553234e+18,0.4611574411,-1.333415031,-0.206030786
27,1.55965532346e+18,0.369527638,-1.619910717,-0.1577724516
28,1.55965532351e+18,0.1563356966,-0.9271895885,-0.1082923561
29,1.55965532356e+18,0.1282358915,-0.2753964067,-0.3544710279
30,1.55965532361e+18,0.05065600201,-0.6724588275,-0.07958168536
31,1.55965532366e+18,-0.1069472358,-0.1251235306,-0.1027945727
32,1.55965532372e+18,-0.2144595236,0.1491549611,-0.07530563325
33,1.55965532377e+18,-0.03119994141,0.1314398795,-0.2439044565
34,1.55965532382e+18,0.1276250184,0.981764257,-0.3892903626
35,1.55965532387e+18,0.3041650653,0.5315566659,-0.3153756857
36,1.55965532392e+18,0.08181012422,-0.3713022172,-0.1852613837
37,1.55965532398e+18,0.0115606254,-0.04387845099,-0.2170263678
38,1.55965532403e+18,0.2039831728,0.3751751184,-0.5163503289
39,1.55965532408e+18,-0.2101834565,0.125331223,-0.5927084684
40,1.55965532413e+18,-0.742247045,1.12653935,-0.8541588187
41,1.55965532418e+18,-0.9407783151,0.9762665033,-1.00931859
42,1.55965532424e+18,-1.294469237,0.8797498345,-0.5688847899
43,1.55965532429e+18,-1.232771873,0.8253828287,-0.5285676122
44,1.55965532434e+18,-0.983538866,0.4729135334,-0.3660774827
45,1.55965532439e+18,-0.7398036718,0.3800620437,-0.2243567556
46,1.55965532444e+18,-0.397108227,0.5132306814,-0.2671173215
47,1.5596553245e+18,-0.2889850736,0.1503766924,-0.2799454927
48,1.55965532455e+18,-0.1778075993,-0.1807122678,-0.1278400421
49,1.5596553246e+18,-0.003711006371,0.09234450012,-0.09790764749
50,1.55965532465e+18,0.3212693036,0.2010785043,-0.1541072577
51,1.5596553247e+18,0.4581031203,0.2059654444,0.03648270294
52,1.55965532476e+18,0.5033071637,0.005601634271,0.1085648015
53,1.55965532481e+18,0.3640298843,0.02026239969,0.3309197426
54,1.55965532486e+18,0.1752725095,-0.3493110538,0.4567579925
55,1.55965532491e+18,-0.117331937,0.5004025102,-0.006277862005
