,Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
0,1.55965592405e+18,0.03049744852,0.04469700903,0.09818009287
1,1.5596559241e+18,0.04271475226,0.04164268449,0.1696513146
2,1.55965592416e+18,0.1502270401,0.2798801363,0.3620738685
3,1.55965592421e+18,0.3493691087,0.7117618322,0.7554710507
4,1.55965592426e+18,0.4080121815,0.8082785606,1.152533412
5,1.55965592431e+18,0.712833941,1.421587229,1.669936419
6,1.55965592436e+18,1.103176713,2.023289442,2.600894928
7,1.55965592442e+18,1.583927751,1.238327742,3.182438612
8,1.55965592447e+18,2.035968065,1.00375545,3.297281504
9,1.55965592452e+18,2.420813322,0.8638672829,3.595994473
10,1.55965592457e+18,2.282757521,1.664711714,3.417621851
11,1.55965592462e+18,1.977324963,1.015361905,3.322326899
12,1.55965592468e+18,2.057959318,0.144878909,2.877616882
13,1.55965592473e+18,1.5741539,1.807654023,2.826304197
14,1.55965592478e+18,1.263834357,1.573081851,2.877006054
15,1.55965592483e+18,1.160598159,0.9909272194,3.216647148
16,1.55965592488e+18,1.028040409,1.500388861,3.492147446
17,1.55965592494e+18,0.7244403958,0.8149980903,3.713891506
18,1.55965592499e+18,0.9070890546,0.5254479647,3.142121553
19,1.55965592504e+18,0.5686697364,1.232218981,3.19282341
20,1.55965592509e+18,0.1477835625,1.05995512,2.949088097
21,1.55965592514e+18,-0.4221536815,0.5559912324,3.030333281
22,1.5596559252e+18,-0.6475629807,0.1742004454,3.336987495
23,1.55965592525e+18,-0.5345529318,-0.7023911476,3.048659086
24,1.5596559253e+18,-0.529665947,-0.9565110803,2.878838539
25,1.55965592535e+18,-0.6200740337,-1.448868513,2.718181133
26,1.5596559254e+18,-0.3482390046,-0.1446712166,2.0505054
27,1.55965592546e+18,-0.3855017722,-0.2124772668,1.388327479
28,1.55965592551e+18,-0.196133554,0.262775898,0.9845455885
29,1.55965592556e+18,-0.14115569,-0.6199243665,0.5202879906
30,1.55965592561e+18,-0.2211790383,0.2817127407,0.324200213
31,1.55965592566e+18,-0.2920393944,-0.003561344463,0.08718451858
32,1.55965592572e+18,-0.6066350341,-0.2460748404,-0.4210553467
33,1.55965592577e+18,-0.2627178729,1.289029598,-1.149817586
34,1.55965592582e+18,-0.04036292434,0.7868982553,-1.099115849
35,1.55965592587e+18,0.08975137025,-0.6736805439,-0.3550819159
36,1.55965592592e+18,0.2229200006,-0.2882245481,-0.6592927575
37,1.55965592598e+18,0.7659791708,0.006823364645,-1.119274259
38,1.55965592603e+18,0.9718407989,0.1986350566,-0.8706521392
39,1.55965592608e+18,1.143493891,-0.5545617938,-0.6305821538
40,1.55965592613e+18,0.9229715466,-0.885650754,-0.3544710279
41,1.55965592618e+18,0.6438061595,-1.787287831,-0.0007800749154
42,1.55965592624e+18,0.1410640627,-1.316310763,-0.4509877563
43,1.55965592629e+18,-1.060507894,0.06607729197,-0.8700413108
44,1.55965592634e+18,-0.009208793752,-2.009642839,-1.300701261
45,1.55965592639e+18,0.8185136318,-0.307772249,-1.030698895
46,1.55965592644e+18,1.037203312,0.1534310281,-2.384987116
47,1.5596559265e+18,0.9981079698,1.62622714,-2.685532808
48,1.55965592655e+18,0.7158882618,1.807043195,-1.677605271
49,1.5596559266e+18,0.5424025059,1.287807703,-0.5194046497
50,1.55965592665e+18,-0.04952589795,1.381880999,0.5477769375
51,1.5596559267e+18,-0.3512933254,2.368428469,1.359005928
52,1.55965592676e+18,-0.133214429,1.369052887,1.826928735
53,1.55965592681e+18,0.1447292417,1.489393353,2.183063269
54,1.55965592686e+18,0.2895042896,1.212060571,2.036455631
55,1.55965592691e+18,0.3731928468,1.191290975,2.240484715
56,1.55965592696e+18,0.3469256461,0.55354774,2.566075802
57,1.55965592702e+18,0.6450278759,-0.2961657941,3.535518885
58,1.55965592707e+18,1.278495073,-0.4708732665,4.005885124
59,1.55965592712e+18,1.046366334,0.4942938089,3.794525623
60,1.55965592717e+18,0.3414278626,0.06913162023,3.410291433
61,1.55965592722e+18,0.4587139785,-0.3480893672,3.350426674
62,1.55965592728e+18,1.04758811,-0.5276837349,3.396241426
63,1.55965592733e+18,1.002384067,0.2102414817,3.232529879
64,1.55965592738e+18,0.952293098,0.9756556153,3.490314722
65,1.55965592743e+18,0.996886313,0.267051965,3.297892332
66,1.55965592748e+18,1.297432065,0.6665577888,3.011396408
67,1.55965592754e+18,0.8912066221,0.353183955,2.729787588
68,1.55965592759e+18,0.145950973,-0.5539509058,3.432282686
69,1.55965592764e+18,-1.522322059,-0.2424096465,3.02422452
70,1.55965592769e+18,-4.4196558,-2.058511972,4.068804264
71,1.55965592774e+18,-7.190540314,-0.514855504,5.263656616
72,1.5596559278e+18,-3.990828276,-3.608277082,1.965595126
73,1.55965592785e+18,-0.9340587854,-1.322419405,-0.5041330457
