,Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
0,1.55965655405e+18,0.1013578176,0.06913162023,0.09634749591
1,1.5596565541e+18,0.118462041,-0.0279959552,0.2075249851
2,1.55965655415e+18,0.2198656797,-1.759188056,0.536781311
3,1.5596565542e+18,0.4147316813,-3.005964041,0.7066018581
4,1.55965655425e+18,1.013990521,-7.287518501,0.388341099
5,1.5596565543e+18,1.202136993,-10.48417664,-0.9115801454
6,1.55965655435e+18,1.238788962,-8.943573952,-0.7649724483
7,1.5596565544e+18,0.9559583068,-4.082308769,-0.2555108666
8,1.55965655446e+18,0.2577393055,-1.369456053,0.2588376403
9,1.55965655451e+18,0.5717240572,-4.545955181,-0.2585652173
10,1.55965655456e+18,2.475790977,-5.517841816,1.015699744
11,1.55965655461e+18,1.847821474,-2.407927036,0.1800360382
12,1.55965655466e+18,0.9186955094,-2.359668732,0.8684811592
13,1.55965655471e+18,0.1441183835,-0.4128410518,1.049908161
14,1.55965655476e+18,-1.050123215,-0.1788796633,0.3498565555
15,1.55965655481e+18,-0.6616128683,2.50770545,-1.641564131
16,1.55965655487e+18,-0.4728555381,4.985374928,-2.781438828
17,1.55965655492e+18,-0.3934430182,5.970089912,-3.294565439
18,1.55965655497e+18,-0.6029697657,5.843640804,-3.040445566
19,1.55965655502e+18,-0.494846642,5.315853119,-2.286638021
20,1.55965655507e+18,-0.6500064135,4.086181164,-1.570703745
21,1.55965655512e+18,-0.9346696138,3.012891293,-1.255497336
22,1.55965655517e+18,-1.277364969,3.190042257,-1.080178976
23,1.55965655522e+18,-1.55164361,2.624991655,-1.060020328
24,1.55965655527e+18,-1.629223347,2.499764442,-0.7991809845
25,1.55965655532e+18,-1.146639943,3.276174068,-0.2634521127
26,1.55965655537e+18,-0.58158952,4.962772846,1.032193065
27,1.55965655543e+18,-0.6237392426,5.061733246,2.096320391
28,1.55965655548e+18,-5.350003242,-2.318740606,6.20011282
29,1.55965655553e+18,-5.295025826,-4.501973152,7.489649296
30,1.55965655558e+18,-2.621268511,14.09643078,5.60085392
31,1.55965655563e+18,4.500809193,2.171118975,-2.113762856
32,1.55965655568e+18,2.246716499,-5.690716743,-2.620170116
33,1.55965655574e+18,0.4782616496,4.670779228,0.675447762
34,1.55965655579e+18,0.2424676865,0.07707286626,-2.322068214
35,1.55965655584e+18,-0.05258022621,-0.9357417226,-3.830294132
36,1.55965655589e+18,0.3964057267,-2.618064642,-3.825407505
37,1.55965655594e+18,-0.1765858829,-7.041339874,-2.553586006
38,1.55965655599e+18,-0.9798736572,-7.47261095,-0.2579543591
39,1.55965655604e+18,-1.589517236,-8.809183121,2.772548199
40,1.55965655609e+18,-2.171060801,-8.54651165,5.958821297
41,1.55965655614e+18,-1.678703547,-8.095693588,8.74009037
42,1.5596565562e+18,-2.015901089,-7.366320133,7.491481781
43,1.55965655625e+18,-2.83323884,-1.342578053,6.126198292
44,1.5596565563e+18,-2.595001459,2.124693155,3.991835117
45,1.55965655635e+18,-1.145418048,0.1467114985,2.310734034
46,1.5596565564e+18,0.2491872162,-1.583869696,0.2215748727
47,1.55965655645e+18,0.7103904486,-0.3890173137,-1.262827635
48,1.5596565565e+18,0.8429482579,0.9664926529,-2.235325098
49,1.55965655656e+18,1.268110514,1.397763491,-3.405742884
50,1.55965655661e+18,1.383563995,1.104548216,-3.68185401
51,1.55965655666e+18,1.419605017,0.9750447869,-2.951259375
52,1.55965655671e+18,1.097068071,-0.1080192998,-2.476006031
53,1.55965655676e+18,0.7806399465,0.06485556066,-1.594527483
54,1.55965655681e+18,0.2119244188,-0.3987911642,-0.3776839375
55,1.55965655686e+18,-0.2804329395,0.1491549611,0.9466719627
56,1.55965655691e+18,-0.8241029978,-0.5930463076,1.588080406
57,1.55965655696e+18,-0.9132893682,-0.5478422642,1.888626099
58,1.55965655702e+18,-0.7746229172,-1.314478159,2.381594419
59,1.55965655707e+18,-0.2584418058,-2.782998323,2.358992338
60,1.55965655712e+18,0.1154077128,-3.269246817,1.608239055
61,1.55965655717e+18,0.5613393784,-1.082960248,-0.4027293921
62,1.55965655722e+18,1.347522974,0.5272805691,-1.476630449
63,1.55965655727e+18,1.864314914,0.7111510038,-3.243252754
64,1.55965655732e+18,1.621190548,1.558421135,-3.814411879
65,1.55965655737e+18,1.382342339,2.217544794,-3.762488365
66,1.55965655742e+18,1.612027645,1.349505186,-2.828475237
67,1.55965655747e+18,1.791621923,0.5651541948,-2.114373684
68,1.55965655752e+18,1.725648522,0.4057183862,-3.165672779
69,1.55965655758e+18,1.950446844,2.147295237,-3.445449114
70,1.55965655763e+18,1.629742622,0.6971010566,-3.085649729
71,1.55965655768e+18,1.852708459,2.064828396,-2.149803877
72,1.55965655773e+18,1.009103537,4.581593037,-1.285429716
73,1.55965655778e+18,0.3200475872,1.857745171,-0.3343124986
74,1.55965655783e+18,-0.1209971309,1.005588055,0.2759419084
75,1.55965655789e+18,-0.8405963778,-4.225862026,0.8666485548
76,1.55965655794e+18,1.276051641,-4.613150597,0.5398356915
77,1.55965655799e+18,2.532601595,-2.632725239,-0.09729678184
78,1.55965655804e+18,3.162403584,-1.349908352,-1.586586356
79,1.55965655809e+18,2.762286901,1.597516537,-1.408824444
80,1.55965655814e+18,2.317576885,0.4887960553,-1.117441773
81,1.55965655819e+18,2.111715317,1.690367937,0.6149721146
82,1.55965655825e+18,1.437320113,3.635363102,3.243525028
83,1.5596565583e+18,0.4416097701,3.154612064,5.327797413
84,1.55965655835e+18,-0.9450542927,2.050167799,5.691873074
85,1.5596565584e+18,-2.22726059,2.922483206,6.596564293
86,1.55965655845e+18,-2.694572449,0.8278262615,7.387635231
87,1.5596565585e+18,-2.890660048,2.467999458,7.800580025
88,1.55965655855e+18,-2.903488398,-1.677942991,6.096877098
89,1.5596565586e+18,-2.940140247,0.4674157798,4.16654253
90,1.55965655866e+18,-2.976181507,3.402623177,2.734063625
91,1.55965655871e+18,-1.905334473,3.640249729,0.7628014684
92,1.55965655876e+18,-0.06785185635,1.717246056,-1.164478421
93,1.55965655881e+18,1.407998562,-1.930841208,-1.346516252
94,1.55965655886e+18,2.114769697,-2.845917225,-1.351403117
95,1.55965655891e+18,2.285811901,-2.122652769,-1.419209242
96,1.55965655896e+18,1.81605649,-1.607082605,-1.04230535
97,1.55965655901e+18,0.9474061728,0.1821416914,-1.224954009
98,1.55965655907e+18,0.7861377597,1.361111522,-1.05574441
99,1.55965655912e+18,0.9657320976,1.377604961,-0.8401089311
100,1.55965655917e+18,1.095846415,0.7826222777,-1.25122118
101,1.55965655922e+18,1.152656913,0.7056531906,-1.629957676
102,1.55965655927e+18,1.365848899,-1.095177531,-2.581685781
103,1.55965655932e+18,1.426935434,-1.192916036,-2.972028494
104,1.55965655937e+18,0.8160701394,-1.130607724,-2.892616272
105,1.55965655942e+18,0.3554777503,-0.4678189456,-1.607355714
106,1.55965655947e+18,0.5350721478,-1.239952683,-1.253664732
107,1.55965655953e+18,0.7378793955,-0.3120482862,-1.697152853
108,1.55965655958e+18,0.7427663207,0.6372363567,-1.859643102
109,1.55965655963e+18,0.7274947166,1.035520434,-1.709981084
110,1.55965655968e+18,0.4971984923,0.6079148054,-1.584142804
111,1.55965655973e+18,0.4733747542,0.9096822143,-1.247555971
112,1.55965655978e+18,0.5179678798,0.7013771534,-0.8431632519
113,1.55965655983e+18,0.4819268584,-0.0200547073,-0.2487913668
