,Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2)
0,1.55965320006e+18,15.7617197,-12.03116798,-10.9908638
1,1.55965320012e+18,17.9377346,-10.83837318,-12.30505943
2,1.55965320018e+18,18.93133354,-11.11506844,-11.73413467
3,1.55965320024e+18,17.9923687,-11.59497261,-11.45395947
4,1.5596532003e+18,17.00844765,-11.98930931,-11.08947182
5,1.55965320036e+18,15.84510422,-12.36676216,-10.48949242
6,1.55965320042e+18,-4.271399021,-4.048932076,4.790620804
7,1.55965320048e+18,-4.220118046,-11.37894154,-5.956185341
8,1.55965320054e+18,-0.5764756203,-0.6968512535,-5.361462116
9,1.5596532006e+18,-2.660207272,-7.216289043,-7.554271221
10,1.55965320066e+18,-3.504251719,-12.12475395,0.9877407551
11,1.55965320072e+18,-3.446427345,-23.95569992,10.83955669
12,1.55965320078e+18,-5.560283661,-35.98692322,-1.090858459
13,1.55965320084e+18,-15.64418602,-11.87866592,-3.151577473
14,1.5596532009e+18,-6.130957603,-20.8344574,4.669613838
15,1.55965320096e+18,-6.777204514,-15.77831745,5.444298744
16,1.55965320102e+18,-7.182395458,-11.44825363,2.121893883
17,1.55965320108e+18,-5.057574272,-5.725053787,-1.450713634
18,1.55965320114e+18,-3.060166359,-4.050154686,-2.260178566
19,1.5596532012e+18,4.187534332,-10.14021301,-13.31279469
20,1.55965320126e+18,7.927604675,-6.602784157,-13.99557686
21,1.55965320132e+18,5.929103374,-8.437151909,-3.034013271
22,1.55965320138e+18,-4.254137516,-29.05115128,17.01789665
23,1.55965320144e+18,8.601571083,-17.41920471,-15.32745457
24,1.5596532015e+18,1.65149653,-22.52743912,4.641879082
25,1.55965320156e+18,-4.598700523,-5.847296238,-0.1479735374
26,1.55965320162e+18,0.4638869762,-6.098813534,6.780942917
27,1.55965320168e+18,-3.801474333,-7.192068577,-0.8051915169
28,1.55965320174e+18,-2.642386913,-11.81022358,5.52882719
29,1.5596532018e+18,0.7222795486,-6.551514626,2.382805824
30,1.55965320186e+18,1.20265913,-4.664832115,2.446154594
31,1.55965320192e+18,-0.8901793957,-6.239004135,-4.243446827
32,1.55965320198e+18,-2.068322659,-15.91529369,-12.0063839
33,1.55965320204e+18,-0.4857945442,-12.33343697,-8.154252052
34,1.5596532021e+18,10.08497715,-9.966909409,-3.856267452
35,1.55965320216e+18,5.885296822,-14.70598125,1.496137619
36,1.55965320222e+18,-11.2227478,-26.75676155,-5.216430664
37,1.55965320228e+18,8.200567245,-9.587162971,9.951076508
38,1.55965320234e+18,6.487003326,2.503601074,12.03442001
39,1.5596532024e+18,-0.6230945587,2.802611589,7.788876057
40,1.55965320246e+18,-3.606149673,1.819066763,4.177387714
41,1.55965320252e+18,-1.837872982,-7.54100132,3.094463825
42,1.55965320258e+18,-3.336938381,-4.805211544,0.2512607574
43,1.55965320264e+18,2.858390808,-2.397544384,1.291847229
44,1.5596532027e+18,3.310451508,-5.572418213,-4.021902084
45,1.55965320276e+18,2.161272049,-6.981338501,-1.426064491
46,1.55965320282e+18,-1.080988407,-8.08300209,-4.667244911
47,1.55965320288e+18,5.674868584,-4.74796629,-9.966129303
48,1.55965320294e+18,1.486777782,-7.814684391,-10.90180874
49,1.559653203e+18,2.967788219,-8.700658798,-4.209626675
50,1.55965320306e+18,-1.663547039,-8.944767952,6.377277374
51,1.55965320312e+18,9.773012161,-7.010627747,-1.116533279
52,1.55965320318e+18,-3.234440327,-9.384178162,16.52443695
53,1.55965320324e+18,-1.521673203,6.06606102,9.797236443
54,1.5596532033e+18,-4.436065197,-2.656797409,5.113149643
55,1.55965320336e+18,-3.892302513,-2.109107971,3.245692253
56,1.55965320342e+18,-4.135130405,-4.072992802,3.267700195
57,1.55965320347e+18,-6.616436481,-6.930383682,-0.2980747223
58,1.55965320353e+18,-1.001764297,-2.891705751,-4.442517281
59,1.55965320359e+18,5.56346941,-5.507502079,1.078010559
60,1.55965320365e+18,5.810246468,-3.702776909,-11.18069077
61,1.55965320371e+18,-2.656626701,-7.310531616,-12.96059608
62,1.55965320377e+18,3.704884768,-4.525781155,-11.65372276
63,1.55965320383e+18,1.7853688,-4.664086819,-7.250475883
64,1.55965320389e+18,3.746465683,-0.5400400162,-0.02717113495
65,1.55965320395e+18,6.499299049,-4.514035702,-5.925592422
66,1.55965320401e+18,-14.19507599,-19.31559181,4.86088419
67,1.55965320407e+18,-8.433656693,-0.4982714653,7.276094913
68,1.55965320413e+18,-2.548437119,-4.579628944,6.076249123
69,1.55965320419e+18,-4.330281734,-3.205073595,3.12351799
70,1.55965320425e+18,-0.8178629875,-1.389568567,-0.1867017746
71,1.55965320431e+18,-0.833075285,3.973618507,-0.3576841354
72,1.55965320437e+18,4.997283936,1.012897253,-0.9951610565
73,1.55965320443e+18,3.15468049,-0.5621532202,-4.238221169
74,1.55965320449e+18,1.365917683,-1.912588835,-2.567197323
75,1.55965320455e+18,-2.906125546,-4.538014412,3.044593811
76,1.55965320461e+18,3.617102623,-2.809459925,-8.948261261
77,1.55965320467e+18,1.069037437,-0.4855284691,-22.87621307
78,1.55965320473e+18,6.849840641,-1.750647545,-16.83249092
79,1.55965320479e+18,-3.306564808,-8.232738495,9.960716248
80,1.55965320485e+18,-0.1367762089,-18.12673187,-3.316122532
81,1.55965320491e+18,-11.33162594,-15.18564796,1.013311863
82,1.55965320497e+18,-6.280620098,-4.625601768,2.606613636
83,1.55965320503e+18,-1.556911469,-2.709019661,2.698883057
84,1.55965320509e+18,-1.109632492,-0.1492333412,1.658599377
85,1.55965320515e+18,-0.7750780582,-3.95000267,-3.485190868
86,1.55965320521e+18,-3.908884764,-4.070442677,-2.019489765
87,1.55965320527e+18,-0.5214061737,-0.2406771183,-4.814156532
88,1.55965320533e+18,0.7527236938,4.000062943,-0.5256795883
89,1.55965320539e+18,1.025242209,-1.921034932,1.814219475
90,1.55965320545e+18,4.620023251,-0.9153547287,-12.15147972
91,1.55965320551e+18,6.409444332,-1.242819309,-17.38400269
92,1.55965320557e+18,4.26039362,-1.07070446,-11.10819149
93,1.55965320563e+18,3.581510782,-7.985004425,3.689548492
94,1.55965320569e+18,-2.785690546,-20.06570816,3.029192924
95,1.55965320575e+18,-2.223007441,-20.369627,-1.743407249
96,1.55965320581e+18,-7.96143961,-8.450431824,0.2175803185
97,1.55965320587e+18,-1.248131275,-2.997021198,-0.943901062
98,1.55965320593e+18,0.3315830231,-10.03435612,1.274881363
99,1.55965320599e+18,-0.4132857323,-3.21161747,2.904098511
100,1.55965320605e+18,1.602616072,1.08385694,1.862035751
101,1.55965320611e+18,4.838836193,0.8473935127,1.17162323
102,1.55965320617e+18,3.938424826,-0.6570934057,-4.702458382
103,1.55965320623e+18,-3.578901291,-7.721814632,-3.40591383
104,1.55965320629e+18,-0.8528209925,-3.751202106,-15.36040115
105,1.55965320635e+18,-4.310976982,1.466116905,-19.58697128
106,1.55965320641e+18,-1.498806238,-5.571264267,-8.295794487
107,1.55965320647e+18,-1.45463419,-12.34273148,10.65413666
108,1.55965320653e+18,7.802710533,-12.78018093,-7.798334122
109,1.55965320659e+18,-5.741387844,-16.34272766,6.997763157
110,1.55965320665e+18,-0.4082794189,-3.582253933,3.843046665
111,1.55965320671e+18,1.533137798,-10.07175732,0.9402313232
112,1.55965320677e+18,0.1873793602,-6.581359863,2.400875092
113,1.55965320683e+18,-0.604511261,-4.61767149,0.3171691895
114,1.55965320689e+18,-0.9231510162,-0.8486117125,-0.3517627716
115,1.55965320695e+18,0.2086391449,0.8780540228,-2.053207874
116,1.55965320701e+18,-5.680121899,-0.9559934139,-2.872581005
117,1.55965320707e+18,2.954586744,-6.521007061,-11.86703968
118,1.55965320713e+18,8.677047729,0.140748024,-19.51360512
119,1.55965320719e+18,0.1449854374,-8.378128052,-6.637255192
120,1.55965320725e+18,-3.034414291,-7.725627899,-3.352019787
121,1.55965320731e+18,-2.189737797,-16.05200195,7.183692932
122,1.55965320737e+18,5.901250362,-16.54478264,-10.43495941
123,1.55965320743e+18,-9.3754673,-7.64327383,-2.768002033
124,1.55965320749e+18,-3.873419762,-8.111203194,-0.3030362129
125,1.55965320755e+18,-4.530441284,-6.956319809,3.32530117
126,1.55965320761e+18,-5.432775497,-6.049807549,0.4521503448
127,1.55965320767e+18,-0.567596674,-1.35317111,1.073339462
128,1.55965320773e+18,0.9557342529,2.8316679,1.163615227
129,1.55965320779e+18,0.6911557913,-2.804523468,-2.3658638
130,1.55965320785e+18,-2.300601959,-2.874658346,-4.861987591
131,1.55965320791e+18,-2.788160563,-2.240575075,-6.465991974
132,1.55965320797e+18,-8.66302681,-13.43919754,-1.929576397
133,1.55965320803e+18,-0.9181556702,-0.621486187,-20.350811
134,1.55965320809e+18,1.240297318,-8.558021545,-12.1357193
135,1.55965320815e+18,-1.971536636,-15.388937,10.68871117
136,1.55965320821e+18,7.383738995,-5.329392433,-7.483380318
137,1.55965320827e+18,-5.868590832,-15.4771347,8.454240799
138,1.55965320833e+18,-4.30500555,-5.26958704,7.97999382
139,1.55965320839e+18,-2.985049248,-1.964655399,3.627608299
140,1.55965320845e+18,0.6852378845,-1.318616152,1.112634659
141,1.55965320851e+18,2.612069607,-2.402506351,2.062213898
142,1.55965320857e+18,1.992581606,2.215278387,-0.6117348671
143,1.55965320863e+18,0.4261407852,0.9327569008,3.441965103
144,1.55965320869e+18,-5.891734123,-2.537917137,-6.89258337
145,1.55965320875e+18,-3.789739609,-5.88106966,-1.53409338
146,1.55965320881e+18,5.53435421,1.135877132,-11.10787392
147,1.55965320887e+18,1.903088808,-8.237364769,-17.55031586
148,1.55965320893e+18,9.353216171,-2.025966644,-13.74814701
149,1.55965320899e+18,2.765244961,-10.01006317,11.21312904
150,1.55965320905e+18,7.44080019,-25.27369499,-1.801913738
151,1.55965320911e+18,0.748032093,-19.21203041,6.971136093
152,1.55965320917e+18,3.006113529,-3.953446865,10.35064125
153,1.55965320923e+18,3.323981285,-0.8956429958,4.861298084
154,1.55965320929e+18,1.783820629,2.071158171,4.257489204
155,1.55965320935e+18,-2.025229454,0.9968060851,-2.024949074
156,1.55965320941e+18,-9.29736042,-4.758749962,-0.02007007599
157,1.55965320947e+18,-7.960433006,-7.002387047,5.944453239
158,1.55965320953e+18,-4.207395554,-8.493963242,0.5779500008
159,1.55965320959e+18,2.692877293,-4.848261833,-13.79248047
160,1.55965320965e+18,9.776802063,-6.149990559,-11.29675961
161,1.55965320971e+18,-4.233317852,-7.681776047,-9.025655746
