,Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2)
0,1.55965351606e+18,0.2379331589,0.3328695297,2.11861372
1,1.55965351612e+18,-0.3699653149,0.2965478897,4.448312759
2,1.55965351618e+18,-1.111067772,0.5573854446,4.580152035
3,1.55965351624e+18,-1.384191751,0.9134702682,3.303356647
4,1.5596535163e+18,-1.589496613,1.012124062,1.113816261
5,1.55965351636e+18,-1.748317957,0.5612640381,-1.106908798
6,1.55965351642e+18,0.7412861586,7.018213749,0.5115466118
7,1.55965351648e+18,0.3272051811,5.304853439,-5.34985733
8,1.55965351654e+18,-2.199410439,-0.4431519508,3.771490097
9,1.5596535166e+18,1.500308275,5.105946541,-13.52572632
10,1.55965351666e+18,3.06366396,8.016021729,-13.6308012
11,1.55965351672e+18,-0.8997504115,3.685241222,2.166832447
12,1.55965351678e+18,-3.93393898,-9.699097633,18.49176216
13,1.55965351684e+18,-2.002461195,-11.71792793,6.927010059
14,1.5596535169e+18,-6.109517574,-2.485472679,11.8317194
15,1.55965351696e+18,-0.3015232086,-0.1111564636,13.80948639
16,1.55965351702e+18,-4.058338165,1.47852993,9.235157013
17,1.55965351708e+18,-3.622060537,3.705354691,5.989173889
18,1.55965351714e+18,-2.301637411,4.865533829,-0.6310286522
19,1.5596535172e+18,-1.20070529,1.413358688,-4.075258255
20,1.55965351726e+18,-0.4552685022,4.721273899,1.911343098
21,1.55965351732e+18,3.134309292,11.1162529,-11.10113811
22,1.55965351738e+18,6.561209679,13.63482666,-13.50339127
23,1.55965351744e+18,0.0005750656128,8.857382774,-3.149140596
24,1.5596535175e+18,-6.983029842,-10.81357861,18.24582672
25,1.55965351756e+18,-6.6013484,-15.26092243,5.931123257
26,1.55965351762e+18,-6.313313484,-8.382045746,1.716963887
27,1.55965351768e+18,-6.143175602,-3.15256691,5.754373074
28,1.55965351774e+18,-5.729701996,-0.1498575211,6.423158169
29,1.5596535178e+18,-4.028110027,4.215993881,1.540722847
30,1.55965351786e+18,-2.494471788,5.336689949,0.6536407471
31,1.55965351792e+18,-2.77508378,1.008136749,-1.414352894
32,1.55965351798e+18,-3.221331835,4.688320637,-4.719892502
33,1.55965351804e+18,-0.9448964,7.254887581,-10.83060455
34,1.5596535181e+18,2.114092112,9.248626709,-13.17016506
