,Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2)
0,1.55965381706e+18,-0.2329387665,1.330778122,-2.523197651
1,1.55965381712e+18,1.467708588,0.480969429,-2.746710539
2,1.55965381718e+18,3.257137775,0.00923538208,-3.034811497
3,1.55965381724e+18,4.80749464,-0.08260345459,-3.379693985
4,1.5596538173e+18,5.983695507,0.1496114731,-4.043595314
5,1.55965381736e+18,6.734052658,0.5283384323,-4.767422676
6,1.55965381742e+18,-2.521346569,-12.52865791,0.371160984
7,1.55965381748e+18,-3.068820477,-12.84896755,0.265504837
8,1.55965381754e+18,-2.291253805,-11.8669796,-1.076369762
9,1.5596538176e+18,0.2295532227,-10.8887291,-1.180149078
10,1.55965381766e+18,2.569113493,-8.411722183,-2.522462845
11,1.55965381772e+18,2.433884859,-8.068977356,-0.2508592606
12,1.55965381778e+18,-4.147780418,-6.96483326,-4.223685741
13,1.55965381784e+18,-3.105403423,-4.923606396,-3.550159931
14,1.5596538179e+18,-2.125935555,-6.973361969,-3.539124012
15,1.55965381796e+18,1.153433323,-6.322603226,-3.208889484
16,1.55965381802e+18,-0.07485580444,-3.858341694,-3.295316219
17,1.55965381808e+18,-1.625235081,-0.6906132698,-2.555644989
18,1.55965381814e+18,-3.655444145,-2.401369095,-1.859124064
19,1.5596538182e+18,-1.037698746,-4.063447952,0.01737165451
20,1.55965381826e+18,0.5510005951,-4.022627354,-0.5022311211
21,1.55965381832e+18,1.779678345,-4.028346062,0.03056120872
22,1.55965381838e+18,3.440236568,-4.290970802,0.229906559
23,1.55965381844e+18,3.502068758,-2.979785919,1.896247387
24,1.5596538185e+18,1.141237259,0.3677210808,-1.653015852
25,1.55965381856e+18,0.4634242058,-1.807947159,-2.02929616
26,1.55965381862e+18,-0.09818935394,-1.473213196,-1.453962803
27,1.55965381868e+18,0.2950158119,0.1335959435,-2.539889812
28,1.55965381874e+18,0.8980522156,0.5903682709,-1.684859991
29,1.5596538188e+18,3.302583694,1.666941285,-0.6219210625
30,1.55965381886e+18,3.920358658,0.4563231468,1.785400867
31,1.55965381892e+18,8.940811157,0.7843775749,0.3116617203
32,1.55965381898e+18,-1.353585243,0.2138035297,0.1049499512
33,1.55965381904e+18,-6.354245186,0.1341576576,-5.218680382
34,1.5596538191e+18,-5.439890862,-0.7820463181,-6.058393955
