,Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2)
0,1.55965411806e+18,0.2181358337,-5.834811211,-6.942834854
1,1.55965411812e+18,-0.5580396652,-5.895380974,-7.214285851
2,1.55965411818e+18,-1.321692944,-6.018367767,-7.416647911
3,1.55965411824e+18,-3.35138011,-6.462256908,-7.645320892
4,1.5596541183e+18,-5.527444363,-6.96285677,-7.394626617
5,1.55965411836e+18,-6.605973244,-7.235602379,-7.068257332
6,1.55965411842e+18,0.3962740898,-0.2134352922,-2.969615936
7,1.55965411848e+18,-0.7642892599,-1.715736628,-5.432674885
8,1.55965411854e+18,-0.7250550985,-1.502048731,-6.276809692
9,1.5596541186e+18,-1.947447777,-0.7084140778,-2.629414082
10,1.55965411866e+18,-3.950944901,2.530931473,-0.3900132179
11,1.55965411872e+18,-4.135601521,0.825463295,3.131913662
12,1.55965411878e+18,2.098880768,1.010454655,4.882789135
13,1.55965411884e+18,-4.357237816,0.04820203781,0.1471087933
14,1.5596541189e+18,-8.478727341,-0.9641900063,2.371581554
15,1.55965411896e+18,-11.99732208,-3.526529312,3.623865604
16,1.55965411902e+18,-10.95850277,-4.294232845,3.801524639
17,1.55965411908e+18,-6.910474777,-7.606546879,-2.322470903
18,1.55965411914e+18,1.035845757,-9.164441109,-5.081858158
19,1.5596541192e+18,5.526587963,-5.95031929,-9.519384384
20,1.55965411926e+18,5.711218357,-6.340910912,-6.866149426
21,1.55965411932e+18,1.985870361,-4.706260204,-4.193152428
22,1.55965411938e+18,-2.808458805,-2.283294916,-0.7718815804
23,1.55965411944e+18,3.441544533,-0.574464798,0.4669594765
24,1.5596541195e+18,3.651419878,1.553089619,-3.715395927
25,1.55965411956e+18,2.130387783,3.255683422,-2.797980785
26,1.55965411962e+18,0.7064471245,2.375585079,-0.2863416672
27,1.55965411968e+18,2.346684933,1.746991634,1.040928841
28,1.55965411974e+18,0.3493884802,-0.1161284447,-0.5948495865
29,1.5596541198e+18,0.4998649359,-0.7718286514,-1.413330078
30,1.55965411986e+18,1.06131959,-0.2120094299,-1.357321739
31,1.55965411992e+18,0.6925774813,-0.2500982285,0.5889344215
32,1.55965411998e+18,-0.9888220429,0.1741786003,0.2640104294
33,1.55965412004e+18,-0.05940330029,-0.399014473,-0.0166220665
34,1.5596541201e+18,1.478467226,-0.9392681122,-0.9644713402
35,1.55965412016e+18,0.9136791229,0.9557309151,-0.859360218
36,1.55965412022e+18,7.731901169,7.634233475,1.245778084
37,1.55965412028e+18,16.14215088,28.65927887,-3.389792919
38,1.55965412034e+18,14.78076935,5.348993301,-0.3289995193
39,1.5596541204e+18,-15.32170677,-35.06448364,-19.00073242
40,1.55965412046e+18,-13.65313244,-25.99523354,-2.182217121
41,1.55965412052e+18,2.98742485,-1.535200119,-15.29377079
42,1.55965412058e+18,-0.1710999608,17.33924103,-10.87103081
43,1.55965412064e+18,-5.595846653,1.382499218,-3.852921724
44,1.5596541207e+18,-4.524009705,-4.072556973,-0.814332962
45,1.55965412076e+18,0.3521211147,-6.323828697,0.8364253044
46,1.55965412082e+18,4.095301628,-3.154865026,-1.310654163
47,1.55965412088e+18,1.714069486,-3.721322298,-2.021090508
48,1.55965412094e+18,1.552042603,-1.948780417,-0.1056756973
49,1.559654121e+18,2.42939043,-2.588618279,1.769351959
50,1.55965412106e+18,3.166351795,-4.336414337,1.004396439
51,1.55965412112e+18,2.844621658,-2.833063126,-0.1094484329
52,1.55965412118e+18,1.100195885,-2.077134371,-2.195188999
53,1.55965412124e+18,-0.6540400982,-1.470786333,-3.799137592
54,1.5596541213e+18,-1.649652481,2.149890423,-5.397132874
55,1.55965412136e+18,-2.757533312,6.209394932,-4.147028446
56,1.55965412142e+18,-4.389277458,3.155676603,-0.9296264648
57,1.55965412147e+18,-2.374943733,3.827732086,-0.5193624496
58,1.55965412153e+18,0.206600666,0.6308538318,4.189705849
59,1.55965412159e+18,-2.871225834,-2.181870937,6.050837994
60,1.55965412165e+18,-2.153887272,-2.865046024,3.670130253
61,1.55965412171e+18,-0.6184868813,-1.392126083,1.465061665
62,1.55965412177e+18,0.04071807861,-0.1908535957,-1.275789261
63,1.55965412183e+18,-0.5267281532,-0.8297922611,-1.659220695
64,1.55965412189e+18,1.665631771,-0.08229064941,-2.887854338
65,1.55965412195e+18,1.282904625,-0.7993593216,-2.26060009
66,1.55965412201e+18,1.546433926,-0.775847435,-1.171895027
67,1.55965412207e+18,0.6901803017,-3.223964691,0.04701709747
68,1.55965412213e+18,-0.6281576157,-3.537261009,-0.4275569916
69,1.55965412219e+18,0.6370491982,-2.063153267,-0.9846010208
70,1.55965412225e+18,-0.428217411,-1.65118885,-0.7734107971
71,1.55965412231e+18,0.03495788574,-0.3518209457,-0.9175469875
72,1.55965412237e+18,-0.1164946556,0.2961235046,-0.4580981731
73,1.55965412243e+18,-0.4109613895,-0.02687931061,-0.588801384
74,1.55965412249e+18,-0.9474953413,-0.6237277985,-0.2029061317
75,1.55965412255e+18,-1.004677415,-0.5296859741,0.3251438141
76,1.55965412261e+18,-0.3839194775,-0.2686271667,0.5252012014
77,1.55965412267e+18,0.671358645,-0.304649353,0.6557457447
78,1.55965412273e+18,0.9952066541,-0.1536989212,0.2806918621
79,1.55965412279e+18,0.7379560471,0.09917354584,-0.5846149921
80,1.55965412285e+18,0.4128228426,-0.0840549469,-0.4098923206
81,1.55965412291e+18,0.05103266239,-0.03656864166,-0.4931981564
82,1.55965412297e+18,0.09818994999,-0.387799263,-0.341409564
83,1.55965412303e+18,0.5064041615,-0.7289953232,-0.3414299488
84,1.55965412309e+18,0.5871648788,-0.7717876434,-0.3324599266
85,1.55965412315e+18,0.5699175596,-0.1051340103,-0.7667092085
86,1.55965412321e+18,0.7368311882,0.08422470093,-0.3102315664
87,1.55965412327e+18,0.4153703451,0.2785463333,-0.3122230768
88,1.55965412333e+18,0.6155424714,0.271733284,-0.3190375566
89,1.55965412339e+18,0.2663258314,-0.3405399323,-0.266752243
90,1.55965412345e+18,0.2180359364,-0.3553495407,-0.04574453831
91,1.55965412351e+18,0.02947509289,0.01463699341,-0.2410953045
92,1.55965412357e+18,0.1580703259,-0.0260848999,0.04042685032
93,1.55965412363e+18,0.06279242039,0.01902866364,-0.03161799908
94,1.55965412369e+18,-0.08848571777,0.07622623444,0.09286475182
95,1.55965412375e+18,-0.09617817402,-0.006736755371,-0.05800676346
96,1.55965412381e+18,-0.04854571819,-0.01726436615,-0.04921519756
97,1.55965412387e+18,-0.01110851765,-0.02282714844,-0.1975346804
98,1.55965412393e+18,-0.0006799697876,-0.0810956955,-0.2663580179
99,1.55965412399e+18,-0.004004240036,-0.37682724,-0.1382089853
100,1.55965412405e+18,0.153883636,-0.1778144836,0.101900816
101,1.55965412411e+18,0.4112187624,0.02310180664,0.1965897083
102,1.55965412417e+18,0.5253584981,0.02050590515,0.1533050537
103,1.55965412423e+18,0.566539526,-0.1396217346,0.03827047348
104,1.55965412429e+18,0.4070221782,-0.2800397873,0.08667337894
105,1.55965412435e+18,0.7808456421,-0.05962276459,-0.2328135967
106,1.55965412441e+18,0.3565252423,0.4387817383,-0.5170419216
107,1.55965412447e+18,-0.1993795633,-0.7394475937,0.1475547552
108,1.55965412453e+18,0.2910293341,0.2858324051,-1.055172205
109,1.55965412459e+18,1.123052001,-0.1380729675,-0.3299826384
110,1.55965412465e+18,0.01628530025,0.1234455109,-0.3283401728
111,1.55965412471e+18,-0.2198767662,0.9006719589,-0.9214686155
112,1.55965412477e+18,0.2520499229,-0.3476839066,0.422634244
113,1.55965412483e+18,-0.2140836716,-0.2666978836,-0.2056076527
114,1.55965412489e+18,-0.1332361102,-0.2441740036,0.2425471544
115,1.55965412495e+18,-0.6224796176,-0.081407547,0.3135335445
116,1.55965412501e+18,-0.7380018234,0.2078752518,0.3900151253
117,1.55965412507e+18,-0.1223335266,0.08605957031,0.383205533
118,1.55965412513e+18,-0.5541099906,0.01165008545,0.2939587831
119,1.55965412519e+18,-0.8669162393,0.05793094635,0.08075404167
120,1.55965412525e+18,-0.330524087,0.01716518402,0.117726326
