,Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2)
0,1.55965441906e+18,0.8472118378,2.019020557,-0.2224359512
1,1.55965441912e+18,1.507471323,2.470890522,-0.503443718
2,1.55965441918e+18,2.145944595,2.664974928,-0.6736288071
3,1.55965441924e+18,3.492483139,2.205256462,-0.7537088394
4,1.5596544193e+18,3.984949112,1.561849356,-0.6215982437
5,1.55965441936e+18,3.563269615,0.757901907,-0.3727359772
6,1.55965441942e+18,-11.55209827,-4.332134247,0.2619228363
7,1.55965441948e+18,-10.98339081,-2.966598988,-1.687290192
8,1.55965441954e+18,-6.849780083,-2.978359699,-1.340840816
9,1.5596544196e+18,-3.975168943,-1.8425138,-7.347901344
10,1.55965441966e+18,0.4767944813,-3.009673357,-10.95824814
11,1.55965441972e+18,1.516518474,-1.419156075,-15.04212952
12,1.55965441978e+18,-0.9251601696,-3.902647495,-10.51440048
13,1.55965441984e+18,0.1541001797,-2.620581627,6.521064758
14,1.5596544199e+18,2.127046585,-16.60026169,-5.376350403
15,1.55965441996e+18,-7.840471745,-34.86135101,11.74414349
16,1.55965442002e+18,-5.853854179,-7.901538849,4.633962631
17,1.55965442008e+18,-9.233228683,-4.835330963,-1.663554668
18,1.55965442014e+18,-4.335713387,-9.100365639,-0.2515869141
19,1.5596544202e+18,-7.330208302,-8.0847826,-14.36128426
20,1.55965442026e+18,6.07656002,-9.728880882,-25.24591446
21,1.55965442032e+18,22.30812836,1.964231491,-23.527565
22,1.55965442038e+18,-7.120280266,-5.783813477,-17.23161316
23,1.55965442044e+18,10.32719231,-5.788275242,-7.917953014
24,1.5596544205e+18,-5.513798714,-16.6986618,16.10874939
25,1.55965442056e+18,-2.427689552,-5.690846443,5.573747635
26,1.55965442062e+18,-5.204140186,-4.906979561,2.294526577
27,1.55965442068e+18,-5.685998917,-10.97613525,5.463186741
28,1.55965442074e+18,-0.9717483521,-6.407876968,1.590839386
29,1.5596544208e+18,3.292669773,-7.832275391,-8.541431427
30,1.55965442086e+18,4.331213951,-1.391706944,-8.053594589
31,1.55965442092e+18,5.763859272,-6.558299541,-11.03020859
32,1.55965442098e+18,4.321795464,-3.244486332,-14.99721527
33,1.55965442104e+18,1.806577206,2.92798996,-10.61056423
34,1.5596544211e+18,6.185895443,-7.27933979,6.202990532
35,1.55965442116e+18,-22.75815201,-65.19763184,30.74600983
36,1.55965442122e+18,1.586450577,0.6238062382,-0.9764590263
37,1.55965442128e+18,4.303760529,3.794397116,5.501803398
38,1.55965442134e+18,1.919038773,-3.012314081,8.029457092
39,1.5596544214e+18,-2.480021954,-10.3999939,6.234407425
40,1.55965442146e+18,-8.253702164,-12.19145584,1.050863743
41,1.55965442152e+18,-4.737557888,-9.317122459,0.9486560822
42,1.55965442158e+18,4.266393661,-2.609002113,-14.01771927
43,1.55965442164e+18,9.512329102,-17.7942009,-26.88936424
44,1.5596544217e+18,15.48886967,4.848144531,-21.3168335
45,1.55965442176e+18,-4.744242668,-9.706468582,24.80985832
46,1.55965442182e+18,-5.704467773,-25.65993118,10.01527596
47,1.55965442188e+18,-4.001191616,-3.904332876,6.305424213
48,1.55965442194e+18,-4.905914307,-11.442976,6.141526222
49,1.559654422e+18,-5.016077995,-6.718734741,5.725833893
50,1.55965442206e+18,-2.80657959,-5.560338497,0.2536745071
51,1.55965442212e+18,-0.5309839249,-3.423206329,0.7083687782
52,1.55965442218e+18,-1.440193653,-11.7336731,-2.747968197
53,1.55965442224e+18,2.546188593,-4.664548397,-5.1545825
54,1.55965442229e+18,0.7765806913,-1.294623375,6.31634903
55,1.55965442235e+18,3.360432386,-6.412611485,-8.446499825
