,Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2)
0,1.55965472006e+18,0.04627811909,0.6519870758,0.3243246078
1,1.55965472012e+18,0.6251196861,0.5716917515,0.2175273895
2,1.55965472018e+18,1.859863281,0.4528156817,0.1134128571
3,1.55965472024e+18,4.310455322,0.3326624334,0.3845071793
4,1.5596547203e+18,5.550298691,0.3815477192,0.7802639008
5,1.55965472036e+18,4.912433624,0.8485754728,0.6013431549
6,1.55965472042e+18,1.724145651,3.225186348,3.209496498
7,1.55965472048e+18,2.491020203,3.45497942,1.177085876
8,1.55965472054e+18,-0.3628315926,1.81002593,1.180182457
9,1.5596547206e+18,-0.2149238586,0.8602549434,-0.9208374023
10,1.55965472066e+18,-4.615810394,-6.588469505,0.5453519821
11,1.55965472072e+18,-3.759490013,5.648921013,-6.610519409
12,1.55965472078e+18,3.704740524,2.368247986,-8.462379456
13,1.55965472084e+18,8.2592659,2.420326233,-21.64596558
14,1.5596547209e+18,-3.62376833,4.884689331,-10.83546734
15,1.55965472096e+18,-3.735202789,-7.065652847,10.85103416
16,1.55965472102e+18,-7.170804501,-14.94575405,8.302330017
17,1.55965472108e+18,-1.818633556,-0.8432326317,6.904239178
18,1.55965472114e+18,-4.992877007,1.945414543,7.072969913
19,1.5596547212e+18,-5.869318485,2.943342924,5.266691208
20,1.55965472126e+18,-6.99922657,0.5090990067,2.496747971
21,1.55965472132e+18,-3.859738111,2.469317436,1.545829773
22,1.55965472138e+18,-0.5081243515,3.684128523,-2.644374847
23,1.55965472144e+18,0.1150436401,0.1561837196,-7.882462025
24,1.5596547215e+18,-2.984836102,-7.976264954,-2.431083679
25,1.55965472156e+18,-4.667000771,-5.067903519,-20.4982872
26,1.55965472162e+18,8.064127922,-2.462706089,-22.71967316
27,1.55965472168e+18,0.07610702515,-0.5702595711,2.003876686
28,1.55965472174e+18,-0.9542081356,-7.955723763,8.039064407
29,1.5596547218e+18,5.121580601,-6.53487587,24.29053307
30,1.55965472186e+18,-3.688884974,-2.493882179,12.42865467
31,1.55965472192e+18,-3.974141598,-0.4088506699,12.26952457
32,1.55965472198e+18,-3.917721748,0.1757984161,8.976653099
33,1.55965472204e+18,-2.620707512,8.390039444,12.82776642
34,1.5596547221e+18,-4.214828491,3.575196743,0.8874918222
35,1.55965472216e+18,1.765582085,3.268712521,-6.600289345
36,1.55965472222e+18,4.53484869,0.7175768018,-1.151456356
37,1.55965472228e+18,5.393726826,-0.1165359616,-9.678178787
38,1.55965472234e+18,18.37741852,2.564118385,-16.08666992
39,1.5596547224e+18,3.338022709,0.2070329189,-0.8728666306
40,1.55965472246e+18,11.53173161,1.420831442,-1.367110968
41,1.55965472252e+18,6.481057167,-10.46983433,9.142739296
42,1.55965472258e+18,-1.697511673,-14.43494606,17.5140667
43,1.55965472264e+18,-4.510727882,-5.930980682,8.85134697
44,1.5596547227e+18,-3.536931992,-1.431940794,8.852845192
45,1.55965472276e+18,1.39793396,-0.8615796566,7.20806694
46,1.55965472282e+18,1.56294775,1.157318592,4.280607224
47,1.55965472288e+18,-1.653177261,0.6833001971,2.364844322
48,1.55965472294e+18,0.3861865997,-3.343741655,-4.190907478
49,1.559654723e+18,4.691726685,-4.611581326,-3.148796558
50,1.55965472306e+18,8.91132164,-7.508724213,3.447171211
51,1.55965472312e+18,5.151913166,-9.390709877,-20.34318161
52,1.55965472318e+18,13.01265907,-7.924671173,-15.17699718
53,1.55965472324e+18,-2.183080196,-8.215515137,5.279261589
54,1.5596547233e+18,8.899765015,-15.85680008,10.10673332
55,1.55965472336e+18,4.438249111,-6.907907009,26.66091537
56,1.55965472342e+18,-2.096551895,-3.709042072,19.72921562
57,1.55965472348e+18,-6.540407181,-0.4417514801,14.37130547
58,1.55965472354e+18,-6.493873119,1.986063957,7.443055153
59,1.5596547236e+18,-2.060394287,-2.801026344,2.262291431
60,1.55965472366e+18,-1.626000404,-10.16647816,-2.106189728
61,1.55965472372e+18,4.50549221,-4.779836178,-4.415546417
62,1.55965472378e+18,8.633916855,5.79541111,-8.605863571
63,1.55965472384e+18,10.65019226,10.60767269,-22.18102837
64,1.5596547239e+18,16.61852837,6.816683292,-2.566674709
65,1.55965472396e+18,9.502658844,8.963580132,2.123468161
66,1.55965472402e+18,-2.115169525,-4.405179024,14.14236069
67,1.55965472408e+18,-3.037804127,-18.56177902,23.11330795
68,1.55965472414e+18,-12.53210831,-11.03028679,15.76383209
69,1.5596547242e+18,-12.42316818,-0.2612190247,13.42765999
70,1.55965472426e+18,-10.06381607,3.211404324,12.52050018
71,1.55965472432e+18,-5.100622177,4.520469666,10.2288847
72,1.55965472438e+18,-1.444832087,8.743035316,6.689373016
73,1.55965472444e+18,-0.7859740257,5.825544357,1.605956078
74,1.5596547245e+18,-1.826843262,4.036076069,-5.309288502
75,1.55965472456e+18,3.728049517,1.860876322,-6.102164745
76,1.55965472462e+18,1.328211546,0.1291594505,-21.946064
