,Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2)
0,1.55965502106e+18,-1.89388895,-2.057972193,-4.204912186
1,1.55965502112e+18,-1.795442581,-2.039501905,-3.891320705
2,1.55965502118e+18,-2.345815182,-2.518607378,-4.42628479
3,1.55965502124e+18,-2.680607796,-2.274653673,-5.682616234
4,1.5596550213e+18,-1.413445473,-0.6462004185,-5.450512886
5,1.55965502136e+18,-1.450201035,-0.02394604683,-6.199796677
6,1.55965502142e+18,5.982524872,5.217791557,13.26593018
7,1.55965502147e+18,7.839064598,6.001999378,10.92855453
8,1.55965502153e+18,19.54131508,12.76242256,12.18302155
9,1.55965502159e+18,18.5170517,13.77695274,1.366909981
10,1.55965502165e+18,-13.43744946,-12.70151615,17.33141708
11,1.55965502171e+18,-3.454338312,-17.7434845,-6.683814526
12,1.55965502177e+18,0.143265605,-20.93793106,-3.706466675
13,1.55965502182e+18,5.249890327,-7.010424614,-6.01815176
14,1.55965502188e+18,7.07418251,-2.889393806,-6.07162714
15,1.55965502194e+18,4.814626694,-3.383879662,-3.12458849
16,1.55965502199e+18,6.42210865,-4.08864069,-1.886699677
17,1.55965502204e+18,6.706197739,-4.540270805,-0.5723018646
18,1.5596550221e+18,4.443624973,-3.920427322,-0.3517093658
19,1.55965502215e+18,3.046586514,-4.837771893,0.9949998856
20,1.55965502221e+18,-3.778366089,-9.694432259,2.166749954
21,1.55965502227e+18,-6.421951294,-4.650133133,0.9865298271
22,1.55965502233e+18,-6.228743553,-1.217000723,1.352161884
23,1.55965502238e+18,-4.784083366,2.410662651,1.99242878
24,1.55965502244e+18,-4.592378616,5.275504112,2.175200939
25,1.5596550225e+18,-5.921542168,4.879657745,2.465661049
26,1.55965502256e+18,-5.792552948,3.75723052,1.375652909
27,1.55965502261e+18,-6.78528595,3.386900187,2.240686893
28,1.55965502267e+18,-5.457707405,1.617356658,3.39467144
29,1.55965502273e+18,-5.177473068,-0.7809558511,2.676307201
30,1.55965502279e+18,-3.37082386,-2.266625643,-0.8597952127
31,1.55965502285e+18,2.471204758,-1.453777313,-3.443278551
32,1.55965502291e+18,4.265796661,-4.855185032,-4.149444103
33,1.55965502296e+18,6.071679592,-9.670051575,-3.403079987
34,1.55965502302e+18,3.875492096,-21.53746033,-6.767180443
35,1.55965502307e+18,-2.353313923,-10.51543617,-9.440008163
36,1.55965502313e+18,7.574534416,8.067189217,1.627842426
37,1.55965502319e+18,5.351867676,-2.249099731,6.261903763
38,1.55965502325e+18,2.773373127,3.488851547,12.63635254
39,1.5596550233e+18,5.565936089,6.548449993,14.91151619
40,1.55965502336e+18,9.550463676,9.786848068,16.61129379
41,1.55965502341e+18,15.17308426,12.74526787,13.72654438
42,1.55965502347e+18,18.13642311,11.5825758,3.633640289
43,1.55965502352e+18,-0.7240028977,-6.593864441,8.619815826
44,1.55965502358e+18,-14.46126366,-18.14271927,-16.12158966
45,1.55965502363e+18,-3.600090504,-10.8983717,-6.769918919
46,1.55965502368e+18,-1.810507655,-7.959894657,-6.295625687
47,1.55965502374e+18,2.515749216,-0.4526871443,-8.608338356
48,1.55965502379e+18,3.075078487,1.403797865,-6.985653877
49,1.55965502385e+18,3.039185524,-0.2835900187,-3.097948551
50,1.55965502391e+18,5.228846073,0.2893620133,-1.971893311
51,1.55965502397e+18,2.97291851,0.3563029766,-0.6087064743
52,1.55965502403e+18,2.175440788,-0.2376928329,-0.2954406738
53,1.55965502409e+18,-4.764050007,-3.352711201,3.406816006
54,1.55965502415e+18,-8.584421158,-3.56935215,4.866005898
55,1.5596550242e+18,-10.16261959,0.08919239044,2.506120682
56,1.55965502426e+18,-11.76616096,3.466476917,2.857055187
57,1.55965502431e+18,-13.69621277,5.612381458,2.105364561
58,1.55965502437e+18,-12.9231205,6.695039749,4.697421551
59,1.55965502442e+18,-12.0218153,7.964885235,3.855426788
60,1.55965502448e+18,-10.50232506,7.97365284,1.889650702
61,1.55965502453e+18,-9.718132973,6.500988007,1.956637025
62,1.55965502458e+18,-12.63679123,3.915850401,0.601421237
63,1.55965502464e+18,-6.579189301,2.809471369,1.544469357
64,1.5596550247e+18,-3.259853363,0.6173424721,-3.720211506
65,1.55965502476e+18,4.006608963,-1.492388129,-4.450243473
66,1.55965502482e+18,5.930921555,-3.8961339,-2.223172426
67,1.55965502487e+18,4.7495718,-6.518223763,-1.51832819
68,1.55965502493e+18,4.296536446,-9.131645203,-6.807384491
69,1.55965502499e+18,0.6280298233,-5.469718933,-11.74619579
70,1.55965502505e+18,21.54156113,-11.38458538,37.86016846
71,1.55965502511e+18,-1.075050354,16.016819,12.41689682
72,1.55965502517e+18,-7.188259125,7.606448174,14.2386446
73,1.55965502523e+18,-0.0298871994,9.530684471,16.35320282
74,1.55965502529e+18,2.112255573,11.40017509,17.62874413
75,1.55965502534e+18,4.508183956,10.66342735,18.12934303
76,1.55965502539e+18,8.49516964,10.41805458,18.599823
77,1.55965502544e+18,20.08596039,16.03718376,12.27857971
78,1.5596550255e+18,23.53840065,9.99058342,8.362182617
79,1.55965502555e+18,-17.13920212,-8.872775078,15.63301277
80,1.55965502561e+18,-8.427536011,-5.697005272,-8.160776138
81,1.55965502567e+18,-0.6057345867,-8.331899643,-2.174709797
82,1.55965502573e+18,0.004725456238,3.984955549,-9.960593224
83,1.55965502579e+18,3.139864683,6.758682728,-7.830000877
84,1.55965502585e+18,2.815471649,4.703374386,-3.793909073
85,1.5596550259e+18,4.790267467,3.208467007,-2.123330593
86,1.55965502596e+18,6.067148209,3.413944721,0.6381158829
87,1.55965502601e+18,5.915612221,4.944665432,3.474636078
88,1.55965502607e+18,5.208391666,5.222539425,3.668403625
89,1.55965502612e+18,-0.4168930054,-0.3880414963,5.438471317
90,1.55965502617e+18,-6.797128677,1.587104797,5.626919746
91,1.55965502623e+18,-9.799206734,1.875038147,1.476059675
92,1.55965502628e+18,-8.671470642,6.679680824,4.120991707
93,1.55965502634e+18,-9.465705872,6.154823303,-0.8848468065
94,1.5596550264e+18,-8.456547737,7.696332932,-0.1949121952
95,1.55965502646e+18,-4.011802197,4.986929417,0.7041606903
96,1.55965502651e+18,-1.501726151,5.34643364,1.691853523
97,1.55965502657e+18,-3.116318703,4.135468006,0.9895720482
98,1.55965502663e+18,-4.156801224,3.713487148,-0.4360363483
99,1.55965502668e+18,-3.811641216,3.902848005,-0.4049088955
100,1.55965502673e+18,-6.302126884,5.776769638,-2.726102829
101,1.55965502679e+18,-2.724227905,3.699274302,-1.874372244
102,1.55965502684e+18,1.974001408,0.8976185322,-2.301642179
103,1.5596550269e+18,8.445635796,-4.561215878,-1.461698771
104,1.55965502695e+18,3.773816586,-8.119287491,-2.439007282
105,1.55965502701e+18,-0.5392112732,-4.214748383,-0.9537700415
106,1.55965502706e+18,-1.597775459,-1.106307507,-0.009379565716
107,1.55965502712e+18,-4.091779709,3.375451565,2.199813843
108,1.55965502717e+18,-10.51272583,6.428233147,3.485598803
109,1.55965502723e+18,-3.946904182,5.515834808,2.085755825
110,1.55965502728e+18,-2.074075699,0.4730479717,0.4106011391
111,1.55965502734e+18,0.3040933609,0.257584244,-1.905172348
112,1.55965502739e+18,2.137853622,-2.654081345,-5.214007854
113,1.55965502745e+18,1.875318527,-2.162886381,-3.675754547
114,1.55965502751e+18,0.4103403091,-6.48994875,7.971461296
115,1.55965502756e+18,-2.182636261,1.937613964,-4.009029865
116,1.55965502762e+18,20.32569313,0.2396259308,0.3977513313
117,1.55965502768e+18,10.9968214,2.45586586,-4.940893173
118,1.55965502773e+18,4.071436882,2.5546031,-4.986087799
119,1.55965502779e+18,5.228882313,0.09434604645,-1.232659817
120,1.55965502785e+18,4.347903728,-0.3168735504,2.554947853
121,1.5596550279e+18,4.901537895,-3.804977655,1.739896774
122,1.55965502795e+18,2.711464643,-3.652560711,-0.3963828087
123,1.55965502801e+18,1.579312325,-1.680036068,-2.508193016
124,1.55965502807e+18,1.252383709,-1.028898001,-0.5829539299
125,1.55965502813e+18,0.7966480255,-0.3495638371,-2.9406147
126,1.55965502819e+18,0.3899450302,0.8480350971,-0.8995299339
127,1.55965502825e+18,3.531816483,1.578129053,1.768942833
128,1.5596550283e+18,13.42205524,4.951424599,1.984059334
129,1.55965502836e+18,25.27019119,14.67414474,-5.492677212
130,1.55965502841e+18,13.19294357,1.255415678,-2.011559963
131,1.55965502847e+18,-15.82341194,-12.32963753,15.35511208
132,1.55965502852e+18,-21.45873833,-29.64512634,8.557321548
133,1.55965502858e+18,-6.873943806,-10.24951839,-3.649058104
134,1.55965502864e+18,-2.782774925,-4.352919579,-6.625590324
135,1.5596550287e+18,0.9652719498,0.3158097267,-5.523053169
136,1.55965502876e+18,1.323406696,0.2069356441,-4.6882267
137,1.55965502881e+18,1.844408035,-0.1314166784,-3.466990948
138,1.55965502886e+18,1.653030038,1.127434373,-1.558474541
139,1.55965502892e+18,0.2348150611,-1.79699707,1.887961388
140,1.55965502898e+18,-3.719463825,-5.6684165,1.174586296
141,1.55965502904e+18,-4.463538647,-2.881267548,0.04603862762
142,1.5596550291e+18,-6.587788105,-0.8306698799,-0.9233469963
143,1.55965502916e+18,-5.915773869,2.455397367,-0.384619236
144,1.55965502921e+18,-5.405379295,4.175528526,0.5550179482
145,1.55965502927e+18,-4.904645443,4.974015713,0.3473553658
146,1.55965502932e+18,-4.762365341,3.41750288,-0.0111951828
147,1.55965502938e+18,-4.713703156,0.5423517227,0.9009718895
148,1.55965502944e+18,-1.985383987,0.0600528717,0.8750343323
149,1.5596550295e+18,0.4974441528,0.7479455471,-0.06613111496
150,1.55965502955e+18,0.8383398056,0.08688354492,0.685110569
151,1.55965502961e+18,-0.146985054,0.3937339783,3.469986439
152,1.55965502966e+18,-2.183032036,-0.03083753586,3.953901768
153,1.55965502972e+18,-2.881599426,1.854422569,6.860488892
154,1.55965502977e+18,-7.587360382,-3.590193033,10.07273769
155,1.55965502983e+18,-3.072181702,-5.128377914,5.903367996
156,1.55965502989e+18,1.720282555,-4.403396606,-2.393992186
157,1.55965502995e+18,3.842302799,-5.143805027,-5.9578228
158,1.55965503001e+18,7.526121616,-7.962409973,-3.846574545
159,1.55965503007e+18,6.362776279,-9.09660244,-0.8665537834
160,1.55965503012e+18,-0.4777164459,-14.7473774,-2.254081249
161,1.55965503018e+18,-3.978585243,-16.22140312,-8.540692329
162,1.55965503023e+18,0.2240514755,0.6413369179,-41.29117203
163,1.55965503029e+18,-4.296769142,-2.74951148,-3.039252758
164,1.55965503035e+18,-6.354240417,10.04293823,-7.064416885
165,1.55965503041e+18,-8.670085907,11.00452709,-9.095571518
166,1.55965503047e+18,-3.93297863,9.32669735,-5.45275116
167,1.55965503053e+18,0.8871269226,8.737560272,-0.8181643486
168,1.55965503058e+18,-0.6752872467,4.586509705,-3.083400249
169,1.55965503064e+18,4.26839447,4.41596365,-4.012910843
170,1.5596550307e+18,4.234661102,6.008618832,-2.831825256
171,1.55965503075e+18,-0.3971539736,10.33322525,2.011444569
172,1.5596550308e+18,1.122368574,18.77981567,0.3333954811
173,1.55965503086e+18,-0.4061121941,19.65157509,-7.496308327
174,1.55965503091e+18,-9.257247925,-5.035593033,13.99776077
175,1.55965503097e+18,-24.2672863,-23.81264877,-23.38626671
176,1.55965503102e+18,10.06811428,-27.82515907,12.91601181
177,1.55965503108e+18,-2.073166609,-11.22920418,-8.874250412
178,1.55965503114e+18,7.411598682,1.803512096,-5.116875648
179,1.5596550312e+18,-1.794639587,-2.363307476,-3.348407745
180,1.55965503126e+18,0.7201211452,-2.961540222,-2.711447716
181,1.55965503132e+18,1.912570477,-2.769545555,0.4794425964
182,1.55965503137e+18,1.277680159,-2.297677755,2.437720299
183,1.55965503143e+18,1.140120387,-1.517798662,1.966144562
184,1.55965503149e+18,0.126003027,-1.177972794,0.570939064
185,1.55965503155e+18,-4.251265526,-2.374075413,1.315742016
186,1.55965503161e+18,-7.225919247,-0.9450764656,-1.170902491
187,1.55965503167e+18,-7.09828949,3.631434917,1.134846926
188,1.55965503173e+18,-4.901431084,4.346538067,-1.980386019
189,1.55965503179e+18,-4.924488544,3.937992096,-1.269593954
190,1.55965503184e+18,-3.198475838,2.271175146,-1.428354025
191,1.5596550319e+18,-2.994673252,0.4199752808,-0.8784127235
192,1.55965503196e+18,-2.540412903,-0.8682932854,-0.5825805664
193,1.55965503202e+18,-1.49738121,-0.284678936,1.462573528
194,1.55965503207e+18,-3.592962265,0.06308543682,1.855318069
195,1.55965503213e+18,-3.675451279,2.041659117,1.604646683
196,1.55965503218e+18,-4.074015617,3.038344622,0.08914804459
197,1.55965503224e+18,-3.313986778,8.113958359,-6.245847225
198,1.5596550323e+18,5.911585331,6.960350037,-6.99590683
199,1.55965503236e+18,-10.45913792,-12.59422016,-3.821443796
200,1.55965503242e+18,-4.387412548,-4.256361008,-6.387258053
201,1.55965503248e+18,3.418934584,-1.440282583,-5.346158981
202,1.55965503253e+18,5.426308155,-9.5008564,-5.527861118
203,1.55965503258e+18,1.386037827,-13.16480541,-19.60890579
204,1.55965503263e+18,-2.840345383,-19.66911697,-4.619690418
205,1.55965503269e+18,4.246800423,-2.981352568,-3.524407148
206,1.55965503274e+18,5.014647484,-6.701080799,9.707271576
207,1.5596550328e+18,-7.370454788,-4.664514065,9.392944336
208,1.55965503286e+18,-5.524722099,-6.105895042,15.66062355
209,1.55965503292e+18,-8.360647202,-2.14833951,11.95099258
210,1.55965503297e+18,-3.152230263,-4.012527466,11.34864044
211,1.55965503303e+18,-1.595724106,-1.458760262,6.854552269
212,1.55965503308e+18,0.7738265991,-0.221978426,2.988488197
213,1.55965503314e+18,0.3774824142,1.512894273,0.7733316422
214,1.5596550332e+18,1.659451962,1.002691507,0.5959048271
215,1.55965503326e+18,3.698488474,1.508652568,1.000882149
216,1.55965503331e+18,12.31687832,5.351205826,2.471421242
217,1.55965503337e+18,23.14303017,12.05469131,-0.7541189194
218,1.55965503342e+18,8.698462486,-3.72462368,1.302399635
219,1.55965503348e+18,-22.48256874,-17.57086372,-6.684159279
220,1.55965503353e+18,-8.941057205,-17.52169037,3.195167542
221,1.55965503359e+18,0.01699862815,-5.246478081,-4.89786911
222,1.55965503364e+18,4.897079468,0.4988620281,-6.510886192
223,1.55965503369e+18,3.597213745,1.614585638,-6.713160515
224,1.55965503375e+18,4.685378551,2.103539944,-4.951479435
225,1.5596550338e+18,4.311122417,1.19114852,-2.822728634
226,1.55965503386e+18,3.439470291,0.5733948946,-0.7990579605
227,1.55965503392e+18,2.081758738,-1.29102695,1.081716537
228,1.55965503398e+18,-0.268260479,-1.801849723,-3.099185944
229,1.55965503404e+18,-4.669190884,-3.248494148,-0.6388764381
230,1.5596550341e+18,-4.693737984,-0.3106923103,-1.960199833
231,1.55965503416e+18,-5.512518883,1.862671852,-0.468360424
232,1.55965503421e+18,-4.865711212,3.107901812,0.8213009834
233,1.55965503427e+18,-7.09676218,3.654306173,2.555447578
234,1.55965503432e+18,-9.727711678,3.627050877,4.958395481
235,1.55965503438e+18,-11.77686691,5.721048355,4.911086559
236,1.55965503443e+18,-8.961167336,4.600626945,6.532282829
237,1.55965503449e+18,-3.984332561,3.036821604,4.524065495
238,1.55965503454e+18,-1.335456371,4.89923811,4.887513161
239,1.5596550346e+18,3.90763998,8.495247841,2.295881033
240,1.55965503466e+18,6.050723076,2.032117367,4.410646915
241,1.55965503472e+18,-8.568089485,3.16160059,-2.202293634
242,1.55965503478e+18,-8.283988953,1.9882164,-7.353654861
243,1.55965503484e+18,3.03006506,3.844430923,-3.974737167
244,1.55965503489e+18,7.16911459,-2.690442562,-3.66940093
245,1.55965503494e+18,0.3557424545,-12.30558395,-5.536245346
246,1.559655035e+18,0.1139125824,-20.42928696,-11.92503357
247,1.55965503505e+18,-10.12964725,-11.72470284,-12.06066895
248,1.55965503511e+18,9.021541595,20.75829506,20.70227242
249,1.55965503517e+18,-12.61749554,-4.619838715,7.87357235
250,1.55965503523e+18,-8.908936501,1.944052458,8.360346794
251,1.55965503529e+18,1.369766235,3.186691046,2.28463316
252,1.55965503535e+18,-0.6162824631,3.289147139,9.155225754
253,1.55965503541e+18,2.993833065,1.745669127,2.505057812
254,1.55965503546e+18,4.141963959,3.006878138,-1.24104929
255,1.55965503552e+18,2.648300171,1.818037629,0.1905183792
256,1.55965503557e+18,0.3868741989,2.753058672,0.5155153275
257,1.55965503563e+18,0.02835845947,3.616059303,2.572155952
258,1.55965503569e+18,9.168334961,7.004909515,8.854604721
259,1.55965503574e+18,16.20326424,16.17386436,9.161439896
260,1.55965503579e+18,13.01500988,18.25473213,3.378403664
261,1.55965503585e+18,-25.93389893,-6.645914078,6.683447838
262,1.5596550359e+18,-3.238534927,-23.88362885,-9.828804016
263,1.55965503596e+18,-5.089048862,-19.07905769,-2.8116889
264,1.55965503602e+18,4.120601654,-5.110023975,-9.837874413
265,1.55965503608e+18,5.52520752,0.04035377502,-6.57245636
266,1.55965503614e+18,2.478687525,-3.2468822,-3.281839848
267,1.5596550362e+18,5.776531696,-3.438568592,-1.564120293
268,1.55965503626e+18,4.172054768,-1.100733995,-0.2821016312
269,1.55965503631e+18,1.624329567,-2.843973637,3.060440063
270,1.55965503637e+18,-1.209731102,-7.031332016,4.276904583
271,1.55965503643e+18,-7.475827694,-4.377586365,2.382749557
272,1.55965503649e+18,-11.07769203,-0.5675363541,0.3610010147
273,1.55965503655e+18,-8.91312027,5.267052174,-1.321460485
274,1.55965503661e+18,-7.027897835,8.696318626,-1.304159045
275,1.55965503667e+18,-6.08809185,6.025242805,-1.049737573
276,1.55965503672e+18,-4.598186016,3.828877211,-1.965213656
277,1.55965503677e+18,-4.237898827,1.159237385,-1.56458354
278,1.55965503682e+18,-3.362271309,-1.251871586,-1.628752232
279,1.55965503688e+18,-2.257949829,-2.119668484,-1.291550636
280,1.55965503693e+18,-0.3897533417,-3.247866869,-1.124474525
281,1.55965503699e+18,2.059207916,-2.48840332,-0.362067461
282,1.55965503704e+18,1.377827168,-1.740932941,0.09294223785
283,1.55965503709e+18,1.055503845,0.8205133677,0.3252487183
284,1.55965503715e+18,-2.089182854,1.949340343,1.23930645
285,1.55965503721e+18,-1.968090057,1.508381963,2.050991774
286,1.55965503727e+18,-6.138279915,0.9343400002,4.429931641
287,1.55965503732e+18,-6.730596542,0.4571425915,5.032556534
288,1.55965503738e+18,-1.35278368,0.1885857582,2.791598797
289,1.55965503744e+18,2.723628521,1.327427864,-1.226107597
290,1.5596550375e+18,2.547772408,-1.592982769,-1.589922905
291,1.55965503755e+18,-0.7500207424,-4.489530087,-4.765428066
292,1.55965503761e+18,0.5179746151,-7.883984089,-3.41103673
293,1.55965503767e+18,-3.767157793,-13.37710381,-4.762098789
294,1.55965503773e+18,5.349689484,-8.47119236,-31.95549202
295,1.55965503779e+18,17.61657524,1.718032837,-15.00672913
296,1.55965503785e+18,5.899971485,-3.721450806,-2.585916519
297,1.55965503791e+18,2.810578823,-0.5159826279,-5.10036087
298,1.55965503796e+18,3.532048464,-0.1027984619,-3.02288413
299,1.55965503802e+18,-2.365562916,-1.411551476,-3.354694843
300,1.55965503807e+18,-2.302119255,-0.309094429,-3.879382372
301,1.55965503813e+18,5.110793114,1.16637516,3.294709206
302,1.55965503819e+18,3.362647057,0.3778891563,2.721747398
303,1.55965503825e+18,2.128208637,1.720132351,3.362106323
304,1.5596550383e+18,2.6297369,2.978846073,3.573741913
305,1.55965503836e+18,4.723889351,1.807002544,2.549707413
306,1.55965503841e+18,8.241568565,4.282738686,5.978014946
307,1.55965503847e+18,15.95373535,9.215055466,7.829831123
308,1.55965503852e+18,19.42132187,15.52383041,2.077654839
309,1.55965503858e+18,-0.6340193748,-3.339200497,8.949842453
310,1.55965503864e+18,-6.513701439,-15.42165756,-31.3474102
311,1.5596550387e+18,-4.959227085,-30.67828178,-1.912943363
312,1.55965503875e+18,-1.170471787,-11.56028557,-5.199172974
313,1.5596550388e+18,3.361577988,-3.238569021,-10.01727486
314,1.55965503885e+18,2.421856403,-1.265574932,-5.126382828
315,1.55965503891e+18,1.563417912,-3.330764771,-3.276628017
316,1.55965503896e+18,2.685765505,-4.047971249,-2.005618572
317,1.55965503902e+18,2.029654026,-4.339237213,1.103420258
318,1.55965503907e+18,0.9270727634,-3.688643932,1.446030617
319,1.55965503913e+18,-0.5274682045,-5.697517395,0.2231264114
320,1.55965503918e+18,-6.446687698,-4.950005054,1.308678627
321,1.55965503923e+18,-8.73503685,-3.769050598,-0.6963150501
322,1.55965503929e+18,-9.584115982,0.9045944214,1.315919638
323,1.55965503934e+18,-8.202987671,3.989944458,1.156523466
324,1.5596550394e+18,-9.141004562,6.129586697,-0.1204326153
325,1.55965503946e+18,-7.266930103,6.722330093,-0.4413888454
326,1.55965503952e+18,-4.630029678,5.79485178,-0.1405982971
327,1.55965503957e+18,-3.589061737,3.187089205,-0.1378698349
328,1.55965503963e+18,-6.892967701,-1.679343224,0.3431575298
329,1.55965503969e+18,-6.152750969,-4.106115818,4.391940594
330,1.55965503974e+18,-0.8322582245,-4.599440575,8.472755432
331,1.5596550398e+18,7.162566662,-3.173671246,15.13759518
332,1.55965503986e+18,4.713794708,1.069852591,10.48864174
333,1.55965503991e+18,-0.993888855,-0.5856742859,5.663721085
334,1.55965503997e+18,-1.325425148,-12.17096901,2.340391874
335,1.55965504002e+18,2.465827465,-12.91261482,-3.847439766
336,1.55965504008e+18,8.752029419,-15.49407387,1.238832474
337,1.55965504014e+18,4.383244514,-15.31377029,-6.455929756
338,1.5596550402e+18,27.20298576,-1.539506793,-52.48868179
339,1.55965504025e+18,-10.43984699,-12.50283432,-17.25689316
340,1.55965504031e+18,-0.2128896713,2.948302746,-14.65507793
341,1.55965504037e+18,-13.88194275,-2.095072746,-12.60990524
342,1.55965504043e+18,-13.91755104,0.4682226181,-13.77222157
343,1.55965504048e+18,-16.74053955,1.093676567,-14.43284988
344,1.55965504054e+18,-14.74507141,7.190373421,-8.706163406
345,1.55965504059e+18,-9.976895332,7.442406178,-10.29360199
346,1.55965504065e+18,-2.735524178,7.75239563,-4.051628113
347,1.55965504071e+18,-0.1266775131,6.309096336,-2.833239555
348,1.55965504076e+18,1.721682549,4.791783333,-2.326821327
349,1.55965504081e+18,1.530204296,2.885483027,-1.685935736
350,1.55965504087e+18,1.084737778,1.653684855,-4.181602955
351,1.55965504092e+18,-1.13816309,1.763399363,-1.622106552
352,1.55965504098e+18,0.6855101585,0.699098289,-2.663225412
353,1.55965504103e+18,0.6652879715,1.394532919,0.1177911758
354,1.55965504109e+18,2.791653395,4.337042809,5.383780479
355,1.55965504115e+18,12.84494877,11.09350777,11.87469006
356,1.55965504121e+18,15.15009117,15.36662579,2.163243294
357,1.55965504126e+18,-5.522521496,-9.990008354,5.815995216
358,1.55965504132e+18,-11.67751598,-20.58367157,-11.41961002
359,1.55965504138e+18,1.349092484,-20.86063576,8.739033699
360,1.55965504144e+18,4.319113731,-9.826102257,-5.281017303
361,1.5596550415e+18,6.02388382,-3.483592749,-5.695115089
362,1.55965504156e+18,3.843066692,-4.868374825,-2.241473198
363,1.55965504162e+18,5.939948559,-4.670057774,0.04295635223
364,1.55965504167e+18,5.212491035,-5.346387863,1.230304718
365,1.55965504173e+18,3.609519958,-4.616708755,1.019542694
366,1.55965504178e+18,1.063323498,-5.281702995,2.209422112
367,1.55965504184e+18,-2.912393093,-3.201248884,2.726106167
368,1.5596550419e+18,-7.762290001,-1.857270241,0.1875112057
369,1.55965504196e+18,-6.575450897,3.839909077,3.018759012
370,1.55965504202e+18,-8.360795021,4.543694496,-0.9802571535
371,1.55965504207e+18,-9.493813515,5.043812752,0.4503222704
372,1.55965504212e+18,-8.974862099,4.788078308,0.2411804795
373,1.55965504217e+18,-6.907214165,5.141475677,-0.8252888918
374,1.55965504223e+18,-3.554989338,4.612196922,1.229756832
375,1.55965504228e+18,-1.950697422,4.497125626,1.157265663
376,1.55965504234e+18,-3.18126297,3.565607309,-0.3155363798
377,1.55965504239e+18,-4.138612747,3.189912319,-0.1768679023
378,1.55965504244e+18,-5.268263817,2.13498497,-0.2640267015
379,1.5596550425e+18,-2.269652367,2.187594891,0.9315108061
380,1.55965504255e+18,-2.284166336,0.7269964218,-0.3413673639
381,1.55965504261e+18,2.157763958,0.5849092007,-2.039727449
382,1.55965504267e+18,5.069643021,-0.05207657814,-2.321894884
383,1.55965504273e+18,6.611393929,-1.57266736,-3.087596655
384,1.55965504279e+18,10.07983589,-4.906282902,0.3953278065
385,1.55965504285e+18,5.63874054,-19.40405083,-8.096878052
386,1.55965504291e+18,-4.365320206,-11.61761284,-3.377097607
387,1.55965504296e+18,7.304299355,1.040584683,27.61739159
388,1.55965504302e+18,-20.39479828,-1.599529266,0.34435004
389,1.55965504307e+18,-6.086352348,1.914234042,9.264086723
390,1.55965504313e+18,-13.55351543,4.766644955,4.065275669
391,1.55965504319e+18,-8.560277939,5.949719429,6.147418976
392,1.55965504325e+18,-1.952208519,12.11363888,4.775422573
393,1.5596550433e+18,5.524553299,7.653100967,8.16713047
394,1.55965504336e+18,-0.157125473,7.954394341,5.83276844
