,Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2)
0,1.55965532206e+18,-1.323709488,-0.2699060142,-1.918762684
1,1.55965532212e+18,-2.120688438,-0.3696029186,-2.444156647
2,1.55965532218e+18,-2.932946205,-0.4699842036,-2.873519897
3,1.55965532224e+18,-3.625015497,-0.6141479611,-3.165940285
4,1.5596553223e+18,-4.305796623,-0.798822403,-3.391996384
5,1.55965532236e+18,-4.860767365,-1.011884332,-3.530990601
6,1.55965532242e+18,3.640368462,0.01024979353,-0.7067422867
7,1.55965532248e+18,2.644477606,-0.2737755179,-0.8453426361
8,1.55965532254e+18,2.917277575,-0.7873053551,-0.5257892609
9,1.5596553226e+18,1.831405163,-1.980771542,-0.4607963562
10,1.55965532266e+18,2.679437399,-1.651455641,0.4962244034
11,1.55965532272e+18,0.3601067066,-2.039502144,-1.682438374
12,1.55965532278e+18,-0.2663927078,-1.042443037,-1.04660511
13,1.55965532284e+18,-4.024021149,2.079499722,-0.9579172134
14,1.5596553229e+18,-1.546329021,3.652086496,-0.2912578583
15,1.55965532296e+18,-0.9474196434,3.711434841,1.014797211
16,1.55965532302e+18,-0.6136074066,6.146329403,-1.908726215
17,1.55965532308e+18,1.112071991,3.354455948,0.4364256859
18,1.55965532314e+18,-0.33086586,1.101594806,1.238996029
19,1.5596553232e+18,-0.1073331833,-2.903039455,0.7033109665
20,1.55965532326e+18,0.6854977608,-3.482331276,2.533257008
21,1.55965532332e+18,3.169990301,-2.403844357,6.143698692
22,1.55965532338e+18,-3.016863823,0.486092627,-2.914068222
23,1.55965532344e+18,0.3232860565,-1.34038806,-1.360481262
24,1.5596553235e+18,-1.647924423,-1.390471458,0.746881485
25,1.55965532356e+18,-2.423131227,0.0859606266,-1.578304291
26,1.55965532362e+18,-0.5169767141,0.9425458908,-2.21385622
27,1.55965532368e+18,-0.5175123215,1.454218864,-2.696326256
28,1.55965532374e+18,0.4185900092,2.155689001,-2.231611729
29,1.5596553238e+18,-1.03032577,0.8037683964,-1.36374855
30,1.55965532386e+18,1.429973006,1.48238492,-0.880197525
31,1.55965532392e+18,1.478910327,2.41385746,-0.3383674622
32,1.55965532398e+18,1.866065502,1.893572092,0.1765623093
33,1.55965532404e+18,1.459382772,0.5539357662,-0.873380661
34,1.5596553241e+18,-1.427743077,-0.04443287849,-1.432111263
35,1.55965532416e+18,-1.053897858,0.2609789371,-2.152105331
36,1.55965532422e+18,0.1520174891,-1.12752223,-1.519118786
37,1.55965532428e+18,-0.8215043545,-2.30001688,-1.724411011
38,1.55965532434e+18,0.2035585046,-0.2369585037,-0.4808425903
39,1.5596553244e+18,-0.5195887089,0.6313080788,-0.06005191803
40,1.55965532446e+18,0.364180088,-0.1288073063,1.013375282
41,1.55965532452e+18,0.9121222496,-1.611881495,1.777481079
42,1.55965532458e+18,1.648604274,-1.005007982,1.71560955
43,1.55965532464e+18,1.902950287,-0.455978483,1.628089905
44,1.5596553247e+18,1.007456899,-0.3016603291,0.4758071899
45,1.55965532476e+18,1.350619078,-0.2891194224,0.642578125
46,1.55965532482e+18,2.276751041,0.6627908945,0.667678833
47,1.55965532488e+18,1.601201534,0.4887076616,0.3894424438
48,1.55965532494e+18,0.5416939259,0.7622891665,-0.8764181137
49,1.559655325e+18,0.1682929993,1.201011658,-0.5981121063
50,1.55965532506e+18,-0.7842717171,0.2817998528,-0.5271606445
51,1.55965532512e+18,0.715190053,0.4465446472,0.2610425949
52,1.55965532518e+18,-2.95255661,-1.605750799,0.9758272171
53,1.55965532524e+18,-0.5357310772,-0.6372537017,0.5890102386
54,1.55965532529e+18,-1.736817598,-0.7216497064,0.3142147064
55,1.55965532535e+18,-1.190632582,-0.9482542276,-0.7997264862
56,1.55965532541e+18,0.2005593777,0.04378819466,-0.1085882187
57,1.55965532547e+18,0.4559276104,-0.2382192314,-0.7140254974
58,1.55965532553e+18,0.257030189,0.4524031878,-1.141393661
59,1.55965532559e+18,-0.707519412,-0.5348956585,0.1947212219
60,1.55965532565e+18,-1.822330594,-0.8239209652,0.884718895
61,1.55965532571e+18,-0.1064883918,-1.168738127,3.727720261
62,1.55965532577e+18,-1.332345247,-1.433956146,-0.7720174789
63,1.55965532583e+18,0.4021046162,-2.016338348,-1.604692936
64,1.55965532589e+18,0.1101357937,-2.120586157,-2.384366989
65,1.55965532595e+18,-1.31930685,-2.64253521,-1.499033928
66,1.55965532601e+18,-0.5777857304,-2.119327545,-0.4626197815
67,1.55965532607e+18,-0.5678703785,0.445572257,-0.9375457764
68,1.55965532613e+18,-0.455930829,1.439935446,-0.03508663177
69,1.55965532619e+18,0.5258412361,1.767509937,0.6741285324
70,1.55965532625e+18,-0.06910252571,2.23293972,-0.3512296677
71,1.55965532631e+18,0.676857233,1.280600548,0.1752338409
72,1.55965532637e+18,0.646914959,1.426245213,0.16751194
