,Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2)
0,1.55965562306e+18,-1.381830692,-0.5691301823,-0.8929052353
1,1.55965562312e+18,-1.318243027,-0.4228773117,-0.8864197731
2,1.55965562318e+18,-1.209382057,-0.2531242371,-0.8391289711
3,1.55965562324e+18,-1.210445404,-0.1021146774,-0.8906917572
4,1.5596556233e+18,-1.130459309,0.04861974716,-0.8572540283
5,1.55965562336e+18,-1.242420673,0.05585050583,-0.9710402489
6,1.55965562342e+18,0.4535226822,-1.615833044,-0.4488139153
7,1.55965562348e+18,0.2924265862,-1.192009211,-1.385138512
8,1.55965562354e+18,-0.15990448,-1.00941062,-1.252623081
9,1.5596556236e+18,-1.378222942,-0.783701241,-0.6411309242
10,1.55965562366e+18,-0.8248271942,-0.8828703761,0.2518811226
11,1.55965562372e+18,-1.917017937,-1.169694185,-0.2158398628
12,1.55965562378e+18,-0.3752732277,-0.7712766528,0.1811800003
13,1.55965562384e+18,1.106580257,-0.6659594774,-1.060032368
14,1.5596556239e+18,5.141727924,-0.2655735016,-6.093811512
15,1.55965562396e+18,4.343934059,0.0875222683,-5.640164375
16,1.55965562402e+18,1.605856657,-0.1118569374,0.01213741302
17,1.55965562408e+18,-2.573753834,-1.121837497,-1.422036648
18,1.55965562414e+18,0.8755636215,-1.920441985,0.27891922
19,1.5596556242e+18,4.939919472,-1.543548346,4.671070099
20,1.55965562426e+18,7.355490208,0.1778838634,6.353130341
21,1.55965562432e+18,6.961035252,0.4633209705,4.15538311
22,1.55965562438e+18,0.9365291595,-0.7985765934,-1.099034786
23,1.55965562444e+18,-0.4924693108,-1.917788506,-4.27961731
24,1.5596556245e+18,-3.1318326,-2.771741867,-8.600498199
25,1.55965562456e+18,-8.402369499,-2.11781621,-13.42352676
26,1.55965562462e+18,-5.688467979,-4.268029213,-10.2387352
27,1.55965562468e+18,-2.343057871,-3.345252514,-6.363814831
28,1.55965562474e+18,3.010685921,-6.937217712,6.604784012
29,1.5596556248e+18,-3.286937237,-15.19820404,-2.405926704
30,1.55965562486e+18,13.64206219,-8.139035225,9.513050079
31,1.55965562492e+18,3.328890324,-1.360693455,6.617767811
32,1.55965562498e+18,1.093512058,2.326543808,3.393294334
33,1.55965562504e+18,1.399863243,3.049492598,1.711215019
34,1.5596556251e+18,2.162426949,2.924330235,4.187699318
35,1.55965562516e+18,2.290126801,2.632694721,-0.1543841362
36,1.55965562522e+18,-0.1473269463,-2.009424686,-6.512399197
37,1.55965562528e+18,-5.796600819,-3.183337927,-10.60985374
38,1.55965562534e+18,-9.440164566,0.09909427166,2.477458
39,1.5596556254e+18,-10.0664072,5.28744936,-12.18465614
40,1.55965562546e+18,0.8567919731,-13.66475677,7.018595219
41,1.55965562552e+18,11.03111267,-15.85926628,10.02710915
42,1.55965562558e+18,0.707801342,0.5578522682,6.987774849
43,1.55965562564e+18,1.335923672,14.18402863,4.030705452
44,1.5596556257e+18,2.662327766,12.01145744,3.6925807
45,1.55965562576e+18,4.009000301,2.773540497,5.59813261
46,1.55965562582e+18,4.056775093,-9.845182419,2.974770546
47,1.55965562588e+18,1.91380167,-1.064069033,-0.05638504028
48,1.55965562594e+18,5.955626488,-2.787046432,8.612224579
49,1.559655626e+18,-18.2769146,8.4383564,-22.41293716
50,1.55965562606e+18,-11.22353554,2.598588228,-15.50160027
51,1.55965562612e+18,-7.554534912,-12.12175655,11.7990818
52,1.55965562618e+18,7.7739048,-23.39179611,10.28201962
53,1.55965562623e+18,2.60793972,-12.08108521,8.113248825
54,1.55965562629e+18,2.521402359,-3.954821587,9.416707039
55,1.55965562635e+18,-2.648661137,6.924100876,1.418455124
56,1.55965562641e+18,-1.776321411,10.5196209,-1.555700302
57,1.55965562647e+18,1.409694672,5.009299278,-1.658089161
58,1.55965562653e+18,-2.045731544,-14.15666866,1.202094078
59,1.55965562659e+18,-3.068171978,-6.219268322,15.84083271
60,1.55965562665e+18,-20.24662399,18.94245148,-15.27740479
61,1.55965562671e+18,1.132584572,-12.21532249,8.330316544
62,1.55965562677e+18,-3.815886736,-5.970094204,-15.3887558
