,Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2)
0,1.55965592406e+18,9.677607536,8.049687386,8.694854736
1,1.55965592412e+18,9.670546532,7.181698799,7.168007851
2,1.55965592418e+18,9.381293297,6.187523842,5.7326231
3,1.55965592424e+18,7.295031548,3.459717035,2.669112682
4,1.5596559243e+18,3.170752287,0.8098435402,1.039604187
5,1.55965592436e+18,0.4454232156,-0.2098875046,1.149787903
6,1.55965592442e+18,1.77456665,0.3584532738,-1.000574589
7,1.55965592448e+18,1.81099999,-0.07859277725,-1.173246384
8,1.55965592454e+18,1.564740539,-0.3192920685,-0.676838398
9,1.5596559246e+18,0.3407047987,-0.8477759361,-2.322183132
10,1.55965592466e+18,0.9016110897,-1.863949299,-3.703576803
11,1.55965592472e+18,2.895653963,-2.041442394,-2.369577408
12,1.55965592478e+18,2.967927933,-1.468341351,-1.655319691
13,1.55965592484e+18,2.124755383,0.289899826,-1.218836308
14,1.5596559249e+18,1.39581871,-0.4090328217,-0.249320507
15,1.55965592496e+18,0.4836540222,-1.450881481,0.8507900238
16,1.55965592502e+18,-0.9056749344,-2.320928097,-0.1255083084
17,1.55965592508e+18,1.359772205,-2.615941525,0.5523195267
18,1.55965592514e+18,-0.05341339111,-2.436214685,0.7720370293
19,1.5596559252e+18,2.380375385,-2.538054228,2.087318897
20,1.55965592526e+18,0.4444932938,-0.9033353329,-0.4222726822
21,1.55965592532e+18,-0.08750534058,-0.2123532295,-0.2644052505
22,1.55965592538e+18,0.4894652367,0.5873317719,-1.564680576
23,1.55965592544e+18,-0.6157522202,1.464467764,-1.998744488
24,1.5596559255e+18,2.691473961,-1.71714592,0.6404819489
25,1.55965592556e+18,1.421837568,-0.9441571236,-0.2053217888
26,1.55965592562e+18,2.716938257,-0.4273638725,0.5551919937
27,1.55965592568e+18,0.2524645329,1.56293869,-0.1046409607
28,1.55965592574e+18,0.102050066,0.7839221954,-0.02644014359
29,1.5596559258e+18,-0.358168602,1.494749069,-1.147601128
30,1.55965592586e+18,0.3382608891,-0.09530639648,-0.4285564423
31,1.55965592592e+18,-0.753131032,0.5321569443,-1.827741861
32,1.55965592598e+18,-0.3613711596,4.398281097,-0.2025170326
33,1.55965592604e+18,-0.7821639776,2.078509331,-1.792818308
34,1.5596559261e+18,-0.8523733616,-1.702864647,-2.060257673
35,1.55965592616e+18,-0.4036438465,0.3632740974,-0.5238895416
36,1.55965592622e+18,-0.7245016098,0.7955698967,0.06149625778
37,1.55965592628e+18,-0.2280833721,-0.5638203621,0.09468126297
38,1.55965592634e+18,0.6023511887,-1.751625061,-0.5382218361
39,1.5596559264e+18,1.250741482,-2.149459362,-1.097447395
40,1.55965592646e+18,3.63116312,-4.383073807,0.8917913437
41,1.55965592652e+18,5.971673489,-6.240359306,-1.175747156
42,1.55965592658e+18,4.922227859,-2.098657608,3.221579552
43,1.55965592664e+18,6.258998394,-7.319226265,5.951759815
44,1.5596559267e+18,7.432090759,-6.314337254,6.162765026
45,1.55965592676e+18,-0.7221078873,-4.423930168,2.822267056
46,1.55965592682e+18,-3.705312252,-3.917822123,1.736563206
47,1.55965592688e+18,-1.193853855,-1.527106762,-0.7738289833
48,1.55965592694e+18,-0.9791750908,0.4567329884,-1.128513336
49,1.559655927e+18,0.3988714218,1.3498559,-2.567984104
50,1.55965592706e+18,-0.5574092865,1.419615746,-3.485143661
51,1.55965592712e+18,-0.20140481,1.330412865,-3.574239731
52,1.55965592718e+18,-0.2530026436,1.732735872,-4.366577625
53,1.55965592724e+18,1.315468669,1.785407305,-4.54229784
54,1.5596559273e+18,1.479277492,1.506176949,-3.774961948
55,1.55965592736e+18,-1.124512434,3.048648357,-1.895198822
56,1.55965592742e+18,-2.10329175,4.116412163,0.6189746857
57,1.55965592747e+18,-1.143590689,1.760830641,1.482006073
58,1.55965592753e+18,0.9241891503,1.346344948,-3.148394585
59,1.55965592759e+18,1.34084928,1.221591949,-3.550704002
60,1.55965592765e+18,1.218573809,2.033951998,-3.506629467
61,1.55965592771e+18,0.6105797291,1.827439427,-2.185093403
62,1.55965592777e+18,1.10600853,2.218681335,-3.496859074
63,1.55965592783e+18,3.161235094,-0.9026582241,-2.990622044
64,1.55965592789e+18,-2.03971529,2.492428064,-7.399641991
65,1.55965592795e+18,-2.096223116,1.445240259,-7.625449181
66,1.55965592801e+18,3.221604586,-17.3784256,2.107660294
67,1.55965592807e+18,6.279884338,-7.055232525,0.5715122223
68,1.55965592813e+18,-1.629901052,-7.189184189,2.654429436
69,1.55965592819e+18,6.737627506,-5.366736412,4.553216934
70,1.55965592825e+18,5.306981087,-4.35675478,5.523025036
71,1.55965592831e+18,4.011138916,0.2498078346,4.700725079
72,1.55965592837e+18,-0.3091917038,1.195244789,0.04537630081
73,1.55965592843e+18,-2.274927616,3.864531279,-2.610780716
