,Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2)
0,1.55965624006e+18,0.1125605106,0.6413627863,-0.4411754608
1,1.55965624012e+18,1.323806882,1.453038216,-0.1480007172
2,1.55965624018e+18,1.392997265,1.638061762,-0.08887672424
3,1.55965624024e+18,1.052342534,1.765405893,-0.1118793488
4,1.5596562403e+18,0.1888372004,1.798383236,-0.1917028427
5,1.55965624036e+18,-0.5501106381,1.791867733,-0.2065267563
6,1.55965624042e+18,5.324037552,3.889655113,-1.052963257
7,1.55965624048e+18,6.783544064,3.394395828,-0.366522789
8,1.55965624054e+18,9.32012558,-0.1830166578,-1.427004814
9,1.5596562406e+18,10.50295639,-7.143671036,-3.172383785
10,1.55965624066e+18,11.17000961,-8.565393448,-4.423368931
11,1.55965624072e+18,8.857091904,-10.41623306,-5.324477196
12,1.55965624078e+18,6.28531456,-8.075090408,-7.003926277
13,1.55965624084e+18,3.140208483,-4.723234177,-7.586075783
14,1.5596562409e+18,1.485248804,-2.904343367,-6.946455002
15,1.55965624096e+18,1.935832262,-3.58055687,-2.969667912
16,1.55965624102e+18,3.575773001,-3.012297153,-0.3692874908
17,1.55965624108e+18,5.865930557,-0.2180063725,2.194148064
18,1.55965624114e+18,5.886722088,-0.1318922043,2.633782387
19,1.5596562412e+18,2.471001863,-0.5912935734,-0.08106231689
20,1.55965624126e+18,-0.3947892785,0.3799960613,-3.4320364
21,1.55965624132e+18,-2.041156054,0.9100874066,-5.353077412
22,1.55965624138e+18,-0.9795583487,1.738195181,-4.846125603
23,1.55965624144e+18,1.711183429,1.705291033,-1.747098923
24,1.5596562415e+18,0.3348989487,1.395150185,-2.772080421
25,1.55965624156e+18,-0.1794331074,0.2664903998,-1.404852867
26,1.55965624162e+18,-0.6642994881,0.1014198661,-0.1901283264
27,1.55965624168e+18,-2.240068674,-0.6438825727,1.62746048
28,1.55965624174e+18,-3.31039381,1.150837183,-0.9471216202
29,1.5596562418e+18,-4.988976002,1.075480223,0.3416280746
30,1.55965624186e+18,-4.01705265,-1.323363185,-0.8802366257
31,1.55965624192e+18,-0.0559797287,-2.862938881,2.240921021
32,1.55965624198e+18,-0.8926680088,-4.140138626,1.850016594
33,1.55965624204e+18,2.719494581,-1.281564951,0.9286384583
34,1.5596562421e+18,-3.644858599,-1.688130379,-1.844227314
35,1.55965624216e+18,-0.3916828632,0.488465786,-1.870967388
36,1.55965624222e+18,-0.25070858,-0.5850512981,-1.138292313
37,1.55965624228e+18,-0.4542956352,-0.1363708973,-1.210582733
38,1.55965624234e+18,-0.1108608246,-0.03712821007,-1.833837032
39,1.5596562424e+18,-0.2525343895,-0.2943348885,-0.8090844154
40,1.55965624246e+18,-0.3437480927,-0.03826355934,-1.190238953
41,1.55965624252e+18,0.1755065918,-0.1311547756,-0.6815299988
42,1.55965624258e+18,-0.2402729988,-0.04721283913,-1.092373371
43,1.55965624264e+18,0.1369242668,0.2114863396,-0.3988881111
44,1.5596562427e+18,-0.1542863846,0.3157498837,0.06493854523
45,1.55965624276e+18,-0.06111955643,0.09417724609,-0.2214789391
46,1.55965624282e+18,-0.25344944,-0.4995787144,0.02588605881
47,1.55965624288e+18,0.347887516,-0.3950781822,0.0888209343
48,1.55965624294e+18,-0.1301817894,-0.539485693,-0.09452152252
49,1.559656243e+18,-0.01829624176,-0.05236506462,0.193751812
50,1.55965624306e+18,-0.2444291115,0.2913665771,-0.5321240425
51,1.55965624312e+18,-0.1437573433,-0.1188509464,-0.4420695305
52,1.55965624318e+18,-0.1824636459,0.3300580978,-0.9615626335
53,1.55965624324e+18,-0.1721644402,0.1546220779,-0.6936373711
54,1.5596562433e+18,-0.1919317245,-0.1315822601,-0.4420809746
55,1.55965624336e+18,-0.2541613579,-0.06664800644,-0.5002179146
56,1.55965624342e+18,-0.001900672913,0.1939387321,-0.5709891319
57,1.55965624348e+18,0.005028247833,-0.1526823044,-0.1954312325
58,1.55965624354e+18,-0.232108593,-0.3845374584,0.2171373367
59,1.5596562436e+18,0.2099776268,-0.3790047169,0.2429852486
60,1.55965624366e+18,0.1166949272,-0.2638292313,-0.5715341568
61,1.55965624372e+18,0.6214776039,0.1990528107,-0.7567081451
62,1.55965624378e+18,0.03453683853,-0.2338426113,-0.3872699738
63,1.55965624384e+18,0.0500330925,-0.06516504288,-0.01305055618
64,1.5596562439e+18,0.001079559326,-0.05527067184,-0.118581295
65,1.55965624396e+18,0.05653047562,0.07130479813,-0.4482040405
66,1.55965624402e+18,0.1041536331,0.1556611061,-0.3878564835
67,1.55965624408e+18,0.2188668251,-0.322773695,-0.4275765419
68,1.55965624414e+18,0.4628481865,-0.1757776737,-0.8736729622
69,1.5596562442e+18,0.5903558731,-0.2612621784,-0.7910122871
70,1.55965624426e+18,0.5183215141,-0.03675103188,-0.9008936882
71,1.55965624432e+18,0.2926802635,0.2477943897,-0.2501444817
72,1.55965624438e+18,-0.02483034134,0.6132333279,0.1881709099
73,1.55965624444e+18,0.1250729561,0.83537817,0.3359375
74,1.5596562445e+18,0.103061676,0.7689678669,0.1299891472
75,1.55965624456e+18,0.1293802261,0.3145084381,0.01610183716
76,1.55965624462e+18,0.3080983162,0.09473609924,0.1887774467
77,1.55965624468e+18,0.4412517548,0.4259104729,-0.1674809456
78,1.55965624474e+18,0.803917408,0.6901698112,-0.8440804482
79,1.5596562448e+18,-0.09985160828,-0.06355404854,-0.5857830048
80,1.55965624486e+18,0.02353858948,-0.3264579773,-0.7442855835
81,1.55965624492e+18,0.2262291908,-0.08653974533,-0.7529931068
82,1.55965624498e+18,0.4414963722,-0.492452383,-0.2326021194
83,1.55965624504e+18,0.0582818985,-1.021827459,-0.2402296066
84,1.5596562451e+18,-0.2059488297,-1.037314415,0.00733757019
85,1.55965624516e+18,-1.669139385,0.03080654144,0.2782387733
86,1.55965624522e+18,-1.247696877,-0.947029233,-0.308157444
87,1.55965624528e+18,-1.279375553,-1.578056455,-2.011645794
88,1.55965624534e+18,1.471610069,-2.131673098,-0.7240338326
89,1.5596562454e+18,1.268604279,-0.8672283888,-2.653010368
90,1.55965624546e+18,1.028296232,-0.01185846329,-1.338926792
91,1.55965624552e+18,0.1823055744,0.08527481556,-0.4747085571
92,1.55965624558e+18,1.21625936,0.2958824635,0.374671936
93,1.55965624564e+18,1.477045059,-1.037300467,0.9505386353
94,1.5596562457e+18,-0.1218893528,-0.9787379503,0.671875
95,1.55965624576e+18,0.1225883961,0.7383739352,1.549013138
96,1.55965624582e+18,0.4859375954,1.069561481,1.827210426
97,1.55965624588e+18,0.9424328208,1.35647881,1.711708069
98,1.55965624594e+18,1.423478484,1.637188673,2.160673141
99,1.559656246e+18,2.430926561,0.8457138538,1.890989304
100,1.55965624606e+18,1.870136976,0.9229710698,0.1958808899
101,1.55965624612e+18,1.38421464,0.7099369168,-0.8138017654
102,1.55965624618e+18,0.9819586277,0.9021353126,-1.005164146
103,1.55965624624e+18,0.8139301538,1.42499733,-1.140248299
104,1.5596562463e+18,-0.5842648745,1.18766284,-0.9804201126
105,1.55965624636e+18,-1.283437729,1.0300138,-0.9420490265
106,1.55965624642e+18,-2.566497803,-0.7311758995,-1.54451561
107,1.55965624648e+18,-1.11512959,-2.591303349,-0.4421510696
108,1.55965624654e+18,-1.607243776,-2.561810255,-0.06841468811
109,1.5596562466e+18,-0.9226603508,-1.516650438,1.208837509
110,1.55965624666e+18,-0.8685554266,-0.233104229,0.4886732101
111,1.55965624672e+18,-0.5491249561,-0.3782224655,1.00108242
112,1.55965624678e+18,-0.6698040962,0.04565429688,-0.2190599442
113,1.55965624684e+18,-0.362360239,-0.1367871612,-0.6935176849
114,1.5596562469e+18,0.2482113838,0.08236587048,-0.6760005951
115,1.55965624696e+18,-0.1442985535,-0.7182122469,-1.250161171
116,1.55965624702e+18,0.5673429966,-0.466984123,-0.9502124786
117,1.55965624708e+18,0.2560415268,-0.2296135724,-0.4880018234
118,1.55965624714e+18,0.1997725964,0.2617642283,-0.1783714294
119,1.5596562472e+18,0.40853405,0.08232599497,0.2617044449
120,1.55965624726e+18,0.2755475044,-0.1345289946,-0.08207702637
121,1.55965624732e+18,0.2518265247,0.08018025756,-0.2357215881
122,1.55965624738e+18,0.3690195084,0.1547228098,-0.4196643829
123,1.55965624744e+18,0.7294535637,0.3612653017,-0.2219047546
124,1.5596562475e+18,0.003000974655,0.6431724429,-0.3325433731
125,1.55965624756e+18,-0.08724617958,0.4496878386,0.2938613892
126,1.55965624762e+18,0.05557799339,0.09538948536,0.3797607422
127,1.55965624768e+18,0.7407946587,-0.1708000898,-0.4610862732
128,1.55965624774e+18,0.6444051266,-0.2990727425,-0.5775051117
129,1.5596562478e+18,0.5185191631,-0.4536221027,-0.437710762
130,1.55965624786e+18,0.8396339417,-0.3757212162,-0.2746810913
131,1.55965624792e+18,0.5782248974,-0.3952245712,-0.2437429428
132,1.55965624798e+18,0.2122328281,-0.09334337711,-0.105132103
133,1.55965624804e+18,0.5171039104,0.0633225441,-0.3005495071
134,1.5596562481e+18,0.430914402,0.1233839989,-0.4511823654
135,1.55965624816e+18,-0.3008172512,0.3043026924,-0.3738164902
136,1.55965624822e+18,-0.1401677132,0.2544829845,0.1675348282
137,1.55965624828e+18,-0.4393751621,0.1166524887,-0.2306928635
138,1.55965624834e+18,-0.006971597672,-0.2043015957,-0.07803726196
139,1.5596562484e+18,-0.3213181496,-0.4141995907,-0.6014585495
140,1.55965624846e+18,-0.2066967487,-0.4847803116,-0.5140552521
141,1.55965624852e+18,0.2256977558,-0.3823881149,-0.2810382843
142,1.55965624858e+18,0.1506085396,0.1691660881,0.08017539978
143,1.55965624864e+18,-0.001092910767,0.1199684143,-0.379899025
144,1.5596562487e+18,0.2470710278,-0.1377739906,-0.6555528641
145,1.55965624876e+18,0.5541846752,-0.4987362623,-0.939871788
146,1.55965624882e+18,1.098040462,-0.6082149744,-0.4878034592
147,1.55965624888e+18,1.183681965,-0.9872675538,1.410273552
148,1.55965624894e+18,1.83743453,-1.685745001,1.791481972
149,1.559656249e+18,1.762699008,-1.207711935,0.7228136063
150,1.55965624906e+18,1.470182896,-0.3475458026,-0.9274101257
151,1.55965624912e+18,1.795028567,-0.3093739152,-1.028205872
152,1.55965624918e+18,2.037042856,0.6514167786,-1.040478706
153,1.55965624924e+18,1.128126025,1.104880452,-0.7245960236
154,1.5596562493e+18,-0.3439170122,0.8650197983,-0.8504896164
155,1.55965624936e+18,-1.46228838,0.8944846988,-1.4121418
156,1.55965624942e+18,-2.180528641,1.117023945,1.437193871
157,1.55965624948e+18,-1.487762094,0.3509218395,2.045259476
158,1.55965624954e+18,-1.807994604,-0.508302331,1.502859116
159,1.5596562496e+18,-2.290328503,-0.06008324027,-0.2317657471
160,1.55965624966e+18,-2.101726532,0.3822386861,-0.623922348
161,1.55965624972e+18,-1.246946335,0.1891540885,-0.05608654022
162,1.55965624978e+18,-0.03820472956,-0.1682626903,0.2461929321
163,1.55965624984e+18,0.5229317546,-0.4491742849,0.1636705399
164,1.5596562499e+18,0.7768511772,-0.6345125437,-0.5344009399
165,1.55965624996e+18,0.7289773822,0.199792549,-0.1339578629
166,1.55965625002e+18,0.6356528997,0.8483678699,0.2874774933
167,1.55965625008e+18,0.456040144,1.041133404,0.08387851715
168,1.55965625014e+18,1.30087173,0.4917058945,0.9772758484
169,1.5596562502e+18,1.264461279,-0.09022565931,0.8368597031
170,1.55965625026e+18,0.4193915129,-0.3102211356,-0.2803821564
171,1.55965625032e+18,0.1295485497,-0.3320515752,-0.8649291992
172,1.55965625038e+18,0.3823912144,-0.1314579844,-0.4196872711
173,1.55965625044e+18,0.4710235596,-0.1110658646,-0.09178924561
174,1.5596562505e+18,0.1303286552,0.1902607083,-0.2956085205
175,1.55965625056e+18,0.1067690849,0.6843727827,0.1598653793
176,1.55965625062e+18,0.3866112232,0.3364781141,0.08537769318
177,1.55965625068e+18,0.446710825,0.1889846325,-0.3613481522
178,1.55965625074e+18,0.8582975864,1.633631587,0.4537992477
179,1.5596562508e+18,0.2821974754,2.577064991,0.5267515182
180,1.55965625086e+18,0.482278347,0.4804241657,1.398824692
181,1.55965625092e+18,0.690823555,-0.1370854378,0.1791419983
182,1.55965625097e+18,0.7121982574,-1.032282829,-1.562863827
183,1.55965625103e+18,-0.1761417389,-1.998702049,-2.371957779
184,1.55965625109e+18,0.4894404411,-1.736375928,-1.361091614
185,1.55965625115e+18,0.0662279129,-1.45217073,-1.208934307
186,1.55965625121e+18,-1.02475214,-1.450801015,-1.53077507
187,1.55965625127e+18,0.7513003349,-1.33492291,-0.9981389046
188,1.55965625133e+18,-0.2388820648,-0.7122479677,-1.608757973
189,1.55965625139e+18,0.2145385742,0.4276744127,-0.7261853218
190,1.55965625145e+18,-0.3689117432,0.6178418398,0.2218294144
191,1.55965625151e+18,-0.5242714882,0.5515549183,0.9373674393
192,1.55965625157e+18,0.560341835,0.2505202889,1.473571777
193,1.55965625163e+18,0.326479435,-0.6728111506,1.104711056
194,1.55965625169e+18,0.8846597672,-1.325434446,0.9790501595
195,1.55965625175e+18,0.9722189903,0.1095117927,-0.0237030983
196,1.55965625181e+18,0.3128714561,-0.2474066019,0.6375422478
197,1.55965625187e+18,-0.3992481232,-0.3379201293,0.393014431
198,1.55965625193e+18,-0.06373023987,-0.225808382,-0.6662354469
199,1.55965625199e+18,-0.117846489,0.417065382,-1.900167942
200,1.55965625205e+18,0.5141043663,0.6847667694,-1.27583456
201,1.55965625211e+18,-0.8421068192,0.3393456936,-2.22889781
202,1.55965625217e+18,0.5096607208,0.4674639702,-1.389437675
203,1.55965625223e+18,0.2197241783,0.2584326267,-0.5300192833
204,1.55965625229e+18,0.2827396393,-0.03850007057,0.03642654419
205,1.55965625235e+18,0.1161646843,0.01167416573,-0.04890108109
206,1.55965625241e+18,0.3703856468,0.293618679,0.05132484436
207,1.55965625247e+18,0.05139303207,0.06976795197,-0.2437391281
208,1.55965625253e+18,0.002383232117,0.1602814198,-0.263730526
209,1.55965625259e+18,0.3460826874,-0.08686542511,0.06452941895
210,1.55965625265e+18,0.1144003868,0.09791970253,-0.2178812027
211,1.55965625271e+18,0.4159007072,-0.05648875237,-0.6599884033
212,1.55965625277e+18,-0.2319045067,0.2372066975,-0.6222510338
213,1.55965625283e+18,-0.03531503677,-0.08450233936,0.2410788536
214,1.55965625289e+18,-0.3826966286,-0.8443650007,-0.2030286789
215,1.55965625295e+18,-0.4811377525,-0.5940996408,-0.3966035843
