,Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2)
0,1.55965655405e+18,-3.315915823,-1.00719738,-0.937277317
1,1.5596565541e+18,-2.296313047,-0.862888813,-1.768138409
2,1.55965655415e+18,-1.258561373,-0.6489570141,-2.424476147
3,1.5596565542e+18,-0.07956957817,-0.4121992588,-2.963716984
4,1.55965655425e+18,0.9769115448,-0.1800818443,-3.295613766
5,1.5596565543e+18,2.009855747,0.04610490799,-3.492193699
6,1.55965655436e+18,3.01226306,0.3052692413,-3.575425625
7,1.55965655442e+18,-6.162659645,-1.005667567,-4.303853035
8,1.55965655448e+18,-4.939255238,-0.9967150688,-3.514475822
9,1.55965655454e+18,-0.6610798836,0.2015120983,-3.239233971
10,1.5596565546e+18,-0.4422369003,0.3751804829,1.227182865
11,1.55965655465e+18,1.120283127,-0.9456350803,3.659487247
12,1.5596565547e+18,0.1626491547,-0.6915979385,1.962676287
13,1.55965655476e+18,2.812116623,-2.689227581,5.27808094
14,1.55965655481e+18,2.874097824,0.0220181942,-1.717014909
15,1.55965655487e+18,-1.902987957,-3.789879322,-0.4906697273
16,1.55965655493e+18,2.377955437,2.187237263,-1.847411633
17,1.55965655499e+18,7.111690521,5.901615143,-0.9287848473
18,1.55965655504e+18,14.34805107,2.54005003,6.003060341
19,1.5596565551e+18,10.34094048,1.606086016,4.820948601
20,1.55965655516e+18,4.465080261,-1.826285601,-0.5256409645
21,1.55965655521e+18,-1.998841286,-3.621882439,-3.410223246
22,1.55965655527e+18,-3.223343611,-4.414774895,-4.452188015
23,1.55965655533e+18,-4.329565525,-4.069265842,-5.255652905
24,1.55965655539e+18,-1.494692326,-4.065186501,-5.640298367
25,1.55965655544e+18,-1.839109659,-3.188126326,-6.091278553
26,1.55965655549e+18,-2.654282331,-1.240851164,-2.201058865
27,1.55965655555e+18,-9.655106544,2.65912056,5.919504166
28,1.55965655561e+18,-23.35593987,4.612404823,9.571732521
29,1.55965655567e+18,-36.37590408,15.02500343,-9.286487579
30,1.55965655573e+18,-6.702573299,0.4744596481,-14.16535187
31,1.55965655579e+18,17.59806824,-38.6745224,7.361840248
32,1.55965655585e+18,15.70572758,-7.69433403,-37.90627289
33,1.5596565559e+18,11.39820957,-6.892313957,-24.11663818
34,1.55965655595e+18,5.331059933,0.2937686443,-5.663702965
35,1.55965655601e+18,3.316195488,6.303613663,-10.67241478
36,1.55965655606e+18,6.582350731,-1.870148063,-4.882897377
37,1.55965655612e+18,4.007259846,-3.646060467,-1.27476716
38,1.55965655618e+18,6.16967392,-1.588490844,-4.541103363
39,1.55965655624e+18,7.172906399,-0.1231957674,-4.245496273
40,1.55965655629e+18,7.64771986,-7.166988373,-1.230060101
41,1.55965655635e+18,7.549041271,-19.65931129,0.677854538
42,1.55965655641e+18,18.68014336,-17.74949646,-0.5829343796
43,1.55965655646e+18,17.98546982,-11.1638298,5.489620209
44,1.55965655652e+18,14.82572937,-3.048514366,6.5726614
45,1.55965655658e+18,11.19493103,0.7851543427,5.401989937
46,1.55965655664e+18,12.188344,2.676931858,3.88058567
47,1.5596565567e+18,10.94771671,0.2369976044,2.220248461
48,1.55965655675e+18,7.079771042,-2.471761703,-0.05234956741
49,1.55965655681e+18,2.511324883,-5.778286934,-2.221610069
50,1.55965655686e+18,-0.6315848827,-6.629900932,-3.219017267
51,1.55965655692e+18,-4.301175117,-4.262619495,-5.569390297
52,1.55965655698e+18,-4.055745602,-2.808383942,-4.369293213
53,1.55965655704e+18,-5.096562386,-2.741632938,-4.365067005
54,1.5596565571e+18,-5.649753571,-0.4997887611,-3.117485523
55,1.55965655716e+18,-4.093482971,0.8861951828,-0.5033042431
56,1.55965655722e+18,-1.026556969,-0.02085399628,1.452191353
57,1.55965655727e+18,1.279225707,-0.6788187027,1.217057943
58,1.55965655732e+18,5.333395958,-1.294175148,2.196490049
59,1.55965655738e+18,9.665333748,2.628212452,6.971525192
60,1.55965655743e+18,9.177609444,1.859495163,10.35528946
61,1.55965655749e+18,9.798809052,-1.816399574,8.456624031
62,1.55965655754e+18,8.128193855,-3.588453293,3.75505209
63,1.5596565576e+18,6.316752911,-4.288291454,0.3680129051
64,1.55965655766e+18,5.768783092,-5.288702488,-4.265066147
65,1.55965655771e+18,7.145158291,-5.466255665,-4.064279079
66,1.55965655776e+18,4.852590561,-3.530576944,-3.18334198
67,1.55965655782e+18,-0.4283013344,-4.48095417,-6.439782143
68,1.55965655788e+18,0.3207297325,-1.93192482,-3.089078903
69,1.55965655794e+18,0.02175712585,-2.565651417,-6.843528748
70,1.55965655799e+18,-3.324353218,0.8552173376,-13.57051277
71,1.55965655805e+18,-3.519145012,2.354476213,-11.05183029
72,1.55965655811e+18,-4.464996338,3.543683052,-12.04398727
73,1.55965655817e+18,10.03235245,5.620018959,8.928800583
74,1.55965655823e+18,6.417735577,6.389872551,9.34485817
75,1.55965655829e+18,6.143252373,8.330403328,4.539165497
76,1.55965655835e+18,0.7456707954,0.7715883255,-4.352854252
77,1.5596565584e+18,-2.19201827,-0.6901865005,-0.8779592514
78,1.55965655845e+18,-6.170098305,-6.463886738,-1.728651285
79,1.55965655851e+18,-8.752108574,-10.12528419,-6.549402237
80,1.55965655856e+18,-8.292628288,-10.42194462,-11.13777733
81,1.55965655862e+18,-4.265990257,-10.53397369,-11.5122509
82,1.55965655868e+18,-1.11077261,-11.31387901,-6.881464958
83,1.55965655874e+18,9.591367722,-18.13593483,3.2918396
84,1.55965655879e+18,6.642046928,-16.93775558,-2.611126423
85,1.55965655885e+18,12.30859661,-9.124201775,4.486784458
86,1.55965655891e+18,15.70300007,-1.824576378,10.85870934
87,1.55965655896e+18,13.61083126,0.07300567627,13.35147762
88,1.55965655902e+18,4.207136154,-1.828053474,8.718738556
89,1.55965655908e+18,3.964800358,-0.5371141434,4.814790249
90,1.55965655914e+18,2.604630947,-0.556391716,2.09840107
91,1.55965655919e+18,1.230279207,-6.520562172,0.2156066895
92,1.55965655924e+18,5.521995544,-3.895326614,1.636892319
93,1.5596565593e+18,6.031812668,-0.8317680359,3.232362747
