,Time (s),Magnetic field x (µT),Magnetic field y (µT),Magnetic field z (µT)
0,1.55965320006e+18,27.11999893,16.19999886,-19.68000031
1,1.55965320012e+18,26.51999855,13.19999981,-23.15999985
2,1.55965320018e+18,24.29999924,9.899999619,-26.21999931
3,1.55965320024e+18,21.65999985,6.0,-30.23999977
4,1.5596532003e+18,16.37999916,-4.079999924,-34.20000076
5,1.55965320036e+18,7.980000019,-12.23999977,-35.45999908
6,1.55965320042e+18,2.879999876,-14.09999943,-35.15999985
7,1.55965320048e+18,3.059999943,-8.63999939,-37.68000031
8,1.55965320054e+18,3.779999971,3.119999886,-37.86000061
9,1.5596532006e+18,9.539999962,15.23999977,-32.70000076
10,1.55965320066e+18,21.53999901,19.92000008,-22.79999924
11,1.55965320072e+18,30.65999985,14.39999962,-15.71999931
12,1.55965320078e+18,28.73999977,9.119999886,-23.10000038
13,1.55965320084e+18,27.65999985,3.299999952,-24.47999954
14,1.5596532009e+18,25.61999893,-0.3599999845,-27.89999962
15,1.55965320096e+18,23.27999878,-4.319999695,-28.92000008
16,1.55965320102e+18,19.19999886,-6.420000076,-31.43999863
17,1.55965320108e+18,15.35999966,-6.839999676,-34.20000076
18,1.55965320114e+18,13.55999947,-7.199999809,-35.04000092
19,1.5596532012e+18,11.63999939,1.379999995,-36.05999756
20,1.55965320126e+18,16.55999947,10.97999954,-29.81999969
21,1.55965320132e+18,20.76000023,20.76000023,-25.5
22,1.55965320138e+18,25.26000023,21.05999947,-18.05999947
23,1.55965320144e+18,30.1799984,17.21999931,-13.61999989
24,1.5596532015e+18,28.68000031,13.25999928,-17.87999916
25,1.55965320156e+18,29.81999969,5.339999676,-21.65999985
26,1.55965320162e+18,27.42000008,-4.079999924,-24.60000038
27,1.55965320168e+18,23.27999878,-9.0,-26.51999855
28,1.55965320174e+18,23.15999985,-12.30000019,-25.55999947
29,1.5596532018e+18,24.95999908,-14.46000004,-24.18000031
30,1.55965320186e+18,25.5,-13.0199995,-25.55999947
31,1.55965320192e+18,21.05999947,-9.479999542,-29.27999878
32,1.55965320198e+18,17.45999908,-2.399999857,-33.11999893
33,1.55965320204e+18,24.3599987,7.199999809,-26.39999962
34,1.5596532021e+18,27.05999947,15.35999966,-21.18000031
35,1.55965320216e+18,18.42000008,19.19999886,-26.15999985
