,Time (s),Magnetic field x (µT),Magnetic field y (µT),Magnetic field z (µT)
0,1.55965351606e+18,18.18000031,56.63999939,-5.699999809
1,1.55965351612e+18,19.55999947,55.55999756,-12.42000008
2,1.55965351618e+18,20.76000023,51.05999756,-24.53999901
3,1.55965351624e+18,21.18000031,44.09999847,-37.20000076
4,1.5596535163e+18,18.47999954,33.65999985,-47.70000076
5,1.55965351636e+18,16.13999939,25.01999855,-53.75999832
6,1.55965351642e+18,15.71999931,21.29999924,-56.52000046
7,1.55965351648e+18,14.46000004,21.60000038,-58.31999969
8,1.55965351654e+18,13.38000011,31.92000008,-53.39999771
9,1.5596535166e+18,7.859999657,46.86000061,-41.70000076
10,1.55965351666e+18,4.079999924,57.23999786,-25.01999855
11,1.55965351672e+18,3.779999971,60.77999878,-14.27999973
12,1.55965351678e+18,4.920000076,60.77999878,-11.09999943
13,1.55965351684e+18,5.879999638,61.19999695,-16.19999886
14,1.5596535169e+18,9.479999542,56.93999863,-24.42000008
15,1.55965351696e+18,11.03999996,50.63999939,-35.09999847
16,1.55965351702e+18,11.34000015,43.07999802,-44.63999939
17,1.55965351708e+18,10.19999981,36.36000061,-50.09999847
18,1.55965351714e+18,12.30000019,30.71999931,-53.27999878
19,1.5596535172e+18,11.39999962,29.87999916,-55.55999756
20,1.55965351726e+18,11.34000015,37.86000061,-51.84000015
21,1.55965351732e+18,10.43999958,49.79999924,-40.61999893
22,1.55965351738e+18,4.259999752,59.15999985,-21.60000038
23,1.55965351744e+18,2.339999914,61.73999786,-10.13999939
24,1.5596535175e+18,3.599999905,63.05999756,-8.460000038
25,1.55965351756e+18,10.5,61.5,-13.07999992
26,1.55965351762e+18,14.03999996,58.43999863,-21.18000031
27,1.55965351768e+18,16.26000023,53.52000046,-30.65999985
28,1.55965351774e+18,15.11999989,46.97999954,-40.55999756
29,1.5596535178e+18,12.65999985,40.31999969,-48.47999954
30,1.55965351786e+18,10.67999935,33.18000031,-54.0
31,1.55965351792e+18,11.63999939,30.11999893,-56.52000046
32,1.55965351798e+18,8.279999733,34.38000107,-56.15999985
33,1.55965351804e+18,5.639999866,44.93999863,-49.55999756
34,1.5596535181e+18,-3.599999905,57.23999786,-33.11999893
35,1.55965351816e+18,-8.819999695,63.0,-18.23999977
36,1.55965351822e+18,-10.5,64.26000214,-14.5199995
37,1.55965351828e+18,-8.279999733,63.77999878,-15.35999966
