,Time (s),Magnetic field x (µT),Magnetic field y (µT),Magnetic field z (µT)
0,1.55965381706e+18,46.02000046,6.71999979,-6.599999905
1,1.55965381712e+18,45.95999908,4.799999714,-8.699999809
2,1.55965381718e+18,44.34000015,1.679999948,-12.35999966
3,1.55965381724e+18,43.13999939,-1.919999957,-17.63999939
4,1.5596538173e+18,40.68000031,-5.819999695,-21.11999893
5,1.55965381736e+18,39.59999847,-8.159999847,-21.95999908
6,1.55965381742e+18,37.25999832,-10.73999977,-24.11999893
7,1.55965381748e+18,34.91999817,-12.05999947,-28.01999855
8,1.55965381754e+18,29.93999863,-10.55999947,-31.55999947
9,1.5596538176e+18,29.51999855,-8.880000114,-32.04000092
10,1.55965381766e+18,34.38000107,-5.699999809,-29.21999931
11,1.55965381772e+18,35.39999771,0.4799999893,-27.53999901
12,1.55965381778e+18,36.05999756,7.859999657,-25.01999855
13,1.55965381784e+18,37.13999939,15.96000004,-20.57999992
14,1.5596538179e+18,37.13999939,22.55999947,-12.77999973
15,1.55965381796e+18,36.23999786,26.57999992,-6.839999676
16,1.55965381802e+18,35.45999908,27.05999947,-6.539999962
17,1.55965381808e+18,35.81999969,25.92000008,-9.359999657
18,1.55965381814e+18,37.43999863,23.39999962,-9.779999733
19,1.5596538182e+18,38.87999725,21.0,-10.5
20,1.55965381826e+18,38.63999939,19.31999969,-13.79999924
21,1.55965381832e+18,36.23999786,19.13999939,-16.37999916
22,1.55965381838e+18,36.36000061,18.18000031,-18.89999962
23,1.55965381844e+18,34.97999954,15.47999954,-21.95999908
24,1.5596538185e+18,35.21999741,12.96000004,-23.63999939
25,1.55965381856e+18,39.0,7.619999886,-21.05999947
26,1.55965381862e+18,41.45999908,3.779999971,-17.81999969
27,1.55965381868e+18,43.20000076,-1.620000005,-14.69999981
28,1.55965381874e+18,41.75999832,-3.779999971,-15.71999931
29,1.5596538188e+18,41.87999725,-4.019999981,-14.21999931
30,1.55965381886e+18,43.31999969,-5.279999733,-13.0199995
31,1.55965381892e+18,42.77999878,-1.439999938,-14.34000015
32,1.55965381898e+18,42.47999954,4.5,-16.13999939
33,1.55965381904e+18,40.97999954,6.420000076,-18.3599987
34,1.5596538191e+18,40.5,7.139999866,-18.3599987
35,1.55965381916e+18,39.77999878,3.539999962,-20.63999939
36,1.55965381922e+18,37.61999893,-6.179999828,-24.0
37,1.55965381928e+18,28.68000031,-18.23999977,-29.63999939
38,1.55965381934e+18,15.89999962,-29.15999985,-31.92000008
39,1.5596538194e+18,3.480000019,-35.75999832,-27.59999847
40,1.55965381946e+18,-4.380000114,-38.09999847,-23.87999916
41,1.55965381952e+18,-7.559999943,-36.65999985,-24.3599987
42,1.55965381958e+18,-5.699999809,-32.93999863,-27.89999962
43,1.55965381964e+18,-1.25999999,-25.26000023,-35.21999741
44,1.5596538197e+18,2.939999819,-13.38000011,-41.81999969
45,1.55965381976e+18,1.25999999,6.839999676,-41.81999969
46,1.55965381982e+18,17.39999962,6.839999676,-38.93999863
47,1.55965381988e+18,20.27999878,4.799999714,-37.86000061
48,1.55965381994e+18,18.11999893,5.519999981,-39.54000092
49,1.55965382e+18,17.21999931,8.579999924,-38.57999802
