,Time (s),Magnetic field x (µT),Magnetic field y (µT),Magnetic field z (µT)
0,1.55965411806e+18,-12.53999996,14.69999981,-37.5
1,1.55965411812e+18,-12.53999996,14.69999981,-37.73999786
2,1.55965411818e+18,-12.47999954,14.27999973,-37.79999924
3,1.55965411824e+18,-12.05999947,14.39999962,-39.05999756
4,1.5596541183e+18,-8.699999809,14.57999992,-38.39999771
5,1.55965411836e+18,-0.4199999869,14.75999928,-38.09999847
6,1.55965411842e+18,13.0199995,17.87999916,-34.25999832
7,1.55965411848e+18,26.69999886,22.68000031,-23.76000023
8,1.55965411854e+18,32.04000092,27.71999931,-10.5
9,1.5596541186e+18,28.97999954,30.29999924,-6.420000076
10,1.55965411866e+18,26.87999916,34.02000046,-2.099999905
11,1.55965411872e+18,24.3599987,35.52000046,3.899999857
12,1.55965411878e+18,22.43999863,36.71999741,3.720000029
13,1.55965411884e+18,24.47999954,34.43999863,1.139999986
14,1.5596541189e+18,31.31999969,28.43999863,-5.21999979
15,1.55965411896e+18,35.34000015,15.96000004,-15.11999989
16,1.55965411902e+18,34.02000046,1.439999938,-26.51999855
17,1.55965411908e+18,24.42000008,-7.559999943,-34.86000061
18,1.55965411914e+18,17.57999992,-10.92000008,-37.61999893
19,1.5596541192e+18,16.5,-12.65999985,-36.89999771
20,1.55965411926e+18,17.57999992,-12.30000019,-37.31999969
21,1.55965411932e+18,7.139999866,-14.34000015,-39.23999786
22,1.55965411938e+18,-3.179999828,-17.27999878,-37.79999924
23,1.55965411944e+18,-7.319999695,-18.71999931,-36.41999817
24,1.5596541195e+18,-4.739999771,-17.57999992,-36.65999985
25,1.55965411956e+18,-2.279999971,-18.05999947,-37.31999969
26,1.55965411962e+18,-1.079999924,-17.76000023,-36.84000015
27,1.55965411968e+18,-1.019999981,-17.57999992,-37.5
28,1.55965411974e+18,0.5999999642,-16.44000053,-38.39999771
29,1.5596541198e+18,0.05999999866,-14.75999928,-38.75999832
30,1.55965411986e+18,0.1799999923,-14.63999939,-39.0
31,1.55965411992e+18,-0.8999999762,-15.42000008,-39.23999786
32,1.55965411998e+18,-4.380000114,-17.10000038,-36.54000092
33,1.55965412004e+18,-7.319999695,-18.71999931,-36.11999893
34,1.5596541201e+18,-11.09999943,-18.42000008,-35.81999969
35,1.55965412016e+18,-16.31999969,-18.42000008,-33.11999893
36,1.55965412022e+18,-15.47999954,-16.26000023,-34.13999939
37,1.55965412028e+18,-4.920000076,-13.5,-40.73999786
38,1.55965412034e+18,2.399999857,-12.71999931,-39.65999985
39,1.5596541204e+18,-0.3599999845,-18.95999908,-39.23999786
40,1.55965412046e+18,4.980000019,-20.10000038,-38.04000092
41,1.55965412052e+18,10.73999977,-16.92000008,-38.75999832
42,1.55965412058e+18,11.63999939,-12.84000015,-39.36000061
43,1.55965412064e+18,9.059999466,-9.719999313,-39.84000015
44,1.5596541207e+18,2.039999962,-5.579999924,-41.09999847
45,1.55965412076e+18,-3.539999962,-1.74000001,-41.21999741
46,1.55965412082e+18,-8.099999428,2.460000038,-40.86000061
47,1.55965412088e+18,-11.75999928,6.239999771,-39.95999908
48,1.55965412094e+18,-12.84000015,10.43999958,-39.29999924
49,1.559654121e+18,-10.67999935,12.59999943,-38.15999985
50,1.55965412106e+18,-5.339999676,12.77999973,-38.81999969
51,1.55965412112e+18,-4.079999924,8.039999962,-39.0
52,1.55965412118e+18,-5.519999981,8.819999695,-39.54000092
53,1.55965412124e+18,2.579999924,9.179999352,-40.13999939
54,1.5596541213e+18,14.88000011,11.5199995,-35.70000076
55,1.55965412135e+18,23.39999962,13.73999977,-32.70000076
56,1.55965412141e+18,27.77999878,18.47999954,-26.81999969
57,1.55965412147e+18,30.29999924,22.31999969,-18.47999954
58,1.55965412153e+18,30.53999901,27.47999954,-14.27999973
59,1.55965412159e+18,29.34000015,28.92000008,-10.55999947
60,1.55965412165e+18,28.37999916,30.59999847,-9.420000076
61,1.55965412171e+18,24.71999931,33.29999924,-10.13999939
62,1.55965412177e+18,21.0,35.39999771,-10.55999947
63,1.55965412183e+18,16.44000053,37.25999832,-10.38000011
64,1.55965412189e+18,12.35999966,40.43999863,-8.579999924
65,1.55965412195e+18,8.279999733,41.27999878,-4.920000076
66,1.55965412201e+18,3.0,42.95999908,-2.460000038
67,1.55965412207e+18,-0.5999999642,42.47999954,-1.319999933
68,1.55965412213e+18,-3.9599998,42.47999954,0.4799999893
69,1.55965412219e+18,-5.21999979,42.47999954,0.6599999666
70,1.55965412225e+18,-8.579999924,42.29999924,2.639999866
71,1.55965412231e+18,-10.26000023,42.23999786,2.700000048
72,1.55965412237e+18,-10.5,41.52000046,3.359999895
73,1.55965412243e+18,-13.38000011,41.34000015,4.019999981
74,1.55965412249e+18,-13.61999989,41.70000076,4.139999866
75,1.55965412255e+18,-12.53999996,41.34000015,3.899999857
76,1.55965412261e+18,-12.42000008,41.52000046,4.799999714
77,1.55965412267e+18,-12.30000019,42.47999954,2.939999819
78,1.55965412273e+18,-11.69999981,42.29999924,3.24000001
79,1.55965412279e+18,-12.05999947,42.36000061,4.139999866
80,1.55965412285e+18,-12.53999996,41.52000046,3.419999838
81,1.55965412291e+18,-12.89999962,42.41999817,3.839999914
82,1.55965412297e+18,-11.88000011,41.70000076,3.779999971
83,1.55965412303e+18,-12.11999989,41.93999863,2.939999819
84,1.55965412309e+18,-11.5199995,42.71999741,3.539999962
85,1.55965412315e+18,-11.21999931,42.36000061,2.819999933
86,1.55965412321e+18,-11.69999981,42.77999878,3.720000029
87,1.55965412327e+18,-12.23999977,42.11999893,3.720000029
88,1.55965412333e+18,-12.23999977,41.87999725,3.539999962
89,1.55965412339e+18,-12.17999935,42.65999985,4.019999981
90,1.55965412345e+18,-12.96000004,41.87999725,3.24000001
91,1.55965412351e+18,-13.31999969,41.63999939,3.059999943
92,1.55965412357e+18,-13.31999969,41.75999832,3.9599998
93,1.55965412363e+18,-12.53999996,41.81999969,2.819999933
94,1.55965412369e+18,-13.73999977,41.45999908,3.419999838
95,1.55965412375e+18,-13.5,41.75999832,3.119999886
96,1.55965412381e+18,-13.07999992,41.87999725,2.700000048
97,1.55965412387e+18,-13.31999969,41.81999969,2.75999999
98,1.55965412393e+18,-13.31999969,42.18000031,3.359999895
99,1.55965412399e+18,-14.03999996,42.18000031,4.259999752
100,1.55965412405e+18,-12.84000015,41.75999832,3.0
101,1.55965412411e+18,-12.89999962,41.57999802,2.819999933
102,1.55965412417e+18,-12.53999996,42.18000031,2.819999933
103,1.55965412423e+18,-12.11999989,41.27999878,2.339999914
104,1.55965412429e+18,-12.17999935,41.57999802,0.2399999946
105,1.55965412435e+18,-12.35999966,41.52000046,-0.2399999946
106,1.55965412441e+18,-13.31999969,41.45999908,-0.719999969
107,1.55965412447e+18,-12.59999943,41.87999725,-1.439999938
108,1.55965412453e+18,-12.77999973,41.15999985,-2.099999905
109,1.55965412459e+18,-13.13999939,41.93999863,-2.579999924
110,1.55965412465e+18,-14.03999996,40.68000031,-2.159999847
111,1.55965412471e+18,-15.59999943,41.52000046,-3.179999828
112,1.55965412477e+18,-15.59999943,40.31999969,-3.659999847
113,1.55965412483e+18,-15.53999996,40.73999786,-3.720000029
114,1.55965412489e+18,-15.89999962,40.37999725,-4.5
115,1.55965412495e+18,-15.35999966,40.61999893,-4.739999771
116,1.55965412501e+18,-14.93999958,40.55999756,-5.460000038
117,1.55965412507e+18,-15.8399992,40.13999939,-6.359999657
118,1.55965412513e+18,-14.93999958,40.07999802,-6.599999905
119,1.55965412519e+18,-15.47999954,40.13999939,-7.259999752
120,1.55965412525e+18,-14.63999939,39.84000015,-8.340000153
121,1.55965412531e+18,-12.89999962,39.95999908,-8.399999619
122,1.55965412537e+18,-12.11999989,40.13999939,-10.31999969
123,1.55965412543e+18,-8.93999958,40.43999863,-11.88000011
124,1.55965412549e+18,-6.059999943,39.29999924,-14.69999981
125,1.55965412555e+18,-1.319999933,38.21999741,-18.05999947
126,1.55965412561e+18,2.879999876,35.70000076,-20.76000023
127,1.55965412567e+18,6.119999886,33.65999985,-23.10000038
128,1.55965412573e+18,9.059999466,31.73999977,-26.15999985
129,1.55965412579e+18,12.71999931,28.31999969,-27.23999977
130,1.55965412585e+18,16.31999969,24.89999962,-27.23999977
131,1.55965412591e+18,19.26000023,21.89999962,-29.15999985
132,1.55965412597e+18,22.19999886,19.8599987,-28.73999977
133,1.55965412603e+18,24.95999908,17.76000023,-27.84000015
134,1.55965412609e+18,26.57999992,15.11999989,-28.31999969
