,Time (s),Magnetic field x (µT),Magnetic field y (µT),Magnetic field z (µT)
0,1.55965441906e+18,27.71999931,20.03999901,-28.07999992
1,1.55965441912e+18,31.13999939,18.0,-26.15999985
2,1.55965441918e+18,29.81999969,16.02000046,-28.92000008
3,1.55965441924e+18,24.42000008,15.23999977,-33.65999985
4,1.5596544193e+18,21.65999985,13.61999989,-36.41999817
5,1.55965441936e+18,17.52000046,10.97999954,-40.07999802
6,1.55965441942e+18,9.779999733,6.659999847,-43.55999756
7,1.55965441948e+18,4.019999981,2.639999866,-45.36000061
8,1.55965441954e+18,-3.839999914,3.179999828,-47.70000076
9,1.5596544196e+18,-5.639999866,4.739999771,-47.21999741
10,1.55965441966e+18,-2.879999876,12.30000019,-45.0
11,1.55965441972e+18,-3.599999905,24.77999878,-39.84000015
12,1.55965441978e+18,-7.379999638,36.05999756,-28.8599987
13,1.55965441984e+18,-10.55999947,39.84000015,-20.93999863
14,1.5596544199e+18,0.5399999619,37.86000061,-26.39999962
15,1.55965441996e+18,6.71999979,33.41999817,-30.65999985
16,1.55965442002e+18,11.81999969,26.51999855,-34.20000076
17,1.55965442008e+18,16.02000046,17.87999916,-39.36000061
18,1.55965442014e+18,2.879999876,15.17999935,-45.0
19,1.5596544202e+18,-10.80000019,19.61999893,-44.21999741
20,1.55965442026e+18,-6.239999771,20.39999962,-42.0
21,1.55965442032e+18,0.3599999845,33.36000061,-33.23999786
22,1.55965442038e+18,3.299999952,39.11999893,-24.11999893
23,1.55965442044e+18,3.419999838,39.11999893,-22.68000031
24,1.5596544205e+18,3.599999905,39.23999786,-23.21999931
25,1.55965442056e+18,6.239999771,34.91999817,-30.59999847
26,1.55965442062e+18,9.359999657,27.77999878,-34.5
27,1.55965442068e+18,9.840000153,22.55999947,-38.93999863
28,1.55965442074e+18,9.300000191,20.10000038,-40.91999817
29,1.5596544208e+18,10.61999989,17.52000046,-42.71999741
30,1.55965442086e+18,12.59999943,15.35999966,-43.20000076
31,1.55965442092e+18,4.5,14.88000011,-46.13999939
32,1.55965442098e+18,-4.739999771,28.8599987,-37.91999817
33,1.55965442104e+18,-9.659999847,38.87999725,-23.93999863
34,1.5596544211e+18,1.679999948,37.73999786,-25.19999886
35,1.55965442116e+18,0.6599999666,40.31999969,-22.79999924
36,1.55965442122e+18,-0.7799999714,37.20000076,-27.29999924
37,1.55965442128e+18,8.63999939,28.07999992,-34.20000076
38,1.55965442134e+18,17.03999901,16.13999939,-38.75999832
39,1.5596544214e+18,14.5199995,5.159999847,-42.11999893
40,1.55965442146e+18,6.420000076,-0.4199999869,-46.25999832
41,1.55965442152e+18,1.079999924,-1.5,-46.68000031
42,1.55965442158e+18,-0.05999999866,10.5,-46.61999893
43,1.55965442164e+18,0.6599999666,24.95999908,-38.15999985
44,1.5596544217e+18,9.960000038,32.52000046,-29.27999878
45,1.55965442176e+18,17.52000046,33.84000015,-24.71999931
46,1.55965442182e+18,16.26000023,35.15999985,-23.69999886
47,1.55965442188e+18,16.19999886,33.77999878,-24.95999908
48,1.55965442194e+18,18.71999931,28.97999954,-27.23999977
49,1.559654422e+18,23.93999863,17.63999939,-32.63999939
50,1.55965442206e+18,24.84000015,3.179999828,-35.39999771
51,1.55965442211e+18,17.52000046,-6.359999657,-41.57999802
52,1.55965442217e+18,3.419999838,-11.03999996,-43.31999969
53,1.55965442223e+18,-2.75999999,-13.13999939,-43.97999954
54,1.55965442229e+18,-0.4799999893,-8.819999695,-44.39999771
55,1.55965442235e+18,0.6599999666,2.220000029,-46.07999802
56,1.55965442241e+18,2.220000029,17.45999908,-41.21999741
57,1.55965442247e+18,10.31999969,25.92000008,-33.89999771
58,1.55965442253e+18,16.92000008,30.1799984,-26.57999992
59,1.55965442259e+18,16.44000053,32.81999969,-23.81999969
60,1.55965442265e+18,14.27999973,34.07999802,-23.45999908
