,Time (s),Magnetic field x (µT),Magnetic field y (µT),Magnetic field z (µT)
0,1.55965472006e+18,11.5199995,16.13999939,-41.21999741
1,1.55965472012e+18,24.47999954,13.97999954,-33.95999908
2,1.55965472018e+18,29.87999916,14.75999928,-30.23999977
3,1.55965472024e+18,30.59999847,13.13999939,-29.51999855
4,1.5596547203e+18,30.23999977,11.88000011,-31.07999992
5,1.55965472036e+18,31.5,10.13999939,-29.63999939
6,1.55965472042e+18,35.09999847,8.220000267,-27.47999954
7,1.55965472048e+18,35.39999771,7.259999752,-25.92000008
8,1.55965472054e+18,37.5,5.699999809,-22.37999916
9,1.5596547206e+18,37.86000061,3.480000019,-24.29999924
10,1.55965472066e+18,31.26000023,3.359999895,-32.34000015
11,1.55965472072e+18,26.34000015,10.07999992,-36.84000015
12,1.55965472078e+18,29.57999992,20.03999901,-29.45999908
13,1.55965472084e+18,25.79999924,32.88000107,-18.05999947
14,1.5596547209e+18,26.69999886,35.45999908,-7.799999714
15,1.55965472096e+18,25.8599987,35.21999741,-4.319999695
16,1.55965472102e+18,27.3599987,34.79999924,-4.440000057
17,1.55965472108e+18,29.45999908,32.57999802,-7.199999809
18,1.55965472114e+18,32.63999939,27.23999977,-10.97999954
19,1.5596547212e+18,35.45999908,21.05999947,-15.47999954
20,1.55965472126e+18,35.70000076,16.8599987,-21.71999931
21,1.55965472132e+18,33.71999741,13.13999939,-25.5
22,1.55965472138e+18,33.71999741,12.0,-27.59999847
23,1.55965472144e+18,31.79999924,10.38000011,-31.92000008
24,1.5596547215e+18,23.34000015,18.42000008,-35.39999771
25,1.55965472156e+18,24.77999878,28.55999947,-24.0
26,1.55965472162e+18,21.0,37.43999863,-14.27999973
27,1.55965472168e+18,19.61999893,40.20000076,-8.519999504
28,1.55965472174e+18,27.0,35.21999741,-1.25999999
29,1.5596547218e+18,30.29999924,33.18000031,-2.639999866
30,1.55965472186e+18,34.91999817,27.05999947,-2.039999962
31,1.55965472192e+18,39.89999771,19.92000008,-4.319999695
32,1.55965472198e+18,42.54000092,10.73999977,-6.899999619
33,1.55965472204e+18,43.5,0.0,-14.69999981
34,1.5596547221e+18,41.63999939,-8.340000153,-17.45999908
35,1.55965472216e+18,35.63999939,-15.23999977,-23.21999931
36,1.55965472222e+18,30.42000008,-13.43999958,-29.63999939
37,1.55965472228e+18,37.97999954,-9.539999962,-21.53999901
38,1.55965472234e+18,36.11999893,1.620000005,-24.3599987
39,1.5596547224e+18,37.61999893,14.15999985,-18.84000015
40,1.55965472246e+18,38.15999985,20.34000015,-9.599999428
41,1.55965472252e+18,39.36000061,20.87999916,-1.439999938
42,1.55965472258e+18,40.73999786,17.34000015,-3.659999847
