,Time (s),Magnetic field x (µT),Magnetic field y (µT),Magnetic field z (µT)
0,1.55965502105e+18,36.77999878,-22.5,-22.13999939
1,1.5596550211e+18,35.04000092,-19.31999969,-23.87999916
2,1.55965502115e+18,40.61999893,-11.34000015,-21.77999878
3,1.5596550212e+18,41.75999832,-6.839999676,-23.10000038
4,1.55965502125e+18,40.55999756,-5.21999979,-25.13999939
5,1.5596550213e+18,37.73999786,-5.279999733,-27.84000015
6,1.55965502136e+18,31.19999886,-5.699999809,-34.68000031
7,1.55965502142e+18,17.21999931,-7.319999695,-44.27999878
8,1.55965502148e+18,0.2399999946,-10.19999981,-47.87999725
9,1.55965502154e+18,1.74000001,-11.34000015,-48.41999817
10,1.5596550216e+18,-6.239999771,-12.17999935,-49.5
11,1.55965502165e+18,-4.859999657,-16.97999954,-46.97999954
12,1.55965502171e+18,3.119999886,-21.95999908,-43.55999756
13,1.55965502176e+18,7.679999828,-25.19999886,-41.52000046
14,1.55965502181e+18,8.519999504,-26.51999855,-40.25999832
15,1.55965502187e+18,6.839999676,-24.77999878,-40.31999969
16,1.55965502192e+18,7.619999886,-22.37999916,-42.65999985
17,1.55965502198e+18,18.65999985,-16.97999954,-39.59999847
18,1.55965502204e+18,33.89999771,-9.960000038,-31.19999886
19,1.5596550221e+18,45.23999786,0.2999999821,-14.39999962
20,1.55965502216e+18,44.81999969,11.88000011,1.799999952
21,1.55965502221e+18,39.89999771,21.05999947,8.220000267
22,1.55965502227e+18,34.68000031,29.45999908,10.61999989
23,1.55965502233e+18,30.1799984,33.84000015,10.61999989
24,1.55965502239e+18,29.15999985,34.73999786,9.300000191
25,1.55965502244e+18,31.07999992,34.25999832,8.220000267
26,1.5596550225e+18,35.52000046,28.97999954,8.340000153
27,1.55965502255e+18,40.91999817,21.29999924,6.960000038
28,1.55965502261e+18,44.93999863,9.119999886,6.299999714
29,1.55965502267e+18,47.21999741,-4.199999809,2.579999924
30,1.55965502273e+18,44.52000046,-14.88000011,-7.559999943
31,1.55965502279e+18,38.34000015,-18.05999947,-20.93999863
32,1.55965502285e+18,31.19999886,-14.69999981,-31.13999939
33,1.5596550229e+18,33.77999878,-12.71999931,-32.15999985
34,1.55965502296e+18,35.39999771,-16.19999886,-28.61999893
35,1.55965502301e+18,36.0,-12.47999954,-28.26000023
36,1.55965502307e+18,38.52000046,-5.699999809,-25.68000031
37,1.55965502312e+18,42.59999847,-4.559999943,-21.29999924
38,1.55965502317e+18,40.02000046,-3.059999943,-22.5
39,1.55965502322e+18,37.86000061,-3.299999952,-26.39999962
40,1.55965502328e+18,30.11999893,-6.359999657,-36.0
41,1.55965502333e+18,14.75999928,-8.63999939,-44.63999939
42,1.55965502339e+18,2.039999962,-11.81999969,-47.63999939
43,1.55965502344e+18,6.359999657,-14.34000015,-47.45999908
44,1.55965502349e+18,2.700000048,-15.96000004,-48.23999786
45,1.55965502355e+18,1.679999948,-17.10000038,-47.21999741
46,1.5596550236e+18,6.059999943,-18.3599987,-44.70000076
47,1.55965502366e+18,13.55999947,-19.79999924,-43.20000076
48,1.55965502371e+18,17.03999901,-17.81999969,-41.27999878
49,1.55965502377e+18,20.87999916,-14.88000011,-39.84000015
50,1.55965502383e+18,29.03999901,-9.179999352,-36.41999817
51,1.55965502389e+18,38.27999878,-0.9599999785,-25.37999916
52,1.55965502395e+18,43.43999863,10.07999992,-11.46000004
53,1.55965502401e+18,39.65999985,23.45999908,-3.720000029
54,1.55965502406e+18,33.54000092,32.21999741,2.639999866
55,1.55965502411e+18,25.31999969,38.52000046,6.71999979
56,1.55965502416e+18,18.95999908,41.52000046,9.0
57,1.55965502422e+18,13.38000011,43.68000031,10.26000023
58,1.55965502428e+18,12.96000004,43.07999802,10.19999981
59,1.55965502434e+18,16.97999954,42.0,10.26000023
60,1.55965502439e+18,22.43999863,38.70000076,11.34000015
61,1.55965502445e+18,30.59999847,32.39999771,12.89999962
62,1.5596550245e+18,38.45999908,22.37999916,11.39999962
63,1.55965502456e+18,44.15999985,10.73999977,7.559999943
64,1.55965502461e+18,45.23999786,1.5,0.5399999619
65,1.55965502467e+18,44.57999802,-6.239999771,-13.07999992
66,1.55965502472e+18,41.81999969,-11.03999996,-19.43999863
67,1.55965502477e+18,41.81999969,-13.92000008,-16.8599987
68,1.55965502483e+18,42.41999817,-16.55999947,-13.67999935
69,1.55965502489e+18,41.81999969,-15.53999996,-15.0
70,1.55965502495e+18,39.47999954,-8.93999958,-21.3599987
71,1.55965502501e+18,46.25999832,-4.319999695,-5.21999979
72,1.55965502507e+18,45.41999817,-3.059999943,-4.380000114
73,1.55965502513e+18,45.36000061,-4.079999924,-5.579999924
74,1.55965502518e+18,44.57999802,-5.639999866,-9.119999886
75,1.55965502523e+18,41.87999725,-8.340000153,-15.11999989
76,1.55965502528e+18,34.91999817,-9.300000191,-25.97999954
77,1.55965502534e+18,16.44000053,-9.840000153,-41.75999832
78,1.55965502539e+18,0.719999969,-9.779999733,-46.02000046
79,1.55965502545e+18,2.639999866,-11.46000004,-46.55999756
80,1.55965502551e+18,-2.279999971,-10.92000008,-47.81999969
81,1.55965502557e+18,-4.380000114,-12.77999973,-46.07999802
82,1.55965502563e+18,8.519999504,-16.73999977,-43.13999939
83,1.55965502569e+18,14.69999981,-17.45999908,-41.04000092
84,1.55965502574e+18,18.3599987,-17.03999901,-39.36000061
85,1.5596550258e+18,21.23999977,-16.73999977,-38.27999878
86,1.55965502585e+18,25.97999954,-14.34000015,-35.39999771
87,1.55965502591e+18,33.41999817,-8.460000038,-29.45999908
88,1.55965502596e+18,40.25999832,-2.279999971,-20.81999969
89,1.55965502601e+18,43.61999893,5.819999695,-9.960000038
90,1.55965502607e+18,42.11999893,15.8399992,5.279999733
91,1.55965502612e+18,37.38000107,21.23999977,14.27999973
92,1.55965502618e+18,31.79999924,26.09999847,18.77999878
93,1.55965502624e+18,29.34000015,30.0,17.87999916
94,1.5596550263e+18,30.3599987,31.19999886,12.89999962
95,1.55965502635e+18,31.5,31.8599987,8.340000153
96,1.55965502641e+18,31.97999954,31.61999893,6.480000019
97,1.55965502647e+18,32.57999802,30.29999924,7.980000019
98,1.55965502652e+18,32.34000015,29.21999931,9.659999847
99,1.55965502657e+18,33.89999771,27.71999931,13.43999958
100,1.55965502663e+18,35.09999847,24.3599987,17.45999908
101,1.55965502668e+18,38.39999771,19.07999992,15.89999962
102,1.55965502674e+18,41.81999969,13.85999966,13.13999939
103,1.55965502679e+18,42.47999954,12.89999962,12.59999943
104,1.55965502685e+18,43.13999939,13.61999989,11.69999981
105,1.5596550269e+18,41.27999878,13.0199995,13.97999954
106,1.55965502696e+18,40.86000061,15.0,16.97999954
107,1.55965502701e+18,39.47999954,16.37999916,18.23999977
108,1.55965502707e+18,40.37999725,15.42000008,18.95999908
109,1.55965502712e+18,43.07999802,10.67999935,16.73999977
110,1.55965502718e+18,44.09999847,4.799999714,15.29999924
111,1.55965502723e+18,44.52000046,-3.179999828,12.89999962
112,1.55965502729e+18,45.36000061,-10.92000008,7.859999657
113,1.55965502735e+18,44.34000015,-18.0,-0.05999999866
114,1.5596550274e+18,39.71999741,-24.47999954,-4.980000019
115,1.55965502746e+18,25.37999916,-31.26000023,-21.71999931
116,1.55965502752e+18,10.31999969,-32.52000046,-28.31999969
117,1.55965502757e+18,7.5,-33.84000015,-27.42000008
118,1.55965502763e+18,5.159999847,-33.65999985,-27.23999977
119,1.55965502769e+18,2.75999999,-33.29999924,-28.8599987
120,1.55965502774e+18,2.339999914,-33.0,-29.21999931
121,1.55965502779e+18,-0.4799999893,-33.95999908,-29.57999992
122,1.55965502785e+18,-3.839999914,-33.36000061,-28.13999939
123,1.55965502791e+18,-2.939999819,-33.0,-29.15999985
124,1.55965502797e+18,-3.0,-29.87999916,-32.45999908
125,1.55965502803e+18,-0.8999999762,-26.27999878,-35.63999939
126,1.55965502809e+18,0.8399999738,-21.95999908,-38.63999939
127,1.55965502814e+18,-1.139999986,-17.15999985,-41.39999771
128,1.5596550282e+18,-8.340000153,-14.21999931,-42.29999924
129,1.55965502825e+18,-20.81999969,-12.96000004,-40.5
130,1.55965502831e+18,-23.57999992,-11.75999928,-39.77999878
131,1.55965502836e+18,-9.479999542,-11.34000015,-45.11999893
132,1.55965502842e+18,-9.179999352,-10.80000019,-45.84000015
133,1.55965502848e+18,-5.759999752,-13.85999966,-44.45999908
134,1.55965502854e+18,-1.5,-17.81999969,-42.71999741
135,1.5596550286e+18,1.019999981,-19.19999886,-42.0
136,1.55965502865e+18,3.899999857,-17.69999886,-42.47999954
137,1.5596550287e+18,9.899999619,-15.65999985,-41.45999908
138,1.55965502876e+18,19.31999969,-9.420000076,-39.41999817
139,1.55965502882e+18,31.6799984,-2.039999962,-32.81999969
140,1.55965502888e+18,40.73999786,5.159999847,-20.39999962
141,1.55965502894e+18,43.20000076,14.27999973,-3.359999895
142,1.559655029e+18,37.79999924,23.21999931,5.159999847
143,1.55965502905e+18,34.20000076,29.81999969,7.019999981
144,1.55965502911e+18,28.13999939,34.02000046,7.259999752
145,1.55965502916e+18,26.39999962,36.47999954,7.799999714
146,1.55965502922e+18,26.09999847,35.70000076,7.379999638
147,1.55965502928e+18,27.53999901,35.75999832,5.519999981
148,1.55965502934e+18,29.87999916,33.71999741,4.980000019
149,1.55965502939e+18,31.92000008,31.37999916,4.920000076
150,1.55965502945e+18,34.5,27.59999847,6.539999962
151,1.5596550295e+18,36.41999817,25.01999855,8.880000114
152,1.55965502956e+18,38.93999863,20.10000038,11.75999928
153,1.55965502961e+18,40.91999817,15.42000008,9.899999619
154,1.55965502967e+18,44.09999847,9.659999847,8.159999847
155,1.55965502973e+18,45.5399971,-0.8999999762,5.099999905
