,Time (s),Magnetic field x (µT),Magnetic field y (µT),Magnetic field z (µT)
0,1.55965532206e+18,-25.92000008,-7.980000019,-35.63999939
1,1.55965532212e+18,-26.03999901,-7.799999714,-35.34000015
2,1.55965532218e+18,-26.21999931,-8.519999504,-34.97999954
3,1.55965532224e+18,-26.51999855,-8.460000038,-35.34000015
4,1.5596553223e+18,-26.45999908,-8.760000229,-35.04000092
5,1.55965532236e+18,-25.5,-9.539999962,-35.63999939
6,1.55965532242e+18,-24.95999908,-9.960000038,-36.41999817
7,1.55965532248e+18,-23.57999992,-9.960000038,-38.21999741
8,1.55965532254e+18,-19.79999924,-11.09999943,-40.02000046
9,1.5596553226e+18,-10.80000019,-13.19999981,-41.93999863
10,1.55965532266e+18,-1.25999999,-13.92000008,-44.27999878
11,1.55965532272e+18,6.299999714,-15.29999924,-44.45999908
12,1.55965532278e+18,10.07999992,-14.69999981,-43.68000031
13,1.55965532284e+18,15.0,-16.07999992,-41.87999725
14,1.5596553229e+18,22.8599987,-15.53999996,-38.93999863
15,1.55965532296e+18,28.79999924,-16.55999947,-35.27999878
16,1.55965532302e+18,29.69999886,-16.61999893,-33.36000061
17,1.55965532308e+18,25.01999855,-18.18000031,-35.93999863
18,1.55965532314e+18,18.71999931,-18.05999947,-39.65999985
19,1.5596553232e+18,12.65999985,-18.95999908,-41.39999771
20,1.55965532326e+18,12.65999985,-22.02000046,-40.31999969
21,1.55965532332e+18,7.079999924,-23.34000015,-40.68000031
22,1.55965532338e+18,3.480000019,-25.07999992,-39.77999878
23,1.55965532344e+18,0.9599999785,-26.39999962,-37.43999863
24,1.5596553235e+18,-3.899999857,-27.11999893,-37.38000107
25,1.55965532356e+18,-6.899999619,-29.15999985,-35.88000107
26,1.55965532362e+18,-9.899999619,-29.15999985,-33.84000015
27,1.55965532368e+18,-10.19999981,-29.76000023,-34.13999939
28,1.55965532374e+18,-10.97999954,-29.03999901,-33.41999817
29,1.5596553238e+18,-11.39999962,-28.92000008,-32.81999969
30,1.55965532386e+18,-11.27999973,-29.21999931,-33.29999924
31,1.55965532392e+18,-9.539999962,-29.15999985,-34.43999863
32,1.55965532398e+18,-7.199999809,-29.34000015,-34.43999863
33,1.55965532404e+18,-5.819999695,-30.47999954,-33.36000061
34,1.5596553241e+18,-6.899999619,-30.65999985,-33.65999985
35,1.55965532416e+18,-5.21999979,-31.61999893,-32.93999863
36,1.55965532422e+18,-3.24000001,-31.37999916,-33.77999878
37,1.55965532428e+18,0.2399999946,-29.93999863,-35.15999985
38,1.55965532434e+18,3.659999847,-27.05999947,-37.07999802
39,1.5596553244e+18,6.299999714,-24.3599987,-38.21999741
40,1.55965532446e+18,8.699999809,-22.19999886,-39.54000092
41,1.55965532452e+18,9.539999962,-19.92000008,-41.57999802
42,1.55965532458e+18,10.97999954,-18.89999962,-41.39999771
43,1.55965532464e+18,11.93999958,-18.53999901,-41.04000092
44,1.5596553247e+18,12.53999996,-18.23999977,-41.70000076
45,1.55965532476e+18,11.81999969,-18.18000031,-41.70000076
46,1.55965532482e+18,13.13999939,-19.19999886,-41.39999771
47,1.55965532488e+18,12.84000015,-20.39999962,-40.31999969
48,1.55965532494e+18,12.42000008,-21.53999901,-39.41999817
