,Time (s),Magnetic field x (µT),Magnetic field y (µT),Magnetic field z (µT)
0,1.55965562306e+18,42.11999893,-12.53999996,-12.17999935
1,1.55965562312e+18,42.77999878,-12.47999954,-12.71999931
2,1.55965562318e+18,43.02000046,-12.89999962,-13.67999935
3,1.55965562324e+18,41.93999863,-13.5,-14.69999981
4,1.5596556233e+18,42.11999893,-13.55999947,-15.29999924
5,1.55965562336e+18,42.41999817,-14.34000015,-15.65999985
6,1.55965562342e+18,41.70000076,-13.61999989,-14.88000011
7,1.55965562348e+18,42.77999878,-13.55999947,-13.97999954
8,1.55965562354e+18,43.25999832,-13.67999935,-12.96000004
9,1.5596556236e+18,43.25999832,-15.0,-11.27999973
10,1.55965562366e+18,42.84000015,-16.26000023,-13.92000008
11,1.55965562372e+18,39.54000092,-17.10000038,-17.15999985
12,1.55965562378e+18,30.05999947,-17.69999886,-28.13999939
13,1.55965562384e+18,10.61999989,-17.52000046,-39.05999756
14,1.5596556239e+18,0.4799999893,-16.97999954,-39.77999878
15,1.55965562396e+18,0.4199999869,-14.93999958,-41.52000046
16,1.55965562402e+18,-6.71999979,-12.17999935,-41.75999832
17,1.55965562408e+18,-12.47999954,-14.21999931,-40.25999832
18,1.55965562414e+18,-18.11999893,-18.77999878,-35.45999908
19,1.5596556242e+18,-18.18000031,-23.27999878,-32.70000076
20,1.55965562426e+18,-12.30000019,-29.57999992,-30.95999908
21,1.55965562432e+18,-7.019999981,-32.75999832,-27.84000015
22,1.55965562438e+18,-2.519999981,-35.81999969,-27.23999977
23,1.55965562444e+18,1.139999986,-34.86000061,-29.93999863
24,1.5596556245e+18,-3.24000001,-29.81999969,-36.36000061
25,1.55965562456e+18,-10.0199995,-17.10000038,-42.71999741
26,1.55965562462e+18,-19.43999863,-0.9599999785,-42.95999908
27,1.55965562468e+18,-26.45999908,13.55999947,-38.63999939
28,1.55965562474e+18,-29.57999992,22.26000023,-31.13999939
29,1.5596556248e+18,-30.59999847,22.8599987,-29.87999916
30,1.55965562486e+18,-31.73999977,19.02000046,-30.47999954
31,1.55965562492e+18,-32.34000015,11.93999958,-32.34000015
32,1.55965562498e+18,-33.11999893,0.4199999869,-34.07999802
33,1.55965562504e+18,-31.55999947,-14.21999931,-30.71999931
34,1.5596556251e+18,-24.65999985,-23.39999962,-31.13999939
35,1.55965562516e+18,-16.73999977,-27.3599987,-33.47999954
36,1.55965562522e+18,-8.039999962,-27.0,-36.71999741
37,1.55965562528e+18,-10.26000023,-23.27999878,-39.89999771
38,1.55965562534e+18,-24.3599987,-7.019999981,-38.57999802
39,1.5596556254e+18,-29.87999916,3.599999905,-35.70000076
40,1.55965562546e+18,-32.09999847,8.039999962,-33.54000092
41,1.55965562552e+18,-34.86000061,8.760000229,-28.79999924
42,1.55965562558e+18,-36.29999924,3.899999857,-27.29999924
43,1.55965562564e+18,-36.77999878,-3.179999828,-26.51999855
44,1.5596556257e+18,-35.52000046,-11.34000015,-26.03999901
45,1.55965562576e+18,-33.36000061,-13.55999947,-26.45999908
46,1.55965562582e+18,-26.21999931,-13.92000008,-32.15999985
47,1.55965562588e+18,-15.77999973,-17.03999901,-38.45999908
48,1.55965562594e+18,-21.47999954,-9.179999352,-38.09999847
49,1.559655626e+18,-28.61999893,2.220000029,-33.05999756
50,1.55965562606e+18,-34.13999939,8.579999924,-28.55999947
51,1.55965562611e+18,-33.05999756,9.840000153,-29.03999901
52,1.55965562617e+18,-32.27999878,9.479999542,-29.39999962
53,1.55965562623e+18,-32.70000076,8.039999962,-29.39999962
54,1.55965562629e+18,-33.65999985,3.599999905,-27.89999962
55,1.55965562635e+18,-33.29999924,-1.9799999,-27.29999924
56,1.55965562641e+18,-33.54000092,-9.779999733,-27.29999924
57,1.55965562647e+18,-34.43999863,-12.42000008,-24.18000031
58,1.55965562653e+18,-27.0,-5.279999733,-31.61999893
59,1.55965562659e+18,-28.73999977,16.61999893,-29.15999985
60,1.55965562665e+18,-25.31999969,26.69999886,-26.34000015
61,1.55965562671e+18,-21.53999901,25.73999977,-28.8599987
62,1.55965562677e+18,-30.53999901,18.77999878,-26.34000015
63,1.55965562683e+18,-33.54000092,14.39999962,-26.39999962
64,1.55965562689e+18,-36.95999908,10.5,-23.69999886
65,1.55965562695e+18,-38.81999969,6.0,-19.55999947
66,1.55965562701e+18,-39.84000015,0.4199999869,-14.88000011
67,1.55965562707e+18,-38.93999863,-7.619999886,-16.97999954
68,1.55965562713e+18,-32.15999985,-16.13999939,-22.19999886
69,1.55965562719e+18,-28.31999969,-8.880000114,-31.13999939
70,1.55965562725e+18,-32.75999832,14.27999973,-27.18000031
71,1.55965562731e+18,-23.27999878,25.37999916,-27.89999962
72,1.55965562737e+18,-20.76000023,21.05999947,-30.53999901
73,1.55965562743e+18,-24.3599987,17.69999886,-30.3599987
74,1.55965562749e+18,-35.34000015,11.27999973,-25.19999886
75,1.55965562755e+18,-37.73999786,3.480000019,-20.57999992
76,1.55965562761e+18,-38.52000046,-0.8399999738,-20.69999886
77,1.55965562767e+18,-31.13999939,-4.859999657,-28.07999992
78,1.55965562773e+18,-18.05999947,-10.26000023,-37.02000046
79,1.55965562779e+18,-17.21999931,1.439999938,-37.97999954
80,1.55965562785e+18,-24.60000038,14.93999958,-32.57999802
81,1.55965562791e+18,-21.53999901,22.02000046,-31.5
82,1.55965562797e+18,-25.92000008,22.55999947,-26.69999886
83,1.55965562803e+18,-26.93999863,22.19999886,-23.76000023
84,1.55965562809e+18,-26.15999985,18.29999924,-25.68000031
85,1.55965562815e+18,-30.77999878,9.359999657,-25.26000023
86,1.55965562821e+18,-32.09999847,-1.860000014,-23.51999855
87,1.55965562827e+18,-29.39999962,-9.179999352,-24.23999977
88,1.55965562833e+18,-27.11999893,-12.84000015,-22.13999939
89,1.55965562839e+18,-23.51999855,-14.88000011,-25.43999863
90,1.55965562845e+18,-22.73999977,-16.19999886,-25.26000023
91,1.55965562851e+18,-23.93999863,-15.29999924,-25.97999954
92,1.55965562857e+18,-27.59999847,-7.319999695,-26.09999847
93,1.55965562863e+18,-27.53999901,11.34000015,-28.07999992
94,1.55965562869e+18,-20.57999992,26.09999847,-23.81999969
95,1.55965562875e+18,-17.63999939,28.73999977,-24.11999893
96,1.55965562881e+18,-24.29999924,23.87999916,-24.29999924
97,1.55965562887e+18,-30.53999901,10.85999966,-26.51999855
98,1.55965562893e+18,-30.0,0.5999999642,-28.92000008
99,1.55965562899e+18,-28.92000008,-6.119999886,-29.69999886
100,1.55965562905e+18,-26.21999931,-12.77999973,-28.68000031
101,1.55965562911e+18,-30.65999985,-14.75999928,-21.95999908
102,1.55965562917e+18,-30.05999947,-23.93999863,-14.27999973
103,1.55965562923e+18,-25.19999886,-25.19999886,-20.81999969
104,1.55965562929e+18,-37.02000046,-7.019999981,-21.29999924
105,1.55965562935e+18,-31.55999947,17.52000046,-24.3599987
106,1.55965562941e+18,-26.51999855,27.53999901,-21.95999908
107,1.55965562947e+18,-30.89999962,24.84000015,-18.05999947
108,1.55965562953e+18,-34.07999802,17.27999878,-20.81999969
109,1.55965562959e+18,-38.21999741,9.719999313,-16.44000053
110,1.55965562965e+18,-39.0,3.720000029,-17.94000053
111,1.55965562971e+18,-37.43999863,-1.139999986,-17.94000053
112,1.55965562977e+18,-35.70000076,-6.480000019,-21.29999924
113,1.55965562983e+18,-32.45999908,-17.76000023,-17.03999901
114,1.55965562989e+18,-21.42000008,-14.03999996,-31.26000023
115,1.55965562995e+18,-31.01999855,4.5,-30.3599987
116,1.55965563001e+18,-32.34000015,18.65999985,-22.07999992
117,1.55965563007e+18,-29.09999847,21.65999985,-23.57999992
118,1.55965563013e+18,-26.39999962,17.52000046,-27.65999985
119,1.55965563019e+18,-27.71999931,9.479999542,-29.57999992
120,1.55965563025e+18,-29.63999939,-2.639999866,-30.89999962
121,1.55965563031e+18,-25.92000008,-9.779999733,-30.65999985
122,1.55965563037e+18,-21.05999947,-13.07999992,-32.57999802
123,1.55965563043e+18,-16.97999954,-14.93999958,-33.23999786
124,1.55965563049e+18,-22.61999893,-16.68000031,-29.51999855
125,1.55965563055e+18,-24.0,-15.11999989,-30.0
126,1.55965563061e+18,-29.03999901,-7.679999828,-29.87999916
127,1.55965563067e+18,-27.95999908,11.34000015,-29.93999863
128,1.55965563073e+18,-19.37999916,27.59999847,-27.18000031
129,1.55965563079e+18,-24.60000038,28.01999855,-22.8599987
130,1.55965563085e+18,-25.07999992,22.92000008,-25.92000008
131,1.55965563091e+18,-29.93999863,13.43999958,-27.05999947
132,1.55965563097e+18,-34.02000046,6.179999828,-25.55999947
133,1.55965563103e+18,-32.27999878,-0.3599999845,-27.71999931
134,1.55965563109e+18,-28.31999969,-4.859999657,-30.29999924
135,1.55965563115e+18,-16.07999992,-9.539999962,-35.57999802
136,1.55965563121e+18,-8.819999695,-10.38000011,-39.65999985
137,1.55965563127e+18,-8.699999809,-10.5,-39.59999847
138,1.55965563133e+18,-14.15999985,1.620000005,-40.20000076
139,1.55965563139e+18,-21.29999924,17.69999886,-31.79999924
140,1.55965563145e+18,-13.13999939,27.89999962,-28.61999893
141,1.55965563151e+18,-14.15999985,28.07999992,-28.8599987
142,1.55965563157e+18,-17.81999969,22.73999977,-31.61999893
143,1.55965563163e+18,-24.84000015,17.45999908,-30.05999947
144,1.55965563169e+18,-24.47999954,12.11999989,-33.18000031
145,1.55965563175e+18,-25.01999855,6.420000076,-33.0
146,1.55965563181e+18,-19.31999969,1.319999933,-36.0
147,1.55965563187e+18,-10.73999977,-5.400000095,-38.70000076
148,1.55965563193e+18,-12.59999943,-8.159999847,-39.41999817
149,1.55965563199e+18,-22.92000008,-4.980000019,-35.39999771
150,1.55965563205e+18,-23.03999901,6.779999733,-35.93999863
151,1.55965563211e+18,-16.07999992,24.29999924,-31.92000008
152,1.55965563217e+18,1.74000001,33.29999924,-25.5
153,1.55965563223e+18,5.879999638,35.04000092,-23.87999916
154,1.55965563229e+18,-1.860000014,33.59999847,-27.05999947
155,1.55965563235e+18,-10.43999958,31.61999893,-28.92000008
156,1.55965563241e+18,-11.5199995,28.8599987,-28.43999863
157,1.55965563247e+18,-10.67999935,26.69999886,-31.01999855
158,1.55965563253e+18,-12.53999996,24.11999893,-32.75999832
159,1.55965563259e+18,-26.87999916,25.92000008,-19.19999886
160,1.55965563265e+18,-23.93999863,28.73999977,-14.21999931
161,1.55965563271e+18,-22.37999916,37.13999939,-5.699999809
162,1.55965563277e+18,-4.440000057,43.79999924,0.719999969
163,1.55965563283e+18,13.5,41.81999969,5.639999866
164,1.55965563289e+18,12.84000015,42.47999954,2.279999971
165,1.55965563295e+18,4.440000057,44.93999863,0.5399999619
166,1.55965563301e+18,-7.980000019,43.68000031,-5.460000038
167,1.55965563307e+18,-18.47999954,39.36000061,-8.519999504
168,1.55965563313e+18,-24.77999878,34.73999786,-12.17999935
169,1.55965563319e+18,-26.57999992,32.70000076,-12.84000015
170,1.55965563325e+18,-26.39999962,30.1799984,-11.57999992
171,1.55965563331e+18,-28.19999886,30.3599987,-10.0199995
172,1.55965563337e+18,-22.79999924,32.39999771,-8.460000038
173,1.55965563343e+18,-11.27999973,42.71999741,0.2399999946
174,1.55965563349e+18,0.4199999869,44.63999939,0.4199999869
175,1.55965563355e+18,-0.8999999762,43.97999954,3.419999838
176,1.55965563361e+18,-6.239999771,45.05999756,5.159999847
177,1.55965563367e+18,-13.5,43.20000076,1.799999952
178,1.55965563373e+18,-22.07999992,38.70000076,-4.980000019
179,1.55965563379e+18,-27.23999977,33.54000092,-11.09999943
180,1.55965563385e+18,-27.53999901,30.53999901,-16.02000046
181,1.55965563391e+18,-26.76000023,28.55999947,-17.39999962
182,1.55965563397e+18,-24.11999893,30.47999954,-15.17999935
183,1.55965563403e+18,-24.18000031,35.70000076,-7.079999924
184,1.55965563409e+18,-16.44000053,41.57999802,-0.719999969
185,1.55965563415e+18,-2.399999857,44.93999863,1.919999957
186,1.55965563421e+18,2.099999905,44.70000076,4.019999981
187,1.55965563427e+18,-1.079999924,45.59999847,4.739999771
188,1.55965563433e+18,-13.13999939,43.73999786,0.2999999821
189,1.55965563439e+18,-23.87999916,36.65999985,-8.099999428
190,1.55965563445e+18,-29.81999969,28.73999977,-15.0
191,1.55965563451e+18,-29.87999916,23.87999916,-21.65999985
192,1.55965563457e+18,-28.07999992,22.43999863,-23.45999908
193,1.55965563463e+18,-22.5,19.5,-30.29999924
194,1.55965563469e+18,-22.55999947,13.61999989,-32.75999832
195,1.55965563475e+18,-22.43999863,22.68000031,-27.89999962
196,1.55965563481e+18,-19.5,38.87999725,-9.420000076
197,1.55965563487e+18,-10.07999992,44.81999969,-0.5399999619
198,1.55965563493e+18,-10.31999969,43.37999725,2.639999866
199,1.55965563499e+18,-12.17999935,43.07999802,0.8399999738
200,1.55965563505e+18,-19.26000023,40.97999954,-2.579999924
201,1.55965563511e+18,-25.19999886,37.38000107,-6.179999828
202,1.55965563517e+18,-29.09999847,32.39999771,-9.840000153
203,1.55965563523e+18,-30.77999878,28.37999916,-15.59999943
204,1.55965563529e+18,-30.47999954,24.23999977,-20.03999901
205,1.55965563535e+18,-31.79999924,18.89999962,-20.10000038
206,1.55965563541e+18,-28.73999977,22.73999977,-21.89999962
207,1.55965563547e+18,-24.89999962,35.81999969,-8.519999504
208,1.55965563553e+18,-5.759999752,43.79999924,-1.25999999
209,1.55965563559e+18,3.659999847,45.41999817,4.980000019
