,Time (s),Magnetic field x (µT),Magnetic field y (µT),Magnetic field z (µT)
0,1.55965592406e+18,6.420000076,-36.05999756,-18.0
1,1.55965592412e+18,7.019999981,-35.88000107,-18.3599987
2,1.55965592418e+18,6.179999828,-35.70000076,-18.18000031
3,1.55965592424e+18,5.519999981,-36.71999741,-18.47999954
4,1.5596559243e+18,5.400000095,-35.81999969,-17.57999992
5,1.55965592436e+18,4.559999943,-37.02000046,-16.92000008
6,1.55965592442e+18,3.299999952,-37.55999756,-16.37999916
7,1.55965592448e+18,-0.3599999845,-37.5,-14.88000011
8,1.55965592454e+18,-6.119999886,-37.68000031,-12.05999947
9,1.5596559246e+18,-12.35999966,-35.45999908,-9.0
10,1.55965592466e+18,-19.79999924,-32.52000046,-4.079999924
11,1.55965592472e+18,-25.68000031,-27.23999977,-4.199999809
12,1.55965592478e+18,-29.51999855,-22.43999863,-1.620000005
13,1.55965592484e+18,-33.23999786,-16.31999969,-1.079999924
14,1.5596559249e+18,-34.79999924,-11.46000004,-4.259999752
15,1.55965592496e+18,-36.05999756,-4.319999695,-6.059999943
16,1.55965592502e+18,-36.65999985,3.059999943,-9.179999352
17,1.55965592508e+18,-34.31999969,10.43999958,-10.67999935
18,1.55965592514e+18,-31.13999939,16.73999977,-14.93999958
19,1.5596559252e+18,-26.87999916,21.84000015,-16.68000031
20,1.55965592526e+18,-21.89999962,26.87999916,-17.57999992
21,1.55965592532e+18,-15.35999966,30.59999847,-16.8599987
22,1.55965592538e+18,-9.779999733,34.02000046,-15.29999924
23,1.55965592544e+18,-5.039999962,36.65999985,-13.19999981
24,1.5596559255e+18,0.2399999946,37.55999756,-12.35999966
25,1.55965592556e+18,4.859999657,37.38000107,-11.09999943
26,1.55965592562e+18,7.919999599,37.97999954,-10.07999992
27,1.55965592568e+18,8.399999619,37.73999786,-9.659999847
28,1.55965592574e+18,10.0199995,37.61999893,-9.779999733
29,1.5596559258e+18,10.38000011,37.13999939,-8.699999809
30,1.55965592586e+18,9.179999352,37.91999817,-7.019999981
31,1.55965592592e+18,6.659999847,38.45999908,-6.779999733
32,1.55965592598e+18,5.099999905,38.27999878,-6.779999733
33,1.55965592604e+18,2.879999876,38.39999771,-7.5
34,1.5596559261e+18,0.1799999923,37.97999954,-8.220000267
35,1.55965592616e+18,-1.25999999,37.5,-10.61999989
36,1.55965592622e+18,-3.899999857,36.05999756,-12.77999973
37,1.55965592628e+18,-4.259999752,35.34000015,-14.69999981
38,1.55965592634e+18,-6.539999962,34.43999863,-15.29999924
39,1.5596559264e+18,-8.279999733,34.13999939,-13.61999989
40,1.55965592646e+18,-11.63999939,33.59999847,-13.0199995
41,1.55965592652e+18,-14.21999931,32.27999878,-13.73999977
42,1.55965592658e+18,-17.69999886,29.34000015,-15.42000008
43,1.55965592664e+18,-20.10000038,24.89999962,-20.45999908
44,1.5596559267e+18,-20.45999908,22.55999947,-22.79999924
45,1.55965592676e+18,-18.89999962,22.5,-25.8599987
46,1.55965592682e+18,-13.79999924,23.15999985,-27.65999985
47,1.55965592688e+18,-9.119999886,25.19999886,-28.68000031
48,1.55965592694e+18,-2.220000029,25.13999939,-29.93999863
49,1.559655927e+18,3.659999847,25.73999977,-30.59999847
50,1.55965592706e+18,9.359999657,24.60000038,-29.93999863
51,1.55965592712e+18,13.67999935,21.95999908,-30.77999878
52,1.55965592718e+18,17.45999908,17.45999908,-32.09999847
53,1.55965592724e+18,21.3599987,10.80000019,-32.57999802
54,1.5596559273e+18,25.37999916,4.259999752,-31.79999924
55,1.55965592735e+18,26.15999985,-0.3599999845,-32.27999878
56,1.55965592741e+18,24.05999947,-6.239999771,-33.47999954
57,1.55965592747e+18,23.69999886,-11.63999939,-33.11999893
58,1.55965592753e+18,22.31999969,-17.27999878,-31.43999863
59,1.55965592759e+18,20.57999992,-22.61999893,-29.51999855
60,1.55965592765e+18,17.27999878,-26.87999916,-28.13999939
61,1.55965592771e+18,11.81999969,-28.97999954,-27.71999931
62,1.55965592777e+18,5.339999676,-28.68000031,-30.1799984
63,1.55965592783e+18,-3.419999838,-17.94000053,-35.70000076
64,1.55965592789e+18,-11.15999985,-0.1199999973,-37.73999786
65,1.55965592795e+18,-16.37999916,9.179999352,-34.02000046
66,1.55965592801e+18,-19.26000023,8.880000114,-33.36000061
67,1.55965592807e+18,-23.69999886,10.61999989,-28.13999939
68,1.55965592813e+18,-27.65999985,10.61999989,-24.77999878
69,1.55965592819e+18,-28.61999893,7.139999866,-24.95999908
70,1.55965592825e+18,-29.15999985,0.6599999666,-25.01999855
71,1.55965592831e+18,-27.42000008,-6.480000019,-26.45999908
72,1.55965592837e+18,-27.0,-12.23999977,-24.77999878
73,1.55965592843e+18,-27.59999847,-16.79999924,-21.47999954
74,1.55965592849e+18,-27.59999847,-17.34000015,-20.57999992
75,1.55965592855e+18,-29.27999878,-14.15999985,-20.81999969
76,1.55965592861e+18,-32.09999847,-3.539999962,-22.43999863
77,1.55965592867e+18,-25.26000023,9.239999771,-28.37999916
78,1.55965592873e+18,-22.79999924,18.60000038,-26.93999863
79,1.55965592879e+18,-25.79999924,18.53999901,-24.18000031
80,1.55965592885e+18,-26.39999962,16.44000053,-25.13999939
81,1.55965592891e+18,-30.65999985,15.23999977,-21.3599987
82,1.55965592897e+18,-32.15999985,12.35999966,-21.95999908
83,1.55965592903e+18,-31.31999969,8.760000229,-24.11999893
84,1.55965592909e+18,-30.42000008,3.720000029,-27.3599987
85,1.55965592915e+18,-29.63999939,-1.860000014,-27.77999878
86,1.55965592921e+18,-31.73999977,-5.759999752,-26.39999962
87,1.55965592927e+18,-33.0,-5.339999676,-24.89999962
88,1.55965592933e+18,-33.18000031,1.5,-26.93999863
89,1.55965592939e+18,-31.37999916,14.75999928,-24.47999954
90,1.55965592945e+18,-32.09999847,21.89999962,-17.45999908
91,1.55965592951e+18,-31.8599987,24.89999962,-13.73999977
92,1.55965592957e+18,-33.77999878,22.61999893,-13.67999935
93,1.55965592963e+18,-36.23999786,17.10000038,-15.05999947
94,1.55965592969e+18,-37.91999817,10.38000011,-17.15999985
95,1.55965592975e+18,-39.36000061,2.579999924,-17.34000015
96,1.55965592981e+18,-39.0,-5.400000095,-16.97999954
97,1.55965592987e+18,-36.65999985,-10.55999947,-19.8599987
98,1.55965592993e+18,-33.95999908,-13.5,-22.97999954
99,1.55965592999e+18,-30.77999878,-13.25999928,-28.01999855
100,1.55965593005e+18,-25.13999939,-10.31999969,-33.77999878
101,1.55965593011e+18,-18.29999924,1.799999952,-39.77999878
102,1.55965593017e+18,-21.23999977,18.11999893,-34.07999802
103,1.55965593023e+18,-14.46000004,22.79999924,-33.89999771
104,1.55965593029e+18,-22.37999916,26.81999969,-26.27999878
105,1.55965593035e+18,-30.05999947,24.3599987,-19.73999977
106,1.55965593041e+18,-33.29999924,22.43999863,-19.07999992
107,1.55965593047e+18,-36.54000092,17.03999901,-16.73999977
108,1.55965593053e+18,-38.15999985,9.719999313,-18.11999893
109,1.55965593059e+18,-39.0,2.099999905,-18.65999985
110,1.55965593065e+18,-38.57999802,-3.839999914,-18.53999901
111,1.55965593071e+18,-37.97999954,-8.220000267,-19.43999863
112,1.55965593077e+18,-38.52000046,-7.799999714,-21.29999924
113,1.55965593083e+18,-36.54000092,-0.2399999946,-26.87999916
114,1.55965593089e+18,-36.89999771,14.93999958,-21.3599987
115,1.55965593095e+18,-34.91999817,26.03999901,-11.69999981
116,1.55965593101e+18,-33.0,30.23999977,-9.119999886
117,1.55965593107e+18,-34.61999893,28.5,-11.15999985
118,1.55965593113e+18,-37.20000076,24.95999908,-12.65999985
119,1.55965593119e+18,-41.21999741,18.29999924,-11.15999985
120,1.55965593125e+18,-43.20000076,10.07999992,-12.47999954
121,1.55965593131e+18,-43.20000076,4.319999695,-14.57999992
122,1.55965593137e+18,-42.05999756,-0.1199999973,-18.65999985
123,1.55965593143e+18,-39.65999985,-1.74000001,-22.31999969
124,1.55965593149e+18,-37.31999969,2.939999819,-20.93999863
125,1.55965593155e+18,-40.02000046,14.69999981,-16.92000008
126,1.55965593161e+18,-37.5,25.79999924,-10.07999992
127,1.55965593167e+18,-36.41999817,30.95999908,-1.25999999
128,1.55965593173e+18,-35.21999741,31.19999886,-1.199999928
129,1.55965593179e+18,-36.18000031,31.07999992,1.74000001
130,1.55965593185e+18,-38.45999908,28.79999924,1.199999928
131,1.55965593191e+18,-39.84000015,25.55999947,-1.319999933
132,1.55965593197e+18,-42.0,19.92000008,-6.119999886
133,1.55965593203e+18,-42.95999908,13.19999981,-13.13999939
134,1.55965593209e+18,-41.21999741,7.259999752,-20.81999969
135,1.55965593215e+18,-35.39999771,4.019999981,-26.93999863
136,1.55965593221e+18,-31.5,17.15999985,-26.76000023
137,1.55965593227e+18,-33.11999893,31.61999893,-11.93999958
138,1.55965593233e+18,-28.55999947,37.73999786,0.1199999973
139,1.55965593239e+18,-27.95999908,38.15999985,3.299999952
140,1.55965593245e+18,-30.53999901,35.93999863,0.4199999869
141,1.55965593251e+18,-34.86000061,31.43999863,-2.700000048
142,1.55965593257e+18,-37.38000107,27.59999847,-7.379999638
143,1.55965593263e+18,-40.20000076,21.89999962,-9.359999657
144,1.55965593269e+18,-41.34000015,19.31999969,-9.779999733
145,1.55965593275e+18,-40.25999832,19.26000023,-10.07999992
146,1.55965593281e+18,-37.79999924,25.5,-11.21999931
147,1.55965593287e+18,-29.57999992,34.13999939,-7.980000019
148,1.55965593293e+18,-21.65999985,41.93999863,3.419999838
149,1.55965593299e+18,-14.39999962,44.75999832,7.980000019
150,1.55965593305e+18,-15.29999924,43.97999954,9.840000153
151,1.55965593311e+18,-15.8399992,44.34000015,8.880000114
152,1.55965593317e+18,-20.69999886,42.0,4.319999695
153,1.55965593323e+18,-27.05999947,38.09999847,-1.559999943
154,1.55965593329e+18,-33.54000092,32.04000092,-7.859999657
155,1.55965593335e+18,-36.11999893,25.68000031,-15.05999947
156,1.55965593341e+18,-34.97999954,20.39999962,-20.76000023
157,1.55965593347e+18,-31.61999893,20.03999901,-23.76000023
158,1.55965593353e+18,-26.87999916,31.01999855,-19.79999924
159,1.55965593359e+18,-20.15999985,40.97999954,-8.220000267
160,1.55965593365e+18,-10.0199995,45.47999954,4.019999981
161,1.55965593371e+18,-2.099999905,46.97999954,9.779999733
162,1.55965593377e+18,-3.119999886,46.91999817,7.440000057
163,1.55965593383e+18,-9.119999886,46.79999924,1.079999924
164,1.55965593389e+18,-17.34000015,43.31999969,-6.71999979
165,1.55965593395e+18,-24.77999878,36.29999924,-14.39999962
166,1.55965593401e+18,-30.65999985,29.57999992,-19.02000046
167,1.55965593407e+18,-34.61999893,24.53999901,-20.21999931
168,1.55965593413e+18,-34.20000076,22.26000023,-21.3599987
169,1.55965593419e+18,-28.5,24.42000008,-22.61999893
170,1.55965593425e+18,-19.43999863,38.39999771,-13.13999939
171,1.55965593431e+18,-8.220000267,46.20000076,-0.5399999619
172,1.55965593437e+18,-2.339999914,46.91999817,1.679999948
173,1.55965593443e+18,-6.420000076,47.27999878,-0.4799999893
174,1.55965593449e+18,-10.85999966,45.18000031,-5.460000038
175,1.55965593455e+18,-16.37999916,43.13999939,-11.34000015
176,1.55965593461e+18,-21.23999977,37.31999969,-17.63999939
177,1.55965593467e+18,-23.87999916,32.88000107,-21.71999931
178,1.55965593473e+18,-24.42000008,30.77999878,-25.26000023
179,1.55965593478e+18,-23.87999916,27.84000015,-28.26000023
180,1.55965593484e+18,-25.68000031,28.37999916,-25.97999954
181,1.5596559349e+18,-19.79999924,32.93999863,-23.34000015
182,1.55965593496e+18,-10.61999989,41.70000076,-16.55999947
183,1.55965593502e+18,-1.139999986,46.20000076,-8.579999924
184,1.55965593508e+18,6.599999905,46.55999756,-4.079999924
185,1.55965593514e+18,4.799999714,47.09999847,-6.779999733
186,1.5596559352e+18,-1.25999999,46.02000046,-10.85999966
187,1.55965593526e+18,-8.699999809,43.5,-16.8599987
188,1.55965593532e+18,-15.05999947,38.45999908,-22.37999916
189,1.55965593538e+18,-19.26000023,34.31999969,-26.27999878
190,1.55965593544e+18,-22.5,30.0,-27.89999962
191,1.5596559355e+18,-24.42000008,28.19999886,-29.45999908
192,1.55965593556e+18,-21.23999977,27.89999962,-28.68000031
193,1.55965593562e+18,-13.85999966,37.68000031,-24.29999924
194,1.55965593568e+18,-4.139999866,45.29999924,-13.73999977
195,1.55965593574e+18,3.480000019,46.91999817,-8.460000038
196,1.5596559358e+18,3.299999952,46.73999786,-6.059999943
197,1.55965593586e+18,-0.6599999666,46.97999954,-6.899999619
198,1.55965593592e+18,-4.799999714,45.89999771,-11.03999996
199,1.55965593598e+18,-12.23999977,42.77999878,-15.8399992
200,1.55965593604e+18,-22.31999969,36.29999924,-20.15999985
201,1.5596559361e+18,-27.95999908,29.63999939,-23.15999985
202,1.55965593616e+18,-30.29999924,25.26000023,-25.5
203,1.55965593622e+18,-27.53999901,25.31999969,-27.71999931
204,1.55965593628e+18,-18.60000038,30.42000008,-26.69999886
205,1.55965593634e+18,-14.75999928,40.91999817,-14.88000011
206,1.5596559364e+18,-5.400000095,46.37999725,-2.339999914
207,1.55965593646e+18,1.559999943,47.45999908,2.220000029
208,1.55965593652e+18,-1.139999986,47.21999741,1.919999957
209,1.55965593658e+18,-6.480000019,46.97999954,-0.5999999642
210,1.55965593664e+18,-12.42000008,44.87999725,-6.659999847
211,1.5596559367e+18,-18.65999985,41.52000046,-11.46000004
212,1.55965593676e+18,-24.95999908,36.95999908,-15.17999935
213,1.55965593682e+18,-28.07999992,32.70000076,-17.21999931
214,1.55965593688e+18,-24.71999931,33.77999878,-18.29999924
215,1.55965593694e+18,-20.76000023,38.27999878,-17.81999969
216,1.559655937e+18,-10.5,43.20000076,-11.21999931
217,1.55965593706e+18,-2.220000029,46.97999954,-3.539999962
218,1.55965593712e+18,3.839999914,47.52000046,-2.399999857
219,1.55965593718e+18,0.1799999923,47.21999741,-3.839999914
220,1.55965593724e+18,-4.139999866,46.37999725,-4.920000076
221,1.5596559373e+18,-11.27999973,45.77999878,-7.259999752
222,1.55965593736e+18,-16.13999939,43.86000061,-8.880000114
223,1.55965593742e+18,-17.69999886,42.29999924,-11.57999992
224,1.55965593748e+18,-17.39999962,42.18000031,-12.11999989
225,1.55965593754e+18,-16.55999947,41.87999725,-13.38000011
226,1.5596559376e+18,-11.39999962,41.27999878,-10.07999992
227,1.55965593766e+18,-4.259999752,46.68000031,-3.539999962
228,1.55965593772e+18,3.599999905,46.55999756,0.719999969
229,1.55965593778e+18,7.679999828,46.86000061,0.8399999738
230,1.55965593784e+18,2.879999876,47.39999771,-1.860000014
231,1.5596559379e+18,-2.039999962,47.21999741,-6.0
232,1.55965593796e+18,-8.099999428,45.77999878,-9.899999619
233,1.55965593802e+18,-11.69999981,43.97999954,-13.61999989
234,1.55965593808e+18,-13.92000008,41.93999863,-14.75999928
235,1.55965593814e+18,-14.27999973,42.41999817,-13.97999954
236,1.5596559382e+18,-11.03999996,43.91999817,-11.09999943
237,1.55965593826e+18,-5.21999979,46.13999939,-6.659999847
238,1.55965593832e+18,2.279999971,47.15999985,1.379999995
239,1.55965593838e+18,11.15999985,46.02000046,5.759999752
240,1.55965593844e+18,9.960000038,46.91999817,4.199999809
241,1.5596559385e+18,2.399999857,47.93999863,0.719999969
242,1.55965593856e+18,-7.199999809,46.79999924,-2.639999866
243,1.55965593862e+18,-15.8399992,44.04000092,-6.539999962
244,1.55965593868e+18,-20.34000015,42.23999786,-8.340000153
245,1.55965593874e+18,-23.45999908,39.36000061,-10.19999981
246,1.5596559388e+18,-21.23999977,40.02000046,-10.73999977
247,1.55965593886e+18,-11.63999939,41.63999939,-9.119999886
248,1.55965593892e+18,-4.739999771,47.0399971,-1.620000005
249,1.55965593898e+18,6.179999828,46.5,3.359999895
250,1.55965593904e+18,9.599999428,46.5,1.5
251,1.5596559391e+18,3.599999905,47.93999863,-2.939999819
252,1.55965593916e+18,-4.440000057,46.31999969,-9.599999428
253,1.55965593922e+18,-13.07999992,43.5,-14.09999943
254,1.55965593928e+18,-19.26000023,39.36000061,-18.42000008
255,1.55965593934e+18,-22.19999886,35.75999832,-19.26000023
256,1.5596559394e+18,-22.55999947,34.31999969,-19.73999977
257,1.55965593946e+18,-17.63999939,36.36000061,-19.68000031
258,1.55965593952e+18,-8.460000038,41.81999969,-16.92000008
259,1.55965593958e+18,-0.1799999923,46.43999863,-3.659999847
260,1.55965593964e+18,8.519999504,46.02000046,-0.4199999869
261,1.5596559397e+18,4.679999828,47.39999771,-1.199999928
262,1.55965593976e+18,-2.279999971,47.15999985,-3.119999886
263,1.55965593982e+18,-10.26000023,46.02000046,-7.859999657
264,1.55965593988e+18,-17.34000015,42.41999817,-12.35999966
265,1.55965593994e+18,-24.18000031,36.95999908,-15.71999931
266,1.55965594e+18,-27.42000008,31.79999924,-19.55999947
267,1.55965594006e+18,-28.37999916,28.68000031,-23.10000038
268,1.55965594012e+18,-22.68000031,30.11999893,-25.26000023
269,1.55965594018e+18,-15.0,37.55999756,-19.79999924
270,1.55965594024e+18,-6.779999733,45.77999878,-9.059999466
