,Time (s),Magnetic field x (µT),Magnetic field y (µT),Magnetic field z (µT)
0,1.55965624006e+18,8.220000267,17.27999878,-34.43999863
1,1.55965624012e+18,7.559999943,18.0,-34.79999924
2,1.55965624018e+18,4.380000114,18.42000008,-34.79999924
3,1.55965624024e+18,3.119999886,19.43999863,-34.55999756
4,1.5596562403e+18,3.419999838,19.5,-35.04000092
5,1.55965624036e+18,3.359999895,20.81999969,-33.36000061
6,1.55965624042e+18,1.5,20.39999962,-34.13999939
7,1.55965624048e+18,-0.6599999666,20.39999962,-35.04000092
8,1.55965624054e+18,-3.179999828,20.27999878,-34.38000107
9,1.5596562406e+18,-3.779999971,20.81999969,-34.07999802
10,1.55965624066e+18,-5.759999752,20.10000038,-34.38000107
11,1.55965624072e+18,-7.019999981,19.92000008,-34.91999817
12,1.55965624078e+18,-8.159999847,19.02000046,-34.79999924
13,1.55965624084e+18,-7.319999695,18.71999931,-35.09999847
14,1.5596562409e+18,-5.339999676,17.57999992,-36.29999924
15,1.55965624096e+18,-4.139999866,16.73999977,-36.89999771
16,1.55965624102e+18,-1.319999933,15.35999966,-38.04000092
17,1.55965624108e+18,2.939999819,14.5199995,-38.70000076
18,1.55965624114e+18,6.960000038,12.53999996,-39.41999817
19,1.5596562412e+18,12.53999996,11.5199995,-37.79999924
20,1.55965624126e+18,14.81999969,11.15999985,-37.31999969
21,1.55965624132e+18,15.42000008,11.5199995,-36.41999817
22,1.55965624138e+18,15.8399992,12.0,-36.95999908
23,1.55965624144e+18,14.69999981,12.0,-37.25999832
24,1.5596562415e+18,12.77999973,10.19999981,-38.34000015
25,1.55965624156e+18,9.479999542,7.139999866,-39.54000092
26,1.55965624162e+18,8.399999619,1.139999986,-40.86000061
27,1.55965624168e+18,7.139999866,-3.659999847,-41.63999939
28,1.55965624174e+18,5.099999905,-7.199999809,-41.27999878
29,1.5596562418e+18,4.139999866,-9.840000153,-41.04000092
30,1.55965624186e+18,1.319999933,-11.03999996,-39.59999847
31,1.55965624192e+18,1.079999924,-13.0199995,-40.07999802
32,1.55965624198e+18,3.899999857,-15.59999943,-39.59999847
33,1.55965624204e+18,6.599999905,-16.55999947,-39.41999817
34,1.5596562421e+18,8.93999958,-17.15999985,-39.0
35,1.55965624216e+18,11.57999992,-17.52000046,-38.45999908
36,1.55965624222e+18,13.31999969,-17.63999939,-37.91999817
37,1.55965624228e+18,14.69999981,-16.44000053,-38.34000015
38,1.55965624234e+18,16.19999886,-15.77999973,-38.27999878
39,1.5596562424e+18,16.97999954,-15.42000008,-38.70000076
40,1.55965624246e+18,15.29999924,-15.17999935,-39.71999741
41,1.55965624252e+18,15.05999947,-14.39999962,-38.93999863
42,1.55965624258e+18,14.57999992,-14.27999973,-39.41999817
43,1.55965624264e+18,14.57999992,-13.19999981,-39.59999847
44,1.5596562427e+18,15.71999931,-12.0,-39.23999786
45,1.55965624276e+18,15.42000008,-12.05999947,-39.95999908
46,1.55965624282e+18,15.96000004,-11.39999962,-38.93999863
47,1.55965624288e+18,16.31999969,-13.67999935,-39.18000031
48,1.55965624294e+18,16.07999992,-14.03999996,-38.15999985
49,1.559656243e+18,16.07999992,-14.69999981,-38.87999725
50,1.55965624306e+18,16.37999916,-15.42000008,-38.70000076
51,1.55965624312e+18,16.37999916,-15.71999931,-38.15999985
52,1.55965624318e+18,17.10000038,-15.96000004,-37.86000061
53,1.55965624324e+18,16.92000008,-16.31999969,-37.55999756
54,1.5596562433e+18,17.27999878,-16.07999992,-37.79999924
55,1.55965624336e+18,17.21999931,-16.61999893,-37.86000061
56,1.55965624341e+18,16.8599987,-16.13999939,-38.57999802
57,1.55965624347e+18,17.10000038,-15.89999962,-38.34000015
58,1.55965624353e+18,17.52000046,-15.8399992,-37.31999969
59,1.55965624359e+18,18.0,-16.44000053,-37.91999817
60,1.55965624365e+18,17.45999908,-15.77999973,-37.61999893
61,1.55965624371e+18,17.57999992,-15.47999954,-38.04000092
62,1.55965624377e+18,17.76000023,-15.23999977,-38.63999939
63,1.55965624383e+18,17.81999969,-14.93999958,-37.31999969
64,1.55965624389e+18,17.94000053,-14.03999996,-38.45999908
65,1.55965624395e+18,19.07999992,-13.38000011,-38.45999908
66,1.55965624401e+18,19.19999886,-12.0,-38.52000046
67,1.55965624407e+18,19.61999893,-12.96000004,-38.70000076
