,Time (s),Magnetic field x (µT),Magnetic field y (µT),Magnetic field z (µT)
0,1.55965655405e+18,46.20000076,-2.700000048,-10.67999935
1,1.5596565541e+18,47.15999985,-1.559999943,-10.97999954
2,1.55965655415e+18,46.13999939,-2.399999857,-10.07999992
3,1.5596565542e+18,46.5,-2.939999819,-9.659999847
4,1.55965655425e+18,46.43999863,-3.599999905,-10.67999935
5,1.5596565543e+18,45.11999893,-4.5,-15.29999924
6,1.55965655436e+18,37.68000031,-6.539999962,-26.15999985
7,1.55965655442e+18,17.69999886,-8.63999939,-40.79999924
8,1.55965655448e+18,-7.019999981,-9.899999619,-42.0
9,1.55965655453e+18,-16.97999954,-12.05999947,-37.91999817
10,1.55965655458e+18,-20.39999962,-12.96000004,-36.29999924
11,1.55965655463e+18,-26.45999908,-13.43999958,-31.43999863
12,1.55965655469e+18,-33.05999756,-15.23999977,-23.51999855
13,1.55965655474e+18,-35.57999802,-17.10000038,-16.73999977
14,1.5596565548e+18,-38.45999908,-15.0,-10.92000008
15,1.55965655485e+18,-39.71999741,-13.85999966,-9.059999466
16,1.55965655491e+18,-39.59999847,-13.0199995,-10.26000023
17,1.55965655496e+18,-36.11999893,-16.13999939,-16.8599987
18,1.55965655502e+18,-25.8599987,-22.79999924,-26.76000023
19,1.55965655508e+18,-8.93999958,-25.5,-34.68000031
20,1.55965655514e+18,6.960000038,-25.43999863,-36.77999878
21,1.5596565552e+18,20.45999908,-23.87999916,-34.73999786
22,1.55965655526e+18,28.43999863,-20.63999939,-31.43999863
23,1.55965655532e+18,34.79999924,-16.5,-27.42000008
24,1.55965655538e+18,39.89999771,-12.17999935,-21.71999931
25,1.55965655543e+18,44.93999863,-10.0199995,-17.03999901
26,1.55965655549e+18,47.15999985,-9.539999962,-6.960000038
27,1.55965655555e+18,48.95999908,-13.07999992,5.699999809
28,1.55965655561e+18,42.23999786,-25.73999977,-1.019999981
29,1.55965655567e+18,25.07999992,-34.5,-17.63999939
30,1.55965655572e+18,26.81999969,-39.05999756,-6.299999714
31,1.55965655577e+18,30.0,-38.09999847,3.539999962
32,1.55965655583e+18,35.09999847,-34.79999924,2.279999971
33,1.55965655588e+18,34.79999924,-34.5,9.719999313
34,1.55965655594e+18,39.95999908,-29.39999962,8.819999695
35,1.559656556e+18,45.36000061,-20.57999992,5.879999638
36,1.55965655606e+18,46.25999832,-12.77999973,-9.119999886
37,1.55965655611e+18,39.65999985,-8.63999939,-25.5
38,1.55965655617e+18,21.0,-7.5,-39.59999847
39,1.55965655622e+18,1.079999924,-4.619999886,-44.81999969
40,1.55965655628e+18,-20.52000046,6.480000019,-38.34000015
41,1.55965655633e+18,-28.13999939,19.26000023,-27.47999954
42,1.55965655639e+18,-20.63999939,33.36000061,-19.55999947
43,1.55965655645e+18,-11.21999931,39.36000061,-16.55999947
44,1.55965655651e+18,-7.919999599,40.86000061,-14.75999928
45,1.55965655657e+18,-10.61999989,40.68000031,-15.89999962
46,1.55965655662e+18,-14.5199995,38.21999741,-16.97999954
47,1.55965655667e+18,-17.76000023,34.73999786,-20.27999878
48,1.55965655673e+18,-23.15999985,28.43999863,-25.55999947
49,1.55965655679e+18,-24.95999908,20.27999878,-28.55999947
50,1.55965655685e+18,-27.53999901,14.15999985,-29.15999985
51,1.55965655691e+18,-28.68000031,10.61999989,-30.71999931
52,1.55965655697e+18,-28.8599987,10.5,-29.51999855
53,1.55965655702e+18,-28.61999893,12.84000015,-29.39999962
54,1.55965655708e+18,-27.77999878,17.69999886,-27.53999901
55,1.55965655713e+18,-27.05999947,21.84000015,-25.55999947
56,1.55965655719e+18,-26.63999939,27.05999947,-21.23999977
57,1.55965655725e+18,-28.8599987,31.19999886,-15.89999962
58,1.55965655731e+18,-29.51999855,29.63999939,-14.75999928
59,1.55965655736e+18,-31.31999969,25.55999947,-17.34000015
60,1.55965655742e+18,-35.57999802,16.55999947,-22.97999954
61,1.55965655748e+18,-35.63999939,5.819999695,-27.84000015
62,1.55965655754e+18,-33.23999786,-3.839999914,-31.79999924
63,1.55965655759e+18,-31.31999969,-10.26000023,-32.21999741
64,1.55965655765e+18,-28.07999992,-18.11999893,-30.47999954
65,1.5596565577e+18,-21.65999985,-25.43999863,-30.71999931
66,1.55965655776e+18,-15.47999954,-32.15999985,-29.87999916
67,1.55965655781e+18,-9.479999542,-35.88000107,-27.53999901
68,1.55965655786e+18,-0.8399999738,-38.34000015,-27.11999893
69,1.55965655792e+18,6.0,-39.29999924,-25.73999977
70,1.55965655798e+18,6.0,-39.05999756,-26.34000015
71,1.55965655804e+18,-3.899999857,-36.95999908,-26.34000015
72,1.5596565581e+18,-9.719999313,-38.70000076,-20.63999939
73,1.55965655816e+18,-9.300000191,-42.41999817,-11.39999962
74,1.55965655822e+18,-4.619999886,-44.63999939,-3.24000001
75,1.55965655827e+18,-2.039999962,-45.11999893,1.679999948
76,1.55965655833e+18,-3.480000019,-46.55999756,7.079999924
77,1.55965655838e+18,-12.53999996,-44.34000015,7.440000057
78,1.55965655844e+18,-26.27999878,-38.39999771,3.779999971
79,1.5596565585e+18,-37.5,-25.97999954,-3.480000019
80,1.55965655856e+18,-43.91999817,-6.839999676,-10.97999954
81,1.55965655861e+18,-42.47999954,11.21999931,-13.38000011
82,1.55965655867e+18,-33.47999954,28.5,-10.19999981
83,1.55965655872e+18,-26.57999992,36.71999741,-3.419999838
84,1.55965655878e+18,-18.29999924,41.21999741,0.9599999785
85,1.55965655883e+18,-16.37999916,42.05999756,1.74000001
86,1.55965655889e+18,-18.3599987,40.73999786,1.139999986
87,1.55965655895e+18,-20.27999878,38.81999969,-0.1199999973
88,1.55965655901e+18,-23.15999985,36.71999741,-1.319999933
89,1.55965655907e+18,-27.0,35.21999741,-2.879999876
90,1.55965655913e+18,-30.59999847,33.23999786,-4.319999695
91,1.55965655918e+18,-32.34000015,32.04000092,-8.340000153
92,1.55965655924e+18,-32.70000076,29.45999908,-12.23999977
93,1.5596565593e+18,-33.71999741,26.76000023,-16.19999886
