,Time (s),Pressure (hPa)
0,1.5596532001e+18,1021.658447
1,1.5596532002e+18,1021.658447
2,1.5596532003e+18,1021.834473
3,1.5596532004e+18,1021.660645
4,1.5596532005e+18,1021.660645
5,1.5596532006e+18,1021.623047
6,1.5596532007e+18,1021.674072
7,1.5596532008e+18,1021.674072
8,1.5596532009e+18,1021.7146
9,1.559653201e+18,1021.808105
10,1.5596532011e+18,1021.808105
11,1.5596532012e+18,1021.711426
12,1.5596532013e+18,1021.618408
13,1.5596532014e+18,1021.618408
14,1.5596532015e+18,1021.579346
15,1.5596532016e+18,1021.666016
16,1.5596532017e+18,1021.666016
17,1.5596532018e+18,1021.656982
18,1.5596532019e+18,1021.645264
19,1.559653202e+18,1021.645264
20,1.5596532021e+18,1021.638428
21,1.5596532022e+18,1021.533691
22,1.5596532023e+18,1021.533691
23,1.5596532024e+18,1021.647217
24,1.5596532025e+18,1021.794678
25,1.5596532026e+18,1021.794678
26,1.5596532027e+18,1021.736084
27,1.5596532028e+18,1021.683105
28,1.5596532029e+18,1021.683105
29,1.559653203e+18,1021.674561
30,1.5596532031e+18,1021.628418
31,1.5596532032e+18,1021.628418
32,1.5596532033e+18,1021.798096
33,1.5596532034e+18,1021.934814
34,1.5596532035e+18,1021.837402
35,1.5596532036e+18,1021.755615
36,1.5596532037e+18,1021.679199
37,1.5596532038e+18,1021.702393
38,1.5596532039e+18,1021.690918
39,1.559653204e+18,1021.677734
40,1.5596532041e+18,1021.689209
41,1.5596532042e+18,1021.747314
42,1.5596532043e+18,1021.720459
43,1.5596532044e+18,1021.631104
44,1.5596532045e+18,1021.600098
45,1.5596532046e+18,1021.622803
46,1.5596532047e+18,1021.722412
47,1.5596532048e+18,1021.679932
48,1.5596532049e+18,1021.583252
49,1.559653205e+18,1021.635498
50,1.5596532051e+18,1021.801514
51,1.5596532052e+18,1021.776855
52,1.5596532053e+18,1021.699219
53,1.5596532054e+18,1021.687012
54,1.5596532055e+18,1021.665039
55,1.5596532056e+18,1021.681396
56,1.5596532057e+18,1021.652344
57,1.5596532058e+18,1021.65918
58,1.5596532059e+18,1021.79126
59,1.559653206e+18,1021.833008
60,1.5596532061e+18,1021.782227
61,1.5596532062e+18,1021.724854
62,1.5596532063e+18,1021.708496
63,1.5596532064e+18,1021.702393
64,1.5596532065e+18,1021.703369
65,1.5596532066e+18,1021.726562
66,1.5596532067e+18,1021.82251
67,1.5596532068e+18,1021.883789
68,1.5596532069e+18,1021.811523
69,1.559653207e+18,1021.751465
70,1.5596532071e+18,1021.696045
71,1.5596532072e+18,1021.722656
72,1.5596532073e+18,1021.699707
73,1.5596532074e+18,1021.706299
74,1.5596532075e+18,1021.784424
75,1.5596532076e+18,1021.871338
76,1.5596532077e+18,1021.819336
77,1.5596532078e+18,1021.740967
78,1.5596532079e+18,1021.718994
79,1.559653208e+18,1021.718018
80,1.5596532081e+18,1021.713867
81,1.5596532082e+18,1021.718018
82,1.5596532083e+18,1021.644043
83,1.5596532084e+18,1021.928711
84,1.5596532085e+18,1021.962158
85,1.5596532086e+18,1021.878418
86,1.5596532087e+18,1021.790771
87,1.5596532088e+18,1021.741211
88,1.5596532089e+18,1021.712158
89,1.559653209e+18,1021.650146
90,1.5596532091e+18,1021.584961
91,1.5596532092e+18,1021.687256
92,1.5596532093e+18,1021.854492
93,1.5596532094e+18,1021.828613
94,1.5596532095e+18,1021.789062
95,1.5596532096e+18,1021.765625
96,1.5596532097e+18,1021.716797
97,1.5596532098e+18,1021.744141
98,1.5596532099e+18,1021.811279
99,1.55965321e+18,1021.906738
100,1.5596532101e+18,1022.012939
101,1.5596532102e+18,1021.905273
102,1.5596532103e+18,1021.842773
103,1.5596532104e+18,1021.766846
104,1.5596532105e+18,1021.73584
105,1.5596532106e+18,1021.692871
106,1.5596532107e+18,1021.633545
107,1.5596532108e+18,1021.609619
108,1.5596532109e+18,1021.741699
109,1.559653211e+18,1021.726074
110,1.5596532111e+18,1021.693848
111,1.5596532112e+18,1021.703125
112,1.5596532113e+18,1021.718018
113,1.5596532114e+18,1021.720703
114,1.5596532115e+18,1021.668213
115,1.5596532116e+18,1021.767334
116,1.5596532117e+18,1021.873047
117,1.5596532118e+18,1021.783936
118,1.5596532119e+18,1021.675537
119,1.559653212e+18,1021.65332
120,1.5596532121e+18,1021.644775
121,1.5596532122e+18,1021.70459
122,1.5596532123e+18,1021.756104
123,1.5596532124e+18,1021.901367
124,1.5596532125e+18,1021.869629
125,1.5596532126e+18,1021.760498
126,1.5596532127e+18,1021.704102
127,1.5596532128e+18,1021.724609
128,1.5596532129e+18,1021.67041
129,1.559653213e+18,1021.735107
130,1.5596532131e+18,1021.833496
131,1.5596532132e+18,1021.762695
132,1.5596532133e+18,1021.719238
133,1.5596532134e+18,1021.761475
134,1.5596532135e+18,1021.796631
135,1.5596532136e+18,1021.752686
136,1.5596532137e+18,1021.716064
137,1.5596532138e+18,1021.920654
138,1.5596532139e+18,1021.95166
139,1.559653214e+18,1021.925293
140,1.5596532141e+18,1021.824707
141,1.5596532142e+18,1021.754395
142,1.5596532143e+18,1021.770752
143,1.5596532144e+18,1021.714355
144,1.5596532145e+18,1021.656982
145,1.5596532146e+18,1021.635498
146,1.5596532147e+18,1021.645508
147,1.5596532148e+18,1021.673584
148,1.5596532149e+18,1021.745605
149,1.559653215e+18,1021.80127
150,1.5596532151e+18,1021.782471
151,1.5596532152e+18,1021.765137
152,1.5596532153e+18,1021.755859
153,1.5596532154e+18,1021.767578
154,1.5596532155e+18,1021.808838
155,1.5596532156e+18,1021.779297
156,1.5596532157e+18,1021.720459
157,1.5596532158e+18,1021.734619
158,1.5596532159e+18,1021.775391
159,1.559653216e+18,1021.889648
160,1.5596532161e+18,1021.837158
161,1.5596532162e+18,1021.816406
162,1.5596532163e+18,1021.804932
163,1.5596532164e+18,1021.795898
164,1.5596532165e+18,1021.825928
165,1.5596532166e+18,1021.80835
166,1.5596532167e+18,1021.832764
167,1.5596532168e+18,1021.870361
168,1.5596532169e+18,1021.853027
169,1.559653217e+18,1021.794189
170,1.5596532171e+18,1021.774414
171,1.5596532172e+18,1021.804443
172,1.5596532173e+18,1021.798828
173,1.5596532174e+18,1021.770508
174,1.5596532175e+18,1021.833252
175,1.5596532176e+18,1021.878174
176,1.5596532177e+18,1021.819092
177,1.5596532178e+18,1021.793457
178,1.5596532179e+18,1021.694824
179,1.559653218e+18,1021.705078
180,1.5596532181e+18,1021.658691
181,1.5596532182e+18,1021.684814
182,1.5596532183e+18,1022.026123
183,1.5596532184e+18,1021.98877
