,Time (s),Pressure (hPa)
0,1.5596535161e+18,1022.023193
1,1.5596535162e+18,1022.07373
2,1.5596535163e+18,1022.078369
3,1.5596535164e+18,1022.041504
4,1.5596535165e+18,1021.998779
5,1.5596535166e+18,1022.001221
6,1.5596535167e+18,1021.994629
7,1.5596535168e+18,1022.004395
8,1.5596535169e+18,1021.961426
9,1.559653517e+18,1022.038086
10,1.5596535171e+18,1021.938232
11,1.5596535172e+18,1021.916504
12,1.5596535173e+18,1021.9021
13,1.5596535174e+18,1021.899414
14,1.5596535175e+18,1021.904541
15,1.5596535176e+18,1021.885254
16,1.5596535177e+18,1021.950195
17,1.5596535178e+18,1021.968018
18,1.5596535179e+18,1021.904785
19,1.559653518e+18,1021.891602
20,1.5596535181e+18,1021.898682
21,1.5596535182e+18,1021.929199
22,1.5596535183e+18,1021.900635
23,1.5596535184e+18,1021.893555
24,1.5596535185e+18,1021.98291
25,1.5596535186e+18,1021.915771
26,1.5596535187e+18,1021.892578
27,1.5596535188e+18,1021.88916
28,1.5596535189e+18,1021.908936
29,1.559653519e+18,1021.941162
30,1.5596535191e+18,1021.924561
31,1.5596535192e+18,1021.912354
32,1.5596535193e+18,1021.970215
33,1.5596535194e+18,1021.918701
34,1.5596535195e+18,1021.908203
35,1.5596535196e+18,1021.920654
36,1.5596535197e+18,1021.916748
37,1.5596535198e+18,1021.885742
38,1.5596535199e+18,1021.928223
39,1.55965352e+18,1021.976318
40,1.5596535201e+18,1021.915039
41,1.5596535202e+18,1021.899414
42,1.5596535203e+18,1021.90625
43,1.5596535204e+18,1021.925537
44,1.5596535205e+18,1021.940674
45,1.5596535206e+18,1021.905518
46,1.5596535207e+18,1021.987061
47,1.5596535208e+18,1021.913818
48,1.5596535209e+18,1021.883301
49,1.559653521e+18,1021.897217
50,1.5596535211e+18,1021.928223
51,1.5596535212e+18,1021.927734
52,1.5596535213e+18,1021.897949
53,1.5596535214e+18,1021.934814
54,1.5596535215e+18,1021.856201
55,1.5596535216e+18,1021.864502
56,1.5596535217e+18,1021.875
57,1.5596535218e+18,1021.907959
58,1.5596535219e+18,1021.92334
59,1.559653522e+18,1021.904297
60,1.5596535221e+18,1021.91333
61,1.5596535222e+18,1021.936768
62,1.5596535223e+18,1021.749512
63,1.5596535224e+18,1021.755859
64,1.5596535225e+18,1021.814453
65,1.5596535226e+18,1021.880127
66,1.5596535227e+18,1021.906006
67,1.5596535228e+18,1021.899658
68,1.5596535229e+18,1021.89917
69,1.559653523e+18,1021.906494
70,1.5596535231e+18,1021.905762
71,1.5596535232e+18,1021.873535
72,1.5596535233e+18,1021.835693
73,1.5596535234e+18,1021.859619
74,1.5596535235e+18,1021.88208
75,1.5596535236e+18,1021.870361
76,1.5596535237e+18,1021.886963
77,1.5596535238e+18,1021.876709
78,1.5596535239e+18,1021.934814
79,1.559653524e+18,1021.902588
80,1.5596535241e+18,1021.883545
81,1.5596535242e+18,1021.89502
82,1.5596535243e+18,1021.919922
83,1.5596535244e+18,1021.919678
84,1.5596535245e+18,1021.881348
85,1.5596535246e+18,1021.980713
86,1.5596535247e+18,1021.861328
87,1.5596535248e+18,1021.824951
88,1.5596535249e+18,1021.820801
89,1.559653525e+18,1021.876709
90,1.5596535251e+18,1021.857178
91,1.5596535252e+18,1021.844482
92,1.5596535253e+18,1021.912598
93,1.5596535254e+18,1021.916748
94,1.5596535255e+18,1021.854492
95,1.5596535256e+18,1021.846191
96,1.5596535257e+18,1021.866211
97,1.5596535258e+18,1021.88623
98,1.5596535259e+18,1021.867432
99,1.559653526e+18,1021.831299
100,1.5596535261e+18,1021.974609
101,1.5596535262e+18,1021.927002
102,1.5596535263e+18,1021.911377
103,1.5596535264e+18,1021.928223
104,1.5596535265e+18,1021.931641
105,1.5596535266e+18,1021.940186
106,1.5596535267e+18,1021.902832
107,1.5596535268e+18,1021.968018
108,1.5596535269e+18,1021.884033
109,1.559653527e+18,1021.820801
110,1.5596535271e+18,1021.835449
111,1.5596535272e+18,1021.869873
112,1.5596535273e+18,1021.910156
113,1.5596535274e+18,1021.879395
114,1.5596535275e+18,1021.855957
115,1.5596535276e+18,1022.024658
116,1.5596535277e+18,1021.979248
117,1.5596535278e+18,1021.927979
118,1.5596535279e+18,1021.925293
119,1.559653528e+18,1021.933838
120,1.5596535281e+18,1021.956055
121,1.5596535282e+18,1021.943359
122,1.5596535283e+18,1021.968262
123,1.5596535284e+18,1021.987549
124,1.5596535285e+18,1021.924561
125,1.5596535286e+18,1021.891602
126,1.5596535287e+18,1021.911621
127,1.5596535288e+18,1021.935303
128,1.5596535289e+18,1021.908936
129,1.559653529e+18,1021.910156
130,1.5596535291e+18,1021.960693
131,1.5596535292e+18,1021.943359
132,1.5596535293e+18,1021.881348
133,1.5596535294e+18,1021.875977
134,1.5596535295e+18,1021.917969
135,1.5596535296e+18,1021.930176
136,1.5596535297e+18,1021.921875
137,1.5596535298e+18,1021.882568
138,1.5596535299e+18,1021.977783
139,1.55965353e+18,1021.883545
140,1.5596535301e+18,1021.838623
141,1.5596535302e+18,1021.8396
142,1.5596535303e+18,1021.885986
143,1.5596535304e+18,1021.900879
144,1.5596535305e+18,1021.882568
145,1.5596535306e+18,1021.921387
146,1.5596535307e+18,1021.937744
147,1.5596535308e+18,1021.874023
148,1.5596535309e+18,1021.862549
149,1.559653531e+18,1021.876221
150,1.5596535311e+18,1021.894287
151,1.5596535312e+18,1021.920898
152,1.5596535313e+18,1021.890869
153,1.5596535314e+18,1021.952148
154,1.5596535315e+18,1021.936035
155,1.5596535316e+18,1021.890869
156,1.5596535317e+18,1021.896484
157,1.5596535318e+18,1021.909424
158,1.5596535319e+18,1021.929443
159,1.559653532e+18,1021.894043
160,1.5596535321e+18,1021.871826
161,1.5596535322e+18,1021.978271
162,1.5596535323e+18,1021.91333
163,1.5596535324e+18,1021.883789
164,1.5596535325e+18,1021.898682
165,1.5596535326e+18,1021.90332
166,1.5596535327e+18,1021.906982
167,1.5596535328e+18,1021.903809
168,1.5596535329e+18,1021.897217
169,1.559653533e+18,1021.940186
170,1.5596535331e+18,1021.943115
171,1.5596535332e+18,1021.91626
172,1.5596535333e+18,1021.908936
173,1.5596535334e+18,1021.923096
174,1.5596535335e+18,1021.916748
175,1.5596535336e+18,1021.915283
176,1.5596535337e+18,1021.890625
177,1.5596535338e+18,1021.921387
178,1.5596535339e+18,1021.864502
179,1.559653534e+18,1021.852295
180,1.5596535341e+18,1021.856201
181,1.5596535342e+18,1021.86377
182,1.5596535343e+18,1021.885742
183,1.5596535344e+18,1021.889648
184,1.5596535345e+18,1021.874268
185,1.5596535346e+18,1021.949463
186,1.5596535347e+18,1021.890625
187,1.5596535348e+18,1021.85498
188,1.5596535349e+18,1021.869141
189,1.559653535e+18,1021.883789
190,1.5596535351e+18,1021.884277
191,1.5596535352e+18,1021.854248
192,1.5596535353e+18,1021.87793
193,1.5596535354e+18,1021.97876
194,1.5596535355e+18,1021.91748
195,1.5596535356e+18,1021.888428
196,1.5596535357e+18,1021.921631
197,1.5596535358e+18,1021.937744
198,1.5596535359e+18,1021.947266
199,1.559653536e+18,1021.944336
200,1.5596535361e+18,1021.890625
201,1.5596535362e+18,1021.936279
202,1.5596535363e+18,1021.901367
203,1.5596535364e+18,1021.877686
204,1.5596535365e+18,1021.867676
205,1.5596535366e+18,1021.900146
206,1.5596535367e+18,1021.907715
207,1.5596535368e+18,1021.883301
208,1.5596535369e+18,1021.900635
209,1.559653537e+18,1021.926758
210,1.5596535371e+18,1021.895264
211,1.5596535372e+18,1021.889404
212,1.5596535373e+18,1021.888428
213,1.5596535374e+18,1021.892578
214,1.5596535375e+18,1021.915039
215,1.5596535376e+18,1021.897217
216,1.5596535377e+18,1021.887451
217,1.5596535378e+18,1021.943604
218,1.5596535379e+18,1021.943604
219,1.559653538e+18,1021.875
220,1.5596535381e+18,1021.888916
221,1.5596535382e+18,1021.895264
222,1.5596535383e+18,1021.914062
223,1.5596535384e+18,1021.926758
224,1.5596535385e+18,1021.895264
225,1.5596535386e+18,1021.935303
226,1.5596535387e+18,1021.951172
227,1.5596535388e+18,1021.878906
228,1.5596535389e+18,1021.855225
229,1.559653539e+18,1021.878418
230,1.5596535391e+18,1021.88208
231,1.5596535392e+18,1021.856689
232,1.5596535393e+18,1021.942383
233,1.5596535394e+18,1021.931396
234,1.5596535395e+18,1021.876953
235,1.5596535396e+18,1021.866943
236,1.5596535397e+18,1021.861328
237,1.5596535398e+18,1021.874268
238,1.5596535399e+18,1021.916992
239,1.55965354e+18,1021.92627
240,1.5596535401e+18,1021.914795
241,1.5596535402e+18,1021.869873
242,1.5596535403e+18,1021.87085
243,1.5596535404e+18,1021.892822
244,1.5596535405e+18,1021.908691
245,1.5596535406e+18,1021.900146
246,1.5596535407e+18,1021.911133
247,1.5596535408e+18,1021.911377
248,1.5596535409e+18,1021.871094
249,1.559653541e+18,1021.959229
250,1.5596535411e+18,1021.918701
251,1.5596535412e+18,1021.87085
252,1.5596535413e+18,1021.848877
253,1.5596535414e+18,1021.871826
254,1.5596535415e+18,1021.845215
255,1.5596535416e+18,1021.894287
256,1.5596535417e+18,1021.970703
257,1.5596535418e+18,1021.923096
258,1.5596535419e+18,1021.883545
259,1.559653542e+18,1021.862061
260,1.5596535421e+18,1021.881348
261,1.5596535422e+18,1021.938477
262,1.5596535423e+18,1021.913574
263,1.5596535424e+18,1021.95874
264,1.5596535425e+18,1021.926758
265,1.5596535426e+18,1021.901611
266,1.5596535427e+18,1021.883301
267,1.5596535428e+18,1021.889648
268,1.5596535429e+18,1021.911621
269,1.559653543e+18,1021.866943
270,1.5596535431e+18,1021.898926
271,1.5596535432e+18,1021.854248
272,1.5596535433e+18,1021.837646
273,1.5596535434e+18,1021.835449
