,Time (s),Pressure (hPa)
0,1.5596538171e+18,1021.736816
1,1.5596538172e+18,1021.759277
2,1.5596538173e+18,1021.768555
3,1.5596538174e+18,1021.780518
4,1.5596538175e+18,1021.785645
5,1.5596538176e+18,1021.784912
6,1.5596538177e+18,1021.779785
7,1.5596538178e+18,1021.76123
8,1.5596538179e+18,1021.76001
9,1.559653818e+18,1021.796143
10,1.5596538181e+18,1021.79541
11,1.5596538182e+18,1021.770752
12,1.5596538183e+18,1021.765381
13,1.5596538184e+18,1021.775146
14,1.5596538185e+18,1021.787354
15,1.5596538186e+18,1021.800781
16,1.5596538187e+18,1021.804688
17,1.5596538188e+18,1021.806885
18,1.5596538189e+18,1021.804688
19,1.559653819e+18,1021.812988
20,1.5596538191e+18,1021.821533
21,1.5596538192e+18,1021.83667
22,1.5596538193e+18,1021.786621
23,1.5596538194e+18,1021.80249
24,1.5596538195e+18,1021.800049
25,1.5596538196e+18,1021.767578
26,1.5596538197e+18,1021.79541
27,1.5596538198e+18,1021.80249
28,1.5596538199e+18,1021.816162
29,1.55965382e+18,1021.914062
30,1.5596538201e+18,1022.014648
31,1.5596538202e+18,1021.881836
32,1.5596538203e+18,1021.819092
33,1.5596538204e+18,1021.779785
34,1.5596538205e+18,1021.765869
35,1.5596538206e+18,1021.797852
36,1.5596538207e+18,1021.833496
37,1.5596538208e+18,1021.842041
38,1.5596538209e+18,1021.817383
39,1.559653821e+18,1021.797119
40,1.5596538211e+18,1021.804443
41,1.5596538212e+18,1021.806641
42,1.5596538213e+18,1021.804688
43,1.5596538214e+18,1021.792725
44,1.5596538215e+18,1021.807129
45,1.5596538216e+18,1021.810303
46,1.5596538217e+18,1021.812988
47,1.5596538218e+18,1021.838135
48,1.5596538219e+18,1021.825439
49,1.559653822e+18,1021.793701
50,1.5596538221e+18,1021.783447
51,1.5596538222e+18,1021.796387
52,1.5596538223e+18,1021.789307
53,1.5596538224e+18,1021.82666
54,1.5596538225e+18,1021.816895
55,1.5596538226e+18,1021.85083
56,1.5596538227e+18,1021.933594
57,1.5596538228e+18,1021.976318
58,1.5596538229e+18,1021.932861
59,1.559653823e+18,1021.776123
60,1.5596538231e+18,1021.74292
61,1.5596538232e+18,1021.718262
62,1.5596538233e+18,1021.734863
63,1.5596538234e+18,1021.797363
64,1.5596538235e+18,1021.845703
65,1.5596538236e+18,1021.883057
66,1.5596538237e+18,1021.837646
67,1.5596538238e+18,1021.801758
68,1.5596538239e+18,1021.780273
69,1.559653824e+18,1021.773438
70,1.5596538241e+18,1021.779297
71,1.5596538242e+18,1021.815674
72,1.5596538243e+18,1021.842041
73,1.5596538244e+18,1021.85376
74,1.5596538245e+18,1021.820068
75,1.5596538246e+18,1021.737305
76,1.5596538247e+18,1021.788086
77,1.5596538248e+18,1021.732422
78,1.5596538249e+18,1021.73999
79,1.559653825e+18,1021.77002
80,1.5596538251e+18,1021.88208
81,1.5596538252e+18,1021.777832
82,1.5596538253e+18,1021.703125
83,1.5596538254e+18,1021.614746
84,1.5596538255e+18,1021.62915
85,1.5596538256e+18,1021.662109
86,1.5596538257e+18,1021.756104
87,1.5596538258e+18,1021.756104
88,1.5596538259e+18,1021.795166
89,1.559653826e+18,1021.779053
90,1.5596538261e+18,1021.779053
91,1.5596538262e+18,1021.781982
92,1.5596538263e+18,1021.791016
93,1.5596538264e+18,1021.791016
94,1.5596538265e+18,1021.840088
95,1.5596538266e+18,1021.817627
96,1.5596538267e+18,1021.817627
97,1.5596538268e+18,1021.744873
98,1.5596538269e+18,1021.778809
99,1.559653827e+18,1021.778809
100,1.5596538271e+18,1021.74292
101,1.5596538272e+18,1021.736084
102,1.5596538273e+18,1021.736084
103,1.5596538274e+18,1021.709229
104,1.5596538275e+18,1021.664551
105,1.5596538276e+18,1021.664551
106,1.5596538277e+18,1021.748779
107,1.5596538278e+18,1021.890869
108,1.5596538279e+18,1021.890869
109,1.559653828e+18,1021.942871
110,1.5596538281e+18,1021.77417
111,1.5596538282e+18,1021.77417
112,1.5596538283e+18,1021.715332
113,1.5596538284e+18,1021.730225
114,1.5596538285e+18,1021.730225
115,1.5596538286e+18,1021.823242
116,1.5596538287e+18,1021.846191
117,1.5596538288e+18,1021.846191
118,1.5596538289e+18,1021.789551
119,1.559653829e+18,1021.804932
120,1.5596538291e+18,1021.804932
121,1.5596538292e+18,1021.804688
122,1.5596538293e+18,1021.798828
123,1.5596538294e+18,1021.798828
124,1.5596538295e+18,1021.810791
125,1.5596538296e+18,1021.822998
126,1.5596538297e+18,1021.822998
127,1.5596538298e+18,1021.827148
128,1.5596538299e+18,1021.668457
129,1.55965383e+18,1021.668457
130,1.5596538301e+18,1021.706055
131,1.5596538302e+18,1021.685303
132,1.5596538303e+18,1021.685303
133,1.5596538304e+18,1021.65918
134,1.5596538305e+18,1021.685059
135,1.5596538306e+18,1021.685059
136,1.5596538307e+18,1021.878174
137,1.5596538308e+18,1021.917725
138,1.5596538309e+18,1021.917725
139,1.559653831e+18,1021.777588
140,1.5596538311e+18,1021.714844
141,1.5596538312e+18,1021.714844
142,1.5596538313e+18,1021.767334
143,1.5596538314e+18,1021.795898
144,1.5596538315e+18,1021.795898
145,1.5596538316e+18,1021.748047
146,1.5596538317e+18,1021.731934
147,1.5596538318e+18,1021.731934
148,1.5596538319e+18,1021.743652
149,1.559653832e+18,1021.763916
150,1.5596538321e+18,1021.763916
151,1.5596538322e+18,1021.802734
152,1.5596538323e+18,1021.791992
153,1.5596538324e+18,1021.791992
154,1.5596538325e+18,1021.749756
155,1.5596538326e+18,1021.720703
156,1.5596538327e+18,1021.720703
157,1.5596538328e+18,1021.705566
158,1.5596538329e+18,1021.641846
159,1.559653833e+18,1021.641846
160,1.5596538331e+18,1021.657227
161,1.5596538332e+18,1021.687744
162,1.5596538333e+18,1021.687744
163,1.5596538334e+18,1021.789307
164,1.5596538335e+18,1021.739746
165,1.5596538336e+18,1021.739746
166,1.5596538337e+18,1021.737793
167,1.5596538338e+18,1021.672119
168,1.5596538339e+18,1021.672119
169,1.559653834e+18,1021.678711
170,1.5596538341e+18,1021.685303
171,1.5596538342e+18,1021.685303
172,1.5596538343e+18,1021.698486
173,1.5596538344e+18,1021.713379
174,1.5596538345e+18,1021.713379
175,1.5596538346e+18,1021.716553
176,1.5596538347e+18,1021.74585
177,1.5596538348e+18,1021.74585
178,1.5596538349e+18,1021.752197
179,1.559653835e+18,1021.762451
180,1.5596538351e+18,1021.762451
181,1.5596538352e+18,1021.766357
182,1.5596538353e+18,1021.749268
183,1.5596538354e+18,1021.749268
184,1.5596538355e+18,1021.734131
185,1.5596538356e+18,1021.742676
186,1.5596538357e+18,1021.742676
187,1.5596538358e+18,1021.768066
188,1.5596538359e+18,1021.731934
189,1.559653836e+18,1021.731934
190,1.5596538361e+18,1021.783447
191,1.5596538362e+18,1021.681396
192,1.5596538363e+18,1021.681396
193,1.5596538364e+18,1021.75415
194,1.5596538365e+18,1021.92041
195,1.5596538366e+18,1021.92041
196,1.5596538367e+18,1022.033203
197,1.5596538368e+18,1021.769287
198,1.5596538369e+18,1021.769287
199,1.559653837e+18,1021.714355
200,1.5596538371e+18,1021.742188
201,1.5596538372e+18,1021.742188
202,1.5596538373e+18,1021.792725
203,1.5596538374e+18,1021.764648
204,1.5596538375e+18,1021.764648
205,1.5596538376e+18,1021.737305
