,Time (s),Pressure (hPa)
0,1.5596541181e+18,1021.868408
1,1.5596541182e+18,1021.852783
2,1.5596541183e+18,1021.843506
3,1.5596541184e+18,1021.828369
4,1.5596541185e+18,1021.820801
5,1.5596541186e+18,1021.810791
6,1.5596541187e+18,1021.782959
7,1.5596541188e+18,1021.769043
8,1.5596541189e+18,1021.790039
9,1.559654119e+18,1021.773682
10,1.5596541191e+18,1021.732666
11,1.5596541192e+18,1021.735352
12,1.5596541193e+18,1021.7854
13,1.5596541194e+18,1021.824219
14,1.5596541195e+18,1021.848633
15,1.5596541196e+18,1021.849365
16,1.5596541197e+18,1021.869141
17,1.5596541198e+18,1021.905762
18,1.5596541199e+18,1021.880859
19,1.55965412e+18,1021.84375
20,1.5596541201e+18,1021.829346
21,1.5596541202e+18,1021.836914
22,1.5596541203e+18,1021.835693
23,1.5596541204e+18,1021.843262
24,1.5596541205e+18,1021.925049
25,1.5596541206e+18,1021.919434
26,1.5596541207e+18,1021.865479
27,1.5596541208e+18,1021.770508
28,1.5596541209e+18,1021.744873
29,1.559654121e+18,1021.721924
30,1.5596541211e+18,1021.695312
31,1.5596541212e+18,1021.688232
32,1.5596541213e+18,1021.690674
33,1.5596541214e+18,1021.691895
34,1.5596541215e+18,1021.716309
35,1.5596541216e+18,1021.748047
36,1.5596541217e+18,1021.806641
37,1.5596541218e+18,1021.852539
38,1.5596541219e+18,1021.862549
39,1.559654122e+18,1021.814697
40,1.5596541221e+18,1021.818848
41,1.5596541222e+18,1021.844727
42,1.5596541223e+18,1021.864258
43,1.5596541224e+18,1021.886719
44,1.5596541225e+18,1021.894775
45,1.5596541226e+18,1021.892822
46,1.5596541227e+18,1021.879639
47,1.5596541228e+18,1021.885742
48,1.5596541229e+18,1021.880615
49,1.559654123e+18,1021.882324
50,1.5596541231e+18,1021.878662
51,1.5596541232e+18,1021.878418
52,1.5596541233e+18,1021.887695
53,1.5596541234e+18,1021.891113
54,1.5596541235e+18,1021.898438
55,1.5596541236e+18,1021.900879
56,1.5596541237e+18,1021.899658
57,1.5596541238e+18,1021.901367
58,1.5596541239e+18,1021.896484
59,1.559654124e+18,1021.895508
60,1.5596541241e+18,1021.895508
61,1.5596541242e+18,1021.893311
62,1.5596541243e+18,1021.89209
63,1.5596541244e+18,1021.893066
64,1.5596541245e+18,1021.895264
65,1.5596541246e+18,1021.89624
66,1.5596541247e+18,1021.907471
67,1.5596541248e+18,1021.902588
68,1.5596541249e+18,1021.908447
69,1.559654125e+18,1021.908203
70,1.5596541251e+18,1021.906494
71,1.5596541252e+18,1021.906006
72,1.5596541253e+18,1021.905029
73,1.5596541254e+18,1021.897949
74,1.5596541255e+18,1021.894043
75,1.5596541256e+18,1021.893311
76,1.5596541257e+18,1021.898682
77,1.5596541258e+18,1021.900146
78,1.5596541259e+18,1021.889893
79,1.559654126e+18,1021.88501
80,1.5596541261e+18,1021.889404
81,1.5596541262e+18,1021.876953
82,1.5596541263e+18,1021.874023
83,1.5596541264e+18,1021.867188
84,1.5596541265e+18,1021.874023
85,1.5596541266e+18,1021.893066
86,1.5596541267e+18,1021.885254
87,1.5596541268e+18,1021.875488
88,1.5596541269e+18,1021.874268
89,1.559654127e+18,1021.884277
90,1.5596541271e+18,1021.860107
91,1.5596541272e+18,1021.863281
92,1.5596541273e+18,1021.861816
93,1.5596541274e+18,1021.881348
94,1.5596541275e+18,1021.876221
95,1.5596541276e+18,1021.887207
96,1.5596541277e+18,1021.897217
97,1.5596541278e+18,1021.870361
98,1.5596541279e+18,1021.867188
99,1.559654128e+18,1021.888184
100,1.5596541281e+18,1021.940186
101,1.5596541282e+18,1022.093262
102,1.5596541283e+18,1021.967285
103,1.5596541284e+18,1021.732666
104,1.5596541285e+18,1021.645264
105,1.5596541286e+18,1021.671387
106,1.5596541287e+18,1021.68335
107,1.5596541288e+18,1021.686768
108,1.5596541289e+18,1021.687988
109,1.559654129e+18,1021.716553
110,1.5596541291e+18,1021.744629
111,1.5596541292e+18,1021.752686
112,1.5596541293e+18,1021.760254
113,1.5596541294e+18,1021.76709
114,1.5596541295e+18,1021.760742
115,1.5596541296e+18,1021.760498
116,1.5596541297e+18,1021.766846
117,1.5596541298e+18,1021.788574
118,1.5596541299e+18,1021.807373
119,1.55965413e+18,1021.85083
120,1.5596541301e+18,1021.912354
121,1.5596541302e+18,1021.961182
122,1.5596541303e+18,1021.96875
123,1.5596541304e+18,1021.95874
124,1.5596541305e+18,1021.942627
125,1.5596541306e+18,1021.924561
126,1.5596541307e+18,1021.915283
127,1.5596541308e+18,1021.89624
128,1.5596541309e+18,1021.892822
129,1.559654131e+18,1021.872314
130,1.5596541311e+18,1021.873779
131,1.5596541312e+18,1021.863037
132,1.5596541313e+18,1021.855469
133,1.5596541314e+18,1021.848877
134,1.5596541315e+18,1021.865967
135,1.5596541316e+18,1021.869385
136,1.5596541317e+18,1021.867188
137,1.5596541318e+18,1021.850586
138,1.5596541319e+18,1021.854492
139,1.559654132e+18,1021.86084
140,1.5596541321e+18,1021.864502
141,1.5596541322e+18,1021.852539
142,1.5596541323e+18,1021.852539
143,1.5596541324e+18,1021.851074
144,1.5596541325e+18,1021.876465
145,1.5596541326e+18,1021.880615
146,1.5596541327e+18,1021.858643
147,1.5596541328e+18,1021.87207
148,1.5596541329e+18,1021.877686
149,1.559654133e+18,1021.875732
150,1.5596541331e+18,1021.87793
151,1.5596541332e+18,1021.884033
152,1.5596541333e+18,1021.911621
153,1.5596541334e+18,1021.875
154,1.5596541335e+18,1021.900635
155,1.5596541336e+18,1021.900635
156,1.5596541337e+18,1021.912842
157,1.5596541338e+18,1022.041016
158,1.5596541339e+18,1021.989502
159,1.559654134e+18,1021.885742
160,1.5596541341e+18,1021.790527
161,1.5596541342e+18,1021.73877
162,1.5596541343e+18,1021.706055
163,1.5596541344e+18,1021.691406
164,1.5596541345e+18,1021.706055
165,1.5596541346e+18,1021.72998
166,1.5596541347e+18,1021.749023
167,1.5596541348e+18,1021.759766
168,1.5596541349e+18,1021.753662
169,1.559654135e+18,1021.736084
170,1.5596541351e+18,1021.723145
171,1.5596541352e+18,1021.760498
172,1.5596541353e+18,1021.831543
173,1.5596541354e+18,1021.888672
174,1.5596541355e+18,1021.900879
175,1.5596541356e+18,1021.916992
176,1.5596541357e+18,1021.912842
177,1.5596541358e+18,1021.885986
178,1.5596541359e+18,1021.884033
179,1.559654136e+18,1021.877441
180,1.5596541361e+18,1021.869629
181,1.5596541362e+18,1021.867188
182,1.5596541363e+18,1021.854492
183,1.5596541364e+18,1021.855469
184,1.5596541365e+18,1021.860596
185,1.5596541366e+18,1021.868896
186,1.5596541367e+18,1021.868652
187,1.5596541368e+18,1021.878174
188,1.5596541369e+18,1021.881836
189,1.559654137e+18,1021.885986
190,1.5596541371e+18,1021.879639
191,1.5596541372e+18,1021.879883
192,1.5596541373e+18,1021.875
193,1.5596541374e+18,1021.883057
194,1.5596541375e+18,1021.886719
195,1.5596541376e+18,1021.883789
196,1.5596541377e+18,1021.878174
197,1.5596541378e+18,1021.873291
198,1.5596541379e+18,1021.887207
199,1.559654138e+18,1021.898438
200,1.5596541381e+18,1021.907227
201,1.5596541382e+18,1021.917236
202,1.5596541383e+18,1021.907471
203,1.5596541384e+18,1021.880371
204,1.5596541385e+18,1021.87085
205,1.5596541386e+18,1021.868896
206,1.5596541387e+18,1021.872559
207,1.5596541388e+18,1021.881836
208,1.5596541389e+18,1021.891846
209,1.559654139e+18,1021.893311
210,1.5596541391e+18,1021.889404
211,1.5596541392e+18,1021.885986
212,1.5596541393e+18,1021.879883
213,1.5596541394e+18,1021.866699
214,1.5596541395e+18,1021.863525
215,1.5596541396e+18,1021.861328
216,1.5596541397e+18,1021.847412
217,1.5596541398e+18,1021.858887
218,1.5596541399e+18,1021.883057
219,1.55965414e+18,1021.866699
220,1.5596541401e+18,1021.850342
221,1.5596541402e+18,1021.892822
222,1.5596541403e+18,1021.916992
223,1.5596541404e+18,1021.884521
224,1.5596541405e+18,1021.880127
225,1.5596541406e+18,1021.900879
226,1.5596541407e+18,1021.960693
227,1.5596541408e+18,1022.102051
228,1.5596541409e+18,1021.901855
229,1.559654141e+18,1021.773926
230,1.5596541411e+18,1021.727295
231,1.5596541412e+18,1021.717285
232,1.5596541413e+18,1021.716064
