,Time (s),Pressure (hPa)
0,1.5596544191e+18,1022.174316
1,1.5596544192e+18,1022.17627
2,1.5596544193e+18,1022.20459
3,1.5596544194e+18,1022.216064
4,1.5596544195e+18,1022.243896
5,1.5596544196e+18,1022.234863
6,1.5596544197e+18,1022.184082
7,1.5596544198e+18,1022.123535
8,1.5596544199e+18,1022.123535
9,1.55965442e+18,1022.166992
10,1.5596544201e+18,1022.252441
11,1.5596544202e+18,1022.252441
12,1.5596544203e+18,1022.155518
13,1.5596544204e+18,1022.091064
14,1.5596544205e+18,1022.091064
15,1.5596544206e+18,1021.953369
16,1.5596544207e+18,1022.134033
17,1.5596544208e+18,1022.134033
18,1.5596544209e+18,1022.184814
19,1.559654421e+18,1022.117676
20,1.5596544211e+18,1022.117676
21,1.5596544212e+18,1022.029053
22,1.5596544213e+18,1022.06958
23,1.5596544214e+18,1022.06958
24,1.5596544215e+18,1022.126465
25,1.5596544216e+18,1022.146729
26,1.5596544217e+18,1022.146729
27,1.5596544218e+18,1022.062988
28,1.5596544219e+18,1022.015381
29,1.559654422e+18,1022.015381
30,1.5596544221e+18,1022.153076
31,1.5596544222e+18,1022.159912
32,1.5596544223e+18,1022.159912
33,1.5596544224e+18,1022.13623
34,1.5596544225e+18,1022.158447
35,1.5596544226e+18,1022.158447
36,1.5596544227e+18,1022.050049
37,1.5596544228e+18,1022.130127
38,1.5596544229e+18,1022.130127
39,1.559654423e+18,1022.168457
40,1.5596544231e+18,1022.208008
41,1.5596544232e+18,1022.208008
42,1.5596544233e+18,1022.04248
43,1.5596544234e+18,1021.968506
44,1.5596544235e+18,1021.968506
45,1.5596544236e+18,1022.125488
46,1.5596544237e+18,1022.128174
47,1.5596544238e+18,1022.128174
48,1.5596544239e+18,1022.174805
49,1.559654424e+18,1022.107178
50,1.5596544241e+18,1022.107178
51,1.5596544242e+18,1022.056152
52,1.5596544243e+18,1022.177979
53,1.5596544244e+18,1022.177979
54,1.5596544245e+18,1022.190674
55,1.5596544246e+18,1022.143555
56,1.5596544247e+18,1022.143555
57,1.5596544248e+18,1022.110596
58,1.5596544249e+18,1022.00708
59,1.559654425e+18,1022.00708
60,1.5596544251e+18,1022.201416
61,1.5596544252e+18,1022.23999
62,1.5596544253e+18,1022.23999
63,1.5596544254e+18,1022.118652
64,1.5596544255e+18,1022.144287
65,1.5596544256e+18,1022.144287
66,1.5596544257e+18,1022.065186
67,1.5596544258e+18,1022.040771
68,1.5596544259e+18,1022.040771
69,1.559654426e+18,1022.075439
70,1.5596544261e+18,1021.969238
71,1.5596544262e+18,1021.969238
72,1.5596544263e+18,1022.013184
73,1.5596544264e+18,1021.956055
74,1.5596544265e+18,1021.956055
75,1.5596544266e+18,1021.944824
76,1.5596544267e+18,1021.962646
77,1.5596544268e+18,1021.962646
78,1.5596544269e+18,1022.074707
79,1.559654427e+18,1022.01709
80,1.5596544271e+18,1022.01709
81,1.5596544272e+18,1022.038574
82,1.5596544273e+18,1022.003418
83,1.5596544274e+18,1022.003418
84,1.5596544275e+18,1022.044922
85,1.5596544276e+18,1022.092041
86,1.5596544277e+18,1022.092041
87,1.5596544278e+18,1022.020752
88,1.5596544279e+18,1021.966553
89,1.559654428e+18,1021.966553
90,1.5596544281e+18,1021.924316
91,1.5596544282e+18,1021.964355
92,1.5596544283e+18,1021.964355
93,1.5596544284e+18,1022.143555
94,1.5596544285e+18,1022.097656
95,1.5596544286e+18,1022.097656
96,1.5596544287e+18,1022.035645
97,1.5596544288e+18,1021.991699
98,1.5596544289e+18,1021.991699
99,1.559654429e+18,1021.896729
100,1.5596544291e+18,1022.060791
101,1.5596544292e+18,1022.060791
102,1.5596544293e+18,1022.00415
103,1.5596544294e+18,1022.137451
104,1.5596544295e+18,1022.137451
105,1.5596544296e+18,1021.971924
106,1.5596544297e+18,1021.928467
107,1.5596544298e+18,1021.928467
108,1.5596544299e+18,1022.086426
109,1.55965443e+18,1022.065674
110,1.5596544301e+18,1022.065674
111,1.5596544302e+18,1022.111572
112,1.5596544303e+18,1022.031006
113,1.5596544304e+18,1022.031006
114,1.5596544305e+18,1021.959229
115,1.5596544306e+18,1022.018555
116,1.5596544307e+18,1022.018555
117,1.5596544308e+18,1022.012207
118,1.5596544309e+18,1022.067871
119,1.559654431e+18,1022.067871
120,1.5596544311e+18,1022.103271
121,1.5596544312e+18,1021.978027
122,1.5596544313e+18,1021.978027
123,1.5596544314e+18,1022.068359
124,1.5596544315e+18,1022.055908
125,1.5596544316e+18,1022.055908
126,1.5596544317e+18,1022.059326
127,1.5596544318e+18,1022.048584
128,1.5596544319e+18,1022.048584
129,1.559654432e+18,1022.001221
130,1.5596544321e+18,1022.235107
131,1.5596544322e+18,1022.235107
132,1.5596544323e+18,1022.123779
133,1.5596544324e+18,1022.098145
134,1.5596544325e+18,1022.098145
135,1.5596544326e+18,1022.0625
136,1.5596544327e+18,1022.035889
137,1.5596544328e+18,1022.035889
138,1.5596544329e+18,1022.046875
139,1.559654433e+18,1022.194824
140,1.5596544331e+18,1022.194824
141,1.5596544332e+18,1022.175537
142,1.5596544333e+18,1022.133545
143,1.5596544334e+18,1022.133545
144,1.5596544335e+18,1022.072754
145,1.5596544336e+18,1022.053711
146,1.5596544337e+18,1022.053711
147,1.5596544338e+18,1022.069092
148,1.5596544339e+18,1022.306641
149,1.559654434e+18,1022.306641
150,1.5596544341e+18,1022.210693
151,1.5596544342e+18,1022.102295
152,1.5596544343e+18,1022.102295
153,1.5596544344e+18,1022.054688
154,1.5596544345e+18,1022.098877
155,1.5596544346e+18,1022.098877
156,1.5596544347e+18,1022.096436
157,1.5596544348e+18,1022.134521
158,1.5596544349e+18,1022.134521
159,1.559654435e+18,1022.093262
160,1.5596544351e+18,1022.070068
161,1.5596544352e+18,1022.070068
162,1.5596544353e+18,1022.020264
163,1.5596544354e+18,1022.160156
164,1.5596544355e+18,1022.160156
165,1.5596544356e+18,1022.162598
166,1.5596544357e+18,1022.068604
167,1.5596544358e+18,1022.068604
168,1.5596544359e+18,1022.091553
169,1.559654436e+18,1022.03833
170,1.5596544361e+18,1022.03833
171,1.5596544362e+18,1022.121094
172,1.5596544363e+18,1022.186768
173,1.5596544364e+18,1022.186768
174,1.5596544365e+18,1022.105713
175,1.5596544366e+18,1022.034424
176,1.5596544367e+18,1022.034424
177,1.5596544368e+18,1022.000732
178,1.5596544369e+18,1022.058838
179,1.559654437e+18,1022.058838
180,1.5596544371e+18,1022.309082
181,1.5596544372e+18,1022.150146
182,1.5596544373e+18,1022.150146
183,1.5596544374e+18,1022.173584
184,1.5596544375e+18,1022.06958
185,1.5596544376e+18,1022.06958
186,1.5596544377e+18,1022.071533
187,1.5596544378e+18,1022.2229
188,1.5596544379e+18,1022.2229
189,1.559654438e+18,1022.123535
190,1.5596544381e+18,1022.088379
191,1.5596544382e+18,1022.088379
192,1.5596544383e+18,1022.063232
193,1.5596544384e+18,1022.109863
194,1.5596544385e+18,1022.109863
195,1.5596544386e+18,1022.233398
196,1.5596544387e+18,1022.160645
197,1.5596544388e+18,1022.160645
198,1.5596544389e+18,1022.171875
199,1.559654439e+18,1022.08374
200,1.5596544391e+18,1022.08374
201,1.5596544392e+18,1022.091553
202,1.5596544393e+18,1022.169434
203,1.5596544394e+18,1022.169434
204,1.5596544395e+18,1022.135498
205,1.5596544396e+18,1022.07251
206,1.5596544397e+18,1022.07251
207,1.5596544398e+18,1022.063232
208,1.5596544399e+18,1022.162842
209,1.55965444e+18,1022.162842
210,1.5596544401e+18,1022.198975
211,1.5596544402e+18,1022.150635
212,1.5596544403e+18,1022.150635
213,1.5596544404e+18,1022.168457
214,1.5596544405e+18,1022.056152
215,1.5596544406e+18,1022.056152
216,1.5596544407e+18,1022.086426
217,1.5596544408e+18,1022.258301
218,1.5596544409e+18,1022.258301
219,1.559654441e+18,1022.168213
220,1.5596544411e+18,1022.052002
221,1.5596544412e+18,1022.052002
222,1.5596544413e+18,1022.033203
223,1.5596544414e+18,1022.105225
224,1.5596544415e+18,1022.170654
225,1.5596544416e+18,1022.267334
226,1.5596544417e+18,1022.217285
227,1.5596544418e+18,1022.178955
228,1.5596544419e+18,1022.189209
229,1.559654442e+18,1022.158691
230,1.5596544421e+18,1022.091553
231,1.5596544422e+18,1022.263916
232,1.5596544423e+18,1022.391357
233,1.5596544424e+18,1022.306152
234,1.5596544425e+18,1022.180908
235,1.5596544426e+18,1022.143555
236,1.5596544427e+18,1022.106445
237,1.5596544428e+18,1022.056641
238,1.5596544429e+18,1022.155029
239,1.559654443e+18,1022.140869
240,1.5596544431e+18,1022.207275
241,1.5596544432e+18,1022.175781
242,1.5596544433e+18,1022.160889
243,1.5596544434e+18,1022.166748
244,1.5596544435e+18,1022.104248
245,1.5596544436e+18,1022.068604
246,1.5596544437e+18,1022.161865
247,1.5596544438e+18,1022.215576
248,1.5596544439e+18,1022.179932
249,1.559654444e+18,1022.114014
250,1.5596544441e+18,1022.109375
251,1.5596544442e+18,1022.06958
252,1.5596544443e+18,1022.030518
253,1.5596544444e+18,1022.059814
254,1.5596544445e+18,1022.122314
255,1.5596544446e+18,1022.181396
256,1.5596544447e+18,1022.173828
257,1.5596544448e+18,1022.126221
258,1.5596544449e+18,1022.217529
259,1.559654445e+18,1022.117432
260,1.5596544451e+18,1022.091309
261,1.5596544452e+18,1022.224854
262,1.5596544453e+18,1022.241211
263,1.5596544454e+18,1022.274414
264,1.5596544455e+18,1022.193848
265,1.5596544456e+18,1022.165283
266,1.5596544457e+18,1022.174561
267,1.5596544458e+18,1022.078369
268,1.5596544459e+18,1022.102539
269,1.559654446e+18,1022.061035
270,1.5596544461e+18,1022.12915
271,1.5596544462e+18,1022.111572
272,1.5596544463e+18,1022.055908
273,1.5596544464e+18,1022.10083
274,1.5596544465e+18,1022.051514
275,1.5596544466e+18,1022.012939
276,1.5596544467e+18,1022.163818
277,1.5596544468e+18,1022.125488
278,1.5596544469e+18,1022.138672
279,1.559654447e+18,1022.083984
280,1.5596544471e+18,1022.028564
281,1.5596544472e+18,1021.951172
282,1.5596544473e+18,1021.992676
283,1.5596544474e+18,1022.088867
284,1.5596544475e+18,1022.287354
285,1.5596544476e+18,1022.248047
286,1.5596544477e+18,1022.201904
287,1.5596544478e+18,1022.134277
288,1.5596544479e+18,1022.128418
289,1.559654448e+18,1022.073486
290,1.5596544481e+18,1022.050781
291,1.5596544482e+18,1022.114258
292,1.5596544483e+18,1022.332275
293,1.5596544484e+18,1022.198975
294,1.5596544485e+18,1022.12915
295,1.5596544486e+18,1022.091797
296,1.5596544487e+18,1022.064453
297,1.5596544488e+18,1022.063721
298,1.5596544489e+18,1022.067627
299,1.559654449e+18,1022.126709
300,1.5596544491e+18,1022.327637
301,1.5596544492e+18,1022.272949
302,1.5596544493e+18,1022.242676
303,1.5596544494e+18,1022.202393
304,1.5596544495e+18,1022.171387
305,1.5596544496e+18,1022.157471
306,1.5596544497e+18,1022.059326
307,1.5596544498e+18,1022.076904
308,1.5596544499e+18,1022.185303
309,1.55965445e+18,1022.2771
310,1.5596544501e+18,1022.264648
311,1.5596544502e+18,1022.159424
312,1.5596544503e+18,1022.096191
313,1.5596544504e+18,1022.087646
314,1.5596544505e+18,1022.091064
315,1.5596544506e+18,1022.254883
316,1.5596544507e+18,1022.203857
317,1.5596544508e+18,1022.212646
318,1.5596544509e+18,1022.156006
319,1.559654451e+18,1022.142578
320,1.5596544511e+18,1022.168701
321,1.5596544512e+18,1022.092041
322,1.5596544513e+18,1022.122803
323,1.5596544514e+18,1022.325684
324,1.5596544515e+18,1022.312256
325,1.5596544516e+18,1022.27832
326,1.5596544517e+18,1022.211426
327,1.5596544518e+18,1022.113525
328,1.5596544519e+18,1022.037109
329,1.559654452e+18,1022.095215
330,1.5596544521e+18,1022.192871
331,1.5596544522e+18,1022.080811
332,1.5596544523e+18,1022.066895
333,1.5596544524e+18,1022.062744
334,1.5596544525e+18,1022.05957
335,1.5596544526e+18,1022.044189
336,1.5596544527e+18,1022.039062
337,1.5596544528e+18,1022.161377
338,1.5596544529e+18,1022.189941
339,1.559654453e+18,1022.178223
340,1.5596544531e+18,1022.192627
341,1.5596544532e+18,1022.138184
342,1.5596544533e+18,1022.151611
343,1.5596544534e+18,1022.083496
344,1.5596544535e+18,1022.080566
345,1.5596544536e+18,1022.398193
346,1.5596544537e+18,1022.243408
347,1.5596544538e+18,1022.13916
348,1.5596544539e+18,1022.098633
349,1.559654454e+18,1022.088379
350,1.5596544541e+18,1022.118652
351,1.5596544542e+18,1022.112061
352,1.5596544543e+18,1022.05249
353,1.5596544544e+18,1022.095459
354,1.5596544545e+18,1022.237061
355,1.5596544546e+18,1022.307861
356,1.5596544547e+18,1022.231445
357,1.5596544548e+18,1022.169678
358,1.5596544549e+18,1022.11377
359,1.559654455e+18,1022.042725
360,1.5596544551e+18,1022.060303
361,1.5596544552e+18,1022.179443
362,1.5596544553e+18,1022.138916
363,1.5596544554e+18,1022.186768
364,1.5596544555e+18,1022.137939
365,1.5596544556e+18,1022.098389
366,1.5596544557e+18,1022.103027
367,1.5596544558e+18,1022.058105
368,1.5596544559e+18,1022.078857
369,1.559654456e+18,1022.196045
370,1.5596544561e+18,1022.241699
371,1.5596544562e+18,1022.220703
372,1.5596544563e+18,1022.098877
373,1.5596544564e+18,1022.097412
374,1.5596544565e+18,1022.091064
375,1.5596544566e+18,1022.031006
376,1.5596544567e+18,1022.099121
377,1.5596544568e+18,1022.109131
378,1.5596544569e+18,1022.242676
379,1.559654457e+18,1022.173584
380,1.5596544571e+18,1022.062744
381,1.5596544572e+18,1022.086914
382,1.5596544573e+18,1022.090576
383,1.5596544574e+18,1022.029541
384,1.5596544575e+18,1022.014404
385,1.5596544576e+18,1022.226074
386,1.5596544577e+18,1022.248535
387,1.5596544578e+18,1022.180908
388,1.5596544579e+18,1022.101318
389,1.559654458e+18,1022.060791
390,1.5596544581e+18,1022.073975
391,1.5596544582e+18,1022.06543
392,1.5596544583e+18,1022.02124
393,1.5596544584e+18,1022.119385
