,Time (s),Pressure (hPa)
0,1.5596547201e+18,1022.150879
1,1.5596547202e+18,1022.149414
2,1.5596547203e+18,1022.162598
3,1.5596547204e+18,1022.143555
4,1.5596547205e+18,1022.125
5,1.5596547206e+18,1022.124756
6,1.5596547207e+18,1022.115479
7,1.5596547208e+18,1022.115234
8,1.5596547209e+18,1022.132812
9,1.559654721e+18,1022.08667
10,1.5596547211e+18,1022.140381
11,1.5596547212e+18,1022.250488
12,1.5596547213e+18,1022.172363
13,1.5596547214e+18,1022.164795
14,1.5596547215e+18,1022.150635
15,1.5596547216e+18,1022.112549
16,1.5596547217e+18,1022.13623
17,1.5596547218e+18,1022.100098
18,1.5596547219e+18,1022.304688
19,1.559654722e+18,1022.282715
20,1.5596547221e+18,1022.28418
21,1.5596547222e+18,1022.243164
22,1.5596547223e+18,1022.221191
23,1.5596547224e+18,1022.160889
24,1.5596547225e+18,1022.099609
25,1.5596547226e+18,1022.196045
26,1.5596547227e+18,1022.211914
27,1.5596547228e+18,1022.258789
28,1.5596547229e+18,1022.214111
29,1.559654723e+18,1022.214111
30,1.5596547231e+18,1022.126709
31,1.5596547232e+18,1022.133301
32,1.5596547233e+18,1022.133301
33,1.5596547234e+18,1022.117432
34,1.5596547235e+18,1022.277832
35,1.5596547236e+18,1022.277832
36,1.5596547237e+18,1022.242188
37,1.5596547238e+18,1022.188721
38,1.5596547239e+18,1022.188721
39,1.559654724e+18,1022.109619
40,1.5596547241e+18,1022.155273
41,1.5596547242e+18,1022.155273
42,1.5596547243e+18,1022.289551
43,1.5596547244e+18,1022.258789
44,1.5596547245e+18,1022.258789
45,1.5596547246e+18,1022.169189
46,1.5596547247e+18,1022.14502
47,1.5596547248e+18,1022.14502
48,1.5596547249e+18,1022.156738
49,1.559654725e+18,1022.351318
50,1.5596547251e+18,1022.351318
51,1.5596547252e+18,1022.217041
52,1.5596547253e+18,1022.157959
53,1.5596547254e+18,1022.157959
54,1.5596547255e+18,1022.135254
55,1.5596547256e+18,1022.119385
56,1.5596547257e+18,1022.119385
57,1.5596547258e+18,1022.221436
58,1.5596547259e+18,1022.167969
59,1.559654726e+18,1022.167969
60,1.5596547261e+18,1022.076172
61,1.5596547262e+18,1022.133057
62,1.5596547263e+18,1022.133057
63,1.5596547264e+18,1022.149658
64,1.5596547265e+18,1022.367676
65,1.5596547266e+18,1022.367676
66,1.5596547267e+18,1022.233643
67,1.5596547268e+18,1022.181396
68,1.5596547269e+18,1022.181396
69,1.559654727e+18,1022.144775
70,1.5596547271e+18,1022.170898
71,1.5596547272e+18,1022.170898
72,1.5596547273e+18,1022.298828
73,1.5596547274e+18,1022.289062
74,1.5596547275e+18,1022.289062
75,1.5596547276e+18,1022.175049
76,1.5596547277e+18,1022.127686
77,1.5596547278e+18,1022.127686
78,1.5596547279e+18,1022.105957
79,1.559654728e+18,1022.320557
80,1.5596547281e+18,1022.320557
81,1.5596547282e+18,1022.213135
82,1.5596547283e+18,1022.172852
83,1.5596547284e+18,1022.172852
84,1.5596547285e+18,1022.085938
85,1.5596547286e+18,1022.088135
86,1.5596547287e+18,1022.088135
87,1.5596547288e+18,1022.277344
88,1.5596547289e+18,1022.253906
89,1.559654729e+18,1022.253906
90,1.5596547291e+18,1022.119385
91,1.5596547292e+18,1022.130859
92,1.5596547293e+18,1022.130859
93,1.5596547294e+18,1022.154541
94,1.5596547295e+18,1022.194336
95,1.5596547296e+18,1022.194336
96,1.5596547297e+18,1022.237305
97,1.5596547298e+18,1022.184326
98,1.5596547299e+18,1022.184326
99,1.55965473e+18,1022.116943
100,1.5596547301e+18,1022.122314
101,1.5596547302e+18,1022.122314
102,1.5596547303e+18,1022.21875
103,1.5596547304e+18,1022.29834
104,1.5596547305e+18,1022.29834
105,1.5596547306e+18,1022.200439
106,1.5596547307e+18,1022.187012
107,1.5596547308e+18,1022.187012
108,1.5596547309e+18,1022.05542
109,1.559654731e+18,1022.147461
110,1.5596547311e+18,1022.147461
111,1.5596547312e+18,1022.235596
112,1.5596547313e+18,1022.188721
113,1.5596547314e+18,1022.188721
114,1.5596547315e+18,1022.131104
115,1.5596547316e+18,1022.174805
116,1.5596547317e+18,1022.174805
117,1.5596547318e+18,1022.254639
118,1.5596547319e+18,1022.247314
119,1.559654732e+18,1022.247314
120,1.5596547321e+18,1022.20874
121,1.5596547322e+18,1022.171631
122,1.5596547323e+18,1022.171631
123,1.5596547324e+18,1022.087646
124,1.5596547325e+18,1022.270264
125,1.5596547326e+18,1022.270264
126,1.5596547327e+18,1022.216064
127,1.5596547328e+18,1022.184814
128,1.5596547329e+18,1022.184814
129,1.559654733e+18,1022.180908
130,1.5596547331e+18,1022.151367
131,1.5596547332e+18,1022.151367
132,1.5596547333e+18,1022.305664
133,1.5596547334e+18,1022.275635
134,1.5596547335e+18,1022.275635
135,1.5596547336e+18,1022.175293
136,1.5596547337e+18,1022.116943
137,1.5596547338e+18,1022.116943
138,1.5596547339e+18,1022.146484
139,1.559654734e+18,1022.327393
140,1.5596547341e+18,1022.327393
141,1.5596547342e+18,1022.373047
142,1.5596547343e+18,1022.216797
143,1.5596547344e+18,1022.216797
