,Time (s),Pressure (hPa)
0,1.5596550211e+18,1022.063477
1,1.5596550212e+18,1021.981689
2,1.5596550213e+18,1021.991943
3,1.5596550214e+18,1022.022949
4,1.5596550215e+18,1021.913086
5,1.5596550216e+18,1021.833008
6,1.5596550217e+18,1021.81958
7,1.5596550218e+18,1021.832031
8,1.5596550219e+18,1021.884033
9,1.559655022e+18,1021.929932
10,1.5596550221e+18,1021.855225
11,1.5596550222e+18,1021.861328
12,1.5596550223e+18,1021.884521
13,1.5596550224e+18,1021.932861
14,1.5596550225e+18,1022.053955
15,1.5596550226e+18,1022.029297
16,1.5596550227e+18,1022.001465
17,1.5596550228e+18,1021.998779
18,1.5596550229e+18,1022.009521
19,1.559655023e+18,1022.021729
20,1.5596550231e+18,1021.959473
21,1.5596550232e+18,1021.95459
22,1.5596550233e+18,1022.030762
23,1.5596550234e+18,1021.88623
24,1.5596550235e+18,1021.843262
25,1.5596550236e+18,1021.835449
26,1.5596550237e+18,1021.848633
27,1.5596550238e+18,1021.940918
28,1.5596550239e+18,1021.937744
29,1.559655024e+18,1021.900146
30,1.5596550241e+18,1021.911865
31,1.5596550242e+18,1021.924561
32,1.5596550243e+18,1021.995117
33,1.5596550244e+18,1022.050781
34,1.5596550245e+18,1022.031494
35,1.5596550246e+18,1022.023193
36,1.5596550247e+18,1022.005859
37,1.5596550248e+18,1022.011963
38,1.5596550249e+18,1022.01001
39,1.559655025e+18,1021.969727
40,1.5596550251e+18,1021.975342
41,1.5596550252e+18,1022.019531
42,1.5596550253e+18,1022.223877
43,1.5596550254e+18,1022.21167
44,1.5596550255e+18,1022.08374
45,1.5596550256e+18,1022.018311
46,1.5596550257e+18,1021.982666
47,1.5596550258e+18,1021.986572
48,1.5596550259e+18,1022.07666
49,1.559655026e+18,1021.998047
50,1.5596550261e+18,1021.983643
51,1.5596550262e+18,1021.989258
52,1.5596550263e+18,1021.988037
53,1.5596550264e+18,1022.072266
54,1.5596550265e+18,1022.072021
55,1.5596550266e+18,1022.050049
56,1.5596550267e+18,1022.040527
57,1.5596550268e+18,1022.031982
58,1.5596550269e+18,1022.025391
59,1.559655027e+18,1022.04126
60,1.5596550271e+18,1021.989258
61,1.5596550272e+18,1022.027344
62,1.5596550273e+18,1022.057129
63,1.5596550274e+18,1022.065186
64,1.5596550275e+18,1022.029053
65,1.5596550276e+18,1022.002197
66,1.5596550277e+18,1021.992676
67,1.5596550278e+18,1022.112305
68,1.5596550279e+18,1022.053467
69,1.559655028e+18,1022.023193
70,1.5596550281e+18,1022.017578
71,1.5596550282e+18,1021.973633
72,1.5596550283e+18,1021.970703
73,1.5596550284e+18,1021.95752
74,1.5596550285e+18,1021.942627
75,1.5596550286e+18,1021.939209
76,1.5596550287e+18,1022.006104
77,1.5596550288e+18,1022.026611
78,1.5596550289e+18,1021.929443
79,1.559655029e+18,1021.912598
80,1.5596550291e+18,1021.9375
81,1.5596550292e+18,1022.006348
82,1.5596550293e+18,1022.064209
83,1.5596550294e+18,1022.048828
84,1.5596550295e+18,1022.023438
85,1.5596550296e+18,1022.040527
86,1.5596550297e+18,1022.041748
87,1.5596550298e+18,1022.018311
88,1.5596550299e+18,1022.043945
89,1.55965503e+18,1022.059326
90,1.5596550301e+18,1021.999023
91,1.5596550302e+18,1021.95166
92,1.5596550303e+18,1021.957031
93,1.5596550304e+18,1022.00415
94,1.5596550305e+18,1021.927979
95,1.5596550306e+18,1022.002441
96,1.5596550307e+18,1022.036865
97,1.5596550308e+18,1022.060303
98,1.5596550309e+18,1022.023926
99,1.559655031e+18,1022.048096
100,1.5596550311e+18,1022.020264
101,1.5596550312e+18,1022.134521
102,1.5596550313e+18,1021.960938
103,1.5596550314e+18,1021.890381
104,1.5596550315e+18,1021.88501
105,1.5596550316e+18,1021.927002
106,1.5596550317e+18,1021.966553
107,1.5596550318e+18,1022.054443
108,1.5596550319e+18,1022.052979
109,1.559655032e+18,1022.003418
110,1.5596550321e+18,1022.004639
111,1.5596550322e+18,1022.026367
112,1.5596550323e+18,1022.034668
113,1.5596550324e+18,1022.056396
114,1.5596550325e+18,1021.992432
115,1.5596550326e+18,1021.993408
116,1.5596550327e+18,1021.966553
117,1.5596550328e+18,1021.974365
118,1.5596550329e+18,1021.997559
119,1.559655033e+18,1021.918701
120,1.5596550331e+18,1021.943359
121,1.5596550332e+18,1021.954102
