,Time (s),Pressure (hPa)
0,1.5596553221e+18,1022.169922
1,1.5596553222e+18,1022.182861
2,1.5596553223e+18,1022.182617
3,1.5596553224e+18,1022.184082
4,1.5596553225e+18,1022.183838
5,1.5596553226e+18,1022.186768
6,1.5596553227e+18,1022.195557
7,1.5596553228e+18,1022.189697
8,1.5596553229e+18,1022.175293
9,1.559655323e+18,1022.177734
10,1.5596553231e+18,1022.184326
11,1.5596553232e+18,1022.169678
12,1.5596553233e+18,1022.145996
13,1.5596553234e+18,1022.188232
14,1.5596553235e+18,1022.213135
15,1.5596553236e+18,1022.201904
16,1.5596553237e+18,1022.19458
17,1.5596553238e+18,1022.186279
18,1.5596553239e+18,1022.175293
19,1.559655324e+18,1022.162598
20,1.5596553241e+18,1022.154541
21,1.5596553242e+18,1022.143555
22,1.5596553243e+18,1022.133789
23,1.5596553244e+18,1022.123535
24,1.5596553245e+18,1022.133301
25,1.5596553246e+18,1022.138184
26,1.5596553247e+18,1022.153564
27,1.5596553248e+18,1022.160156
28,1.5596553249e+18,1022.164307
29,1.559655325e+18,1022.16626
30,1.5596553251e+18,1022.162354
31,1.5596553252e+18,1022.158203
32,1.5596553253e+18,1022.162598
33,1.5596553254e+18,1022.181885
34,1.5596553255e+18,1022.171875
35,1.5596553256e+18,1022.172852
36,1.5596553257e+18,1022.177734
37,1.5596553258e+18,1022.178955
38,1.5596553259e+18,1022.182617
39,1.559655326e+18,1022.185547
40,1.5596553261e+18,1022.182861
41,1.5596553262e+18,1022.201416
42,1.5596553263e+18,1022.201416
43,1.5596553264e+18,1022.208496
44,1.5596553265e+18,1022.203613
45,1.5596553266e+18,1022.186768
46,1.5596553267e+18,1022.17749
47,1.5596553268e+18,1022.163086
48,1.5596553269e+18,1022.151123
49,1.559655327e+18,1022.147217
50,1.5596553271e+18,1022.143555
51,1.5596553272e+18,1022.134033
52,1.5596553273e+18,1022.120361
53,1.5596553274e+18,1022.106689
54,1.5596553275e+18,1022.10498
55,1.5596553276e+18,1022.102295
56,1.5596553277e+18,1022.098389
57,1.5596553278e+18,1022.103271
58,1.5596553279e+18,1022.112549
59,1.559655328e+18,1022.110107
60,1.5596553281e+18,1022.085449
61,1.5596553282e+18,1022.204834
62,1.5596553283e+18,1022.143799
63,1.5596553284e+18,1022.113037
64,1.5596553285e+18,1022.095703
65,1.5596553286e+18,1022.120361
66,1.5596553287e+18,1022.128662
67,1.5596553288e+18,1022.125488
68,1.5596553289e+18,1022.1521
69,1.559655329e+18,1022.165527
70,1.5596553291e+18,1022.176758
71,1.5596553292e+18,1022.173096
72,1.5596553293e+18,1022.1875
73,1.5596553294e+18,1022.184082
74,1.5596553295e+18,1022.179688
75,1.5596553296e+18,1022.182617
76,1.5596553297e+18,1022.189453
77,1.5596553298e+18,1022.177246
78,1.5596553299e+18,1022.154785
79,1.55965533e+18,1022.140381
