,Time (s),Pressure (hPa)
0,1.5596556231e+18,1022.319824
1,1.5596556232e+18,1022.30542
2,1.5596556233e+18,1022.310547
3,1.5596556234e+18,1022.316895
4,1.5596556235e+18,1022.31958
5,1.5596556236e+18,1022.320801
6,1.5596556237e+18,1022.318115
7,1.5596556238e+18,1022.321533
8,1.5596556239e+18,1022.326904
9,1.559655624e+18,1022.329102
10,1.5596556241e+18,1022.314941
11,1.5596556242e+18,1022.29541
12,1.5596556243e+18,1022.341309
13,1.5596556244e+18,1022.395508
14,1.5596556245e+18,1022.404053
15,1.5596556246e+18,1022.411621
16,1.5596556247e+18,1022.388428
17,1.5596556248e+18,1022.388428
18,1.5596556249e+18,1022.408936
19,1.559655625e+18,1022.422607
20,1.5596556251e+18,1022.416992
21,1.5596556252e+18,1022.400635
22,1.5596556253e+18,1022.38501
23,1.5596556254e+18,1022.365479
24,1.5596556255e+18,1022.393555
25,1.5596556256e+18,1022.30127
26,1.5596556257e+18,1022.398926
27,1.5596556258e+18,1022.420166
28,1.5596556259e+18,1022.441406
29,1.559655626e+18,1022.448242
30,1.5596556261e+18,1022.386475
31,1.5596556262e+18,1022.340576
32,1.5596556263e+18,1022.371094
33,1.5596556264e+18,1022.494385
34,1.5596556265e+18,1022.547852
35,1.5596556266e+18,1022.517822
36,1.5596556267e+18,1022.518799
37,1.5596556268e+18,1022.467773
38,1.5596556269e+18,1022.503906
39,1.559655627e+18,1022.535645
40,1.5596556271e+18,1022.469482
41,1.5596556272e+18,1022.471436
42,1.5596556273e+18,1022.473389
43,1.5596556274e+18,1022.421631
44,1.5596556275e+18,1022.407471
45,1.5596556276e+18,1022.529297
46,1.5596556277e+18,1022.450195
47,1.5596556278e+18,1022.413086
48,1.5596556279e+18,1022.393066
49,1.559655628e+18,1022.364014
50,1.5596556281e+18,1022.429932
51,1.5596556282e+18,1022.540771
52,1.5596556283e+18,1022.463379
53,1.5596556284e+18,1022.43457
54,1.5596556285e+18,1022.416016
55,1.5596556286e+18,1022.411865
56,1.5596556287e+18,1022.399414
57,1.5596556288e+18,1022.389404
58,1.5596556289e+18,1022.440918
59,1.559655629e+18,1022.394043
60,1.5596556291e+18,1022.442627
61,1.5596556292e+18,1022.424072
62,1.5596556293e+18,1022.440186
63,1.5596556294e+18,1022.402344
64,1.5596556295e+18,1022.417236
65,1.5596556296e+18,1022.41626
66,1.5596556297e+18,1022.432617
67,1.5596556298e+18,1022.416992
68,1.5596556299e+18,1022.424316
69,1.55965563e+18,1022.443359
70,1.5596556301e+18,1022.40625
71,1.5596556302e+18,1022.430908
72,1.5596556303e+18,1022.366943
73,1.5596556304e+18,1022.399902
74,1.5596556305e+18,1022.44165
75,1.5596556306e+18,1022.452881
76,1.5596556307e+18,1022.468506
77,1.5596556308e+18,1022.452393
78,1.5596556309e+18,1022.497803
79,1.559655631e+18,1022.473633
80,1.5596556311e+18,1022.462158
81,1.5596556312e+18,1022.477295
82,1.5596556313e+18,1022.491211
83,1.5596556314e+18,1022.487549
84,1.5596556315e+18,1022.500732
85,1.5596556316e+18,1022.489746
86,1.5596556317e+18,1022.501221
87,1.5596556318e+18,1022.500244
88,1.5596556319e+18,1022.459961
89,1.559655632e+18,1022.461182
90,1.5596556321e+18,1022.451172
91,1.5596556322e+18,1022.439453
92,1.5596556323e+18,1022.413086
93,1.5596556324e+18,1022.368164
94,1.5596556325e+18,1022.486572
95,1.5596556326e+18,1022.47876
96,1.5596556327e+18,1022.465332
97,1.5596556328e+18,1022.343506
98,1.5596556329e+18,1022.360107
99,1.559655633e+18,1022.411621
