,Time (s),Pressure (hPa)
0,1.5596559241e+18,1022.415039
1,1.5596559242e+18,1022.434082
2,1.5596559243e+18,1022.420898
3,1.5596559244e+18,1022.422852
4,1.5596559245e+18,1022.428955
5,1.5596559246e+18,1022.422363
6,1.5596559247e+18,1022.415039
7,1.5596559248e+18,1022.411377
8,1.5596559249e+18,1022.397949
9,1.559655925e+18,1022.390625
10,1.5596559251e+18,1022.406494
11,1.5596559252e+18,1022.424561
12,1.5596559253e+18,1022.443604
13,1.5596559254e+18,1022.482422
14,1.5596559255e+18,1022.494629
15,1.5596559256e+18,1022.498779
16,1.5596559257e+18,1022.496582
17,1.5596559258e+18,1022.48999
18,1.5596559259e+18,1022.470459
19,1.559655926e+18,1022.468262
20,1.5596559261e+18,1022.46582
21,1.5596559262e+18,1022.47583
22,1.5596559263e+18,1022.489502
23,1.5596559264e+18,1022.48584
24,1.5596559265e+18,1022.489502
25,1.5596559266e+18,1022.486816
26,1.5596559267e+18,1022.495605
27,1.5596559268e+18,1022.503662
28,1.5596559269e+18,1022.494141
29,1.559655927e+18,1022.510986
30,1.5596559271e+18,1022.507568
31,1.5596559272e+18,1022.508545
32,1.5596559273e+18,1022.5
33,1.5596559274e+18,1022.479248
34,1.5596559275e+18,1022.455811
35,1.5596559276e+18,1022.442871
36,1.5596559277e+18,1022.438477
37,1.5596559278e+18,1022.411621
38,1.5596559279e+18,1022.39209
39,1.559655928e+18,1022.382324
40,1.5596559281e+18,1022.375977
41,1.5596559282e+18,1022.405762
42,1.5596559283e+18,1022.404541
43,1.5596559284e+18,1022.417725
44,1.5596559285e+18,1022.430664
45,1.5596559286e+18,1022.442871
46,1.5596559287e+18,1022.445068
47,1.5596559288e+18,1022.438477
48,1.5596559289e+18,1022.458252
49,1.559655929e+18,1022.499512
50,1.5596559291e+18,1022.506104
51,1.5596559292e+18,1022.501709
52,1.5596559293e+18,1022.510254
53,1.5596559294e+18,1022.511475
54,1.5596559295e+18,1022.507324
55,1.5596559296e+18,1022.488037
56,1.5596559297e+18,1022.5271
57,1.5596559298e+18,1022.53833
58,1.5596559299e+18,1022.506836
59,1.55965593e+18,1022.489014
60,1.5596559301e+18,1022.497314
61,1.5596559302e+18,1022.492188
62,1.5596559303e+18,1022.510986
63,1.5596559304e+18,1022.52124
64,1.5596559305e+18,1022.534912
65,1.5596559306e+18,1022.525879
66,1.5596559307e+18,1022.479736
67,1.5596559308e+18,1022.469727
68,1.5596559309e+18,1022.484619
69,1.559655931e+18,1022.480713
70,1.5596559311e+18,1022.496338
71,1.5596559312e+18,1022.531494
72,1.5596559313e+18,1022.554443
73,1.5596559314e+18,1022.518555
74,1.5596559315e+18,1022.505615
75,1.5596559316e+18,1022.497803
76,1.5596559317e+18,1022.501709
77,1.5596559318e+18,1022.526367
78,1.5596559319e+18,1022.514404
79,1.559655932e+18,1022.525879
80,1.5596559321e+18,1022.503418
81,1.5596559322e+18,1022.479736
82,1.5596559323e+18,1022.475098
83,1.5596559324e+18,1022.493408
84,1.5596559325e+18,1022.523682
85,1.5596559326e+18,1022.563232
86,1.5596559327e+18,1022.498535
87,1.5596559328e+18,1022.496826
88,1.5596559329e+18,1022.484375
89,1.559655933e+18,1022.473389
90,1.5596559331e+18,1022.466553
91,1.5596559332e+18,1022.476807
92,1.5596559333e+18,1022.487549
93,1.5596559334e+18,1022.473389
94,1.5596559335e+18,1022.45752
95,1.5596559336e+18,1022.450195
