,Time (s),Pressure (hPa)
0,1.5596562401e+18,1022.284912
1,1.5596562402e+18,1022.268311
2,1.5596562403e+18,1022.279297
3,1.5596562404e+18,1022.295898
4,1.5596562405e+18,1022.303223
5,1.5596562406e+18,1022.30249
6,1.5596562407e+18,1022.301514
7,1.5596562408e+18,1022.326172
8,1.5596562409e+18,1022.332764
9,1.559656241e+18,1022.319824
10,1.5596562411e+18,1022.300781
11,1.5596562412e+18,1022.30249
12,1.5596562413e+18,1022.328857
13,1.5596562414e+18,1022.346924
14,1.5596562415e+18,1022.316162
15,1.5596562416e+18,1022.281494
16,1.5596562417e+18,1022.26001
17,1.5596562418e+18,1022.253174
18,1.5596562419e+18,1022.257568
19,1.559656242e+18,1022.26416
20,1.5596562421e+18,1022.260498
21,1.5596562422e+18,1022.273193
22,1.5596562423e+18,1022.292236
23,1.5596562424e+18,1022.332275
24,1.5596562425e+18,1022.334473
25,1.5596562426e+18,1022.333496
26,1.5596562427e+18,1022.313721
27,1.5596562428e+18,1022.301758
28,1.5596562429e+18,1022.288818
29,1.559656243e+18,1022.280762
30,1.5596562431e+18,1022.270508
31,1.5596562432e+18,1022.256836
32,1.5596562433e+18,1022.247314
33,1.5596562434e+18,1022.244873
34,1.5596562435e+18,1022.240234
35,1.5596562436e+18,1022.236572
36,1.5596562437e+18,1022.230713
37,1.5596562438e+18,1022.225586
38,1.5596562439e+18,1022.232178
39,1.559656244e+18,1022.217041
40,1.5596562441e+18,1022.206787
41,1.5596562442e+18,1022.207275
42,1.5596562443e+18,1022.19751
43,1.5596562444e+18,1022.19458
44,1.5596562445e+18,1022.195801
45,1.5596562446e+18,1022.209717
46,1.5596562447e+18,1022.224365
47,1.5596562448e+18,1022.226807
48,1.5596562449e+18,1022.215576
49,1.559656245e+18,1022.208252
50,1.5596562451e+18,1022.20166
51,1.5596562452e+18,1022.205811
52,1.5596562453e+18,1022.212646
53,1.5596562454e+18,1022.227539
54,1.5596562455e+18,1022.231934
55,1.5596562456e+18,1022.222168
56,1.5596562457e+18,1022.229004
57,1.5596562458e+18,1022.255859
58,1.5596562459e+18,1022.272217
59,1.559656246e+18,1022.269531
60,1.5596562461e+18,1022.278809
61,1.5596562462e+18,1022.277832
62,1.5596562463e+18,1022.269531
63,1.5596562464e+18,1022.273438
64,1.5596562465e+18,1022.275391
65,1.5596562466e+18,1022.274902
66,1.5596562467e+18,1022.266602
67,1.5596562468e+18,1022.266113
68,1.5596562469e+18,1022.269775
69,1.559656247e+18,1022.270996
70,1.5596562471e+18,1022.268066
71,1.5596562472e+18,1022.275635
72,1.5596562473e+18,1022.267578
73,1.5596562474e+18,1022.27124
74,1.5596562475e+18,1022.28125
75,1.5596562476e+18,1022.286865
76,1.5596562477e+18,1022.29126
77,1.5596562478e+18,1022.294922
78,1.5596562479e+18,1022.291748
79,1.559656248e+18,1022.286865
80,1.5596562481e+18,1022.281494
81,1.5596562482e+18,1022.29248
82,1.5596562483e+18,1022.278564
83,1.5596562484e+18,1022.283447
84,1.5596562485e+18,1022.283691
85,1.5596562486e+18,1022.283447
86,1.5596562487e+18,1022.281494
87,1.5596562488e+18,1022.282227
88,1.5596562489e+18,1022.293213
89,1.559656249e+18,1022.30249
90,1.5596562491e+18,1022.302979
91,1.5596562492e+18,1022.307617
92,1.5596562493e+18,1022.292236
93,1.5596562494e+18,1022.300049
94,1.5596562495e+18,1022.305664
95,1.5596562496e+18,1022.310059
96,1.5596562497e+18,1022.3125
97,1.5596562498e+18,1022.310791
98,1.5596562499e+18,1022.29834
99,1.55965625e+18,1022.303711
100,1.5596562501e+18,1022.304932
101,1.5596562502e+18,1022.321289
102,1.5596562503e+18,1022.316895
103,1.5596562504e+18,1022.315186
104,1.5596562505e+18,1022.314697
105,1.5596562506e+18,1022.297363
106,1.5596562507e+18,1022.284424
107,1.5596562508e+18,1022.280273
108,1.5596562509e+18,1022.278809
109,1.559656251e+18,1022.27124
110,1.5596562511e+18,1022.263672
111,1.5596562512e+18,1022.249512
112,1.5596562513e+18,1022.22168
113,1.5596562514e+18,1022.213623
114,1.5596562515e+18,1022.215088
115,1.5596562516e+18,1022.215576
116,1.5596562517e+18,1022.221924
117,1.5596562518e+18,1022.215332
118,1.5596562519e+18,1022.204346
119,1.559656252e+18,1022.193604
120,1.5596562521e+18,1022.187988
121,1.5596562522e+18,1022.189941
122,1.5596562523e+18,1022.188965
123,1.5596562524e+18,1022.181885
124,1.5596562525e+18,1022.187988
125,1.5596562526e+18,1022.179688
126,1.5596562527e+18,1022.182861
127,1.5596562528e+18,1022.192139
128,1.55965625285e+18,1022.24707
129,1.55965625292e+18,1022.26416
130,1.559656253e+18,1022.259033
131,1.55965625308e+18,1022.260742
132,1.55965625316e+18,1022.258545
133,1.55965625325e+18,1022.260498
134,1.55965625333e+18,1022.268066
135,1.55965625342e+18,1022.266602
136,1.55965625351e+18,1022.274902
137,1.5596562536e+18,1022.289062
138,1.5596562537e+18,1022.294922
139,1.55965625379e+18,1022.29834
140,1.55965625388e+18,1022.304199
141,1.55965625397e+18,1022.319092
142,1.55965625407e+18,1022.314941
143,1.55965625416e+18,1022.313721
144,1.55965625426e+18,1022.311035
145,1.55965625435e+18,1022.318115
146,1.55965625445e+18,1022.31543
147,1.55965625454e+18,1022.300293
148,1.55965625464e+18,1022.302246
149,1.55965625473e+18,1022.314209
150,1.55965625483e+18,1022.320312
151,1.55965625493e+18,1022.323975
152,1.55965625502e+18,1022.327393
153,1.55965625512e+18,1022.314941
154,1.55965625521e+18,1022.317139
155,1.55965625531e+18,1022.320068
156,1.55965625541e+18,1022.310303
157,1.55965625551e+18,1022.313721
158,1.55965625561e+18,1022.313965
159,1.55965625571e+18,1022.327881
160,1.5596562561e+18,1022.321045
161,1.5596562562e+18,1022.322266
162,1.5596562563e+18,1022.319336
163,1.5596562564e+18,1022.310303
164,1.5596562565e+18,1022.301758
165,1.5596562566e+18,1022.312744
166,1.5596562567e+18,1022.313477
167,1.5596562568e+18,1022.322754
168,1.5596562569e+18,1022.322266
169,1.559656257e+18,1022.311768
170,1.5596562571e+18,1022.319336
171,1.5596562572e+18,1022.341309
172,1.5596562573e+18,1022.349854
173,1.5596562574e+18,1022.344971
174,1.5596562575e+18,1022.329834
175,1.5596562576e+18,1022.32251
176,1.5596562577e+18,1022.311768
177,1.5596562578e+18,1022.315918
178,1.5596562579e+18,1022.323486
179,1.559656258e+18,1022.328613
180,1.5596562581e+18,1022.32666
181,1.5596562582e+18,1022.307617
182,1.5596562583e+18,1022.30542
183,1.5596562584e+18,1022.28833
184,1.5596562585e+18,1022.301514
185,1.5596562586e+18,1022.383789
186,1.5596562587e+18,1022.393799
187,1.5596562588e+18,1022.373535
188,1.5596562589e+18,1022.309082
189,1.559656259e+18,1022.258301
190,1.5596562591e+18,1022.269775
191,1.5596562592e+18,1022.26709
192,1.5596562593e+18,1022.273926
193,1.5596562594e+18,1022.322998
194,1.5596562595e+18,1022.388184
195,1.5596562596e+18,1022.390625
196,1.5596562597e+18,1022.375732
197,1.5596562598e+18,1022.360107
198,1.5596562599e+18,1022.343506
199,1.55965626e+18,1022.323486
200,1.5596562601e+18,1022.317871
201,1.5596562602e+18,1022.280273
202,1.5596562603e+18,1022.292725
203,1.5596562604e+18,1022.343262
204,1.5596562605e+18,1022.385986
205,1.5596562606e+18,1022.385498
206,1.5596562607e+18,1022.444092
207,1.5596562608e+18,1022.376953
208,1.5596562609e+18,1022.348145
209,1.559656261e+18,1022.35791
210,1.5596562611e+18,1022.364746
211,1.5596562612e+18,1022.369141
212,1.5596562613e+18,1022.39624
213,1.5596562614e+18,1022.427002
214,1.5596562615e+18,1022.42334
215,1.5596562616e+18,1022.425049
216,1.5596562617e+18,1022.427979
217,1.5596562618e+18,1022.424805
218,1.5596562619e+18,1022.38501
219,1.559656262e+18,1022.33667
220,1.5596562621e+18,1022.351318
221,1.5596562622e+18,1022.328857
222,1.5596562623e+18,1022.354004
223,1.5596562624e+18,1022.377686
224,1.5596562625e+18,1022.400146
225,1.5596562626e+18,1022.335449
226,1.5596562627e+18,1022.306152
227,1.5596562628e+18,1022.292236
228,1.5596562629e+18,1022.323242
229,1.559656263e+18,1022.362793
230,1.5596562631e+18,1022.384277
231,1.5596562632e+18,1022.408691
232,1.5596562633e+18,1022.409912
233,1.5596562634e+18,1022.407715
234,1.5596562635e+18,1022.406006
235,1.5596562636e+18,1022.398193
236,1.5596562637e+18,1022.390869
237,1.5596562638e+18,1022.393555
238,1.5596562639e+18,1022.382568
239,1.559656264e+18,1022.397949
240,1.5596562641e+18,1022.365234
241,1.5596562642e+18,1022.362305
242,1.5596562643e+18,1022.352051
243,1.5596562644e+18,1022.361084
244,1.5596562645e+18,1022.387207
245,1.5596562646e+18,1022.436279
246,1.5596562647e+18,1022.393311
247,1.5596562648e+18,1022.340576
248,1.5596562649e+18,1022.337891
249,1.559656265e+18,1022.344482
250,1.5596562651e+18,1022.363037
251,1.5596562652e+18,1022.378906
252,1.5596562653e+18,1022.391602
253,1.5596562654e+18,1022.392822
254,1.5596562655e+18,1022.370117
255,1.5596562656e+18,1022.37085
256,1.5596562657e+18,1022.359863
257,1.5596562658e+18,1022.218262
258,1.5596562659e+18,1022.223389
259,1.559656266e+18,1022.315186
260,1.5596562661e+18,1022.346436
261,1.5596562662e+18,1022.380371
262,1.5596562663e+18,1022.366455
263,1.5596562664e+18,1022.292236
264,1.5596562665e+18,1022.273193
265,1.5596562666e+18,1022.279785
266,1.5596562667e+18,1022.295898
267,1.5596562668e+18,1022.309326
268,1.5596562669e+18,1022.330078
269,1.559656267e+18,1022.337891
270,1.5596562671e+18,1022.345703
271,1.5596562672e+18,1022.352539
272,1.5596562673e+18,1022.358887
273,1.5596562674e+18,1022.342529
274,1.5596562675e+18,1022.230225
275,1.5596562676e+18,1022.158936
276,1.5596562677e+18,1022.151123
277,1.5596562678e+18,1022.20459
278,1.5596562679e+18,1022.295654
279,1.559656268e+18,1022.334473
280,1.5596562681e+18,1022.303711
281,1.5596562682e+18,1022.262207
282,1.5596562683e+18,1022.268066
283,1.5596562684e+18,1022.296387
284,1.5596562685e+18,1022.322998
285,1.5596562686e+18,1022.350342
286,1.5596562687e+18,1022.358398
