,Time (s),Pressure (hPa)
0,1.5596565541e+18,1022.191162
1,1.5596565542e+18,1022.19751
2,1.5596565543e+18,1022.19751
3,1.5596565544e+18,1022.201172
4,1.5596565545e+18,1022.204346
5,1.5596565546e+18,1022.204346
6,1.5596565547e+18,1022.190674
7,1.5596565548e+18,1022.202637
8,1.5596565549e+18,1022.202637
9,1.559656555e+18,1022.26709
10,1.5596565551e+18,1022.28125
11,1.5596565552e+18,1022.28125
12,1.5596565553e+18,1022.231201
13,1.5596565554e+18,1022.203125
14,1.5596565555e+18,1022.203125
15,1.5596565556e+18,1022.098877
16,1.5596565557e+18,1022.116699
17,1.5596565558e+18,1022.116699
18,1.5596565559e+18,1022.177979
19,1.559656556e+18,1022.199707
20,1.5596565561e+18,1022.199707
21,1.5596565562e+18,1022.117676
22,1.5596565563e+18,1022.125244
23,1.5596565564e+18,1022.125244
24,1.5596565565e+18,1022.135742
25,1.5596565566e+18,1022.170898
26,1.5596565567e+18,1022.170898
27,1.5596565568e+18,1022.185303
28,1.5596565569e+18,1022.192627
29,1.559656557e+18,1022.192627
30,1.5596565571e+18,1022.205811
31,1.5596565572e+18,1022.22583
32,1.5596565573e+18,1022.22583
33,1.5596565574e+18,1022.243164
34,1.5596565575e+18,1022.240967
35,1.5596565576e+18,1022.240967
36,1.5596565577e+18,1022.289062
37,1.5596565578e+18,1022.274414
38,1.5596565579e+18,1022.274414
39,1.559656558e+18,1022.25
40,1.5596565581e+18,1022.223389
41,1.5596565582e+18,1022.223389
42,1.5596565583e+18,1022.203369
43,1.5596565584e+18,1022.217529
44,1.5596565585e+18,1022.217529
45,1.5596565586e+18,1022.169678
46,1.5596565587e+18,1022.171387
47,1.5596565588e+18,1022.171387
48,1.5596565589e+18,1022.14209
49,1.559656559e+18,1022.144043
50,1.5596565591e+18,1022.144043
51,1.5596565592e+18,1022.244141
52,1.5596565593e+18,1022.214844
53,1.5596565594e+18,1022.214844
54,1.5596565595e+18,1022.196533
55,1.5596565596e+18,1022.220947
56,1.5596565597e+18,1022.220947
57,1.5596565598e+18,1022.200439
58,1.5596565599e+18,1022.212646
59,1.55965656e+18,1022.212646
60,1.5596565601e+18,1022.230713
61,1.5596565602e+18,1022.244873
62,1.5596565603e+18,1022.244873
63,1.5596565604e+18,1022.233154
64,1.5596565605e+18,1022.239746
65,1.5596565606e+18,1022.239746
66,1.5596565607e+18,1022.224609
67,1.5596565608e+18,1022.240234
68,1.5596565609e+18,1022.240234
69,1.559656561e+18,1022.241699
70,1.5596565611e+18,1022.222412
71,1.5596565612e+18,1022.222412
72,1.5596565613e+18,1022.154053
73,1.5596565614e+18,1022.095459
74,1.5596565615e+18,1022.095459
75,1.5596565616e+18,1022.182129
76,1.5596565617e+18,1022.176514
77,1.5596565618e+18,1022.176514
78,1.5596565619e+18,1022.159912
79,1.559656562e+18,1022.141357
80,1.5596565621e+18,1022.141357
81,1.5596565622e+18,1022.162598
82,1.5596565623e+18,1022.170654
83,1.5596565624e+18,1022.170654
84,1.5596565625e+18,1022.172119
85,1.5596565626e+18,1022.196777
86,1.5596565627e+18,1022.196777
87,1.5596565628e+18,1022.216797
88,1.5596565629e+18,1022.222168
89,1.559656563e+18,1022.222168
90,1.5596565631e+18,1022.219971
91,1.5596565632e+18,1022.225586
92,1.5596565633e+18,1022.225586
93,1.5596565634e+18,1022.249023
94,1.5596565635e+18,1022.250488
95,1.5596565636e+18,1022.250488
96,1.5596565637e+18,1022.240723
97,1.5596565638e+18,1022.235107
98,1.5596565639e+18,1022.235107
99,1.559656564e+18,1022.234131
100,1.5596565641e+18,1022.22876
101,1.5596565642e+18,1022.22876
102,1.5596565643e+18,1022.197754
103,1.5596565644e+18,1022.206299
104,1.5596565645e+18,1022.206299
105,1.5596565646e+18,1022.21167
106,1.5596565647e+18,1022.215332
107,1.5596565648e+18,1022.215332
108,1.5596565649e+18,1022.226318
109,1.559656565e+18,1022.241699
110,1.5596565651e+18,1022.241699
111,1.5596565652e+18,1022.234131
112,1.5596565653e+18,1022.222656
113,1.5596565654e+18,1022.222656
114,1.5596565655e+18,1022.212158
115,1.5596565656e+18,1022.210938
116,1.5596565657e+18,1022.210938
117,1.5596565658e+18,1022.218506
118,1.5596565659e+18,1022.217773
119,1.559656566e+18,1022.217773
120,1.5596565661e+18,1022.20874
121,1.5596565662e+18,1022.178467
122,1.5596565663e+18,1022.178467
123,1.5596565664e+18,1022.108398
124,1.5596565665e+18,1022.158447
125,1.5596565666e+18,1022.158447
126,1.5596565667e+18,1022.182617
127,1.5596565668e+18,1022.233398
128,1.5596565669e+18,1022.233398
129,1.559656567e+18,1022.123047
130,1.5596565671e+18,1022.123047
131,1.5596565672e+18,1022.123047
132,1.5596565673e+18,1022.163574
133,1.5596565674e+18,1022.21167
134,1.5596565675e+18,1022.21167
135,1.5596565676e+18,1022.208252
136,1.5596565677e+18,1022.20752
137,1.5596565678e+18,1022.20752
138,1.5596565679e+18,1022.20752
139,1.559656568e+18,1022.215576
140,1.5596565681e+18,1022.215576
141,1.5596565682e+18,1022.221924
142,1.5596565683e+18,1022.222412
143,1.5596565684e+18,1022.222412
144,1.5596565685e+18,1022.220703
145,1.5596565686e+18,1022.221924
146,1.5596565687e+18,1022.221924
147,1.5596565688e+18,1022.249756
148,1.5596565689e+18,1022.144531
149,1.559656569e+18,1022.144531
150,1.5596565691e+18,1022.126221
151,1.5596565692e+18,1022.143799
152,1.5596565693e+18,1022.143799
153,1.5596565694e+18,1022.156494
154,1.5596565695e+18,1022.144531
155,1.5596565696e+18,1022.144531
156,1.5596565697e+18,1022.163574
157,1.5596565698e+18,1022.192383
158,1.5596565699e+18,1022.192383
159,1.55965657e+18,1022.197754
160,1.5596565701e+18,1022.209229
161,1.5596565702e+18,1022.209229
162,1.5596565703e+18,1022.203613
163,1.5596565704e+18,1022.219482
164,1.5596565705e+18,1022.219482
165,1.5596565706e+18,1022.231445
166,1.5596565707e+18,1022.244873
167,1.5596565708e+18,1022.244873
168,1.5596565709e+18,1022.239746
169,1.559656571e+18,1022.225342
170,1.5596565711e+18,1022.225342
171,1.5596565712e+18,1022.222412
172,1.5596565713e+18,1022.2229
173,1.5596565714e+18,1022.2229
174,1.5596565715e+18,1022.228027
175,1.5596565716e+18,1022.237061
176,1.5596565717e+18,1022.237061
177,1.5596565718e+18,1022.25415
178,1.5596565719e+18,1022.304932
179,1.559656572e+18,1022.304932
180,1.5596565721e+18,1022.316162
181,1.5596565722e+18,1022.296875
182,1.5596565723e+18,1022.296875
183,1.5596565724e+18,1022.287842
184,1.5596565725e+18,1022.255371
185,1.5596565726e+18,1022.255371
186,1.5596565727e+18,1022.241455
187,1.5596565728e+18,1022.232666
188,1.5596565729e+18,1022.232666
189,1.559656573e+18,1022.223877
190,1.5596565731e+18,1022.217529
191,1.5596565732e+18,1022.217529
192,1.5596565733e+18,1022.210449
193,1.5596565734e+18,1022.270996
194,1.5596565735e+18,1022.270996
195,1.5596565736e+18,1022.24707
196,1.5596565737e+18,1022.200684
197,1.5596565738e+18,1022.200684
198,1.5596565739e+18,1022.19165
199,1.559656574e+18,1022.20874
200,1.5596565741e+18,1022.20874
201,1.5596565742e+18,1022.240479
202,1.5596565743e+18,1022.254639
203,1.5596565744e+18,1022.254639
204,1.5596565745e+18,1022.217529
205,1.5596565746e+18,1022.186768
206,1.5596565747e+18,1022.186768
207,1.5596565748e+18,1022.164551
208,1.5596565749e+18,1022.174561
209,1.559656575e+18,1022.174561
210,1.5596565751e+18,1022.226562
211,1.5596565752e+18,1022.227539
212,1.5596565753e+18,1022.227539
213,1.5596565754e+18,1022.226807
214,1.5596565755e+18,1022.224854
215,1.5596565756e+18,1022.224854
216,1.5596565757e+18,1022.227295
217,1.5596565758e+18,1022.219238
