,Heart Rate,Time
0,95,00:00:11
1,107,00:00:16
2,107,00:00:31
3,107,00:00:41
4,105,00:00:51
5,104,00:01:01
6,104,00:01:16
7,104,00:01:31
8,104,00:01:36
9,105,00:01:41
10,104,00:01:56
11,105,00:02:01
12,105,00:02:16
13,105,00:02:21
14,105,00:02:36
15,105,00:02:51
16,105,00:03:06
17,104,00:03:11
18,102,00:03:16
19,100,00:03:23
20,98,00:03:33
21,98,00:03:48
22,98,00:03:53
23,98,00:04:08
24,98,00:04:23
25,98,00:04:38
26,99,00:04:43
27,100,00:04:48
28,101,00:04:53
29,100,00:04:58
30,100,00:05:03
31,99,00:05:13
32,99,00:05:28
33,97,00:05:33
34,97,00:05:43
35,98,00:05:48
36,102,00:05:53
37,114,00:06:03
38,113,00:06:18
39,112,00:06:28
40,110,00:06:33
41,110,00:06:38
42,108,00:06:48
43,106,00:07:03
44,101,00:07:08
45,101,00:07:15
46,100,00:07:20
47,101,00:07:35
48,101,00:07:45
49,100,00:07:50
50,99,00:08:00
51,99,00:08:15
52,95,00:08:30
53,84,00:08:40
54,83,00:08:45
55,84,00:08:50
56,84,00:09:05
57,84,00:09:15
58,83,00:09:25
59,84,00:09:35
60,79,00:09:40
61,73,00:09:45
62,72,00:09:50
63,73,00:09:55
64,77,00:10:00
65,70,00:10:05
66,68,00:10:15
67,69,00:10:20
68,69,00:10:35
69,70,00:10:45
70,68,00:10:55
71,67,00:11:02
72,66,00:11:17
73,64,00:11:22
74,64,00:11:27
75,65,00:11:37
76,65,00:11:42
77,66,00:11:52
78,65,00:11:57
79,63,00:12:02
80,62,00:12:07
81,64,00:12:12
82,65,00:12:17
83,66,00:12:27
84,66,00:12:32
85,67,00:12:37
86,68,00:12:42
87,71,00:12:47
88,69,00:12:57
89,68,00:13:02
90,68,00:13:17
91,69,00:13:32
92,70,00:13:37
93,70,00:13:52
94,70,00:14:07
95,70,00:14:22
96,77,00:14:32
97,74,00:14:37
98,72,00:14:44
99,72,00:14:49
100,71,00:14:54
101,70,00:14:59
102,72,00:15:09
103,70,00:15:14
