,Time (s),Heart Rate
0,2019-06-04 13:00:15,103
1,2019-06-04 13:00:20,104
2,2019-06-04 13:00:30,105
3,2019-06-04 13:00:35,101
4,2019-06-04 13:00:40,105
5,2019-06-04 13:00:45,106
6,2019-06-04 13:00:50,102
7,2019-06-04 13:00:55,103
8,2019-06-04 13:01:05,103
9,2019-06-04 13:01:15,104
10,2019-06-04 13:01:20,108
11,2019-06-04 13:01:30,111
12,2019-06-04 13:01:35,113
13,2019-06-04 13:01:42,115
14,2019-06-04 13:01:57,116
15,2019-06-04 13:02:02,116
16,2019-06-04 13:02:07,115
17,2019-06-04 13:02:22,107
18,2019-06-04 13:02:27,109
19,2019-06-04 13:02:37,113
20,2019-06-04 13:02:42,115
21,2019-06-04 13:02:47,118
22,2019-06-04 13:02:52,121
23,2019-06-04 13:02:57,122
24,2019-06-04 13:03:12,122
25,2019-06-04 13:03:27,122
26,2019-06-04 13:03:42,122
27,2019-06-04 13:03:47,123
28,2019-06-04 13:04:02,122
29,2019-06-04 13:04:07,123
30,2019-06-04 13:04:12,123
31,2019-06-04 13:04:17,122
32,2019-06-04 13:04:22,122
33,2019-06-04 13:04:37,122
34,2019-06-04 13:04:52,122
35,2019-06-04 13:04:57,122
36,2019-06-04 13:05:12,122
37,2019-06-04 13:05:27,106
38,2019-06-04 13:05:32,107
39,2019-06-04 13:05:37,106
40,2019-06-04 13:05:42,105
41,2019-06-04 13:05:52,102
42,2019-06-04 13:05:57,101
43,2019-06-04 13:06:02,102
44,2019-06-04 13:06:07,104
45,2019-06-04 13:06:12,101
46,2019-06-04 13:06:17,100
47,2019-06-04 13:06:23,94
48,2019-06-04 13:06:28,86
49,2019-06-04 13:06:33,88
50,2019-06-04 13:06:38,87
51,2019-06-04 13:06:43,84
52,2019-06-04 13:06:48,82
53,2019-06-04 13:06:53,81
54,2019-06-04 13:06:58,77
55,2019-06-04 13:07:03,76
56,2019-06-04 13:07:13,75
57,2019-06-04 13:07:18,74
58,2019-06-04 13:07:23,73
59,2019-06-04 13:07:28,74
60,2019-06-04 13:07:33,73
61,2019-06-04 13:07:38,71
62,2019-06-04 13:07:43,69
63,2019-06-04 13:07:58,68
64,2019-06-04 13:08:03,67
65,2019-06-04 13:08:08,68
66,2019-06-04 13:08:13,67
67,2019-06-04 13:08:18,66
68,2019-06-04 13:08:28,67
69,2019-06-04 13:08:33,70
70,2019-06-04 13:08:38,73
71,2019-06-04 13:08:43,77
72,2019-06-04 13:08:48,79
73,2019-06-04 13:08:53,76
74,2019-06-04 13:09:00,73
75,2019-06-04 13:09:10,72
76,2019-06-04 13:09:25,72
77,2019-06-04 13:09:30,71
78,2019-06-04 13:09:35,70
79,2019-06-04 13:09:50,69
80,2019-06-04 13:09:55,67
81,2019-06-04 13:10:00,64
82,2019-06-04 13:10:05,63
83,2019-06-04 13:10:10,64
84,2019-06-04 13:10:15,65
85,2019-06-04 13:10:30,99
86,2019-06-04 13:10:35,100
