,acc_X (m/s^2),acc_Y (m/s^2),acc_Z (m/s^2),bar_X (hPa),gyr_X (rad/s),gyr_Y (rad/s),gyr_Z (rad/s),mag_X (muT),mag_Y (muT),mag_Z (muT),loc_Latitude (degree),loc_Longitude (degree),loc_Height (m),loc_Velocity (m/s),loc_Direction (degree),loc_Horizontal Accuracy (m),loc_Vertical Accuracy (degree),labelNothing,labelWalking,labelClimbingstairs,labelBiking,labelTrain
2019-06-04 13:00:00.000,-0.092357940669999999,-0.14504837039999999,9.8900834660000001,1010.122986,0.00070517812865,0.0005386509001,-3.68966721e-05,-31.89355469,-1.241241455,-24.812164305,52.33609413,4.867657035,-3.021416187,-1.0,-1.0,1414.0,1414.0,1,0,0,0,0
2019-06-04 13:00:00.250,-0.06481521606,-0.032183074950000001,9.8541581730000001,,,,,,,,52.33454952,4.867502798,-3.09953022,-1.0,-1.0,65.0,65.0,1,0,0,0,0
2019-06-04 13:00:00.500,,,,,0.0009859739803,-0.000680196099,0.0006370265037,-31.99943542,-1.259109497,-24.8480835,,,,,,,,1,0,0,0,0
2019-06-04 13:00:00.750,-0.063767395020000006,-0.04236190796,9.854906616000001,,0.001517329365,-0.001302857883,0.0008080294356,-31.72076416,-1.236022949,-25.02355957,,,,,,,,1,0,0,0,0
2019-06-04 13:00:01.000,-0.070503387449999996,-0.058528289789999993,9.8580500789999999,1010.122757,-0.0009175417947,0.0017622718585,-0.001308691688,-32.14692688,-1.215637207,-24.929351805,,,,,,,,1,0,0,0,0
2019-06-04 13:00:01.250,,,,,,,,,,,,,,,,,,1,0,0,0,0
2019-06-04 13:00:01.500,-0.082927551269999997,-0.065114593509999999,9.8408358759999999,,-0.0005305400118,0.001337728463,0.0005213664845,-32.04135132,-1.445251465,-24.75811768,,,,,,,,1,0,0,0,0
2019-06-04 13:00:01.750,,,,,0.001143839676,-9.692832828e-05,9.864009917e-05,-32.08280945,-1.3359375,-24.87207031,,,,,,,,1,0,0,0,0
2019-06-04 13:00:02.000,-0.086220703120000006,-0.044158172609999997,9.8415843200000008,1010.122528,0.00101380539115,-0.0016483021899,0.00058845896275,-32.18084717,-1.184196472,-24.886444095,,,,,,,,1,0,0,0,0
2019-06-04 13:00:02.250,-0.050744476320000002,-0.04984634399,9.8332017520000008,,,,,,,,,,,,,,,1,0,0,0,0
2019-06-04 13:00:02.500,,,,,0.003168288153,-0.001436851919,-0.0004617283121,-32.08888245,-1.324829102,-25.0447998,,,,,,,,1,0,0,0,0
2019-06-04 13:00:02.750,-0.056133270260000007,-0.034578094480000002,9.8854431149999993,,0.00016576610505,0.00033960770815,-0.00049373228105,-32.14572144,-1.5541763305,-24.721221925,,,,,,,,1,0,0,0,0
2019-06-04 13:00:03.000,-0.063468017579999994,-0.042511596680000006,9.849218445,1010.120316,0.001486509573,0.0007962407544,-0.0001783082262,-31.93736267,-1.249221802,-24.70849609,,,,,,,,1,0,0,0,0
2019-06-04 13:00:03.250,,,,,-0.001186426729,0.0009610429406,-0.0002507632598,-32.22198486,-1.599411011,-24.83093262,,,,,,,,1,0,0,0,0
2019-06-04 13:00:03.500,-0.052540740969999999,-0.061372375489999999,9.8504159550000008,,0.002065622248,0.002613512799,-0.0005403924733,-32.14213562,-1.619415283,-24.97473145,,,,,,,,1,0,0,0,0
2019-06-04 13:00:03.750,,,,,0.001261821948,-0.0002538161352,0.0008849333972,-32.26211548,-1.236114502,-24.72338867,,,,,,,,1,0,0,0,0
2019-06-04 13:00:04.000,-0.070204010009999998,-0.055235137939999998,9.8433805850000002,1010.118408,4.441663623e-05,-0.0008152825758,0.001390158199,-32.16085815,-1.496414185,-25.01550293,,,,,,,,1,0,0,0,0
2019-06-04 13:00:04.250,-0.081131286620000007,-0.045505371090000003,9.8614929199999999,,0.000649753958,-0.0004945686087,0.000262289308,-31.97592163,-1.167160034,-25.00854492,,,,,,,,1,0,0,0,0
2019-06-04 13:00:04.500,,,,,0.0001445109956,0.0005253730342,0.0005037607625,-31.7539978,-1.253585815,-25.01141357,,,,,,,,1,0,0,0,0
2019-06-04 13:00:04.750,-0.063917083740000005,-0.041613464360000005,9.865684203999999,,-0.001994536258,-0.0004763398319,0.0006315950304,-32.12733459,-1.183227539,-24.99731445,,,,,,,,1,0,0,0,0
2019-06-04 13:00:05.000,-0.072000274660000002,-0.044307861330000003,9.846973113999999,1010.120316,-0.0002902820706,-0.0001731319353,-0.0007143560797,-32.08303833,-1.160629272,-24.81634521,,,,,,,,1,0,0,0,0
2019-06-04 13:00:05.250,,,,,2.303579822e-05,0.0003820741549,-0.0001956196502,-31.81390381,-1.505599976,-25.06262207,,,,,,,,1,0,0,0,0
2019-06-04 13:00:05.500,-0.071850585939999989,-0.047002258300000002,9.8481706239999998,,-0.0001917514019,0.001757055521,-0.00084619876,-31.74009705,-1.492767334,-25.20678711,,,,,,,,1,0,0,0,0
2019-06-04 13:00:05.750,,,,,0.0003533838317,-0.000872428529,0.0003147590905,-32.05178833,-1.460998535,-24.82385254,,,,,,,,1,0,0,0,0
2019-06-04 13:00:06.000,-0.077538757320000012,-0.045505371090000003,9.8408358759999999,1010.117569,-0.0009816638194,-4.869140685e-05,0.001094526611,-31.95332336,-1.043807983,-24.82299805,,,,,,,,1,0,0,0,0
2019-06-04 13:00:06.250,-0.095202026369999998,-0.062719573970000012,9.8689773560000003,,-0.00141875213,-0.0004050051793,0.0004357341677,-31.94029236,-1.370941162,-24.84783936,,,,,,,,1,0,0,0,0
2019-06-04 13:00:06.500,,,,,0.0006425399333,0.0002369005233,0.0006650071591,-31.85746765,-1.363876343,-24.88049316,,,,,,,,1,0,0,0,0
2019-06-04 13:00:06.750,-0.067958679199999997,-0.057330780029999993,9.8405364990000006,,-0.0001684706658,-0.001274373382,0.001645584591,-31.95419312,-1.617218018,-24.68780518,52.33454222,4.867495544,-3.118359327,-1.0,-1.0,65.0,65.0,1,0,0,0,0
2019-06-04 13:00:07.000,-0.066162414550000007,-0.061671752929999997,9.8525115970000012,,-0.0003520944156,-0.0002619996667,0.0005791662261,-31.7713623,-1.453826904,-24.9854126,,,,,,,,1,0,0,0,0
2019-06-04 13:00:07.250,,,,1010.11322,0.001065349672,0.0005387840793,-0.0005842493847,-32.06610107,-1.214828491,-24.9206543,,,,,,,,1,0,0,0,0
2019-06-04 13:00:07.500,-0.07484436035,-0.061971130370000002,9.8650854490000004,,0.00214346312,-0.0002399152145,-0.001041671261,-31.92712402,-1.473297119,-24.84753418,,,,,,,,1,0,0,0,0
2019-06-04 13:00:07.750,,,,,-0.0007905382663,-0.001029567793,0.0001632459462,-32.10342407,-1.370223999,-24.61999512,,,,,,,,1,0,0,0,0
2019-06-04 13:00:08.000,-0.083077239989999996,-0.048499145510000001,9.8721208189999992,,0.0008710059337,-0.001205185428,0.0002045752481,-32.10095215,-1.235748291,-24.8269043,,,,,,,,1,0,0,0,0
2019-06-04 13:00:08.250,-0.076640625000000004,-0.049247589110000003,9.8599960329999998,1010.114136,0.0008207480423,-0.00147979334,0.0005935607478,-31.85523987,-1.187301636,-24.85931396,,,,,,,,1,0,0,0,0
2019-06-04 13:00:08.500,,,,,-0.0004271408543,-0.00101346802,0.001118343323,-32.01986694,-1.336166382,-25.17181396,,,,,,,,1,0,0,0,0
2019-06-04 13:00:08.750,-0.06810836792000001,-0.060773620610000009,9.8577507020000006,,0.001583880745,-0.002007861622,0.0001461850479,-32.08895874,-1.128540039,-24.92114258,,,,,,,,1,0,0,0,0
2019-06-04 13:00:09.000,-0.074544982910000002,-0.054037628170000004,9.850715332,,0.0006694542244,-0.0008882470429,-7.811561227e-05,-31.95236206,-1.4947052,-24.61474609,,,,,,,,1,0,0,0,0
2019-06-04 13:00:09.250,,,,1010.114136,-0.0001393738203,-0.0007729735225,-0.0002436898649,-31.92276001,-1.434936523,-24.95721436,,,,,,,,1,0,0,0,0
