,acc_phone_x,acc_phone_y,acc_phone_z,acc_watch_x,acc_watch_y,acc_watch_z,gyr_phone_x,gyr_phone_y,gyr_phone_z,gyr_watch_x,gyr_watch_y,gyr_watch_z,hr_watch_rate,labelOnTable,labelSitting,labelWashingHands,labelWalking,labelStanding,labelDriving,labelEating,labelRunning,light_phone_lux,mag_phone_x,mag_phone_y,mag_phone_z,mag_watch_x,mag_watch_y,mag_watch_z,press_phone_pressure
2016-02-08 18:28:25.656222395,-0.077327956989247312,0.12403391232423491,9.6210273779983453,9.55121763708,0.198822687017,1.51156623328,-0.00870283682078,0.0187242577123,0.00328798279712,0.00190559638214,0.00746118334275,-0.0168652722819,151.153846154,1,0,0,0,0,0,0,0,1099.07773852,-117.004639227,-114.88428262,29.5015530745,-6.37491103203,59.2601423488,-23.4327402135,1029.26526408
2016-02-08 18:29:25.656222395,-0.16203001984783327,0.16249942110486273,9.620688140919615,9.55076349639,0.197396300817,1.51200732326,-0.00839487179487,0.0188652605459,-0.0133669975186,0.00188799173786,0.00754483147122,-0.0168489343724,153.989795918,1,0,0,0,0,0,0,0,902.673684211,-64.5934995015,-131.305214357,-13.862781655,-6.40763765542,59.3264653641,-23.378330373,1029.25473684
2016-02-08 18:30:25.656222395,-0.19856451612903228,0.18147601323407775,9.6192851116625313,9.55031401465,0.198255588954,1.51085121172,-0.00861861042184,0.0191017369727,0.000488254755997,0.0018346796919,0.00755786210783,-0.0168111966936,153.111111111,1,0,0,0,0,0,0,0,338.63028169,-39.9410038225,-139.682502908,-36.9662822004,-6.40879042344,59.3408969091,-23.3823476863,1029.27223592
2016-02-08 18:31:25.656222395,-0.19619695716884406,0.18163808500082684,9.6176004630395244,9.55180342685,0.196875729618,1.51062144606,-0.00864698585959,0.0192790870752,0.000528735632184,0.00181547731124,0.00771728488044,-0.0168284692148,152.096774194,1,0,0,0,0,0,0,0,1084.38461538,-40.0264595448,-139.731875727,-37.192453896,-6.46095673584,59.3243053113,-23.4088990503,1029.26406993
2016-02-08 18:32:25.656222395,-0.22083019023986766,0.54709313482216704,9.3519074441687344,9.55095021256,0.198769107227,1.51272753897,-0.0100803143093,0.0224320099256,0.0143838709677,0.00176948512045,0.00765753424658,-0.0168344827586,161.621848739,1,0,0,0,0,0,0,0,647.355633803,-40.7382848596,-85.7294997507,-22.5423699518,-6.47672154364,59.3370508055,-23.3678527173,1029.23826408
2016-02-08 18:33:25.656222395,-0.13838828687236332,0.06519621143188023,9.6220737033666985,9.55175056754,0.197590711313,1.5138012675,-0.00862508272667,0.0189935473197,0.00104963600265,0.00167290957246,0.00776059402194,-0.0168972758229,160.24822695,1,0,0,0,0,0,0,0,755.968421053,-6.0833000997,-28.9055732802,-30.2405084746,-6.47762784091,59.3675426136,-23.322265625,1029.21684912
2016-02-08 18:34:25.656222395,-0.13801066909271359,0.065824745678603941,9.6260460673228039,9.55088194444,0.195915915916,1.5138666479,-0.00852386467036,0.0188629332451,0.000984614112003,0.00166788663664,0.00771584084084,-0.0168442192192,160.293478261,1,0,0,0,0,0,0,0,755.862676056,-6.32402193784,-28.4296293834,-30.1202991524,-6.4014159292,59.2598230088,-23.3745132743,1029.27693662
2016-02-08 18:35:25.656222395,-0.13871453387376956,0.065239556621722233,9.6242618082554383,9.55106358984,0.195345716452,1.51472611827,-0.00844337827777,0.0189491273058,0.000633716601869,0.00159761182714,0.00779795299469,-0.0168382297195,165.482142857,1,0,0,0,0,0,0,0,755.838028169,-6.07600930387,-28.0317727197,-30.1207476325,-6.40081835972,59.3538516278,-23.3257427504,1029.29489123
2016-02-08 18:36:25.656222395,-0.066142939862685074,0.21352039043758786,9.5907505997187528,9.55036251761,0.195820291217,1.51331319868,-0.00480739637627,0.0221715065773,0.0162532472905,0.00161732105955,0.00786220176592,-0.0168489573549,163.5078125,1,0,0,0,0,0,0,0,784.831578947,56.0360811035,-95.1730729599,-38.8067774639,-6.40519388118,59.3263963002,-23.3084311633,1029.31229825
2016-02-08 18:37:25.656222395,-0.169275682382134,0.17783879239040529,9.6173494623655902,9.55030761278,0.195752349624,1.51394633459,-0.00844578612191,0.0191403523282,0.00118509635266,0.0015260832785,0.00788335369866,-0.0168509258389,163.735849057,1,0,0,0,0,0,0,0,805.757042254,81.4839581256,-122.693559322,-42.6833998006,-6.44319600499,59.3224540753,-23.3062243624,1029.34238246
2016-02-08 18:38:25.656222395,-0.16918666225384743,0.17765455899387719,9.617431573721662,9.55079932133,0.196619191253,1.51543821284,-0.00848804500703,0.0192463804087,0.00118896334905,0.00148977283439,0.0079180884155,-0.0168386275804,149.623287671,1,0,0,0,0,0,0,0,805.778169014,81.635080605,-122.552148911,-42.6936646169,-6.42821562,59.3451343177,-23.3202277175,1029.31716549
2016-02-08 18:39:25.656222395,-0.40364695666556394,1.0187711710221634,9.2782145219980166,9.55090860977,0.195391739911,1.51581032039,-0.000652745616937,0.00578398941449,-0.00991101554747,0.0014940931859,0.00792344768925,-0.0168551176637,136.879032258,1,0,0,0,0,0,0,0,716.570422535,72.5217616753,-102.921768323,-29.8487086588,-6.40106477374,59.3130434783,-23.2896184561,1029.30547018
2016-02-08 18:40:25.656222395,-0.41761483134920635,1.1432299107142858,9.3335203373015894,1.7047666635,-4.89208110678,-1.03892374251,-0.00285135582011,0.0205115740741,-0.00447387566138,-0.0214883521917,-0.00624065798231,-0.0751632594846,136.161290323,0,0,0,0,0,0,0,0,861.49122807,53.3303473492,-39.7103972079,164.138381253,-17.8807355517,19.5683012259,-8.61926444834,1029.32860351
2016-02-08 18:41:25.656222395,6.8264155854888031,-0.73766573010495018,-2.3376133377406827,-1.66916918516,-3.88737987758,7.44085042081,-0.00583976530865,-0.0161648624081,0.0168546401124,0.00675841622035,-0.00127897857689,-0.0103762433053,108.438095238,0,1,0,0,0,0,0,0,40.750877193,-46.9349351944,-42.9676071785,51.6128414756,-11.9345940319,-3.49861207495,-24.580499653,1029.36578246
2016-02-08 18:42:25.656222395,8.3601858004793783,-1.9713323415158279,-4.868588561038103,0.213777917068,-2.34441465767,9.22158023144,-0.00831415819489,0.0204597900653,0.000726093065543,-0.0141128254581,0.0106790742527,-0.0193716489875,136.6,0,1,0,0,0,0,0,0,0.0,-76.807130984,-49.2931216755,45.9288630319,-22.7819037657,-8.77370990237,-17.0800209205,1029.38407394
2016-02-08 18:43:25.656222395,8.3411510791366901,-2.0559617133879105,-4.8691227156206072,0.399112982864,-3.47229015394,9.1259914803,-0.00825086819911,0.0204083016372,0.000650405159583,0.00481159841224,0.00865930874238,-0.0157547681286,117.0,0,1,0,0,0,0,0,0,0.0,-77.7850149551,-49.9224127617,46.9787238285,-18.3275132275,-47.6100529101,-60.2816578483,1029.35919649
2016-02-08 18:44:25.656222395,3.461786806646276,-0.63627155493097454,3.617946598330164,0.117032092798,-5.36975775737,3.46582774287,-0.0135165743573,0.058987269571,0.00770513350417,-0.0435508941518,0.0328205896568,-0.0796986950217,69.4594594595,0,1,0,0,0,0,0,0,577.363957597,-30.0660727938,-27.4398338042,65.450905767,3.28783642083,-4.09192590003,-6.28538972387,1029.31362105
2016-02-08 18:45:25.656222395,1.5331900628306878,0.13250992063492056,6.0753102678571427,-0.230166358235,-5.08517989676,-1.85826911464,0.00447614716825,-0.0233582472096,0.003253493179,0.0294908931528,0.0260272718418,-0.0107588389987,65.746031746,0,1,0,0,0,0,0,0,750.192307692,-22.7618344965,-6.74898305085,64.9171485543,11.1447829132,14.1285014006,6.75910364146,1029.29018596
2016-02-08 18:46:25.656222395,8.4229674353252335,-0.88415232663856524,-5.0748351103396976,-1.08788199181,-5.78505661664,7.17779847983,-0.00869796660605,0.0204809885932,0.000940899322202,0.00738091989866,0.0164103488599,-0.0274885987137,73.2156862745,0,1,0,0,0,0,0,0,0.0,-90.9767453457,-52.5013962766,38.5697972074,-21.7236842105,29.2458448753,6.21364265928,1029.32594718
