,acc_Acceleration x (m/s^2),acc_Acceleration y (m/s^2),acc_Acceleration z (m/s^2),press_Pressure (hPa),gyr_Gyroscope x (rad/s),gyr_Gyroscope y (rad/s),gyr_Gyroscope z (rad/s),mag_Magnetic field x (muT),mag_Magnetic field y (muT),mag_Magnetic field z (muT),linacc_Linear Acceleration x (m/s^2),linacc_Linear Acceleration y (m/s^2),linacc_Linear Acceleration z (m/s^2),hr_Heart Rate,labeldribbelRun,labeldribbelStil,labelpassing,labelthrowing,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7
2019-06-04 13:00:00.049999,-1.57974248231,-6.55552423763,3.4764869692,1021.6945314,-0.52239667031,-0.26605013158,0.44924434413,14.8533328377,1.03999996233,-31.0733333167,10.4898573025,-9.56226428328,-8.28777869589,103.0,1,0,0,0,-0.209481263043,0.135269231668,0.230576508917,-0.271830860021,0.0133668666742,0.209012573002,0.221671256049
2019-06-04 13:00:00.549999,-1.0541991292,-4.10019565216,4.64345642231,1021.6987792,1.27385256045,-0.568794955445,0.510391954029,23.2799993765,6.35999994406,-25.882499695,-6.363239199,-11.2782041828,1.53329959464,103.0,1,0,0,0,-0.313836596525,-0.0917754397345,0.0867329984828,0.0958845194472,0.26408597695,0.249162256889,-0.0566654319891
2019-06-04 13:00:01.049999,-4.2088691592,-5.25809347637,9.07563167156,1021.6671386,-0.141902367311,1.24837303734,0.5512384954,20.249999645,8.8274997925,-26.2724996813,1.99067898087,-12.9941440824,-3.46511948238,103.0,1,0,0,0,-0.325589783295,-0.00944965107741,0.201855618706,-0.227734519968,0.107711741167,0.207578063937,0.0191860356055
2019-06-04 13:00:01.549999,-1.4511699196,-7.64420115447,8.3821166637,1021.6559084,-1.19880774174,-0.78217019149,-0.380738256111,24.1133327478,-5.799999952,-26.3199994844,-1.34422585701,-8.51694260722,-0.913168589811,103.0,1,0,0,0,-0.33763853423,0.06563236236,0.208387806855,-0.122882701075,0.150448685126,0.0678307803534,0.152507317915
2019-06-04 13:00:02.049999,-5.46985389078,-1.63395955083,5.4331417018,1021.629541,2.12549373001,0.761309779344,0.773050452244,27.5924997338,6.50249980487,-21.0149996288,1.67099744116,-7.67906713425,3.68370795213,103.0,1,0,0,0,-0.406789220048,-0.0612493292141,0.129944175219,0.11554203563,0.0460251107112,0.285577998456,-0.2241434833
2019-06-04 13:00:02.549999,-5.2894318581,-7.16390957158,10.4677693735,1021.7143066,-2.22707723538,-0.04253456072,0.855408679673,25.57499957,-10.9799994698,-22.2674992075,1.75520277025,-6.13785302637,-4.2062085272,103.0,1,0,0,0,-0.392094592377,0.143025136073,0.205439747076,-0.194342151403,0.0855269414834,-0.0288344665222,0.246787836924
2019-06-04 13:00:03.049999,-5.79270850106,-8.4276079177,6.2576767438,1021.7654296,0.89206176408,-0.73336204886,3.22654314656,15.4533331396,-9.326666566,-27.5599992567,-1.85870525567,-4.21494449511,4.27426306397,103.0,1,0,0,0,-0.308721984944,-0.0204185907083,0.132315825879,0.187300761627,0.315784265244,0.0708094453441,-0.0642683612608
2019-06-04 13:00:03.549999,-2.27003848544,0.432033605111,2.42752856678,1021.7011718,-1.78601219921,0.874319864633,0.363363448078,-6.90749973113,0.6074999585,-32.9549994475,1.28225393588,-6.26004326327,-5.38241928762,103.0,1,0,0,0,-0.0955658280992,0.2108195884,0.222316683344,-0.211377928691,0.00500298800592,0.289886136087,0.119738245428
2019-06-04 13:00:04.049999,-4.16508042862,-9.80168233313,8.8391837602,1021.6776368,-0.0613155931,-0.75315407882,-0.11702772973,-11.2649998356,-5.89499993231,-33.5399992488,-0.930678963687,-0.895096108312,1.01636207094,103.0,1,0,0,0,-0.07743269606,0.0812386162007,0.328572883567,-0.0762380663851,0.167538690941,0.0999740137156,-0.00191270966251
2019-06-04 13:00:04.549999,-2.6614759329,-5.51569091128,3.76571539622,1021.6487794,0.70458725255,0.810844179219,0.01021548955,3.64666656722,7.88666639739,-34.8333324856,-1.55362704099,-6.4959322339,-3.62766324089,103.0,1,0,0,0,-0.171138346965,0.0014111521683,0.238353011652,-0.139719360513,0.112068669129,0.285473144626,0.00102695895246
