"Time (s)"	"X (m/s^2)"	"Y (m/s^2)"	"Z (m/s^2)"
0.000000000E0	-3.994144135E0	5.001848602E0	7.807913361E0
4.016410000E-1	-1.021176453E0	4.363575897E0	8.664581909E0
8.033145000E-1	-1.604663086E-1	4.034260712E0	9.045689392E0
1.204956500E0	3.308120728E-2	1.397643585E0	8.965156860E0
1.606628167E0	-1.524130554E0	3.314707031E0	8.626111908E0
2.008270167E0	4.860841827E0	-4.740791473E0	4.328848114E0
2.409973167E0	1.149309998E1	-3.573818207E0	5.616021423E0
2.811604750E0	1.106992996E1	-5.884263611E0	-1.340163116E0
3.213276750E0	1.229588058E1	-4.654720459E0	1.373394012E0
3.614920125E0	6.389612732E0	-4.396507416E0	-6.465055847E-1
4.016562125E0	7.676187286E0	-6.337071991E0	-3.411405945E-1
4.418203125E0	1.120569763E1	-6.638994141E0	5.887257385E-1
4.819787125E0	5.526357880E0	-9.639205170E0	-2.476749573E0
5.221429125E0	9.335187378E0	-5.753285980E0	1.374142456E-1
5.623047625E0	8.389603729E0	-6.718179474E0	-1.688488770E-1
6.024628625E0	5.347779236E0	1.725461884E0	4.759652252E0
6.426239625E0	4.608915710E0	4.018842773E0	1.074974579E1
6.827893375E0	2.821333008E0	2.066153412E0	6.029162292E0
7.229535375E0	3.583697662E0	3.811074829E0	1.000145187E1
7.631132667E0	6.752757568E0	-4.002227325E0	2.799777832E0
8.032774667E0	8.372389526E0	-6.859934692E0	5.480104065E-1
8.434507667E0	6.019432526E0	-6.974147186E0	-5.487588501E-1
8.836197292E0	8.132737885E0	-7.609575806E0	9.870474243E-1
9.237869292E0	9.185049591E0	-9.734107819E0	-7.116201782E-1
9.639459667E0	9.381441193E0	-1.159593613E1	-9.481283569E-1
1.004107167E1	6.975344696E0	-5.756130066E0	-3.604504395E-1
1.044268267E1	7.994575195E0	-1.145298340E1	1.694326630E0
1.084434487E1	6.630761261E0	-1.076815750E1	1.221459961E-1
1.124604787E1	1.034004776E1	-9.334588623E0	1.915267181E0
1.164768775E1	2.367476807E0	-8.884324951E0	-5.881269836E-1
1.204932875E1	8.201594696E0	-7.869734802E0	3.724255371E-1
1.245094075E1	9.320218506E0	-1.286095551E1	6.197113037E-1
1.285252825E1	4.811145172E0	-1.022852966E1	-1.698966980E-1
1.325410925E1	8.801696777E0	-9.850116577E0	6.719526672E-1
1.365572088E1	3.881129150E0	-7.426207123E0	-8.012837219E-1
1.405733287E1	1.005743546E1	-1.167407364E1	1.660047913E0
1.445894387E1	8.578361206E0	-5.103038177E0	6.231541443E-1
1.486049817E1	8.884175262E0	-9.020391998E0	-3.911366272E-1
1.526211017E1	5.458997955E0	-1.412013702E0	-6.518943787E-1
1.566372850E1	6.390660553E0	-5.106481018E0	7.554789734E-1
1.606533950E1	1.039767792E1	-1.072863968E1	1.215173035E0
1.646698150E1	4.684957581E0	-9.555828552E0	-1.927990723E0
1.686854400E1	5.431305542E0	-5.513933716E0	-7.351213074E-1
1.727012500E1	6.811136169E0	-9.170679474E0	-7.649093628E-2
1.767170788E1	4.732408905E0	-1.025322830E1	-3.800596619E-1
1.807328887E1	7.568561096E0	-8.753047943E0	-7.964936829E-1
1.847486987E1	5.325924683E0	-6.865622864E0	-1.191522217E-1
1.887640925E1	4.962929535E0	-7.574698334E0	-6.593788147E-1
1.927792925E1	7.671696625E0	-8.206534424E0	-9.833052063E-1
1.967941975E1	4.935237122E0	-1.249137405E1	6.191125488E-1
2.008097075E1	6.246360626E0	-6.958729248E0	-4.525090027E-1
2.048248975E1	6.504573669E0	-9.658515015E0	8.843609619E-1
2.088400138E1	7.869435425E0	-8.035440216E0	-8.970845032E-1
2.128552138E1	5.282365265E0	-6.102360077E0	3.875440979E-1
2.168700737E1	9.211095428E0	-6.396947479E0	-8.131091309E-1
2.208852737E1	3.125201111E0	-4.710554352E0	-1.425934753E0
2.249001637E1	4.906047821E0	-5.405708771E0	4.314028931E-1
2.289148950E1	8.639134827E0	-7.635771332E0	-1.790426788E0
2.329300950E1	5.885610809E0	-1.296918045E1	4.171824646E-1
2.369453612E1	7.502398682E0	-6.717131653E0	-9.059161377E-1
2.409602512E1	6.744824066E0	-8.456813965E0	5.325924683E-1
2.449751412E1	6.845115509E0	-9.185498657E0	-1.669029236E-1
2.489904829E1	9.517657928E0	-1.024843826E1	-2.281256104E-1
2.530053829E1	3.480262756E0	-8.089328156E0	-2.716850281E-1
2.570203842E1	7.177723846E0	-8.871451721E0	-4.300556946E-1
2.610352742E1	7.950417023E0	-9.046288147E0	-4.204756165E-1
2.650501642E1	2.487826538E0	-1.088805817E1	-2.285746765E-1
2.690649842E1	6.889573059E0	-6.715485077E0	-5.457650757E-1
2.730798742E1	5.951324158E0	-9.546248474E0	1.547332306E0
2.770951912E1	6.096222839E0	-1.031190628E1	4.378395081E-1
2.811103912E1	8.631500702E0	-9.456285553E0	-1.996847534E-1
2.851258912E1	3.452121277E0	-6.712940369E0	-1.544338531E0
2.891412075E1	5.183271332E0	-8.647966461E0	-5.313949585E-2
2.931564075E1	7.398814087E0	-6.251749420E0	7.514373779E-1
2.971715825E1	6.892866211E0	-1.153142029E1	-5.507048035E-1
3.011864725E1	6.260281677E0	-8.050858154E0	-1.975891113E0
3.052016725E1	7.588170319E0	-7.330556030E0	1.465452576E0
3.092167350E1	7.516020355E0	-8.288563843E0	4.471202087E-1
3.132319350E1	5.617667999E0	-9.400002594E0	2.465373230E-1
3.172474267E1	9.967472534E0	-7.625442810E0	-4.852908325E-1
3.212629267E1	2.559527435E0	-6.355034637E0	-7.932005310E-1
3.252781267E1	7.114255829E0	-7.908653870E0	-2.360591125E-1
3.292935417E1	8.082741852E0	-8.533454590E0	-3.692820740E-1
3.333090517E1	4.433480530E0	-1.296498917E1	2.424957275E-2
3.373240562E1	9.126670990E0	-8.088280334E0	-7.644602966E-1
3.413392562E1	5.558391266E0	-8.530760193E0	1.131946106E0
3.453547662E1	5.609734497E0	-8.676107941E0	-8.265811157E-1
3.493703162E1	7.808811493E0	-7.947572937E0	-9.042695618E-1
3.533855162E1	5.554349670E0	-5.098547516E0	-1.438658295E0
3.574007850E1	7.776778107E0	-9.520202637E0	5.508544922E-1
3.614162950E1	7.592211914E0	-6.179599457E0	5.255570984E-1
3.654317950E1	5.542524261E0	-8.216413879E0	9.370513916E-2
3.694470288E1	5.701343994E0	-1.015039215E1	1.074765015E-1
3.734625287E1	7.405400391E0	-6.421795807E0	1.127156067E0
3.774781663E1	6.629563751E0	-8.089477844E0	4.781057739E-1
3.814933662E1	6.431076508E0	-1.053374496E1	2.568808136E0
3.855085562E1	9.752369843E0	-1.004635849E1	2.526745605E-1
3.895244075E1	3.913910980E0	-8.168064423E0	2.948867798E-2
3.935399075E1	7.670050049E0	-9.342671814E0	-3.068618774E-2
3.975551267E1	7.563621368E0	-7.599247284E0	-6.285429382E-1
4.015703267E1	3.209924927E0	-1.190100174E1	-8.173004150E-2
4.055858267E1	1.019140686E1	-8.289461975E0	-1.611548767E0
4.096014650E1	6.418652344E0	-1.000968475E1	2.357447662E0
4.136175750E1	4.675377502E0	-8.174800415E0	4.956193542E-1
4.176330629E1	7.710615692E0	-7.956105194E0	-1.504820709E0
4.216485629E1	4.067491608E0	-1.088222031E1	4.559518433E-1
4.256640629E1	7.760012970E0	-4.828958130E0	-4.692741394E-1
4.296796425E1	7.642956390E0	-9.496252441E0	-7.785310364E-1
4.336948325E1	7.535779266E0	-3.275488586E0	-1.786834259E0
4.377104200E1	6.717431030E0	-8.570128326E0	-3.110531616E-1
4.417259200E1	9.652078400E0	-1.253508316E1	4.185296631E-1
4.457408100E1	2.990181885E0	-5.644312592E0	-1.290017395E0
4.497557525E1	6.006708984E0	-7.490273895E0	1.013392639E0
4.537706525E1	8.571325836E0	-7.889344025E0	-7.274871826E-1
4.577851200E1	3.622317352E0	-1.136601425E1	-4.779560852E-1
4.618000200E1	7.533234558E0	-8.168962555E0	-3.803590393E-1
4.658149100E1	7.089407501E0	-9.333540802E0	2.432441711E0
4.698297338E1	4.360432434E0	1.445244598E0	7.023694153E0
4.738446337E1	1.068328400E0	5.857619019E0	1.115959351E1
4.778596000E1	1.301244049E0	3.342399445E0	7.228019257E0
4.818744900E1	7.817194061E0	-8.659193115E0	8.780740356E-1
4.858891262E1	1.014500336E1	-6.486910400E0	6.463558960E-1
4.899037162E1	3.570375366E0	-9.475894775E0	-9.746232605E-1
4.939182962E1	7.784711609E0	-8.032596130E0	7.373666382E-1
4.979322925E1	7.819289703E0	-8.628506927E0	7.688012695E-1
5.019468825E1	6.385421448E0	-3.411855011E0	-8.961863708E-1
5.059616288E1	8.266260223E0	-8.024213562E0	6.174659729E-1
5.099765187E1	8.555907898E0	-1.132934052E1	-1.170565796E-1
5.139911087E1	3.437451782E0	-5.079237671E0	-1.723366241E0
5.180060925E1	7.394772491E0	-8.229287109E0	8.472381592E-2
5.220206825E1	9.832752686E0	-1.089494385E1	-8.177494812E-1
5.260352638E1	3.868555298E0	-6.555018768E0	-5.737568665E-1
5.300504638E1	6.940317535E0	-6.364914093E0	-1.968406677E-1
5.340656638E1	7.618108063E0	-9.837393036E0	1.944456482E-1
5.380805492E1	4.080364838E0	-1.148187332E1	4.041595459E-2
