"Time (s)"	"Latitude (°)"	"Longitude (°)"	"Height (m)"	"Velocity (m/s)"	"Direction (°)"	"Horizontal Accuracy (m)"	"Vertical Accuracy (°)"
0.000000000E0	5.233563734E1	4.868308902E0	-3.791450262E0	-1.000000000E0	-1.000000000E0	1.353777768E3	1.353777768E3
8.885244966E0	5.233562713E1	4.868449907E0	-3.790088654E0	-1.000000000E0	-1.000000000E0	1.650000000E2	1.650000000E2
1.056590605E1	5.233563516E1	4.868457181E0	-3.788723946E0	-1.000000000E0	-1.000000000E0	1.650000000E2	1.650000000E2
1.688895595E1	5.233497965E1	4.868553447E0	-3.779051781E0	-1.000000000E0	-1.000000000E0	6.500000000E1	6.500000000E1
2.637845397E1	5.233492825E1	4.868575941E0	-3.746962309E0	5.882409960E-1	-1.000000000E0	2.000000000E2	2.000000000E2
2.737906098E1	5.233492530E1	4.868526602E0	-3.713552952E0	5.684066277E-1	-1.000000000E0	2.000000000E2	2.000000000E2
3.338041902E1	5.233496942E1	4.868481783E0	-3.656510830E0	9.479617356E-1	-1.000000000E0	2.000000000E2	2.000000000E2
3.438199198E1	5.233497807E1	4.868422701E0	-3.602477789E0	1.145775698E0	-1.000000000E0	2.000000000E2	2.000000000E2
3.537972105E1	5.233499033E1	4.868343700E0	-3.557996988E0	1.290071299E0	-1.000000000E0	2.000000000E2	2.000000000E2
3.637713206E1	5.233499398E1	4.868268039E0	-3.494917393E0	1.857356714E0	1.289406418E0	2.000000000E2	2.000000000E2
3.737878096E1	5.233501143E1	4.868204533E0	-3.439440012E0	2.277389895E0	6.835059890E0	2.000000000E2	2.000000000E2
3.837824595E1	5.233502585E1	4.868139627E0	-3.384546757E0	1.946996426E0	5.005724293E0	2.000000000E2	2.000000000E2
4.782967401E1	5.233537604E1	4.867953196E0	-3.387845039E0	-1.000000000E0	-1.000000000E0	1.182405409E2	1.182405409E2
4.872625601E1	5.233588291E1	4.867492804E0	-3.292834282E0	-1.000000000E0	-1.000000000E0	6.614236119E1	6.614236119E1
4.900407004E1	5.233596218E1	4.867420757E0	-3.222695827E0	-1.000000000E0	-1.000000000E0	6.614235938E1	6.614235938E1
5.844893801E1	5.233610843E1	4.867411239E0	-3.207897425E0	1.638882672E0	-1.000000000E0	2.000000000E2	2.000000000E2
5.945065701E1	5.233611362E1	4.867404133E0	-3.193083286E0	1.609707716E0	-1.000000000E0	2.000000000E2	2.000000000E2
6.045114303E1	5.233611784E1	4.867396844E0	-3.178358078E0	1.580643007E0	-1.000000000E0	2.000000000E2	2.000000000E2
6.146526098E1	5.233612137E1	4.867388771E0	-3.163691044E0	1.551280554E0	-1.000000000E0	2.000000000E2	2.000000000E2
6.247395802E1	5.233612389E1	4.867378398E0	-3.149103403E0	1.522166577E0	-1.000000000E0	2.000000000E2	2.000000000E2
6.346831203E1	5.233612566E1	4.867365719E0	-3.134510994E0	1.493708323E0	-1.000000000E0	2.000000000E2	2.000000000E2
6.446479595E1	5.233612706E1	4.867350337E0	-3.119900465E0	1.465495692E0	-1.000000000E0	2.000000000E2	2.000000000E2
6.545595706E1	5.233612807E1	4.867332764E0	-3.105176926E0	1.437782153E0	-1.000000000E0	2.000000000E2	2.000000000E2
6.646818101E1	5.233612901E1	4.867313612E0	-3.090368509E0	1.409821863E0	-1.000000000E0	2.000000000E2	2.000000000E2
8.221372104E1	5.233600738E1	4.867805143E0	-3.097616434E0	-1.000000000E0	-1.000000000E0	1.458213929E2	1.458213929E2
8.325506806E1	5.233457554E1	4.867457288E0	-2.863666534E0	-1.000000000E0	-1.000000000E0	6.500000000E1	6.500000000E1
8.338466001E1	5.233451304E1	4.867442397E0	-2.802471638E0	-1.000000000E0	-1.000000000E0	6.500000000E1	6.500000000E1
8.978954399E1	5.233460653E1	4.867347011E0	-2.215615749E0	-1.000000000E0	-1.000000000E0	6.500000000E1	6.500000000E1
9.094536495E1	5.233466425E1	4.867255225E0	-2.148811102E0	-1.000000000E0	-1.000000000E0	6.500000000E1	6.500000000E1
9.735064995E1	5.233455416E1	4.867550819E0	-2.193695068E0	-1.000000000E0	-1.000000000E0	6.500000000E1	6.500000000E1
9.850542998E1	5.233471428E1	4.867517200E0	-2.159038544E0	-1.000000000E0	-1.000000000E0	6.500000000E1	6.500000000E1
1.048649980E2	5.233483562E1	4.867697045E0	-2.162008047E0	-1.000000000E0	-1.000000000E0	6.500000000E1	6.500000000E1
1.063837180E2	5.233485262E1	4.867580130E0	-2.204664469E0	-1.000000000E0	-1.000000000E0	6.500000000E1	6.500000000E1
1.154101890E2	5.233473841E1	4.867720845E0	-2.267807245E0	-1.000000000E0	-1.000000000E0	6.500000000E1	6.500000000E1
1.218192320E2	5.233450355E1	4.867377871E0	-2.359124184E0	-1.000000000E0	-1.000000000E0	6.500000000E1	6.500000000E1
1.229779160E2	5.233445555E1	4.867305747E0	-2.437077045E0	-1.000000000E0	-1.000000000E0	6.500000000E1	6.500000000E1
1.293920790E2	5.233436256E1	4.867243931E0	-2.665812016E0	-1.000000000E0	-1.000000000E0	6.500000000E1	6.500000000E1
1.306045370E2	5.233434075E1	4.867236284E0	-2.767500877E0	-1.000000000E0	-1.000000000E0	6.500000000E1	6.500000000E1
1.370062730E2	5.233433594E1	4.867180855E0	-2.769532442E0	-1.000000000E0	-1.000000000E0	6.753766234E1	6.753766234E1
1.378672160E2	5.233469781E1	4.867185012E0	-2.738080740E0	-1.000000000E0	-1.000000000E0	6.500000000E1	6.500000000E1
1.381991190E2	5.233476685E1	4.867185806E0	-2.711991072E0	-1.000000000E0	-1.000000000E0	6.500000000E1	6.500000000E1
1.446110040E2	5.233500800E1	4.867103404E0	-2.712631226E0	-1.000000000E0	-1.000000000E0	6.500000000E1	6.500000000E1
1.457677530E2	5.233525573E1	4.867063990E0	-2.713666201E0	-1.000000000E0	-1.000000000E0	6.500000000E1	6.500000000E1
1.564571260E2	5.233537630E1	4.866990085E0	-2.583811045E0	1.519133987E0	-1.000000000E0	2.000000000E2	2.000000000E2
1.574649500E2	5.233529647E1	4.867016159E0	-9.376684427E-1	1.440201803E0	-1.000000000E0	2.000000000E2	2.000000000E2
1.584674300E2	5.233520694E1	4.867055734E0	-4.455546737E-1	1.356141185E0	-1.000000000E0	2.000000000E2	2.000000000E2
1.594551010E2	5.233512329E1	4.867093795E0	-2.038285285E-1	1.278228283E0	-1.000000000E0	2.000000000E2	2.000000000E2
1.597869360E2	5.233525166E1	4.867870970E0	-1.249749780E0	-1.000000000E0	-1.000000000E0	7.008254103E1	7.008254103E1
1.609379420E2	5.233526718E1	4.868086887E0	-1.734564900E0	-1.000000000E0	-1.000000000E0	6.702208016E1	6.702208016E1
