"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
0.000000000E0,-5.617922544E-1,-3.156937361E-1,-1.110733226E-1
2.495953750E-1,-8.530846238E-2,-3.773186803E-1,-6.817714311E-3
4.991993750E-1,-1.431050539E0,-1.682486892E0,-3.355399668E-1
7.488323750E-1,-7.640442848E-1,-1.756104231E0,1.847576976E0
9.984363750E-1,-3.553083539E-1,-5.019994974E-1,8.187291622E-1
1.248056667E0,-1.203576569E-2,5.900100246E-2,1.082492471E0
1.497659667E0,-5.610235929E-1,8.002773523E-1,3.197650909E-1
1.747293667E0,4.221031368E-1,4.400481582E-1,1.928934604E-1
1.996896667E0,-5.943841934E-1,-1.129477262E0,1.384769320E0
2.251529042E0,-6.769630313E-1,1.008167505E0,-1.142698765E0
2.501163042E0,-1.277318895E-1,-8.356795311E-1,4.105330706E-1
2.750766042E0,4.901636541E-1,-1.291853748E-2,1.068113923E0
3.000369042E0,-2.046969682E-1,9.566501975E-1,-6.141111851E-1
3.249963375E0,-7.264000177E-1,1.050446868E0,-9.640762210E-1
3.499596375E0,-7.063286304E-1,3.960445225E-1,-8.590410352E-1
3.749200375E0,7.038181424E-1,-5.440570116E-1,1.422947496E-1
3.998803375E0,6.720124483E-1,3.893836737E-1,-3.534046412E-1
4.248442042E0,-7.979537249E-1,2.886750400E-1,-8.528765440E-1
4.498045042E0,-4.753075540E-1,-1.852041185E-1,3.735814095E-1
4.747648042E0,2.524476051E-1,-3.040829599E-1,4.941576421E-1
4.997282042E0,9.406576864E-4,4.478144348E-1,-1.385564923E0
5.246891750E0,4.182576537E-1,-1.182801500E-1,-4.107073247E-1
5.496495750E0,1.752111912E-1,-1.150672197E0,1.521399710E-2
5.746128750E0,3.685364127E-2,3.325868249E-1,1.313815475E0
5.995732750E0,-5.031980276E-1,2.077271231E-3,-1.052572846E0
6.245344250E0,4.903166592E-1,1.659940332E-1,-1.743688583E-1
6.494978250E0,-1.331178993E-1,7.272549719E-2,2.062278688E-1
6.744581250E0,-8.902269602E-2,4.558031857E-1,1.121046543E-1
6.994184250E0,2.898091674E-1,4.315062165E-1,-4.194160104E-1
7.243812375E0,3.529202342E-1,-3.392823935E-1,3.315064311E-1
7.493415375E0,-6.041383743E-1,1.387192309E-1,-1.050999314E-1
7.743019375E0,-1.346067339E-1,9.809476882E-2,-2.911986411E-1
7.992622375E0,-1.553811878E-1,7.064779103E-2,-8.011805266E-2
8.242280625E0,-1.836430728E-1,2.024113983E-1,3.431989253E-1
8.491883625E0,5.485358238E-1,-7.603543997E-1,-1.926924586E-1
8.741486625E0,2.513961494E-1,-3.418678343E-1,3.478405774E-1
8.991120625E0,1.454942580E-2,1.880725175E-1,1.340852529E-1
9.240709042E0,4.981332645E-2,4.667114019E-1,-7.541319132E-1
9.490312042E0,-2.581782639E-1,-3.744304180E-1,-2.932951450E-1
9.739916042E0,-6.815592945E-2,-5.130512714E-1,3.731885850E-1
9.989550042E0,2.597492933E-1,-6.325309873E-1,-1.151524484E-1
1.023916663E1,3.393840045E-2,3.167088330E-1,3.348261118E-1
1.048876963E1,2.385105789E-1,4.587633014E-1,9.114626050E-2
1.073837263E1,-1.471585929E-1,-2.815215886E-1,-1.631257683E-2
1.098800663E1,2.887774408E-1,8.839585632E-2,2.085638195E-1
1.123759825E1,-2.832410634E-1,3.611202240E-1,-6.559564471E-1
1.148720225E1,-3.426770866E-2,1.206077337E-1,2.188096642E-1
1.173680525E1,1.256106347E-1,-4.252153635E-2,-2.196760774E-1
1.198643925E1,3.363429010E-1,1.608959213E-2,3.175086975E-1
1.223605667E1,-1.133538038E-2,-1.666333973E-1,7.924882174E-1
1.248565967E1,7.566327453E-1,7.182744890E-2,6.270260215E-1
1.273526367E1,-6.995251775E-1,3.508800268E-1,-7.496919632E-1
1.298489667E1,6.909921020E-2,-9.128728509E-2,8.829853684E-2
1.323448487E1,3.895038068E-1,2.406442463E-1,4.456133842E-1
1.348408788E1,-7.314387560E-1,-9.541872889E-2,-5.746372342E-1
1.373369088E1,5.490149558E-2,-2.610106766E-1,-2.469679564E-1
1.398329388E1,-7.497286052E-2,-3.667142987E-1,3.624211252E-1
1.423294162E1,3.305851221E-1,-1.553968489E-1,6.762800366E-2
1.448254463E1,-7.086787373E-4,6.892563105E-1,-3.520005643E-1
1.473214863E1,-2.445983887E-1,-5.018646121E-1,-1.671753824E-1
1.498175163E1,2.478254884E-1,-3.647867739E-1,8.780725002E-1
1.523136888E1,6.974059343E-1,2.849041522E-1,6.194020510E-1
1.548100287E1,-1.785272919E-2,-1.491436064E-1,-4.143004417E-1
1.573060588E1,-2.414847016E-1,-2.036198676E-1,1.318086088E-1
1.598020988E1,-1.282759160E-1,-8.209328353E-2,-1.029834300E-1
1.622979488E1,-8.065418005E-1,3.852739930E-1,-8.514740467E-1
1.647939788E1,-1.077628583E-1,-4.478640556E-1,1.469123065E-1
1.672903188E1,4.192662239E-1,-1.675977372E-2,-1.439299732E-1
1.697863488E1,-2.749732137E-1,2.323862761E-1,-2.253795266E-1
1.722823875E1,-1.592345089E-1,-1.743176430E-1,7.440751791E-2
1.747784175E1,7.921485901E-1,-1.474775314E0,7.235179543E-1
1.772744475E1,6.268306375E-1,2.522549927E-1,5.415492877E-2
1.797707875E1,-8.952468634E-1,9.363784790E-1,-7.680254579E-1
1.822668438E1,-3.913917243E-1,1.182058930E0,-1.421722770E-1
1.847628738E1,6.160951853E-1,-3.766064346E-1,3.803524375E-1
1.872589138E1,9.576974064E-2,-4.647172391E-1,-2.164316177E-2
1.897549438E1,-5.120952725E-1,2.348303944E-1,-7.841484547E-1
1.922514537E1,-1.986262500E-1,-5.156428218E-1,-2.474696189E-2
1.947474838E1,-6.685156375E-2,-5.411074758E-1,-3.663844615E-2
1.972435137E1,8.287423104E-2,-2.294992059E-1,6.153109670E-2
1.997395538E1,8.954645693E-2,9.973592311E-2,-1.778169423E-1
2.022356475E1,-4.319391549E-1,1.087047577E0,-1.999867111E-1
2.047316775E1,1.353858709E-1,-1.400069118E0,6.246411204E-1
2.072280175E1,3.089905679E-1,-5.948740244E-1,-6.446158290E-1
2.097240475E1,1.287658811E-1,1.511959583E-1,1.270428896E-1
2.122199463E1,-1.014913768E-1,8.048787713E-1,2.623051703E-1
2.147159863E1,-3.794402480E-1,2.490977347E-1,2.270108834E-2
2.172120163E1,2.251115590E-1,-1.645663083E-1,6.798025966E-1
2.197080463E1,3.954823613E-1,-6.420460343E-1,2.938127518E-1
2.222043963E1,-3.634599596E-2,-9.744317830E-2,-7.826436162E-1
2.247004263E1,-4.407685399E-1,7.076016068E-1,-5.989208817E-1
2.271964663E1,-2.334263623E-1,-3.820769787E-1,7.194063812E-2
2.296924963E1,1.550422907E-1,-5.595535040E-1,3.021799624E-1
2.321887263E1,2.672387362E-1,1.321280599E-1,7.548069954E-1
2.346847563E1,-9.621740878E-2,6.670793146E-2,-5.376328826E-1
2.371807963E1,-1.082140684E0,-2.816097140E-1,-4.715667665E-1
2.396771263E1,7.106797695E-1,-1.245313406E0,3.249338865E-1
2.421731038E1,4.369062185E-1,-1.180777788E0,-1.954352558E-1
2.446691337E1,-3.797810376E-1,-4.885285795E-1,1.115601584E-1
2.471651638E1,2.277183086E-1,5.289362073E-1,2.980674803E-1
