"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
0.000000000E0,5.209566126E1,5.131201981E0,-1.110000014E0,-1.000000000E0,-1.000000000E0,3.101785885E2,3.101785885E2
3.521699905E-1,5.209563589E1,5.131310098E0,-1.110000014E0,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
2.407070041E0,5.209551254E1,5.131291067E0,1.284194565E1,1.039999962E0,3.561328125E2,1.000000000E1,1.000000000E1
2.489314079E0,5.209551807E1,5.131290480E0,1.280105209E1,1.039999962E0,3.561328125E2,1.000000000E1,1.000000000E1
3.472499967E0,5.209550135E1,5.131271286E0,4.803127289E0,1.039999962E0,3.561328125E2,1.000000000E1,1.000000000E1
4.472550154E0,5.209553853E1,5.131361894E0,4.763942719E0,1.080000043E0,1.371093750E1,1.000000000E1,1.000000000E1
5.472620368E0,5.209555219E1,5.131351836E0,4.456569672E0,1.649999976E0,2.320312500E1,1.000000000E1,1.000000000E1
6.472694397E0,5.209557868E1,5.131325936E0,4.378871918E0,2.039999962E0,2.320312500E1,1.000000000E1,1.000000000E1
7.472767234E0,5.209560139E1,5.131285200E0,3.249904633E0,2.369999886E0,1.687500000E1,1.000000000E1,1.000000000E1
8.472835779E0,5.209562444E1,5.131299281E0,3.063930511E0,2.369999886E0,2.460937500E1,1.000000000E1,1.000000000E1
9.472903132E0,5.209564988E1,5.131316129E0,3.487819672E0,2.630000114E0,2.320312500E1,1.000000000E1,1.000000000E1
1.047296453E1,5.209567959E1,5.131334150E0,3.894985199E0,3.019999981E0,2.285156250E1,1.000000000E1,1.000000000E1
1.147301650E1,5.209571409E1,5.131343538E0,3.708766937E0,3.250000000E0,1.722656250E1,1.000000000E1,1.000000000E1
1.247307026E1,5.209575013E1,5.131352590E0,3.427822113E0,3.250000000E0,1.476562500E1,1.000000000E1,1.000000000E1
1.347311616E1,5.209578504E1,5.131363822E0,2.971218109E0,3.390000105E0,1.582031250E1,1.000000000E1,1.000000000E1
1.447315979E1,5.209581488E1,5.131381257E0,3.251064301E0,3.319999933E0,1.828125000E1,1.000000000E1,1.000000000E1
1.547320151E1,5.209583198E1,5.131406570E0,3.065090179E0,3.319999933E0,3.304687500E1,1.000000000E1,1.000000000E1
1.647323990E1,5.209585566E1,5.131434314E0,3.164455414E0,3.319999933E0,3.093750000E1,1.000000000E1,1.000000000E1
1.747327507E1,5.209588575E1,5.131458621E0,2.900051117E0,3.339999914E0,2.671875000E1,1.000000000E1,1.000000000E1
1.847330892E1,5.209591571E1,5.131483180E0,2.988857269E0,3.529999971E0,2.003906250E1,1.000000000E1,1.000000000E1
1.947333980E1,5.209594853E1,5.131502040E0,3.024990082E0,3.769999981E0,1.687500000E1,1.000000000E1,1.000000000E1
2.047336900E1,5.209598168E1,5.131522240E0,3.001247406E0,3.630000114E0,1.828125000E1,1.000000000E1,1.000000000E1
2.147339678E1,5.209601445E1,5.131536322E0,3.392116547E0,3.630000114E0,1.582031250E1,1.000000000E1,1.000000000E1
2.247342157E1,5.209604287E1,5.131541351E0,3.323268890E0,2.599999905E0,1.125000000E1,1.000000000E1,1.000000000E1
2.347344601E1,5.209607178E1,5.131557444E0,3.064357758E0,3.490000010E0,1.617187500E1,1.000000000E1,1.000000000E1
2.447346735E1,5.209610493E1,5.131572699E0,2.884487152E0,3.490000010E0,1.792968750E1,1.000000000E1,1.000000000E1
2.547348905E1,5.209613616E1,5.131589882E0,3.040431976E0,3.490000010E0,2.214843750E1,1.000000000E1,1.000000000E1
2.647350705E1,5.209616805E1,5.131604047E0,3.140102386E0,3.650000095E0,1.546875000E1,1.000000000E1,1.000000000E1
2.747352588E1,5.209620145E1,5.131615447E0,3.482448578E0,3.650000095E0,1.582031250E1,1.000000000E1,1.000000000E1
2.847354186E1,5.209623448E1,5.131625254E0,3.689052582E0,3.650000095E0,1.511718750E1,1.000000000E1,1.000000000E1
