"Time (s)","X (µT)","Y (µT)","Z (µT)"
0.000000000E0,4.911956787E-1,-9.868637085E0,-5.076037598E1
2.495953750E-1,-5.284011841E0,-6.026916504E0,-5.146716309E1
4.991993750E-1,-1.155133057E1,-1.681396484E0,-5.143389893E1
7.488323750E-1,-3.656581116E1,1.669029999E1,-3.865563965E1
9.984363750E-1,-4.936889648E1,2.875257111E1,-2.077294922E1
1.248056667E0,-4.994316101E1,4.761548615E1,4.235107422E0
1.497659667E0,-2.764083862E1,5.884268951E1,3.413977051E1
1.747293667E0,-1.095393372E1,5.348638153E1,1.251623535E1
1.996896667E0,-1.790278625E1,5.211554718E1,1.129132080E1
2.251529042E0,-3.734725952E1,5.344814301E1,1.967742920E1
2.501163042E0,-6.044541931E1,3.133597565E1,4.152844238E1
2.750766042E0,-4.292872620E1,4.738567352E1,2.856896973E1
3.000369042E0,-3.024340820E1,4.958426666E1,7.080932617E0
3.249963375E0,-3.857037354E1,4.769402313E1,1.086737061E1
3.499596375E0,-4.321247864E1,3.939887238E1,1.225360107E1
3.749200375E0,-3.869416809E1,4.071378326E1,6.585205078E0
3.998803375E0,-4.615145874E1,4.726465607E1,6.766174316E0
4.248442042E0,-6.066192627E1,3.922185516E1,7.064270020E0
4.498045042E0,-5.348773193E1,3.831919098E1,1.339379883E1
4.747648042E0,-3.520486450E1,5.017182159E1,1.792651367E1
4.997282042E0,-4.928021240E1,5.318636322E1,2.939660645E1
5.246891750E0,-7.488825989E1,4.230988312E1,2.056475830E1
5.496495750E0,-7.889718628E1,4.120490265E1,1.579559326E1
5.746128750E0,-5.222108459E1,5.247153473E1,2.351434326E1
5.995732750E0,-7.129281616E1,3.614017487E1,4.045303345E1
6.245344250E0,-6.337899780E1,3.310152435E1,1.965075684E1
6.494978250E0,-5.778398132E1,3.555788422E1,1.793206787E1
6.744581250E0,-5.378710938E1,4.558458710E1,2.144647217E1
6.994184250E0,-6.254399109E1,3.488948822E1,2.374090576E1
7.243812375E0,-6.094648743E1,3.765647125E1,1.582257080E1
7.493415375E0,-5.347993469E1,4.556436920E1,1.790356445E1
7.743019375E0,-6.357011414E1,3.721862030E1,2.944445801E1
7.992622375E0,-6.436431885E1,3.330878448E1,2.678369141E1
8.242280625E0,-6.060430908E1,4.010459137E1,3.101672363E1
8.491883625E0,-6.055732727E1,4.262755585E1,3.333410645E1
8.741486625E0,-5.775880432E1,4.159810638E1,2.091528320E1
8.991120625E0,-4.412115479E1,4.727791595E1,1.756610107E1
9.240709042E0,-6.007713318E1,3.836707306E1,2.955737305E1
9.490312042E0,-6.390184021E1,3.231053925E1,2.571246338E1
9.739916042E0,-5.793562317E1,3.764459991E1,2.783398438E1
9.989550042E0,-5.897499084E1,3.679317474E1,2.748059082E1
1.023916663E1,-5.736366272E1,3.529291534E1,2.156298828E1
1.048876963E1,-5.605168152E1,3.666449738E1,2.742254639E1
1.073837263E1,-6.103540039E1,3.309598541E1,3.059765625E1
1.098800663E1,-5.376620483E1,3.857476044E1,2.843450928E1
1.123759825E1,-5.868206787E1,3.345369720E1,2.692199707E1
1.148720225E1,-5.910461426E1,3.655626678E1,2.150213623E1
1.173680525E1,-5.509341431E1,3.899378204E1,2.094250488E1
1.198643925E1,-7.065597534E1,3.249468231E1,2.576391602E1
1.223605667E1,-5.949360657E1,3.512627411E1,3.133532715E1
1.248565967E1,-4.162490845E1,4.487221527E1,2.417150879E1
1.273526367E1,-4.730020142E1,3.693497467E1,2.185180664E1
1.298489667E1,-5.338740540E1,2.656163788E1,2.301538086E1
1.323448487E1,-5.350524902E1,3.153713226E1,2.142614746E1
1.348408788E1,-5.609094238E1,3.240526581E1,2.695843506E1
1.373369088E1,-6.041522217E1,2.780931854E1,3.022647095E1
1.398329388E1,-6.165333557E1,3.084404755E1,2.690173340E1
1.423294162E1,-5.518040466E1,3.784128571E1,2.554638672E1
1.448254463E1,-6.115942383E1,3.322249603E1,3.413043213E1
1.473214863E1,-6.907406616E1,2.318520355E1,3.395111084E1
1.498175163E1,-5.157550049E1,3.937554169E1,2.807415771E1
1.523136888E1,-3.804614258E1,4.749864960E1,2.464440918E1
1.548100287E1,-3.937237549E1,3.589002228E1,2.988085938E1
1.573060588E1,-4.330296326E1,3.618332672E1,2.146069336E1
1.598020988E1,-4.637237549E1,3.543718719E1,2.363293457E1
1.622979488E1,-4.321345520E1,3.627320099E1,2.921801758E1
1.647939788E1,-4.653521729E1,3.137026215E1,2.704376221E1
1.672903188E1,-4.093577576E1,3.943849945E1,2.523730469E1
1.697863488E1,-4.585559082E1,3.858089447E1,2.931420898E1
1.722823875E1,-5.152801514E1,2.664707184E1,3.632513428E1
1.747784175E1,-4.787213135E1,3.817484283E1,3.250860596E1
1.772744475E1,-4.123995972E1,4.488144684E1,2.677587891E1
1.797707875E1,-4.546510315E1,3.840132904E1,3.146929932E1
1.822668438E1,-5.025155640E1,2.589572906E1,2.925274658E1
1.847628738E1,-4.161077881E1,2.995331573E1,2.877575684E1
1.872589138E1,-4.019804382E1,3.625370026E1,2.774169922E1
1.897549438E1,-4.215814209E1,3.230588531E1,3.254434204E1
1.922514537E1,-4.722415161E1,2.300493622E1,3.147100830E1
1.947474838E1,-4.780158997E1,2.866214752E1,3.703997803E1
1.972435137E1,-4.775744629E1,3.376009369E1,3.517080688E1
1.997395538E1,-4.457479858E1,3.750782013E1,3.316723633E1
2.022356475E1,-4.660470581E1,2.639142609E1,3.989007568E1
2.047316775E1,-4.628216553E1,2.479572296E1,4.063043213E1
2.072280175E1,-4.010008240E1,3.131429291E1,4.251794434E1
2.097240475E1,-4.121870422E1,3.045560455E1,4.201763916E1
2.122199463E1,-4.331597900E1,3.152127838E1,3.785006714E1
2.147159863E1,-4.371286011E1,2.985201263E1,4.097625732E1
2.172120163E1,-4.224095154E1,2.419467926E1,4.312658691E1
2.197080463E1,-3.766029358E1,3.154051971E1,3.864874268E1
2.222043963E1,-3.468525696E1,3.627169037E1,3.638769531E1
2.247004263E1,-3.499606323E1,3.270099640E1,3.934240723E1
2.271964663E1,-4.192907715E1,2.486490631E1,3.682214355E1
2.296924963E1,-3.793684387E1,2.649332428E1,3.822952271E1
2.321887263E1,-3.510426331E1,3.336875153E1,3.788739014E1
2.346847563E1,-3.215246582E1,3.335800934E1,3.861511230E1
2.371807963E1,-4.287330627E1,1.958600616E1,4.144268799E1
2.396771263E1,-4.436770630E1,2.175518036E1,4.680972290E1
2.421731038E1,-2.902239990E1,3.468158722E1,4.230535889E1
2.446691337E1,-3.538415527E1,3.593967438E1,3.935382080E1
2.471651638E1,-2.891218567E1,3.205219269E1,3.805477905E1
2.496612038E1,-2.606869507E1,2.697866058E1,4.583447266E1
2.521571329E1,-2.797462463E1,2.992003632E1,3.853112793E1
2.546531629E1,-1.580430603E1,2.817459869E1,3.971243286E1
2.571495029E1,-2.088999939E1,2.637404633E1,4.412106323E1
2.596455329E1,-1.723210144E1,2.889875031E1,3.856121826E1
2.621416738E1,-1.734994507E1,2.536447906E1,4.067456055E1
2.646377138E1,-1.801559448E1,2.329668427E1,3.782705688E1
2.671337438E1,-1.677949524E1,3.086470795E1,3.718884277E1
2.696297738E1,-1.078411865E1,2.507779694E1,4.178375244E1
2.721256979E1,-3.143743896E1,1.132007599E1,4.439514160E1
2.746220379E1,-2.534077454E1,2.111722565E1,5.640707397E1
2.771180779E1,-8.873199463E0,2.942365265E1,4.798150635E1
2.796141079E1,-1.801338196E1,2.561063385E1,4.960427856E1
2.821101163E1,-1.945994568E1,2.086717987E1,4.835525513E1
2.846061463E1,-2.577282715E1,2.690473175E1,6.317340088E1
2.871021863E1,-1.537709045E1,2.514669037E1,4.496514893E1
2.895982163E1,-1.612112427E1,2.751873016E1,4.381494141E1
2.920948663E1,-1.877810669E1,2.281084442E1,4.517459106E1
2.945908963E1,-2.131936646E1,2.477790070E1,4.684906006E1
2.970869263E1,-1.536264038E1,2.193465424E1,4.250158691E1
2.995829563E1,-1.027996826E1,2.536154938E1,3.785894775E1
3.020787875E1,-1.691027832E1,2.305902863E1,3.890994263E1
3.045748175E1,-1.832926941E1,2.531346893E1,3.866467285E1
3.070708475E1,-1.301618958E1,2.113008881E1,4.110614014E1
3.095668875E1,-1.573153687E1,2.188311005E1,4.080914307E1
3.120633650E1,-1.299011230E1,2.243795013E1,3.898864746E1
3.145594050E1,-4.322662354E0,1.988068390E1,4.042810059E1
3.170554350E1,-5.521499634E0,2.342006683E1,4.155401611E1
3.195514650E1,1.465103149E0,2.277437592E1,4.103485107E1
3.220474225E1,-1.224624634E0,2.667188263E1,4.170437622E1
3.245434625E1,-9.127319336E0,1.937680817E1,4.063000488E1
3.270394925E1,1.450233459E1,2.446639252E1,3.771530151E1
3.295355225E1,1.259114075E1,2.131949615E1,3.992205811E1
3.320316554E1,1.205384827E1,1.863436127E1,3.445275879E1
3.345279854E1,1.601965332E1,2.166161346E1,3.316143799E1
3.370240254E1,8.625198364E0,1.966870880E1,3.576376343E1
3.395200554E1,1.556611633E1,2.125530243E1,3.984378052E1
3.420162013E1,1.501037598E1,1.873265839E1,3.793029785E1
3.445122313E1,1.915408325E1,2.036197662E1,3.329626465E1
3.470082713E1,1.662176514E1,1.951586151E1,3.046075439E1
3.495043013E1,1.399653625E1,1.949600983E1,3.490301514E1
3.520002650E1,2.102925110E1,1.674793243E1,3.075451660E1
3.544963050E1,1.338993835E1,1.768126678E1,3.257421875E1
3.569926350E1,1.914273071E1,1.829766083E1,3.113531494E1
3.594886750E1,1.613539124E1,1.503292084E1,2.518896484E1
3.619846413E1,2.308338928E1,1.759862518E1,2.891534424E1
3.644806713E1,1.693347168E1,1.643233490E1,3.158850098E1
3.669767013E1,2.027407837E1,1.428388214E1,2.935559082E1
3.694727412E1,2.898213196E1,1.939330292E1,2.600451660E1
3.719689242E1,2.617156982E1,1.987456512E1,2.638275146E1
3.744649542E1,2.637918091E1,2.755731964E1,2.485955811E1
3.769609842E1,1.257437134E1,1.647705841E1,1.962432861E1
3.794570242E1,1.535960388E1,1.649533844E1,2.428570557E1
3.819528600E1,1.074137878E1,1.859809113E1,4.021307373E1
3.844492000E1,2.642988586E1,2.975286102E1,4.679974365E1
3.869452300E1,2.047201538E1,2.667409515E1,4.221606445E1
3.894412600E1,1.696533203E1,1.935550690E1,3.173593140E1
3.919374075E1,3.029083252E1,2.970784760E1,3.831481934E1
3.944334375E1,1.739605713E1,2.155107880E1,3.266625977E1
3.969294675E1,3.624241638E1,4.227439117E1,5.317895508E1
3.994254975E1,1.919232178E1,2.108382416E1,3.096197510E1
4.019216538E1,3.383413696E1,3.763661957E1,4.014068604E1
4.044176837E1,2.376240540E1,2.893907928E1,3.379699707E1
4.069137138E1,1.610998535E1,2.168958282E1,3.212738037E1
4.094097538E1,2.481561279E1,3.862944794E1,5.120727539E1
4.119055825E1,1.793548584E1,2.032059479E1,3.375836182E1
4.144016125E1,2.672460938E1,3.058629608E1,3.228698730E1
4.168976425E1,1.766244507E1,2.789656830E1,4.473416138E1
4.193939825E1,1.921624756E1,2.410582733E1,4.296166992E1
4.218901192E1,2.128330994E1,2.720998383E1,4.497863770E1
4.243861592E1,2.998937988E1,3.641373444E1,5.287402344E1
4.268821892E1,2.218287659E1,2.648719025E1,4.136309814E1
4.293782192E1,1.775132751E1,2.357845306E1,3.644390869E1
4.318742492E1,4.677217102E1,5.701830292E1,6.113269043E1
4.343704429E1,1.862567139E1,2.502400970E1,3.802789307E1
4.368664729E1,2.530213928E1,2.783652496E1,3.619024658E1
